Date,Open,High,Low,Close,Volume,OpenInt
20051115,4.7898,4.7898,4.7898,4.7898,0,0
20051116,7.1847,8.145,7.1045,7.2311,106155230,0
20051117,7.4244,7.6914,6.3671,6.4945,37256628,0
20051118,6.6218,6.8145,6.3579,6.4481,13906292,0
20051121,6.4945,6.6253,6.4149,6.6144,6952070,0
20051122,6.5307,6.5327,6.3189,6.4391,7093722,0
20051123,6.393,6.4391,5.8124,6.2547,13484017,0
20051125,6.2177,6.3466,6.1998,6.2916,1428632,0
20051128,6.2456,6.2456,5.9964,6.1351,3425017,0
20051129,6.1351,6.1703,5.7609,5.8895,4860687,0
20051130,5.914,5.9711,5.8218,5.9505,4227804,0
20051201,5.9505,6.4852,5.9232,6.4481,6175344,0
20051202,6.4481,6.688,6.4299,6.6508,5558176,0
20051205,6.6657,6.8994,6.6657,6.7815,4986075,0
20051206,6.7815,6.9297,6.7154,6.7397,3476577,0
20051207,6.7522,6.7522,6.3559,6.5307,2684645,0
20051208,6.5769,6.6963,6.5496,6.6322,1979559,0
20051209,6.6322,6.7174,6.5918,6.6694,877155,0
20051212,6.7154,6.7246,6.6412,6.7154,1035101,0
20051213,6.7136,6.7136,6.5422,6.5572,2000732,0
20051214,6.5402,6.5769,6.4113,6.4481,1569748,0
20051215,6.4391,6.4391,6.1998,6.264,3553120,0
20051216,6.2364,6.3543,6.1721,6.299,8869744,0
20051219,6.264,6.3374,6.2382,6.332,2433866,0
20051220,6.3781,6.5234,6.3374,6.4374,2630912,0
20051221,6.4299,6.4481,6.3653,6.4096,994936,0
20051222,6.4096,6.4096,6.3189,6.393,1271223,0
20051223,6.3466,6.391,6.275,6.3102,1069300,0
20051227,6.3559,6.5307,6.3559,6.4945,1317896,0
20051228,6.4945,6.5307,6.4538,6.4627,630713,0
20051229,6.4299,6.6731,6.4299,6.6584,1168628,0
20051230,6.6788,6.6963,6.5307,6.6963,1002540,0
20060103,6.7246,7.0475,6.6322,6.9751,3249150,0
20060104,6.9828,6.9828,6.6983,6.7984,1298905,0
20060105,7.038,7.3217,7.038,7.2421,3778918,0
20060106,7.2311,7.4432,7.2039,7.4278,2503889,0
20060109,7.5532,8.1593,7.5354,8.0342,9473871,0
20060110,7.9883,8.6222,7.9883,8.4763,9409282,0
20060111,8.5654,8.8801,8.3552,8.6441,8206994,0
20060112,8.7216,8.8154,7.9702,8.0988,5255846,0
20060113,8.0528,8.2183,7.9221,8.2072,2185278,0
20060117,8.3829,8.6592,8.2907,8.5445,2833367,0
20060118,8.539,8.539,8.2907,8.4341,1517107,0
20060119,8.4192,8.806,8.1059,8.7418,3593278,0
20060120,8.8429,8.9187,8.519,8.53,2511499,0
20060123,8.53,8.8098,8.4987,8.8007,1893793,0
20060124,8.7952,9.835,8.6421,9.726,6095545,0
20060125,9.856,10.163,9.2383,9.765,7619701,0
20060126,9.808,9.977,9.618,9.664,2631445,0
20060127,9.221,9.688,8.9462,9.399,7521992,0
20060130,9.2567,9.4327,8.8985,9.0498,3224173,0
20060131,9.0498,9.397,8.4875,9.3631,7117611,0
20060201,9.674,10.505,9.561,10.25,7799361,0
20060202,10.207,10.686,9.776,10.169,11495770,0
20060203,10.355,10.757,10.19,10.226,6301263,0
20060206,10.557,10.557,10.081,10.264,4296736,0
20060207,10.234,10.345,9.4712,9.846,3883665,0
20060208,10.042,10.096,9.692,9.852,2121765,0
20060209,9.899,10.011,9.726,9.763,2313915,0
20060210,9.806,9.806,9.02,9.528,3886926,0
20060213,9.397,9.884,9.397,9.718,1802617,0
20060214,9.718,9.763,9.526,9.576,1604491,0
20060215,9.58,9.637,9.502,9.576,957489,0
20060216,9.622,9.645,9.4119,9.5,920576,0
20060217,9.532,9.566,9.2383,9.4627,1765698,0
20060221,9.4637,9.4677,8.9812,9.1455,2594542,0
20060222,9.0533,9.1818,8.871,9.0696,3604675,0
20060223,9.248,9.561,9.0257,9.1932,8447461,0
20060224,9.541,10.271,9.541,10.042,11967455,0
20060227,10.131,10.539,10.009,10.473,5234677,0
20060228,10.427,10.668,9.958,10.086,4383583,0
20060301,10.131,10.473,10.131,10.455,3345217,0
20060302,10.427,10.947,10.279,10.936,4616982,0
20060303,11.145,11.601,11.053,11.164,7469874,0
20060306,11.333,11.609,11.065,11.297,4994211,0
20060307,11.297,11.297,10.902,11.053,3466266,0
20060308,11.239,11.243,10.823,10.905,5572827,0
20060309,10.951,11.884,10.951,11.788,5913704,0
20060310,11.788,12.412,11.549,12.367,7700028,0
20060313,12.577,13.175,12.419,13.133,10221294,0
20060314,13.175,13.301,12.535,12.643,10042717,0
20060315,12.662,13.097,12.434,12.764,5967995,0
20060316,12.766,12.933,11.993,12.305,7696777,0
20060317,12.305,12.607,11.866,12.548,6489613,0
20060320,12.719,13.112,12.719,13.112,6052654,0
20060321,13.212,13.559,12.826,12.943,7469349,0
20060322,12.627,12.719,12.095,12.528,7429180,0
20060323,12.482,12.766,12.216,12.35,3187266,0
20060324,12.159,12.585,12.117,12.378,2295467,0
20060327,12.501,13.019,12.389,12.871,5686834,0
20060328,12.871,13.034,12.472,12.639,3344676,0
20060329,12.639,12.843,12.436,12.482,2150540,0
20060330,12.804,13.232,12.76,13.141,5985893,0
20060331,13.222,13.475,12.4,12.719,10516572,0
20060403,12.89,12.918,11.451,11.626,11150549,0
20060404,11.799,12.201,11.168,11.976,10819446,0
20060405,12.113,12.137,11.404,11.577,9920054,0
20060406,11.577,11.875,10.82,11.018,13954613,0
20060407,10.688,10.688,9.645,9.765,26620620,0
20060410,9.808,10.114,9.694,10.052,8642856,0
20060411,10.104,10.453,10.07,10.428,9795745,0
20060412,10.475,10.663,10.05,10.618,7628379,0
20060413,10.618,10.905,10.427,10.823,5195587,0
20060417,10.915,11.045,10.598,10.663,4407464,0
20060418,10.87,12.235,10.855,12.19,14315570,0
20060419,12.209,12.818,11.867,12.762,12671447,0
20060420,12.81,12.969,12.393,12.899,8855086,0
20060421,12.899,12.987,12.605,12.71,5351377,0
20060424,12.548,12.605,12.298,12.388,6718126,0
20060425,12.254,12.863,12.228,12.863,5650439,0
20060426,12.852,12.983,12.643,12.953,4472046,0
20060427,12.863,13.402,12.583,13.192,4518735,0
20060428,13.079,13.323,13.007,13.139,5176597,0
20060501,13.141,13.141,12.122,12.336,8383406,0
20060502,12.797,12.804,12.074,12.472,7822161,0
20060503,12.434,13.023,12.397,12.924,3293111,0
20060504,12.876,12.933,12.706,12.712,3880956,0
20060505,12.714,13.818,12.621,13.67,8742733,0
20060508,13.722,14.651,13.458,14.527,9921127,0
20060509,14.378,14.843,14.187,14.225,7275021,0
20060510,14.189,14.661,13.956,14.334,4200657,0
20060511,14.555,15.182,14.207,14.586,6516207,0
20060512,14.625,14.625,13.837,13.925,4584407,0
20060515,13.809,14.332,13.653,14.077,5442022,0
20060516,14.084,14.227,13.693,13.962,2979927,0
20060517,13.818,13.828,12.748,12.899,8972876,0
20060518,12.941,13.292,12.295,12.518,8570665,0
