Date,Open,High,Low,Close,Volume,OpenInt
20161201,18.519,18.767,17.375,17.514,1301866,0
20161202,17.55,17.834,16.718,16.875,327426,0
20161205,16.875,17.074,13.262,14.085,1002143,0
20161206,14.577,15.504,14.129,15.226,378541,0
20161207,16.103,16.103,15.226,15.447,267316,0
20161208,15.447,15.82,15.257,15.73,119909,0
20161209,16.004,16.004,15.418,15.501,79535,0
20161212,15.73,15.833,15.318,15.381,77681,0
20161213,15.548,15.548,15.277,15.318,41298,0
20161214,15.548,15.548,14.942,14.997,85183,0
20161215,14.879,15.548,14.66,15.428,138758,0
20161216,15.454,15.593,14.817,15.063,141429,0
20161219,15.226,15.454,15.089,15.3,120803,0
20161220,15.464,16.251,15.371,16.161,80495,0
20161221,16.251,16.552,15.787,16.516,112968,0
20161222,16.644,16.917,16.471,16.58,46480,0
20161223,16.788,17.241,16.718,16.965,44149,0
20161227,17.22,17.476,16.917,16.965,43381,0
20161228,17.239,17.476,16.974,17.077,102145,0
20161229,17.375,17.376,15.834,16.371,84918,0
20161230,16.242,16.917,16.078,16.635,38068,0
20170103,17.019,17.55,16.974,17.102,66836,0
20170104,17.358,17.358,17.147,17.22,29682,0
20170105,17.366,18.126,17.323,18.026,59013,0
20170106,18.217,18.236,17.375,17.604,170009,0
20170109,17.676,17.676,17.22,17.485,20056,0
20170110,17.604,17.604,16.552,17.13,66225,0
20170111,17.165,17.291,16.462,16.817,83303,0
20170112,17.093,17.093,16.515,16.599,30621,0
20170113,17.01,17.223,16.826,16.974,98742,0
20170117,17.192,17.366,17.113,17.329,30431,0
20170118,17.375,17.467,17.055,17.082,31908,0
20170119,16.965,17.623,16.965,17.432,33642,0
20170120,17.696,17.724,17.055,17.248,31249,0
20170123,17.532,17.532,17.102,17.202,17279,0
20170124,17.339,17.475,16.992,17.102,21329,0
20170125,17.202,17.366,17.163,17.366,28841,0
20170126,17.366,17.375,17.128,17.147,23321,0
20170127,17.284,17.422,17.147,17.158,16580,0
20170130,17.277,17.277,17.151,17.194,16510,0
20170131,17.192,17.244,16.917,16.998,19803,0
20170201,17.093,17.163,16.644,16.644,21310,0
