Date,Open,High,Low,Close,Volume,OpenInt
20110201,14.1,14.35,14.05,14.3,1269967,0
20110202,14.03,15.25,14.02,15.25,813840,0
20110203,15.25,15.25,14.5,14.8,356405,0
20110204,14.65,14.91,14.5,14.8,178202,0
20110207,14.75,15.2,14.71,15.08,314157,0
20110208,15.27,15.75,14.6,14.83,543316,0
20110209,14.85,14.99,14.41,14.8,299945,0
20110210,14.49,15,14.37,14.93,156584,0
20110211,14.76,15.2,14.76,14.95,305551,0
20110214,15.11,15.19,14.78,14.99,352856,0
20110215,15.09,15.88,14.97,15.27,223292,0
20110216,15.35,15.5,14.78,14.89,131508,0
20110218,14.92,14.92,14.43,14.54,172512,0
20110222,14.18,14.53,14.05,14.31,275652,0
20110223,14.25,14.6,14.25,14.48,180365,0
20110224,14.34,15,14.34,14.62,290826,0
20110225,14.67,14.9,14.52,14.86,332528,0
20110228,14.75,14.9,14.37,14.66,179923,0
20110301,14.6,14.6,14.05,14.57,104011,0
20110302,14.37,14.55,14.25,14.25,42130,0
20110303,14.35,14.57,13.87,13.93,145201,0
20110304,13.89,13.98,13.27,13.8,199481,0
20110307,13.82,14.23,13.8,14.06,144610,0
20110308,14.12,14.34,14.06,14.16,142934,0
20110309,14.49,14.5,13.5,13.56,350245,0
20110310,13.62,13.99,12.11,12.92,420155,0
20110311,12.85,13.75,12.79,13.37,114985,0
20110314,13.66,14.11,12.9,14.11,93862,0
20110315,13.86,13.86,13.51,13.85,223635,0
20110316,13.9,13.9,13.68,13.71,143226,0
20110317,13.86,14.1,13.71,14.04,72973,0
20110318,14.13,14.26,13.97,14.25,480567,0
20110321,14.23,14.4,14.12,14.21,175941,0
20110322,14.25,14.5,14.16,14.16,159068,0
20110323,14.16,14.21,13.21,13.72,1003641,0
20110324,13.85,13.85,13.39,13.57,176198,0
20110325,13.52,13.62,13.36,13.62,41355,0
20110328,13.63,13.65,13.37,13.58,56450,0
20110329,13.49,13.75,13.39,13.51,80898,0
20110330,13.46,13.5,13.12,13.31,178376,0
20110331,13.25,13.34,12.94,13,392359,0
20110401,13.25,13.64,13.1,13.19,62357,0
20110404,13.32,13.34,13,13.13,144068,0
20110405,13.03,13.33,12.93,13.31,86552,0
20110406,13.26,13.42,13.24,13.28,26450,0
20110407,13.22,13.65,13.2,13.25,40961,0
20110408,13.26,13.61,13.26,13.59,22626,0
20110411,13.65,14.49,13.52,13.74,211188,0
20110412,13.66,13.89,13.55,13.63,107441,0
20110413,13.66,14.06,13.4,13.7,103118,0
20110414,13.52,13.88,13.46,13.76,89204,0
20110415,13.75,14.1,13.53,14.02,113121,0
20110418,13.9,13.99,13.75,13.8,34167,0
20110419,13.77,13.94,13.53,13.94,95741,0
20110420,13.94,14.1,13.9,14.05,130775,0
20110421,14.03,14.09,13.91,14.05,126021,0
20110425,13.99,14.26,13.95,14.09,85997,0
20110426,14.06,14.23,13.93,13.98,71043,0
20110427,14,14.5,14,14.25,139580,0
20110428,14.2,15.1,14.2,14.67,150319,0
20110429,14.63,15,14.45,14.98,64264,0
20110502,15,15.35,14.88,15.27,81796,0
20110503,15.25,15.62,15.17,15.42,213071,0
20110504,15.38,15.38,14.9,14.93,82192,0
20110505,14.67,14.84,14.37,14.5,153206,0
20110506,14.58,14.58,14.14,14.45,98756,0
20110509,14.35,15.32,14.35,15.32,998901,0
20110510,15.27,15.5,15.16,15.28,88751,0
20110511,15.3,15.32,14.66,14.68,67320,0
20110512,14.62,15.06,14.29,15.03,23636,0
20110513,15.14,15.28,14.89,14.98,54311,0
20110516,14.91,14.91,14.48,14.54,26806,0
20110517,14.44,14.67,14.08,14.61,44455,0
20110518,14.73,15,14.72,14.81,21126,0
20110519,14.8,15.06,14.75,14.76,20869,0
20110520,14.7,14.79,14.33,14.5,39210,0
20110523,14.23,14.41,13.98,14.07,25836,0
20110524,14.14,14.18,13.86,14.03,32455,0
20110525,13.94,14.1,13.6,13.99,133867,0
20110526,14.01,14.18,13.73,14.06,118571,0
20110527,14,14.19,13.68,14.04,65477,0
20110531,14.13,14.46,14,14.11,24920,0
20110601,14.15,14.43,13.96,14.07,52972,0
20110602,14.13,14.18,13.95,14.08,19620,0
20110603,14,14.31,13.99,14.25,32347,0
20110606,14.27,14.35,14,14.03,66481,0
20110607,14.12,14.19,13.99,14,43601,0
20110608,14.01,14.23,13.99,14.2,19134,0
20110609,14.34,14.34,13.92,13.98,54481,0
20110610,13.92,14.24,13.85,14.24,21124,0
20110613,14.2,14.2,13.99,14.03,34975,0
20110614,14.07,14.15,13.91,14.04,56899,0
20110615,14,14.09,13.84,14,104009,0
20110616,14,14,13.6,13.73,72030,0
20110617,13.74,13.89,13.6,13.86,25215,0
20110620,13.82,14.26,13.62,14.08,300281,0
20110621,14.12,14.41,14.12,14.4,13844,0
20110622,14.36,14.54,14.26,14.42,49600,0
20110623,14.3,14.58,14.22,14.48,47711,0
20110624,14.45,14.47,14.21,14.45,105396,0
20110627,14.18,14.45,13.88,14.41,270322,0
20110628,14.39,14.66,14.39,14.65,46259,0
20110629,14.66,14.84,14.47,14.74,72650,0
20110630,14.82,15.15,14.71,15.14,70731,0
20110701,15.14,15.15,14.81,14.96,37751,0
20110705,15,15.05,14.7,14.72,36729,0
20110706,14.65,15.08,14.54,14.99,44531,0
20110707,15.25,15.39,14.49,14.85,126001,0
20110708,14.76,14.95,14.62,14.9,95500,0
20110711,14.61,14.91,13.96,14.85,103025,0
20110712,14.75,14.88,14.42,14.58,34882,0
20110713,14.6,14.62,14.2,14.56,91492,0
20110714,14.52,14.64,14.12,14.23,37100,0
20110715,14.23,14.44,14.05,14.27,123714,0
20110718,14.26,14.34,14,14.23,130568,0
20110719,14.33,14.65,14.02,14.16,54934,0
20110720,14.13,14.75,13.82,14.65,109372,0
20110721,14.67,14.67,14.16,14.39,33592,0
20110722,14.35,14.65,14.05,14.23,28425,0
20110725,14.13,14.47,13.92,14.09,121641,0
20110726,14.04,14.22,13.82,14.11,56882,0
20110727,14.03,14.3,13.9,14.2,48815,0
20110728,14.1,14.55,14.1,14.54,54153,0
20110729,14.4,14.98,14.32,14.85,64051,0
20110801,14.93,14.93,14.27,14.48,110611,0
20110802,14.37,14.74,13.91,14.26,90639,0
20110803,14.33,14.36,13.8,14.28,84231,0
20110804,14.14,14.17,13.85,14.15,42815,0
20110805,14.24,14.47,13.61,14.22,116406,0
20110808,14.01,14.06,12.35,12.35,111453,0
20110809,12.44,12.6,11.53,12.4,98658,0
20110810,12.22,12.24,11.53,11.77,104330,0
20110811,11.78,12.11,11.54,11.54,174590,0
20110812,11.45,11.89,10.71,11.3,316183,0
20110815,11.7,11.9,11.51,11.73,74239,0
20110816,11.71,11.76,11.51,11.67,82999,0
20110817,12.13,12.13,11.54,11.77,195765,0
20110818,11.58,11.87,11.35,11.71,100583,0
20110819,11.47,11.99,11.2,11.53,144075,0
20110822,11.72,11.8,11.38,11.44,285017,0
20110823,11.44,11.68,11,11.68,154471,0
20110824,11.62,11.81,11.34,11.57,120010,0
20110825,12.51,12.51,11.41,11.54,60970,0
20110826,11.5,11.76,11.46,11.76,93334,0
20110829,11.78,12.13,11.76,12.05,16733,0
20110830,12.07,12.62,11.93,12.49,297545,0
20110831,12.52,12.76,12.28,12.56,115221,0
20110901,12.52,12.52,12.19,12.2,80578,0
20110902,12.17,12.42,12.17,12.18,32744,0
20110906,11.94,12.24,11.83,12.2,16801,0
20110907,12.28,13.05,11.9,12.9,73875,0
20110908,12.61,12.61,12.23,12.5,82965,0
20110909,12.37,12.44,12.03,12.23,93957,0
20110912,12.2,12.2,11.9,11.98,45271,0
20110913,12.02,12.03,11.78,11.95,76694,0
20110914,11.96,12.1,11.67,11.83,76189,0
20110915,11.96,12.83,11.96,12.47,112864,0
20110916,12.44,13,12.41,12.86,40992,0
20110919,12.65,12.74,12.45,12.57,36504,0
20110920,12.66,12.93,12.24,12.47,25896,0
20110921,12.48,12.54,11.87,11.89,60950,0
20110922,11.67,12.19,11.5,12.12,54322,0
20110923,12.06,12.31,11.87,12.06,16414,0
20110926,12.05,12.05,11.9,11.96,7400,0
20110927,12.09,12.09,11.76,11.95,163407,0
20110928,11.96,12.08,11.93,11.94,55798,0
20110929,12.17,12.29,11.82,12,26093,0
20110930,11.88,11.89,11.8,11.81,13619,0
20111003,11.7,11.7,11.19,11.32,123862,0
20111004,11.35,11.55,11.35,11.5,63941,0
20111005,11.5,11.88,11.12,11.7,172879,0
20111006,11.67,11.67,11.42,11.56,67566,0
20111007,11.58,11.58,11.32,11.39,136640,0
20111010,11.5,11.55,11.15,11.5,43502,0
20111011,11.43,11.76,11.32,11.7,36446,0
20111012,11.81,11.89,11.63,11.77,132824,0
20111013,11.71,11.89,11.7,11.85,9295,0
20111014,12,13.03,12,12.77,76483,0
20111017,12.76,12.76,12.35,12.42,34211,0
20111018,12.5,12.67,12.1,12.32,64921,0
20111019,12.31,12.79,12.22,12.66,53083,0
20111020,12.66,12.76,12.6,12.69,51342,0
20111021,12.81,13.21,12.81,13.14,123716,0
20111024,13.2,13.25,13.1,13.25,93569,0
20111025,13.16,13.24,13.06,13.19,33927,0
20111026,13.25,13.49,13.03,13.37,63300,0
20111027,13.74,13.74,13.35,13.46,98109,0
20111028,13.38,13.55,13.37,13.46,6325,0
20111031,13.36,14.07,13.36,13.72,34193,0
20111101,13.3,13.42,12.8,12.9,100434,0
