Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.0461,9.0565,8.9472,9.012,1820853,0
20050228,9.012,9.0461,8.8469,8.9769,1867247,0
20050301,8.9666,9.0461,8.9639,8.9666,2123625,0
20050302,10.44,10.618,9.904,10.109,15334143,0
20050303,10.152,10.23,10.032,10.122,4632566,0
20050304,10.158,10.363,10.093,10.34,3051223,0
20050307,10.358,10.486,10.291,10.389,2033544,0
20050308,10.422,10.519,10.389,10.399,2194121,0
20050309,10.335,10.371,10.125,10.192,2628547,0
20050310,10.222,10.296,10.152,10.217,966757,0
20050311,10.217,10.263,10.168,10.207,2113380,0
20050314,10.212,10.34,10.172,10.335,1763006,0
20050315,10.34,10.406,10.252,10.291,2047706,0
20050316,10.291,10.291,10.152,10.18,1350877,0
20050317,10.18,10.279,10.013,10.224,1391850,0
20050318,10.217,10.217,10.038,10.098,1077326,0
20050321,10.071,10.075,9.932,10.013,1665394,0
20050322,9.994,10.044,9.904,9.963,2095908,0
20050323,9.959,9.987,9.838,9.893,616687,0
20050324,9.909,9.923,9.792,9.877,1034243,0
20050328,9.877,9.953,9.877,9.918,796546,0
20050329,9.627,9.693,9.4451,9.559,4072513,0
20050330,9.627,9.649,9.4775,9.51,2129950,0
20050331,9.51,9.627,9.4598,9.576,1155655,0
20050401,9.603,9.603,9.4304,9.4451,999298,0
20050404,9.4107,9.4107,9.2118,9.285,2336923,0
20050405,9.3053,9.3744,9.2406,9.2956,1905505,0
20050406,9.344,9.527,9.285,9.4392,1161681,0
20050407,9.4392,9.534,9.3803,9.51,1039372,0
20050408,9.505,9.57,9.4529,9.4941,1277668,0
20050411,9.534,9.581,9.4647,9.566,1239714,0
20050412,9.615,9.665,9.4882,9.627,1325268,0
20050413,9.627,9.665,9.4068,9.4304,998094,0
20050414,9.3931,9.4882,9.2763,9.2889,980922,0
20050415,9.2889,9.3744,9.1472,9.2445,1466866,0
20050418,9.2445,9.2445,9.0669,9.1008,1671122,0
20050419,9.1598,9.1598,9.0877,9.1274,1424081,0
20050420,9.0773,9.1713,9.0461,9.0612,1953412,0
20050421,9.1964,9.3391,9.1598,9.285,2244433,0
20050422,9.285,9.3342,9.1598,9.2118,1719629,0
20050425,9.2166,9.576,9.2166,9.3999,2091986,0
20050426,9.4206,9.4206,9.2262,9.2339,1936541,0
20050427,9.2339,9.3568,9.1529,9.3391,2420674,0
20050428,9.627,10.186,9.615,9.861,9096132,0
20050429,9.959,10.008,9.782,9.861,3330799,0
20050502,9.861,9.923,9.687,9.734,4056847,0
20050503,9.716,9.719,9.505,9.643,3699248,0
20050504,9.643,9.725,9.553,9.683,2746946,0
20050505,9.643,9.764,9.543,9.704,2206477,0
20050506,9.687,9.764,9.676,9.676,1704865,0
20050509,9.676,9.709,9.603,9.709,1759693,0
20050510,9.709,9.716,9.627,9.687,1079437,0
20050511,9.76,9.76,9.634,9.676,531736,0
20050512,9.676,9.716,9.4775,9.543,1114987,0
20050513,9.52,9.553,9.4451,9.4941,625732,0
20050516,9.543,9.587,9.4775,9.576,571201,0
20050517,9.543,9.603,9.505,9.543,1188192,0
20050518,9.594,9.669,9.543,9.62,1239414,0
20050519,9.742,9.774,9.653,9.734,1515666,0
20050520,9.725,9.742,9.676,9.716,1459633,0
20050523,9.76,9.768,9.665,9.665,1203262,0
20050524,9.627,9.709,9.527,9.61,1252060,0
20050525,9.62,9.653,9.449,9.499,942361,0
20050526,9.52,9.627,9.52,9.615,880296,0
20050527,9.627,9.658,9.527,9.553,475998,0
20050531,9.576,9.594,9.4941,9.527,1152642,0
20050601,9.4941,9.4941,9.3627,9.4206,4437947,0
20050602,9.4529,9.4775,9.3999,9.4598,854390,0
20050603,9.4451,9.505,9.3931,9.4941,1821154,0
20050606,9.543,9.559,9.3264,9.4156,912532,0
20050607,9.4598,9.51,9.3264,9.3391,852282,0
20050608,9.3313,9.3715,9.2667,9.3568,1108355,0
20050609,9.3568,9.4068,9.0971,9.2262,8242035,0
20050610,9.2262,9.3119,9.0773,9.2166,1230070,0
20050613,9.2118,9.3852,9.2079,9.3264,1625026,0
20050614,9.285,9.3931,9.2561,9.2956,1552425,0
20050615,9.2956,9.3568,9.2628,9.3053,1117395,0
20050616,9.3119,9.3391,9.2561,9.2956,1312615,0
20050617,9.3177,9.4882,9.2763,9.3342,3845960,0
20050620,9.344,9.4843,9.3342,9.4156,1219525,0
20050621,9.4156,9.499,9.3931,9.449,823057,0
20050622,9.4775,9.515,9.4255,9.4941,1285800,0
20050623,9.4941,9.709,9.4941,9.676,2996397,0
20050624,9.658,9.725,9.658,9.709,1667810,0
20050627,9.676,9.855,9.627,9.855,2156157,0
20050628,9.842,10.008,9.842,10.008,2201951,0
20050629,9.973,10.008,9.904,9.982,1437037,0
