Date,Open,High,Low,Close,Volume,OpenInt
20061024,7.4534,7.4534,7.4534,7.4534,0,0
20061025,7.4534,7.4578,7.4534,7.4578,1022994,0
20061026,7.4578,7.543,7.4578,7.5106,141658,0
20061027,7.5106,7.5525,7.4578,7.4625,85851,0
20061030,7.4578,7.5106,7.4578,7.4926,122074,0
20061031,7.5069,7.5069,7.4732,7.4846,63852,0
20061101,7.4926,7.4989,7.4732,7.4793,91755,0
20061102,7.4989,7.5297,7.4732,7.4989,62778,0
20061103,7.4793,7.5256,7.4732,7.5069,114829,0
20061106,7.5069,7.5069,7.4578,7.4732,56335,0
20061107,7.4663,7.4732,7.4534,7.4578,46419,0
20061108,7.4732,7.4732,7.4534,7.4534,73783,0
20061109,7.4534,7.4793,7.4534,7.4534,40513,0
20061110,7.4895,7.4895,7.4534,7.4625,61975,0
20061113,7.4989,7.4989,7.4534,7.4534,66540,0
20061114,7.4625,7.4732,7.4534,7.4534,96583,0
20061115,7.4793,7.4793,7.4534,7.4534,83980,0
20061116,7.4625,7.4732,7.4534,7.4534,89342,0
20061117,7.4926,7.4926,7.4534,7.4534,21729,0
20061120,7.4578,7.4578,7.4534,7.4534,85318,0
20061121,7.4534,7.4958,7.4534,7.4578,70027,0
20061122,7.4534,7.4732,7.4534,7.4534,194782,0
20061124,7.4534,7.4694,7.4534,7.4534,401625,0
20061127,7.4534,7.4578,7.4534,7.4534,786629,0
20061128,7.4534,7.4578,7.4534,7.4534,143270,0
20061129,7.4534,7.4732,7.4534,7.4578,50710,0
20061130,7.4534,7.4793,7.4534,7.4578,182172,0
20061201,7.4534,7.4926,7.4534,7.4534,148905,0
20061204,7.4534,7.4732,7.4534,7.4578,94705,0
20061205,7.4578,7.4578,7.4534,7.4534,138171,0
20061206,7.4578,7.4578,7.3789,7.3789,199079,0
20061207,7.3789,7.4434,7.3789,7.4218,110538,0
20061208,7.4218,7.4534,7.3789,7.4509,84507,0
20061211,7.4509,7.4509,7.3832,7.3988,76999,0
20061212,7.3988,7.4509,7.3789,7.3789,153192,0
20061213,7.4171,7.4354,7.3988,7.4354,122607,0
20061214,7.4354,7.4509,7.3988,7.4354,61975,0
20061215,7.4171,7.4479,7.3988,7.4218,61437,0
20061218,7.4024,7.4171,7.3962,7.3962,97924,0
20061219,7.3871,7.3871,7.1935,7.3059,182709,0
20061220,7.2682,7.328,7.1935,7.2324,154269,0
20061221,7.2324,7.2346,7.1568,7.2047,295392,0
20061222,7.2324,7.2914,7.1606,7.2914,226170,0
20061226,7.3059,7.3135,7.1568,7.1987,236904,0
20061227,7.1681,7.3019,7.1681,7.2503,137366,0
20061228,7.2167,7.2682,7.1755,7.245,183778,0
20061229,7.2571,7.2728,7.1755,7.2385,170898,0
20070103,7.2047,7.2682,7.1032,7.1568,193439,0
20070104,7.1413,7.2018,7.1181,7.1517,108923,0
20070105,7.1568,7.1987,7.1032,7.1092,219727,0
20070108,7.1568,7.1794,7.1307,7.1606,39975,0
20070109,7.1181,7.1794,7.0849,7.1794,80758,0
20070110,7.2167,7.2167,7.0804,7.0937,129047,0
20070111,7.0849,7.1307,6.9902,7.0215,229391,0
20070112,7.0076,7.1092,7.0026,7.0804,104636,0
20070116,7.0441,7.0564,6.9479,6.9769,128783,0
20070117,7.1092,7.1486,7.0287,7.0659,179751,0
20070118,7.0375,7.0716,6.9902,7.0147,112418,0
20070119,7.0076,7.0791,6.9523,7.0441,169830,0
20070122,7.0973,7.0994,7.0147,7.0287,201220,0
20070123,7.0441,7.0521,6.9733,7.0026,173583,0
20070124,7.0026,7.0147,6.9318,6.9318,199337,0
20070125,6.9661,6.9769,6.8588,6.8588,235293,0
20070126,6.8881,6.9179,6.8055,6.8838,355218,0
20070129,6.9137,7.0026,6.8817,6.9544,159899,0
20070130,6.9813,7.0411,6.9588,7.0411,130120,0
20070131,7.0521,7.1388,7.0191,7.1307,137903,0
20070201,7.1307,7.1755,7.0791,7.1645,168491,0
20070202,7.1755,7.1883,7.1606,7.1755,85047,0
20070205,7.1755,7.2167,7.1606,7.1935,99000,0
20070206,7.2116,7.2116,7.1606,7.1755,110538,0
20070207,7.1935,7.1935,7.1032,7.1092,93906,0
20070208,7.0973,7.1388,7.0191,7.0893,200681,0
20070209,7.0893,7.1413,7.0659,7.0716,173849,0
20070212,7.0521,7.0994,7.0191,7.0564,113215,0
20070213,7.0346,7.0973,7.0076,7.0215,192901,0
20070214,7.0113,7.0659,6.9902,7.0287,141931,0
20070215,6.9733,7.0621,6.9705,7.0076,163653,0
20070216,6.9769,7.0147,6.9523,6.9769,175465,0
20070220,6.9303,6.9813,6.8958,6.9523,241196,0
20070221,6.9214,7.0113,6.8588,6.9303,308809,0
20070222,6.8503,7.0026,6.8503,6.9959,491773,0
20070223,7.0346,7.1755,6.9479,7.1681,230194,0
20070226,7.1696,7.1696,7.0346,7.0937,206044,0
20070227,7.0441,7.0521,6.9214,6.9733,160437,0
20070228,7.0113,7.0251,6.9544,6.9922,93370,0
20070301,6.9902,6.9902,6.9064,6.9252,120194,0
20070302,6.8958,7.0113,6.8774,6.9523,162321,0
20070305,6.9101,6.9214,6.7721,6.8174,218658,0
20070306,6.8588,6.9769,6.8439,6.9037,202021,0
20070307,6.8774,7.0521,6.8731,7.0411,150511,0
20070308,6.9705,7.1696,6.9705,7.0521,189415,0
20070309,7.0215,7.1092,6.9769,7.0564,162050,0
20070312,7.0287,7.0564,6.9922,7.0076,99533,0
20070313,6.9922,7.0893,6.9318,7.0076,115360,0
20070314,6.9588,7.1159,6.9179,7.0893,171436,0
20070315,7.0215,7.0994,7.0215,7.06,116706,0
20070316,7.0411,7.0621,6.9037,7.0113,141931,0
20070319,7.0215,7.0893,6.9479,7.0026,177339,0
20070320,7.0026,7.0621,6.9588,6.9902,249783,0
20070321,7.0251,7.0621,6.9479,7.0485,215439,0
20070322,6.9959,7.0564,6.9705,7.0441,233421,0
20070323,6.9922,7.1388,6.9922,7.0754,276612,0
20070326,7.0994,7.1449,7.0287,7.1388,286000,0
20070327,7.1032,7.1755,7.0804,7.1449,237438,0
20070328,7.1606,7.2077,7.1307,7.1449,111876,0
20070329,7.2047,7.2047,7.1226,7.1935,116171,0
20070330,7.2116,7.2593,7.1794,7.2414,104901,0
20070402,7.0804,7.0804,6.9064,7.0621,224827,0
20070403,7.0659,7.1032,7.0375,7.0804,88273,0
20070404,7.0849,7.1181,7.0441,7.1181,107586,0
20070405,7.1181,7.1345,7.0287,7.0411,169830,0
20070409,7.0287,7.1092,7.0287,7.0621,150781,0
20070410,7.0804,7.1794,7.0346,7.1307,200681,0
20070411,7.1696,7.2346,7.1307,7.2047,150781,0
20070412,7.2196,7.2414,7.1568,7.1794,92820,0
20070413,7.1794,7.2324,7.1794,7.1883,76457,0
20070416,7.2346,7.2346,7.1696,7.1987,156142,0
20070417,7.1987,7.2241,7.1092,7.1159,151853,0
20070418,7.1181,7.1307,7.0113,7.0804,268298,0
20070419,7.0287,7.0973,7.0076,7.0076,176804,0
20070420,7.0485,7.1681,7.0251,7.0621,178143,0
20070423,7.0375,7.0716,7.0147,7.0441,136024,0
20070424,7.0521,7.0621,7.0076,7.0251,198803,0
20070425,7.0375,7.0804,6.9922,7.0215,274193,0
20070426,7.0215,7.0804,6.9959,7.0659,141121,0
20070427,7.0287,7.0659,7.0076,7.0411,173583,0
20070430,7.0147,7.06,6.9588,6.985,200412,0
20070501,6.9588,7.0893,6.9303,7.0441,217581,0
20070502,7.0191,7.0804,7.0147,7.0215,141658,0
20070503,7.0251,7.0849,7.0191,7.0754,101412,0
20070504,7.0621,7.0659,7.0215,7.0411,135217,0
20070507,7.0485,7.06,7.0113,7.0485,210072,0
20070508,7.0485,7.0893,7.0113,7.0564,164996,0
