Date,Open,High,Low,Close,Volume,OpenInt
20100823,13.609,13.648,13.498,13.609,124381,0
20100824,13.473,13.674,13.44,13.648,140726,0
20100825,13.609,13.698,13.487,13.698,103122,0
20100826,13.667,13.698,13.615,13.661,115593,0
20100827,13.692,13.792,13.62,13.684,112185,0
20100830,13.62,13.692,13.532,13.582,79206,0
20100831,13.577,13.609,13.505,13.563,136318,0
20100901,13.641,13.919,13.641,13.807,196092,0
20100902,13.82,13.9,13.807,13.872,312458,0
20100903,14.02,14.02,13.843,13.872,62472,0
20100907,13.833,13.911,13.82,13.865,115051,0
20100908,13.872,14.064,13.872,13.9,103374,0
20100909,13.948,14.298,13.948,14.222,179932,0
20100910,14.302,14.408,14.241,14.287,110926,0
20100913,14.279,14.375,14.113,14.177,361631,0
20100914,14.266,14.272,14.124,14.206,178458,0
20100915,14.177,14.302,14.177,14.241,254938,0
20100916,14.241,14.478,14.241,14.344,285547,0
20100917,14.408,14.955,14.396,14.843,1041546,0
20100920,14.843,14.947,14.754,14.826,206131,0
20100921,14.826,14.898,14.633,14.647,158347,0
20100922,14.596,14.691,14.525,14.566,233379,0
20100923,14.546,14.761,14.496,14.754,103634,0
20100924,14.872,15.007,14.826,14.843,237060,0
20100927,14.878,14.974,14.843,14.915,183389,0
20100928,14.908,15.11,14.851,15.052,178906,0
20100929,14.749,14.847,14.403,14.425,345921,0
20100930,14.403,14.555,14.357,14.473,353312,0
20101001,14.654,14.654,14.518,14.525,201472,0
20101004,14.584,14.67,14.533,14.602,236460,0
20101005,14.704,14.8,14.642,14.654,306520,0
20101006,14.754,14.788,14.533,14.566,260334,0
20101007,14.611,14.611,14.453,14.51,156883,0
20101008,14.51,14.546,14.453,14.518,165107,0
20101011,14.453,14.625,14.425,14.618,383843,0
20101012,14.611,14.711,14.596,14.647,538968,0
20101013,14.698,14.769,14.611,14.735,419681,0
20101014,14.731,14.735,14.618,14.683,212214,0
20101015,14.725,14.725,13.854,14.141,420511,0
20101018,14.329,14.38,13.919,13.948,282017,0
20101019,13.948,14.138,13.667,13.717,143559,0
20101020,13.717,13.911,13.563,13.807,189737,0
20101021,13.807,14.049,13.807,14.001,176028,0
20101022,14.053,14.338,14.053,14.259,145974,0
20101025,14.338,14.389,13.955,14.053,145673,0
20101026,13.948,14.118,13.854,13.963,182884,0
20101027,13.969,14.177,13.969,14.141,121841,0
20101028,14.148,14.244,14.079,14.188,165753,0
20101029,14.266,14.287,14.106,14.118,118676,0
20101101,14.244,14.279,14.141,14.2,113229,0
20101102,14.272,14.294,14.177,14.206,187583,0
20101103,14.2,14.473,14.156,14.445,381803,0
20101104,14.496,14.625,14.46,14.51,179635,0
20101105,14.51,14.546,14.357,14.357,115457,0
20101108,14.329,14.425,14.302,14.396,227172,0
20101109,14.396,14.633,14.351,14.602,256899,0
20101110,14.539,14.665,14.503,14.647,106041,0
20101111,14.525,14.602,14.38,14.533,143130,0
20101112,14.496,14.518,14.445,14.491,82567,0
20101115,14.496,14.546,14.425,14.503,203000,0
20101116,14.389,14.415,14.02,14.309,335160,0
