Date,Open,High,Low,Close,Volume,OpenInt
20150729,7.8152,8.0101,7.8152,8.0101,285352,0
20150730,8.0101,8.0101,7.8152,7.8621,102750,0
20150731,7.9483,7.9629,7.8536,7.9311,38391,0
20150803,7.8313,7.8917,7.8313,7.8917,90754,0
20150804,7.8779,7.8779,7.8152,7.8472,52336,0
20150805,7.8691,7.8691,7.8152,7.8472,103648,0
20150806,7.917,7.917,7.8152,7.8152,83361,0
20150807,7.8399,7.8536,7.8152,7.8152,47351,0
20150810,7.8234,7.8399,7.8152,7.8152,26489,0
20150811,7.8313,7.8313,7.8152,7.8152,29751,0
20150812,7.8234,7.9087,7.8152,7.8917,135768,0
20150813,7.8536,7.8536,7.8234,7.8313,49006,0
20150814,7.8621,7.9002,7.8536,7.8835,12160,0
20150817,7.8621,7.9234,7.8621,7.9087,16765,0
20150818,7.8234,7.8536,7.8152,7.8152,748574,0
20150819,7.8536,7.8536,7.8152,7.8152,231865,0
20150820,7.8152,7.8234,7.8152,7.8152,103901,0
20150821,7.8234,7.8621,7.8152,7.8152,65005,0
20150824,7.8207,7.8985,7.8207,7.8598,59217,0
20150825,7.9151,7.9151,7.8598,7.8598,105982,0
20150826,7.9151,7.9467,7.8598,7.89,154586,0
20150827,7.8985,7.8985,7.7414,7.8447,166288,0
20150828,7.8447,8.1656,7.8447,8.1495,34226,0
20150831,8.0953,8.2536,7.8985,7.9699,79141,0
20150901,8.0014,8.3852,7.9782,8.0404,122778,0
20150902,8.2139,8.2366,7.9862,8.2366,108148,0
20150903,8.1985,8.1985,8.0169,8.0565,64763,0
20150904,8.048,8.1276,7.9613,8.048,54841,0
20150908,7.9782,8.6779,7.9613,8.079,181179,0
20150909,8.2986,8.2986,7.9862,8.0014,43130,0
20150910,8.1276,8.2536,7.9934,8.0244,64455,0
20150911,8.0848,8.1018,7.895,7.9345,64525,0
20150914,8.0067,8.0067,7.9193,7.9594,32388,0
20150915,8.0378,8.0378,7.7449,7.8564,155626,0
20150916,7.872,7.9986,7.8093,7.8801,81606,0
20150917,8.0226,8.0624,7.9193,8.0143,66297,0
20150918,7.9674,8.0624,7.9428,8.0624,61235,0
20150921,8.0143,8.0226,7.9345,7.9345,27204,0
20150922,7.9038,7.9428,7.801,7.9345,36438,0
20150923,7.9345,7.9428,7.9038,7.9428,35681,0
20150924,7.9038,7.9428,7.872,7.9428,66173,0
20150925,7.9193,7.9843,7.872,7.9121,32388,0
20150928,7.8336,7.9843,7.8336,7.9594,61746,0
20150929,7.9674,7.9674,7.8801,7.9193,75154,0
20150930,7.9843,7.9915,7.8867,7.895,110581,0
20151001,7.9756,7.9756,7.8642,7.9038,35807,0
20151002,7.895,7.9843,7.895,7.9516,27204,0
20151005,7.9756,7.9756,7.9261,7.9516,29941,0
20151006,7.9516,8.0624,7.9428,7.9594,59340,0
20151007,7.9843,8.0143,7.9594,8.0143,49344,0
20151008,8.1018,8.1018,7.9756,8.0292,37199,0
20151009,8.0292,8.0624,8.0143,8.0537,12525,0
20151012,8.1179,8.1179,8.0226,8.0764,63307,0
20151013,8.2741,8.3625,8.0995,8.3464,88578,0
20151014,8.3464,8.3464,8.1082,8.1082,49065,0
20151015,8.1082,8.171,8.1082,8.1624,13587,0
20151016,8.1082,8.3212,8.0995,8.1463,133741,0
20151019,8.2509,8.2969,8.0995,8.1463,93227,0
20151020,8.2665,8.3291,8.1082,8.1082,69216,0
20151021,8.1463,8.2426,8.0267,8.0741,55230,0
20151022,8.0683,8.4729,8.0683,8.2594,70210,0
20151023,8.1864,8.2183,7.988,8.035,98007,0
20151026,8.1156,8.2883,8.0683,8.2183,82788,0
