Date,Open,High,Low,Close,Volume,OpenInt
20180118,50.6,50.6,50.6,50.6,100,0
20180125,55.3,55.3,55.29,55.29,800,0
20180129,55.75,55.75,55.75,55.75,300,0
20180201,56.37,56.4,56.37,56.4,1000,0
20180202,54.05,54.48,54.05,54.48,1004,0
20180206,54,54,53.92,53.96,1,0
20180209,52.28,52.33,52.28,52.33,600,0
20180212,52.6,52.6,52.6,52.6,300,0
20180214,56.43,56.43,56.43,56.43,400,0
20180215,57.27,57.27,57.26,57.26,816,0
20180216,56.42,56.42,56.42,56.42,100,0
20180220,54.91,54.91,54.62,54.63,1900,0
20180221,55.3,55.31,55.23,55.23,800,0
20180228,55.41,55.42,55.41,55.42,500,0
20180301,54.16,54.2,54.16,54.2,600,0
20180302,54.44,54.44,54.44,54.44,300,0
20180309,55.06,55.07,55.06,55.07,1500,0
20180322,53.05,53.05,53.05,53.05,300,0
20180327,52.24,52.24,52.2,52.2,800,0
20180329,53.77,53.77,53.77,53.77,103,0
20180402,53.69,54.24,53.69,54.24,3001,0
20180405,53.89,53.89,53.89,53.89,400,0
20180409,54.23,54.23,54.2,54.2,700,0
20180417,56.86,56.86,56.86,56.86,900,0
20180418,62.92,62.92,61.59,61.59,5332,0
20180419,60.13,61.06,60.13,61.06,3972,0
20180420,59.3178,59.33,59.3178,59.33,955,0
20180423,57.94,57.94,57.3,57.3,675,0
20180424,57.5,57.5,56.98,56.98,400,0
20180426,57,57.04,57,57.04,459,0
20180502,56.16,56.19,56.16,56.19,800,0
20180504,56.25,56.25,56.25,56.25,181,0
20180507,56.31,56.68,56.31,56.68,335,0
20180508,55.5,55.5,55.5,55.5,151,0
20180515,57.9,57.9,57.9,57.9,200,0
20180516,58.4316,58.4316,58.4316,58.4316,100,0
20180518,59.5326,59.5326,59.5326,59.5326,100,0
20180521,59.362,59.362,59.2804,59.2804,618,0
20180523,58.63,59.04,58.47,59.04,1033,0
20180524,59.3,59.89,59.3,59.89,9965,0
20180531,61.32,61.7162,61.32,61.7162,701,0
20180601,62.1,62.1,61.28,61.8,1412,0
20180604,61.88,62.41,61.88,62.41,1191,0
20180605,62.8,64.11,62.8,64.11,11252,0
20180606,63.4,63.4,63.05,63.39,1688,0
20180607,63.351,63.442,62.0614,62.0614,1061,0
20180611,62.1048,62.1048,62.1048,62.1048,252,0
20180612,61.05,61.32,61.05,61.32,3120,0
20180613,62.83,63,62.83,63,1600,0
20180614,61.57,61.57,61.07,61.07,1660,0
20180615,61.28,61.28,61.18,61.26,1039,0
20180618,60.51,60.51,60.51,60.51,166,0
20180619,59.31,59.31,58.96,58.96,4498,0
20180620,59.78,59.78,59.78,59.78,674,0
20180621,60.83,60.83,60.7,60.83,368,0
20180622,61.54,61.675,61.54,61.64,697,0
20180626,59.81,59.81,59.76,59.77,713,0
20180627,59.94,59.98,59.94,59.98,1960,0
20180629,59.92,60.2239,59.92,60.2239,916,0
20180705,57.44,57.44,57.005,57.005,1039,0
20180709,56.94,57.1037,56.935,56.96,819,0
20180711,55.48,55.48,55.38,55.38,541,0
20180713,56.66,56.66,56.315,56.315,227,0
20180718,54.8845,54.8845,54.8845,54.8845,391,0
20180719,53.77,53.77,53.77,53.77,112,0
20180725,55.3,55.48,55.3,55.48,1538,0
20180727,55.7499,55.75,55.16,55.16,1160,0
20180730,55.79,55.8939,55.44,55.44,938,0
20180731,56.2,56.77,56.2,56.5753,5379,0
20180801,55.64,55.64,55.64,55.64,105,0
