Date,Open,High,Low,Close,Volume,OpenInt
20181001,25.31,25.32,25.075,25.16,972330,0
20181002,25.2,25.23,25.14,25.18,705123,0
20181003,25.17,25.2177,24.83,24.9,2140822,0
20181004,24.85,24.8858,24.62,24.83,516408,0
20181005,24.78,25.025,24.72,25,1552213,0
20181008,25,25.1,24.93,25,653474,0
20181009,25,25.02,24.96,25,983807,0
20181010,24.99,25,24.87,24.89,960591,0
20181011,24.88,24.96,24.85,24.9,821624,0
20181012,24.98,25.04,24.9501,24.98,585769,0
20181015,25.02,25.03,24.95,25,2171367,0
20181016,25,25.04,24.96,24.98,954686,0
20181017,25,25.03,24.99,25.02,581949,0
20181018,25.01,25.02,24.93,25.01,770721,0
20181019,25.05,25.14,24.5,24.5,5325574,0
20181022,24.79,24.92,24.7,24.83,1588755,0
20181023,24.83,24.8613,24.76,24.83,681551,0
20181024,24.85,24.96,24.85,24.85,905397,0
20181025,24.9,25.01,24.86,24.98,514387,0
20181026,24.97,25.05,24.94,25.01,983651,0
20181029,25,25.13,25,25.09,1070233,0
20181030,25.11,25.13,25.03,25.1,1112985,0
20181031,24.88,25,24.864,24.88,688742,0
20181101,24.9,24.93,24.84,24.89,356177,0
20181102,24.87,24.9364,24.76,24.76,408027,0
20181105,24.81,24.815,24.76,24.77,972954,0
20181106,24.81,24.82,24.789,24.79,228126,0
20181107,24.88,24.95,24.82,24.85,312333,0
20181108,24.9,24.99,24.85,24.94,328388,0
20181109,24.94,24.97,24.9,24.94,176077,0
20181112,24.95,24.95,24.86,24.93,163675,0
20181113,24.93,24.97,24.88,24.89,255888,0
20181114,24.93,24.9377,24.78,24.79,541936,0
20181115,24.8,24.8233,24.61,24.63,505963,0
20181116,24.63,24.68,24.58,24.58,323371,0
20181119,24.67,24.68,24.45,24.45,422515,0
20181120,24.42,24.51,24.22,24.44,620420,0
20181121,24.5,24.7195,24.4745,24.69,284283,0
20181123,24.62,24.7,24.62,24.64,94174,0
20181126,24.68,24.75,24.58,24.64,231246,0
20181127,24.65,24.7199,24.61,24.61,467100,0
20181128,24.66,24.83,24.56,24.77,569876,0
20181129,24.8,24.8,24.6895,24.6927,229584,0
20181130,24.72,24.76,24.66,24.73,349354,0
20181203,24.87,24.87,24.71,24.76,413104,0
20181204,24.78,24.7872,24.51,24.52,671217,0
20181206,24.46,24.701,24.3867,24.55,408878,0
20181207,24.69,24.76,24.59,24.65,475358,0
20181210,24.7,24.76,24.55,24.69,478746,0
