Date,Open,High,Low,Close,Volume,OpenInt
20171208,23.881,23.881,23.868,23.881,4213,0
20171211,23.948,23.957,23.948,23.957,2508,0
20171212,23.966,24.042,23.956,24.026,2081700,0
20171213,24.023,24.05,24.022,24.05,5518,0
20171214,23.985,23.985,23.893,23.92,843,0
20171215,23.871,23.871,23.871,23.871,5067,0
20171218,23.91,24.009,23.91,24.009,316,0
20171219,23.948,23.948,23.843,23.881,7238,0
20171220,23.824,23.833,23.767,23.767,2213,0
20171221,23.786,23.796,23.77,23.77,828,0
20171222,23.753,23.767,23.75,23.75,3805,0
20171226,23.802,23.802,23.802,23.802,106,0
20171227,23.878,23.878,23.878,23.878,214,0
20171228,23.838,23.859,23.838,23.859,1314,0
20171229,23.888,23.888,23.888,23.888,2663,0
20180102,23.802,23.802,23.802,23.802,330,0
20180103,23.793,23.793,23.751,23.771,1514,0
20180104,23.774,23.955,23.774,23.955,3113,0
20180105,24.068,24.068,23.84,23.888,1520,0
20180108,23.935,24.001,23.906,24.001,1476,0
20180109,23.993,24.001,23.993,24.001,790,0
20180110,24.04,24.04,24.011,24.011,2413,0
20180117,23.916,23.916,23.916,23.916,357,0
20180118,23.926,23.926,23.897,23.897,766,0
20180123,23.982,24.059,23.982,24.059,4431,0
20180124,24.049,24.049,24.049,24.049,524,0
20180125,23.945,23.945,23.935,23.935,212,0
20180126,24.02,24.068,24.02,24.068,2031,0
20180129,23.888,23.926,23.888,23.926,4136,0
20180201,24.02,24.02,24.02,24.02,221,0
20180205,23.802,23.802,23.783,23.783,5009,0
20180206,23.682,23.707,23.679,23.707,99384,0
20180207,23.593,23.65,23.593,23.65,58141,0
20180208,23.356,23.356,23.27,23.27,1223,0
20180209,23.27,23.27,23.213,23.213,7305,0
20180212,23.318,23.318,23.318,23.318,210,0
20180213,23.26,23.279,23.26,23.279,2190,0
20180215,25.778,25.778,23.584,23.584,2038,0
20180216,23.452,23.569,23.452,23.569,221,0
20180220,23.545,23.593,23.545,23.593,3452,0
20180221,23.688,23.688,23.66,23.66,2257,0
20180222,23.631,23.66,23.624,23.656,7078,0
20180223,23.612,23.622,23.612,23.612,3906,0
20180227,23.736,23.745,23.723,23.745,6281,0
20180228,23.603,23.603,23.508,23.508,2148,0
20180301,23.356,23.356,23.279,23.299,4423,0
20180302,23.281,23.281,23.281,23.281,316,0
20180305,23.279,23.279,23.204,23.255,2001,0
20180306,23.242,23.346,23.175,23.217,11079,0
20180307,23.109,23.109,23.109,23.109,737,0
20180308,23.356,23.356,23.204,23.204,384,0
20180314,23.204,23.204,23.204,23.204,116,0
20180320,23.273,23.273,23.273,23.273,1053,0
20180328,23.27,23.27,23.147,23.185,1856,0
20180329,23.204,23.23,23.204,23.23,430,0
20180402,23.185,23.185,23.185,23.185,227,0
20180403,23.194,23.194,23.156,23.166,1069,0
20180405,23.213,23.213,23.213,23.213,106,0
20180411,23.152,23.204,23.152,23.204,211,0
20180416,23.327,23.394,23.314,23.385,14776,0
20180417,23.422,23.422,23.422,23.422,110,0
20180418,23.457,23.457,23.457,23.457,1088,0
20180420,23.507,23.507,23.507,23.507,168,0
20180424,23.513,23.522,23.441,23.441,1909,0
20180425,23.431,23.527,23.431,23.466,1040,0
20180426,23.527,23.527,23.527,23.527,774,0
20180430,23.527,23.527,23.527,23.527,231,0
