Date,Open,High,Low,Close,Volume,OpenInt
20050225,6.5474,6.5474,6.5091,6.5323,430720,0
20050228,6.5525,6.5744,6.5141,6.5474,611171,0
20050301,6.5933,6.5933,6.5267,6.5372,646834,0
20050302,6.5323,6.5372,6.5038,6.5226,627174,0
20050303,6.5226,6.5226,6.4428,6.463,665622,0
20050304,6.3908,6.4348,6.3872,6.4297,1229165,0
20050307,6.3954,6.4485,6.3908,6.4249,916537,0
20050308,6.4249,6.463,6.3954,6.4485,641281,0
20050309,6.4011,6.4152,6.2842,6.2938,1498885,0
20050310,6.2645,6.2938,6.2281,6.2645,1080123,0
20050311,6.2187,6.2281,6.1212,6.1392,1152716,0
20050314,5.9514,6.0737,5.9385,6.0501,1867242,0
20050315,6.0456,6.078,5.9944,6.0127,1185817,0
20050316,5.9657,5.9751,5.8861,5.9238,1479880,0
20050317,5.9004,5.9992,5.9004,5.9944,1196936,0
20050318,5.9992,6.0181,5.9333,5.9564,825143,0
20050321,5.9468,5.9468,5.8303,5.8492,1066224,0
20050322,5.8255,5.877,5.8068,5.8352,1070296,0
20050323,5.8352,5.8352,5.6992,5.727,1317144,0
20050324,5.7412,5.8068,5.713,5.7599,1215081,0
20050328,5.7645,5.7787,5.6942,5.713,944302,0
20050329,5.7504,5.8303,5.7175,5.8303,661352,0
20050330,5.8626,5.9197,5.8393,5.9103,879811,0
20050331,5.9197,5.9333,5.8861,5.9281,907351,0
20050401,5.9281,5.9385,5.8443,5.872,950710,0
20050404,5.8626,5.9197,5.8443,5.9146,527460,0
20050405,5.8673,5.9146,5.8443,5.8673,608392,0
20050406,5.8912,5.905,5.8584,5.8957,528312,0
20050407,5.877,5.9468,5.8584,5.8957,472147,0
20050408,5.8817,5.9238,5.8492,5.9197,471299,0
20050411,5.9238,5.9281,5.8673,5.8957,659853,0
20050412,5.8957,5.9197,5.8626,5.9197,516780,0
20050413,5.8673,5.8817,5.8255,5.8584,555223,0
20050414,5.8352,5.8534,5.7787,5.8255,505888,0
20050415,5.7787,5.8068,5.746,5.7599,530658,0
20050418,5.746,5.8068,5.7369,5.7832,455278,0
20050419,5.8019,5.8534,5.7971,5.8393,445667,0
20050420,5.8113,5.8352,5.7832,5.8255,541981,0
20050421,5.8255,5.8443,5.774,5.7929,400396,0
20050422,5.7832,5.7971,5.7599,5.7787,388013,0
