Date,Open,High,Low,Close,Volume,OpenInt
19860709,3.3631,3.5528,3.3473,3.5133,3120929,0
19860710,3.5294,3.5762,3.4266,3.5133,1905997,0
19860711,3.5528,3.7423,3.5528,3.6395,1762105,0
19860714,3.6159,3.6395,3.4501,3.4658,1210877,0
19860715,3.4658,3.4898,3.3239,3.3473,2507888,0
19860716,3.3473,3.4658,3.3473,3.3869,2456209,0
19860717,3.4107,3.5294,3.3869,3.4658,1003153,0
19860718,3.4266,3.4658,3.3001,3.4107,1382124,0
19860721,3.4107,3.4107,3.2607,3.3001,3448219,0
19860722,3.3001,3.3869,3.2847,3.3239,2735872,0
19860723,3.3473,3.3631,3.3001,3.3001,2328537,0
19860724,3.3473,3.3473,3.2607,3.3001,1126772,0
19860725,3.3001,3.4107,3.2607,3.3869,2728785,0
19860728,3.4266,3.4898,3.3631,3.3869,690048,0
19860729,3.3869,3.3869,3.3001,3.3239,745781,0
19860730,3.3239,3.4107,3.3001,3.3869,1291942,0
19860731,3.3869,3.3869,3.3631,3.3631,659653,0
19860801,3.3869,3.4266,3.3631,3.4107,2576792,0
19860804,3.4107,3.4107,3.3239,3.4107,1279781,0
19860805,3.4107,3.5294,3.3869,3.4658,748818,0
19860806,3.4501,3.4501,3.3869,3.3869,955529,0
19860807,3.5762,3.6159,3.5133,3.5294,9481335,0
19860808,3.5528,3.5762,3.5133,3.5528,4534465,0
19860811,3.5528,3.5762,3.5294,3.5762,2203903,0
19860812,3.5762,3.7819,3.5528,3.7819,2425810,0
19860813,3.8056,4.0423,3.766,3.9315,4688482,0
19860814,3.9315,3.9555,3.8527,3.9315,1348687,0
19860815,3.9315,3.9315,3.8056,3.8056,1163257,0
19860818,3.8527,3.8527,3.6792,3.7819,1992126,0
19860819,3.8056,3.8527,3.766,3.7974,1435829,0
19860820,3.7819,3.9794,3.7819,3.9555,988967,0
19860821,3.9794,4.058,3.9555,4.058,1851277,0
19860822,4.0423,4.0821,3.995,4.058,1874579,0
19860825,4.058,4.0821,4.0186,4.0821,1149068,0
19860826,4.058,4.2317,4.058,4.2082,1550329,0
19860827,4.2474,4.3109,4.2317,4.2871,4339913,0
19860828,4.2871,4.2871,4.1844,4.1844,4963085,0
19860829,4.1844,4.2082,4.1528,4.2082,3853536,0
19860902,4.1844,4.2317,4.1449,4.1449,2893948,0
19860903,4.1449,4.1683,4.0821,4.1683,3604263,0
19860904,4.1844,4.2317,4.1449,4.1683,1894852,0
19860905,4.1844,4.2082,4.1214,4.1214,2235315,0
19860908,4.1214,4.1449,4.0186,4.058,3686341,0
19860909,4.0423,4.0821,3.8686,3.8925,2953734,0
19860910,3.8686,3.9159,3.829,3.8686,2844300,0
19860911,3.829,3.8686,3.5528,3.5528,2588951,0
19860912,3.5762,3.5762,3.4421,3.5762,2850378,0
19860915,3.5762,3.6792,3.5528,3.5923,3243531,0
19860916,3.6159,3.6159,3.4266,3.4898,2212008,0
19860917,3.5133,3.6792,3.4898,3.6792,5166756,0
19860918,3.6792,3.7186,3.6556,3.703,2528153,0
19860919,3.6792,3.703,3.5294,3.6159,1810744,0
19860922,3.6159,3.6395,3.5762,3.6395,716396,0
19860923,3.6395,3.6395,3.4658,3.5133,1592887,0
19860924,3.5294,3.5923,3.4898,3.5762,1373006,0
19860925,3.5762,3.5923,3.5133,3.5294,2675081,0
19860926,3.5294,3.5528,3.3869,3.4658,1171363,0
19860929,3.4501,3.4658,3.3473,3.3869,1518922,0
19860930,3.3869,3.4107,3.3473,3.3631,1718539,0
19861001,3.3473,3.4501,3.3473,3.4107,1741844,0
19861002,3.4266,3.4501,3.3473,3.4266,730583,0
19861003,3.4501,3.5528,3.4266,3.5133,1869519,0
