Date,Open,High,Low,Close,Volume,OpenInt
20130726,10.849,10.849,10.742,10.849,3135055,0
20130729,10.823,10.849,10.765,10.849,689483,0
20130730,10.849,10.849,10.765,10.849,250487,0
20130731,10.84,10.849,10.788,10.849,606973,0
20130801,10.844,10.844,10.795,10.823,156552,0
20130802,10.823,10.833,10.788,10.795,121886,0
20130805,10.795,10.833,10.709,10.77,309056,0
20130806,10.729,10.788,10.443,10.634,269850,0
20130807,10.634,10.634,10.461,10.554,178427,0
20130808,10.554,10.556,10.472,10.524,75156,0
20130809,10.498,10.498,10.059,10.09,279485,0
20130812,10.054,10.059,9.809,9.955,276072,0
20130813,9.779,9.867,9.635,9.809,319326,0
20130814,9.814,10.108,9.732,10.09,144245,0
20130815,10.09,10.09,9.895,10.046,55328,0
20130816,10.059,10.221,9.997,9.997,81840,0
20130819,9.935,10.007,9.862,9.886,57281,0
20130820,9.895,10.19,9.886,10.059,138280,0
20130821,10.032,10.083,9.678,9.814,161079,0
20130822,9.732,9.873,9.707,9.814,97701,0
20130823,9.836,9.836,9.786,9.791,126340,0
20130826,9.892,9.892,9.678,9.759,158497,0
20130827,9.707,9.786,9.613,9.635,204834,0
20130828,9.698,9.814,9.678,9.786,91652,0
20130829,9.779,10.054,9.732,10.025,96774,0
20130830,10.143,10.173,10.108,10.122,56671,0
20130903,10.007,10.09,9.935,9.997,86267,0
20130904,10.032,10.09,9.949,9.949,129258,0
20130905,9.836,9.979,9.814,9.814,62556,0
20130906,9.916,9.944,9.867,9.935,51965,0
20130909,9.844,9.949,9.759,9.786,173301,0
20130910,9.949,9.976,9.873,9.94,76462,0
20130911,10.007,10.007,9.925,9.949,39484,0
20130912,10.007,10.029,9.753,9.829,98633,0
20130913,9.862,9.925,9.738,9.867,69059,0
20130916,9.91,9.925,9.774,9.802,62401,0
20130917,9.836,9.895,9.4251,9.652,383107,0
20130918,9.698,9.949,9.631,9.925,184689,0
20130919,9.867,9.886,9.707,9.732,92127,0
20130920,9.759,9.759,9.608,9.759,99748,0
20130923,9.666,9.678,9.574,9.574,189447,0
20130924,9.625,9.631,9.548,9.58,108021,0
20130925,9.608,9.608,9.4985,9.557,202816,0
20130926,9.521,9.619,9.521,9.603,137967,0
20130927,9.66,9.66,9.541,9.553,141779,0
20130930,9.691,9.716,9.569,9.617,183635,0
20131001,9.4311,9.594,9.4311,9.594,107559,0
20131002,9.553,9.631,9.517,9.574,87669,0
20131003,9.574,9.625,9.541,9.569,130239,0
20131004,9.625,9.753,9.569,9.753,136722,0
20131007,9.652,9.814,9.652,9.765,164236,0
20131008,9.779,9.809,9.738,9.765,64424,0
20131009,9.75,9.789,9.611,9.627,112601,0
20131010,9.711,9.764,9.595,9.693,97878,0
20131011,9.737,9.778,9.663,9.668,61217,0
20131014,9.663,9.703,9.615,9.639,53780,0
20131015,9.659,9.711,9.537,9.56,162046,0
20131016,9.621,9.683,9.501,9.627,89788,0
20131017,9.584,9.773,9.571,9.714,63202,0
20131018,9.737,9.808,9.693,9.75,67655,0
20131021,9.663,9.75,9.648,9.711,83725,0
20131022,9.741,9.766,9.645,9.711,75715,0
20131023,9.73,9.835,9.693,9.723,137908,0
20131024,9.741,9.818,9.659,9.741,175666,0
20131025,9.8,9.827,9.73,9.782,152116,0
20131028,9.793,9.793,9.693,9.723,148120,0
20131029,9.75,9.789,9.703,9.757,133520,0
20131030,9.785,9.906,9.697,9.881,187716,0
20131031,9.978,9.978,9.815,9.879,143389,0
20131101,9.818,9.885,9.782,9.827,52451,0
20131104,9.871,9.906,9.835,9.842,70693,0
20131105,9.909,9.967,9.785,9.967,112307,0
20131106,9.942,10.108,9.903,10.011,146382,0
20131107,9.876,10.005,9.846,9.978,176629,0
20131108,9.908,9.966,9.726,9.783,227443,0
20131111,9.78,9.978,9.738,9.952,176317,0
20131112,10.024,10.024,9.753,9.76,134611,0
20131113,9.804,9.893,9.645,9.685,147514,0
20131114,9.685,9.927,9.685,9.869,176003,0
20131115,9.82,9.884,9.815,9.824,43950,0
20131118,9.791,9.876,9.712,9.726,218010,0
20131119,9.726,9.753,9.66,9.694,93937,0
20131120,9.67,9.783,9.538,9.67,165275,0
20131121,9.577,9.846,9.572,9.641,224080,0
20131122,9.645,9.694,9.562,9.597,122691,0
20131125,9.602,9.602,9.4628,9.502,266010,0
20131126,9.4856,9.66,9.4856,9.602,153771,0
20131127,9.602,9.623,9.551,9.607,126578,0
20131129,9.577,9.775,9.577,9.719,79417,0
20131202,9.651,9.81,9.551,9.685,143504,0
20131203,9.783,9.815,9.634,9.694,198078,0
20131204,9.651,9.796,9.572,9.67,164511,0
20131205,9.67,9.796,9.629,9.665,235425,0
20131206,9.719,9.983,9.677,9.952,282205,0
20131209,9.939,9.947,9.775,9.78,128287,0
20131210,9.765,9.927,9.765,9.815,147448,0
20131211,9.815,10.108,9.815,9.991,255632,0
20131212,10.159,10.159,9.89,10.06,220433,0
20131213,10.155,10.155,9.976,10.118,93394,0
20131216,10.079,10.159,10.049,10.118,95193,0
20131217,10.065,10.171,9.929,9.987,218264,0
20131218,9.968,10.138,9.941,10.049,293450,0
20131219,9.999,10.112,9.968,10.06,129541,0
20131220,10.049,10.106,9.945,10.03,430735,0
20131223,9.968,10.248,9.925,10.151,399909,0
20131224,10.19,10.295,10.155,10.248,153146,0
20131226,10.234,10.316,10.118,10.166,335133,0
20131227,10.143,10.25,10.143,10.166,112045,0
20131230,10.204,10.23,10.009,10.026,388637,0
20131231,10.049,10.143,9.922,10.095,657198,0
20140102,10.079,10.157,10.079,10.124,54677,0
20140103,10.21,10.239,10.143,10.179,64137,0
20140106,10.199,10.255,10.166,10.172,139873,0
20140107,10.199,10.266,10.143,10.261,123805,0
20140108,10.234,10.298,10.218,10.255,240822,0
20140109,10.283,10.377,10.262,10.365,123716,0
