Date,Open,High,Low,Close,Volume,OpenInt
20100823,9.804,9.922,9.746,9.804,7420,0
20100824,9.571,10.059,9.2283,10,26766,0
20100825,9.4051,10.382,9.0423,10.382,9127,0
20100826,10.392,10.412,10.059,10.136,13829,0
20100827,10.216,10.392,10.117,10.392,5717,0
20100830,10.382,10.519,10.216,10.216,19433,0
20100831,10.412,10.412,10.265,10.343,11404,0
20100901,10.499,10.801,10.499,10.714,5010,0
20100902,10.559,10.948,10.559,10.84,21254,0
20100903,11.036,11.164,10.559,11.154,36374,0
20100907,11.046,11.046,10.831,10.88,13239,0
20100908,10.958,11.22,10.831,11.036,134170,0
20100909,11.201,11.27,10.976,11.24,227344,0
20100910,11.174,11.42,11.124,11.31,38475,0
20100913,11.555,11.633,11.32,11.595,145790,0
20100914,11.623,11.623,11.38,11.438,7067,0
20100915,11.36,11.38,11.174,11.23,7073,0
20100916,11.154,11.154,10.742,10.89,8973,0
20100917,10.948,10.986,10.772,10.948,7161,0
20100920,11.29,11.885,11.24,11.791,88099,0
20100921,11.848,11.954,11.604,11.741,66207,0
20100922,11.701,11.781,11.26,11.3,52885,0
20100923,11.24,11.526,11.085,11.134,65511,0
20100924,11.36,11.681,11.36,11.672,14479,0
20100927,11.811,11.894,11.595,11.848,9383,0
20100928,11.875,12.062,11.681,12.062,11844,0
20100929,12.003,12.013,11.811,11.821,24609,0
20100930,11.993,12.062,11.831,12.042,25390,0
20101001,12.306,12.336,12.151,12.151,7880,0
20101004,12.151,12.151,11.944,12.062,5870,0
20101005,12.19,12.336,11.974,12.238,14571,0
20101006,12.306,12.306,11.954,11.954,41833,0
20101007,12.032,12.032,11.831,11.894,10641,0
20101008,11.964,12.682,11.924,12.466,99338,0
20101011,12.554,12.843,12.485,12.642,21483,0
20101012,12.515,12.709,12.229,12.709,57696,0
20101013,12.652,12.709,12.366,12.396,35772,0
20101014,12.376,12.882,12.326,12.803,44894,0
20101015,12.525,12.545,12.111,12.16,19404,0
20101018,12.121,12.121,11.771,11.934,23373,0
20101019,11.811,12.2,11.614,11.633,39568,0
20101020,11.555,11.595,11.22,11.37,80591,0
20101021,11.488,11.791,11.488,11.663,13503,0
20101022,11.761,11.761,11.681,11.711,6035,0
20101025,11.781,12.003,11.781,11.904,23913,0
20101026,11.701,11.885,11.701,11.821,9217,0
20101027,11.771,11.831,11.595,11.791,19553,0
20101028,11.801,11.801,11.507,11.585,15526,0
20101029,11.585,11.653,11.488,11.653,32365,0
20101101,11.633,11.781,11.507,11.672,25516,0
20101102,11.781,12.803,11.731,12.803,44469,0
20101103,12.709,12.709,12.2,12.396,11527,0
20101104,12.652,12.892,12.276,12.803,24134,0
20101105,12.941,12.941,12.727,12.911,16703,0
20101108,12.911,13.177,12.862,13.127,13435,0
20101109,13.187,13.216,12.813,13.048,37679,0
20101110,12.98,13.197,12.97,13.167,3172,0
20101111,13.127,13.306,13.127,13.207,7132,0
20101112,13.098,13.137,12.755,12.872,4909,0
20101115,12.882,12.882,12.709,12.709,5049,0
20101116,12.642,12.691,12.495,12.662,7331,0
20101117,12.525,12.662,12.238,12.238,29937,0
20101118,12.709,12.709,12.416,12.426,2496,0
20101119,12.326,12.436,12.2,12.346,3232,0
20101122,12.258,12.296,11.934,12.111,27268,0
20101123,12.386,12.406,11.731,11.791,18307,0
20101124,11.885,12.21,11.885,12.081,2625,0
20101126,11.924,11.924,11.924,11.924,2785,0
20101129,11.831,12.052,11.791,11.848,40393,0
20101130,11.848,12.121,11.848,12.121,27478,0
20101201,12.151,12.709,12.151,12.709,37343,0
20101202,12.622,13.869,12.622,13.541,38848,0
20101203,13.404,13.928,13.404,13.928,23905,0
20101206,13.918,14.066,13.86,14.066,5696,0
20101207,14.225,14.516,14.215,14.215,18560,0
20101208,14.185,14.265,13.909,14.265,14644,0
20101209,14.265,14.381,14.096,14.352,8894,0
20101210,14.255,14.516,14.215,14.469,34561,0
20101213,14.575,14.575,14.294,14.332,27612,0
20101214,14.469,14.469,13.928,13.928,17516,0
20101215,14.026,14.274,13.59,13.59,97034,0
20101216,14.175,14.175,13.648,13.658,46954,0
20101217,13.792,14.026,13.752,13.889,57751,0
20101220,14.066,14.674,13.918,14.614,145418,0
20101221,14.712,14.78,14.4,14.78,77081,0
20101222,14.78,15.3,14.525,15.27,81236,0
20101223,15.453,15.453,14.565,14.644,63769,0
20101227,14.644,15.046,14.594,15.026,36387,0
20101228,14.996,14.996,14.731,14.828,80231,0
20101229,14.77,15.066,14.77,14.957,35468,0
20101230,14.868,15.076,14.868,15.006,32454,0
20101231,15.006,15.26,15.006,15.222,85945,0
20110103,15.365,15.572,15.329,15.404,19057,0
20110104,15.582,15.582,14.76,14.76,52198,0
20110105,14.751,15.384,14.751,15.31,32158,0
20110106,15.251,15.562,15.143,15.347,30136,0
20110107,15.532,15.935,15.482,15.622,74011,0
20110110,15.602,15.602,15.095,15.095,30214,0
20110111,15.365,16.735,15.365,16.209,130368,0
20110112,16.296,16.558,16.112,16.54,60242,0
20110113,16.655,16.655,16.247,16.326,9705,0
20110114,16.326,16.804,16.326,16.764,14188,0
20110118,16.764,16.814,16.364,16.645,9739,0
20110119,16.754,16.754,15.985,16.022,33018,0
20110120,15.945,16.472,15.945,15.975,30071,0
20110121,16.132,16.199,15.688,15.797,23914,0
20110124,15.797,16.122,15.708,15.915,50368,0
20110125,15.975,16.266,15.602,15.876,35226,0
20110126,15.896,16.558,15.896,16.383,31202,0
20110127,16.354,16.675,15.866,16.326,25210,0
20110128,16.354,16.402,15.837,15.896,28746,0
20110131,15.955,16.032,15.512,15.512,69633,0
20110201,15.747,16.189,15.747,16.142,28395,0
20110202,16.003,16.042,15.678,15.886,42905,0
20110203,15.777,15.935,15.602,15.905,19436,0
20110204,15.847,15.847,15.572,15.688,28299,0
20110207,15.827,16.209,15.787,15.807,44617,0
20110208,15.915,16.482,15.896,16.442,55216,0
20110209,16.335,17.01,16.335,16.675,33415,0
20110210,16.472,16.665,16.402,16.53,35163,0
20110211,16.472,16.774,16.238,16.635,32874,0
20110214,16.568,16.568,16.179,16.316,33114,0
20110215,16.189,16.374,16.122,16.152,34600,0
20110216,16.354,16.745,16.152,16.472,21173,0
20110218,16.873,16.962,16.578,16.645,14695,0
20110222,16.53,16.53,15.737,15.847,22527,0
20110223,15.896,16.344,15.066,15.718,40954,0
20110224,15.552,16.022,15.27,15.847,40004,0
20110225,15.915,16.171,15.757,16.171,18490,0
20110228,16.374,16.374,15.915,16.042,22621,0
20110301,16.082,16.152,15.542,15.737,11524,0
20110302,15.757,16.171,15.737,16.042,13298,0
20110303,16.257,16.374,15.915,16.219,10853,0
20110304,16.122,16.132,15.64,15.718,20224,0
20110307,15.797,15.856,15.356,15.443,11763,0
20110308,15.32,16.132,15.32,16.042,16033,0
20110309,16.003,16.179,15.925,16.179,9212,0
20110310,15.925,15.985,15.737,15.737,19605,0
20110311,15.659,15.728,15.622,15.728,4246,0
20110314,15.572,15.688,15.28,15.374,10455,0
20110315,15.056,15.678,14.868,15.632,20765,0
20110316,15.542,15.542,15.123,15.212,20968,0
20110317,15.622,15.622,15.173,15.242,40012,0
20110318,15.522,15.668,15.27,15.512,7575,0
20110321,15.668,15.688,15.433,15.582,8634,0
20110322,15.572,15.572,15.27,15.329,3377,0
20110323,15.32,15.463,15.143,15.384,30302,0
20110324,15.384,15.632,15.123,15.472,15720,0
20110325,15.582,15.777,15.512,15.728,12072,0
20110328,15.718,15.905,15.463,15.463,12115,0
20110329,15.242,15.443,14.664,14.966,17006,0
20110330,14.76,14.957,14.265,14.313,68788,0
20110331,14.274,14.654,14.235,14.342,44552,0
20110401,14.4,14.809,14.361,14.477,10821,0
20110404,14.477,14.555,14.255,14.323,13436,0
20110405,14.225,14.594,13.909,14.439,46379,0
20110406,14.4,14.459,14.235,14.429,10435,0
20110407,14.419,14.674,14.391,14.516,7166,0
20110408,14.525,14.76,14.381,14.496,4099,0
20110411,14.477,14.477,14.205,14.255,18485,0
20110412,14.255,14.486,14.255,14.274,31055,0
20110413,14.294,14.342,14.066,14.165,37546,0
20110414,14.165,14.225,14.076,14.215,27345,0
20110415,14.255,14.486,14.215,14.419,5983,0
20110418,14.371,14.439,14.165,14.304,40157,0
20110419,14.274,14.741,14.274,14.535,26433,0
20110420,14.712,15.006,14.692,14.79,18472,0
20110421,14.828,14.957,14.535,14.644,14627,0
20110425,14.565,15.026,14.555,14.878,18293,0
20110426,14.898,15.046,14.828,14.878,10435,0
20110427,14.917,14.976,14.731,14.917,9972,0
20110428,14.828,14.957,14.751,14.848,68206,0
20110429,14.848,15.105,14.848,14.917,7073,0
20110502,15.006,15.006,14.323,14.332,14220,0
20110503,14.361,14.429,14.116,14.429,66932,0
20110504,14.381,14.516,14.313,14.516,4120,0
20110505,14.496,14.858,14.4,14.702,7065,0
20110506,14.828,14.878,14.555,14.624,21289,0
20110509,14.565,14.565,14.342,14.371,11182,0
20110510,14.361,14.664,14.342,14.535,8210,0
