Date,Open,High,Low,Close,Volume,OpenInt
20180926,9.53,9.53,9.48,9.5,83400,0
20180927,9.53,9.53,9.51,9.52,75915,0
20181001,9.53,9.53,9.51,9.5201,1468800,0
20181003,9.56,9.56,9.51,9.5227,600,0
20181004,9.52,9.54,9.51,9.53,607200,0
20181005,9.6,9.6,9.55,9.55,2800,0
20181008,9.53,9.53,9.52,9.52,33500,0
20181009,9.51,9.53,9.5001,9.52,15100,0
20181010,9.51,9.54,9.45,9.5268,41142,0
20181011,9.6,9.6,9.53,9.53,5400,0
20181012,9.5,9.54,9.5,9.54,51509,0
20181015,9.53,9.53,9.53,9.53,10284,0
20181016,9.5,9.54,9.5,9.54,757,0
20181019,9.52,9.54,9.52,9.54,7350,0
20181022,9.54,9.54,9.53,9.53,32727,0
20181023,9.5199,9.52,9.5199,9.5199,2150,0
20181024,9.54,9.54,9.5,9.53,114500,0
20181025,9.54,9.54,9.53,9.53,3200,0
20181026,9.53,9.53,9.5,9.5,272104,0
20181030,9.5299,9.53,9.52,9.52,250500,0
20181031,9.53,9.53,9.53,9.53,1600,0
20181101,9.5336,9.54,9.5281,9.54,9217,0
20181102,9.5248,9.54,9.5248,9.53,136502,0
20181108,9.53,9.53,9.53,9.53,2650,0
20181114,9.6,9.65,9.6,9.65,60962,0
20181116,9.65,9.65,9.65,9.65,5300,0
20181119,9.56,9.58,9.56,9.57,108250,0
20181120,9.6,9.6,9.56,9.56,200000,0
20181129,9.7,9.7,9.69,9.69,150100,0
20181207,9.6826,9.6826,9.67,9.67,1003,0
20181211,9.69,9.69,9.69,9.69,300,0
20181212,9.69,9.75,9.682,9.69,21310,0
20181219,9.6761,9.7,9.6761,9.6858,23600,0
20181220,9.62,9.62,9.62,9.62,2601,0
20181221,9.7,9.7,9.7,9.7,605,0
20181224,9.7,9.7,9.6712,9.7,56550,0
20181226,9.72,9.72,9.68,9.72,10026,0
20181227,9.72,9.72,9.72,9.72,100,0
20181228,9.72,9.72,9.7,9.7,260,0
20181231,9.6971,9.7,9.6971,9.7,6100,0
20190102,9.61,9.7,9.61,9.7,1035,0
20190103,9.72,9.72,9.72,9.72,100,0
20190104,9.67,9.7199,9.67,9.7199,1900,0
20190107,9.71,9.72,9.71,9.72,1048,0
20190108,9.72,9.72,9.6672,9.6672,425,0
20190109,9.72,9.72,9.72,9.72,100,0
20190110,9.71,9.72,9.71,9.72,160187,0
20190111,9.74,9.74,9.7267,9.74,19800,0
20190114,9.74,9.78,9.6961,9.77,78818,0
20190115,9.78,9.78,9.71,9.74,534,0
20190117,9.71,9.72,9.71,9.72,200100,0
20190128,9.7799,9.79,9.71,9.77,354724,0
20190129,9.8,9.85,9.8,9.85,120200,0
20190130,9.85,9.85,9.85,9.85,100,0
20190131,9.85,9.9,9.85,9.85,212278,0
20190204,9.85,9.871,9.85,9.87,212202,0
