Date,Open,High,Low,Close,Volume,OpenInt
20050225,8.7391,8.8293,8.7267,8.8108,31562,0
20050228,8.8164,8.8851,8.8164,8.8391,13241,0
20050301,8.8549,8.8549,8.8293,8.8549,8821,0
20050302,8.8783,8.8783,8.8391,8.8549,7639,0
20050303,8.8744,8.8783,8.8438,8.8744,10518,0
20050304,8.9086,8.9306,8.9086,8.9306,10009,0
20050307,8.8906,8.9389,8.8851,8.9389,4077,0
20050308,8.9494,8.9997,8.9389,8.9881,18671,0
20050309,8.9761,8.9761,8.8549,8.869,17645,0
20050310,8.8549,8.8614,8.8043,8.8391,26133,0
20050311,8.8164,8.8293,8.7088,8.7391,6445,0
20050314,8.6525,8.7602,8.6219,8.6634,34797,0
20050315,8.6219,8.6418,8.5321,8.5321,13920,0
20050316,8.536,8.5744,8.4928,8.5424,28344,0
20050317,8.5614,8.5771,8.497,8.497,27999,0
20050318,8.4928,8.519,8.4747,8.5035,18167,0
20050321,8.5035,8.5424,8.497,8.497,24945,0
20050322,8.4928,8.4928,8.4928,8.4928,1202,0
20050323,8.4621,8.5063,8.3874,8.3936,17142,0
20050324,8.3672,8.4131,8.31,8.3831,20366,0
20050328,8.4131,8.497,8.3507,8.4131,18671,0
20050329,8.3936,8.4272,8.3563,8.3606,27158,0
20050330,8.3563,8.4272,8.3433,8.4131,10349,0
20050331,8.4747,8.5844,8.4621,8.5035,26303,0
20050401,8.5125,8.6097,8.4825,8.5321,16467,0
20050404,8.4825,8.5844,8.4825,8.5614,12903,0
20050405,8.5899,8.7015,8.5899,8.7015,2890,0
20050406,8.7088,8.7088,8.6713,8.6951,14080,0
20050407,8.6677,8.7336,8.6677,8.7336,15612,0
20050408,8.7602,8.7602,8.6713,8.6876,14254,0
20050411,8.7088,8.7336,8.6876,8.7142,3904,0
20050412,8.7267,8.7267,8.6097,8.6841,26810,0
20050413,8.6951,8.7602,8.6525,8.6525,6961,0
20050414,8.6525,8.6677,8.5899,8.6153,15100,0
