Date,Open,High,Low,Close,Volume,OpenInt
20050225,3.3404,3.3705,3.3404,3.3654,90905,0
20050228,3.3605,3.3705,3.3553,3.3553,153532,0
20050301,3.3553,3.3654,3.3501,3.3605,147013,0
20050302,3.3452,3.3605,3.3404,3.3452,74102,0
20050303,3.3452,3.3605,3.3351,3.3351,195232,0
20050304,3.33,3.3605,3.33,3.3605,297972,0
20050307,3.3501,3.3654,3.3501,3.3553,231975,0
20050308,3.3553,3.3605,3.3351,3.3404,104527,0
20050309,3.3404,3.3404,3.3001,3.315,464348,0
20050310,3.3001,3.315,3.2946,3.315,317545,0
20050311,3.3099,3.315,3.3044,3.3099,373461,0
20050314,3.3044,3.3099,3.2846,3.3001,344607,0
20050315,3.3044,3.3099,3.2792,3.2792,382159,0
20050316,3.2846,3.2895,3.2792,3.2846,179225,0
20050317,3.3099,3.3099,3.2745,3.2846,139297,0
20050318,3.3044,3.3044,3.2591,3.2792,78848,0
20050321,3.2643,3.2792,3.2591,3.2693,186335,0
20050322,3.2693,3.3001,3.2693,3.2895,210440,0
20050323,3.2846,3.2846,3.2339,3.2537,312797,0
20050324,3.2389,3.2792,3.2241,3.2495,154518,0
20050328,3.2495,3.2745,3.2389,3.2537,135938,0
20050329,3.2495,3.2591,3.2289,3.2389,175856,0
20050330,3.2289,3.2745,3.2289,3.2693,224079,0
20050331,3.2591,3.3001,3.2591,3.2792,169534,0
20050401,3.3044,3.315,3.2792,3.2946,214791,0
20050404,3.2792,3.33,3.2792,3.315,165393,0
20050405,3.3044,3.3404,3.2745,3.2846,132979,0
20050406,3.2792,3.3044,3.2693,3.3001,135938,0
20050407,3.2895,3.315,3.2895,3.3001,101762,0
20050408,3.2895,3.3001,3.2846,3.2846,204509,0
20050411,3.2846,3.3044,3.2745,3.2745,518692,0
20050412,3.2591,3.2946,3.2537,3.2745,146813,0
20050413,3.2895,3.2946,3.2693,3.2792,137732,0
20050414,3.2693,3.2792,3.2537,3.2591,148001,0
20050415,3.2643,3.3001,3.2537,3.2745,130614,0
20050418,3.2792,3.3044,3.2792,3.2946,118356,0
20050419,3.2693,3.3044,3.2693,3.3044,199780,0
20050420,3.2946,3.3099,3.2846,3.2946,146813,0
20050421,3.2693,3.3001,3.2693,3.2745,473040,0
20050422,3.2792,3.3044,3.2745,3.3001,127253,0
20050425,3.3044,3.33,3.3001,3.33,115986,0
20050426,3.3254,3.33,3.3196,3.3254,168946,0
20050427,3.315,3.3351,3.315,3.33,201742,0
20050428,3.3254,3.3404,3.3196,3.3404,224468,0
20050429,3.3254,3.3351,3.3196,3.3196,119347,0
20050502,3.3196,3.3452,3.3196,3.33,91087,0
20050503,3.33,3.3501,3.33,3.3404,93261,0
20050504,3.33,3.3501,3.33,3.3351,79635,0
20050505,3.3605,3.3654,3.3351,3.3501,81011,0
20050506,3.3404,3.3452,3.3351,3.3351,56321,0
20050509,3.3351,3.3501,3.3351,3.3404,68771,0
20050510,3.3404,3.3553,3.315,3.3351,194237,0
20050511,3.3196,3.3553,3.3196,3.3404,159462,0
20050512,3.3404,3.3501,3.3351,3.3404,169941,0
20050513,3.3404,3.3605,3.3404,3.3501,166975,0
20050516,3.3501,3.3654,3.3452,3.3501,182183,0
20050517,3.3501,3.3654,3.3452,3.3654,189683,0
20050518,3.3553,3.3852,3.3553,3.3705,61251,0
20050519,3.3605,3.3705,3.3605,3.3605,94851,0
20050520,3.3605,3.3812,3.3605,3.3654,59673,0
20050523,3.3605,3.3852,3.3605,3.3757,73902,0
20050524,3.3705,3.3909,3.3605,3.3812,139502,0
20050525,3.3852,3.3909,3.3705,3.3812,72904,0
20050526,3.3812,3.3909,3.3757,3.3852,33390,0
20050527,3.3757,3.3909,3.3757,3.3909,36558,0
20050531,3.3812,3.401,3.3812,3.3852,96028,0
20050601,3.3909,3.4105,3.3852,3.401,152540,0
20050602,3.3909,3.4061,3.3812,3.401,146422,0
20050603,3.3956,3.4105,3.3956,3.4061,101971,0
20050606,3.3956,3.4061,3.3852,3.4061,87935,0
20050607,3.3956,3.4105,3.3909,3.401,79231,0
20050608,3.4061,3.4061,3.3909,3.3909,112440,0
20050609,3.3757,3.3852,3.3654,3.3705,101173,0
20050610,3.3404,3.3757,3.3404,3.3654,41297,0
20050613,3.3501,3.3605,3.3196,3.3196,165191,0
20050614,3.33,3.3605,3.3099,3.33,270897,0
20050615,3.3553,3.3553,3.3196,3.3501,158669,0
20050616,3.33,3.3501,3.33,3.3501,53154,0
20050617,3.3501,3.3553,3.33,3.3452,146221,0
20050620,3.3404,3.3404,3.3196,3.3254,111645,0
20050621,3.33,3.3404,3.3196,3.33,241074,0
20050622,3.3351,3.3553,3.3351,3.3404,139297,0
20050623,3.3501,3.3553,3.3404,3.3404,117761,0
20050624,3.33,3.3605,3.33,3.3501,141479,0
20050627,3.3452,3.3757,3.3452,3.3757,125276,0
20050628,3.3654,3.3812,3.3605,3.3605,90102,0
20050629,3.3705,3.3852,3.3605,3.3705,82001,0
20050630,3.3654,3.3852,3.3654,3.3757,102747,0
20050701,3.3705,3.3757,3.3654,3.3705,62838,0
20050705,3.3757,3.3909,3.3705,3.3852,60264,0
20050706,3.3852,3.3909,3.3654,3.3852,34979,0
20050707,3.3956,3.3956,3.3757,3.3812,78848,0
20050708,3.3605,3.3909,3.3605,3.3812,49603,0
20050711,3.3757,3.3852,3.3654,3.3654,66196,0
20050712,3.3654,3.3812,3.3654,3.3757,94447,0
20050713,3.3705,3.3909,3.3654,3.3812,149573,0
20050714,3.3812,3.3909,3.3654,3.3654,152750,0
20050715,3.3501,3.3812,3.3501,3.3705,97018,0
20050718,3.3705,3.3956,3.3705,3.3812,113420,0
20050719,3.3654,3.3909,3.3501,3.3852,82987,0
20050720,3.3501,3.3852,3.3501,3.3852,74300,0
20050721,3.3852,3.3852,3.3605,3.3812,80029,0
20050722,3.3605,3.3812,3.3452,3.3654,208271,0
20050725,3.3501,3.3705,3.3452,3.3605,37934,0
20050726,3.3654,3.3654,3.3404,3.3501,59873,0
20050727,3.3452,3.3605,3.3452,3.3553,99192,0
20050728,3.3654,3.3812,3.3404,3.3705,83188,0
20050729,3.3757,3.3757,3.3553,3.3553,89901,0
20050801,3.3605,3.3757,3.3553,3.3705,89708,0
20050802,3.3705,3.3757,3.3605,3.3757,96218,0
20050803,3.3705,3.3705,3.3553,3.3705,35765,0
20050804,3.3757,3.3757,3.3605,3.3654,62047,0
20050805,3.3553,3.3705,3.3501,3.3501,203909,0
20050808,3.3654,3.3705,3.3452,3.3605,71329,0
20050809,3.3452,3.3705,3.3452,3.3553,128439,0
20050810,3.3705,3.3705,3.3404,3.3404,76465,0
20050811,3.3404,3.3501,3.3404,3.3452,88721,0
20050812,3.3501,3.3705,3.3404,3.3452,121136,0
20050815,3.3553,3.3654,3.3404,3.3501,64615,0
20050816,3.3654,3.3705,3.3452,3.3654,70544,0
20050817,3.3501,3.3654,3.3404,3.3452,76867,0
20050818,3.3404,3.3553,3.3404,3.3553,62633,0
20050819,3.3501,3.3553,3.3452,3.3452,82001,0
20050822,3.3501,3.3553,3.3404,3.3553,119742,0
20050823,3.3605,3.3605,3.3452,3.3605,76867,0
20050824,3.3452,3.3757,3.3452,3.3501,114215,0
20050825,3.3501,3.3757,3.3501,3.3654,60264,0
20050826,3.3605,3.3757,3.3605,3.3605,91678,0
20050829,3.3553,3.3852,3.3553,3.3605,130811,0
20050830,3.3553,3.3852,3.3553,3.3553,119742,0
20050831,3.3757,3.3909,3.3605,3.3757,81011,0
20050901,3.3553,3.3812,3.3553,3.3705,92868,0
20050902,3.3705,3.3852,3.3605,3.3812,58484,0
20050906,3.3654,3.3956,3.3605,3.3812,84370,0
20050907,3.3909,3.3909,3.3553,3.3654,73500,0
20050908,3.3654,3.3852,3.3654,3.3812,44263,0
20050909,3.3705,3.3852,3.3705,3.3812,75882,0
20050912,3.3705,3.3852,3.3705,3.3705,65211,0
20050913,3.3705,3.3812,3.3654,3.3757,98206,0
20050914,3.3705,3.3852,3.3553,3.3605,110653,0
20050915,3.3757,3.3757,3.3501,3.3553,82589,0
20050916,3.3553,3.3605,3.3501,3.3553,93659,0
20050919,3.3501,3.3757,3.3404,3.3404,140882,0
20050920,3.3351,3.3605,3.3351,3.3501,37545,0
20050921,3.3404,3.3757,3.3404,3.3757,58484,0
20050922,3.3757,3.3757,3.3553,3.3705,74102,0
20050923,3.3705,3.3757,3.3553,3.3605,59673,0
20050926,3.3605,3.3812,3.3501,3.3501,82987,0
20050927,3.3501,3.3757,3.3501,3.3553,60465,0
20050928,3.3501,3.3852,3.3501,3.3705,89311,0
20050929,3.3757,3.3757,3.3553,3.3705,62437,0
20050930,3.3757,3.3812,3.3605,3.3757,76663,0
20051003,3.3705,3.3812,3.3553,3.3605,136147,0
20051004,3.3852,3.3852,3.3605,3.3654,58484,0
20051005,3.3852,3.3852,3.3553,3.3605,65600,0
20051006,3.3553,3.3605,3.3501,3.3553,79832,0
20051007,3.3501,3.3553,3.3452,3.3452,44650,0
20051010,3.3605,3.3705,3.3501,3.3605,31620,0
20051011,3.3404,3.3553,3.33,3.3351,63228,0
20051012,3.33,3.3501,3.2495,3.2495,169534,0
20051013,3.2438,3.315,3.2438,3.2745,93466,0
20051014,3.2745,3.3099,3.2591,3.2846,44263,0
20051017,3.2745,3.3404,3.2745,3.2895,136342,0
20051018,3.2895,3.2895,3.2438,3.2591,132389,0
20051019,3.2591,3.2846,3.2537,3.2643,67582,0
20051020,3.2495,3.2792,3.2339,3.2591,53939,0
20051021,3.2389,3.2792,3.2389,3.2591,218149,0
20051024,3.2693,3.3044,3.2693,3.2846,79038,0
20051025,3.2693,3.2846,3.2438,3.2591,82202,0
20051026,3.2389,3.2792,3.2389,3.2537,92868,0
20051027,3.2693,3.2745,3.2438,3.2643,93261,0
20051028,3.2591,3.2895,3.2591,3.2591,101762,0
20051031,3.2792,3.3044,3.2643,3.2643,52953,0
20051101,3.2643,3.2846,3.2591,3.2643,80029,0
20051102,3.2846,3.3099,3.2643,3.2745,74695,0
20051103,3.2745,3.3001,3.2693,3.2792,74300,0
20051104,3.2693,3.2895,3.2495,3.2895,91492,0
20051107,3.2693,3.2895,3.2495,3.2495,88329,0
20051108,3.2495,3.3044,3.2495,3.3044,81409,0
20051109,3.2643,3.2846,3.2495,3.2495,75479,0
20051110,3.2241,3.2591,3.2241,3.2495,91678,0
20051111,3.2438,3.2591,3.2088,3.2339,238102,0
20051114,3.2241,3.2389,3.2186,3.2241,72521,0
20051115,3.2591,3.2591,3.2186,3.2186,147604,0
20051116,3.2186,3.2438,3.2135,3.2289,97611,0
20051117,3.2241,3.2537,3.2186,3.2339,89507,0
20051118,3.2339,3.2537,3.2241,3.2537,61452,0
20051121,3.2289,3.2537,3.2289,3.2389,68570,0
20051122,3.2438,3.2495,3.2339,3.2339,412582,0
20051123,3.2289,3.2438,3.2289,3.2438,943719,0
20051125,3.2389,3.2495,3.2389,3.2438,242256,0
20051128,3.2389,3.2537,3.2289,3.2389,324063,0
20051129,3.2241,3.2643,3.2241,3.2289,457433,0
20051130,3.2289,3.2495,3.2289,3.2339,346386,0
20051201,3.2241,3.2438,3.2186,3.2241,241074,0
20051202,3.2339,3.2438,3.2088,3.2186,458417,0
20051205,3.2035,3.2289,3.2035,3.2241,111439,0
20051206,3.2289,3.2339,3.2135,3.2241,423850,0
20051207,3.2186,3.2289,3.2135,3.2186,184558,0
20051208,3.2135,3.2289,3.2135,3.2241,132979,0
20051209,3.2088,3.2389,3.2088,3.2241,208463,0
20051212,3.2186,3.2591,3.2186,3.2389,196413,0
20051213,3.2186,3.2495,3.2186,3.2289,187327,0
20051214,3.2135,3.2537,3.2135,3.2289,138910,0
20051215,3.2186,3.2591,3.2135,3.2339,102154,0
20051216,3.2186,3.2537,3.2186,3.2438,162609,0
20051219,3.2241,3.2495,3.2241,3.2339,65402,0
20051220,3.2186,3.2537,3.2186,3.2537,174083,0
20051221,3.2389,3.2495,3.2389,3.2438,130413,0
20051222,3.2241,3.2495,3.2241,3.2438,290277,0
20051223,3.2339,3.2591,3.2339,3.2495,116181,0
20051227,3.2495,3.2643,3.2438,3.2438,109671,0
20051228,3.2438,3.2693,3.2389,3.2591,93261,0
20051229,3.2495,3.2895,3.2495,3.2792,87538,0
20051230,3.2846,3.2895,3.2495,3.2895,128439,0
20060103,3.2643,3.2895,3.2643,3.2745,63427,0
20060104,3.2745,3.3001,3.2745,3.2946,66985,0
20060105,3.3001,3.3254,3.2846,3.315,72121,0
20060106,3.3044,3.3452,3.3044,3.3351,62437,0
20060109,3.3196,3.3501,3.2792,3.315,87344,0
20060110,3.2946,3.3404,3.2946,3.3404,67184,0
20060111,3.3001,3.3553,3.3001,3.3501,134366,0
20060112,3.3501,3.3501,3.3254,3.3351,77655,0
20060113,3.3196,3.3452,3.3196,3.3452,32599,0
20060117,3.33,3.3553,3.3196,3.3452,90905,0
20060118,3.3196,3.3553,3.3196,3.3404,95832,0
20060119,3.33,3.3501,3.315,3.33,74492,0
20060120,3.3452,3.3553,3.3196,3.3254,66594,0
20060123,3.3196,3.3452,3.2895,3.3001,113219,0
20060124,3.2895,3.315,3.2895,3.3044,81011,0
20060125,3.2846,3.315,3.2846,3.3001,112825,0
20060126,3.2895,3.3351,3.2895,3.3196,68771,0
20060127,3.3044,3.315,3.2895,3.2895,111244,0
20060130,3.2946,3.3099,3.2895,3.2946,72121,0
20060131,3.3001,3.315,3.2946,3.3044,73108,0
20060201,3.2895,3.315,3.2643,3.2693,89901,0
20060202,3.2495,3.2895,3.2495,3.2745,92473,0
20060203,3.2745,3.2895,3.2495,3.2693,54535,0
20060206,3.3001,3.315,3.2693,3.2792,40110,0
20060207,3.3044,3.3099,3.2693,3.2693,80622,0
20060208,3.2745,3.2946,3.2389,3.2693,204703,0
20060209,3.2438,3.2693,3.2438,3.2537,84370,0
20060210,3.2389,3.2745,3.2389,3.2693,87738,0
20060213,3.2537,3.2745,3.2537,3.2745,71535,0
20060214,3.2495,3.2846,3.2495,3.2495,51964,0
20060215,3.2495,3.2643,3.2438,3.2537,74300,0
20060216,3.2495,3.2792,3.2495,3.2792,71535,0
20060217,3.2591,3.2846,3.2537,3.2591,70938,0
20060221,3.2643,3.2846,3.2591,3.2745,96623,0
20060222,3.2591,3.2895,3.2591,3.2895,122125,0
20060223,3.2895,3.2946,3.2643,3.2792,110067,0
20060224,3.2643,3.2946,3.2643,3.2792,83395,0
20060227,3.2693,3.2946,3.2693,3.2846,99192,0
20060228,3.2745,3.2846,3.2643,3.2745,139297,0
20060301,3.2643,3.2792,3.2643,3.2693,86345,0
20060302,3.2643,3.2745,3.2438,3.2693,104527,0
20060303,3.2745,3.2792,3.2438,3.2438,123102,0
20060306,3.2495,3.2693,3.2289,3.2289,142666,0
20060307,3.2495,3.2745,3.2389,3.2438,114408,0
20060308,3.2241,3.2693,3.2241,3.2389,52159,0
20060309,3.2289,3.2591,3.2289,3.2339,32406,0
20060310,3.2339,3.2591,3.1781,3.2088,244225,0
20060313,3.2035,3.2289,3.2035,3.2289,97406,0
20060314,3.2035,3.2389,3.2035,3.2289,87935,0
20060315,3.2035,3.2389,3.2035,3.2186,72521,0
20060316,3.2186,3.2389,3.2186,3.2289,155117,0
20060317,3.2088,3.2339,3.2088,3.2241,167950,0
20060320,3.2389,3.2389,3.2241,3.2241,102547,0
20060321,3.2339,3.2389,3.2088,3.2339,211622,0
20060322,3.2135,3.2389,3.2135,3.2389,64410,0
20060323,3.2438,3.2495,3.2241,3.2289,73704,0
20060324,3.2241,3.2643,3.2241,3.2643,75281,0
20060327,3.2643,3.2643,3.2088,3.2241,209060,0
20060328,3.2088,3.2389,3.2088,3.2186,205113,0
20060329,3.2088,3.2389,3.2035,3.2339,103337,0
20060330,3.2495,3.2495,3.2135,3.2186,83188,0
20060331,3.2135,3.2438,3.2135,3.2289,94053,0
20060403,3.2186,3.2389,3.1983,3.2241,112440,0
20060404,3.2135,3.2339,3.2088,3.2088,67184,0
20060405,3.2135,3.2241,3.2088,3.2241,57503,0
20060406,3.1983,3.2339,3.1983,3.2241,46038,0
20060407,3.2035,3.2241,3.2035,3.2135,133374,0
20060410,3.2088,3.2289,3.1835,3.1935,160448,0
20060411,3.1734,3.1935,3.1734,3.1781,167563,0
20060412,3.1881,3.1935,3.168,3.1734,95238,0
20060413,3.1734,3.1781,3.1431,3.1581,197592,0
20060417,3.1781,3.1835,3.1528,3.168,251346,0
20060418,3.168,3.1835,3.1632,3.168,82589,0
20060419,3.1835,3.1835,3.1528,3.1581,79038,0
20060420,3.1581,3.1781,3.1581,3.1632,161439,0
20060421,3.1781,3.1835,3.168,3.1781,134366,0
20060424,3.168,3.1881,3.168,3.1835,182578,0
20060425,3.1881,3.2088,3.168,3.1835,71920,0
20060426,3.1835,3.1983,3.1528,3.1734,149181,0
20060427,3.168,3.1983,3.1581,3.1881,98402,0
20060428,3.1935,3.2088,3.1734,3.1881,78848,0
20060501,3.1935,3.2035,3.1881,3.1881,104127,0
20060502,3.1881,3.2035,3.1632,3.1881,68771,0
20060503,3.1581,3.1935,3.1581,3.168,59673,0
20060504,3.168,3.1935,3.168,3.1781,92268,0
20060505,3.1734,3.1935,3.168,3.1835,91289,0
20060508,3.1734,3.2035,3.168,3.1881,207472,0
20060509,3.1528,3.1781,3.1528,3.1734,72320,0
20060510,3.1581,3.1881,3.1581,3.1734,159658,0
