Date,Open,High,Low,Close,Volume,OpenInt
20151127,25,25.07,24.9,24.9,23042,0
20151130,24.89,25,24.89,24.93,230911,0
20151201,24.98,25.05,24.95,25,238160,0
20151202,25.01,25.02,24.98,25,145600,0
20151203,24.99,24.99,24.87,24.87,121013,0
20151204,24.88,24.972,24.79,24.88,63204,0
20151207,24.8,24.92,24.79,24.9,49034,0
20151208,24.7,24.85,24.7,24.796,24235,0
20151209,24.82,24.945,24.77,24.91,52542,0
20151210,24.936,24.949,24.82,24.83,39434,0
20151211,24.8,24.88,24.78,24.78,33157,0
20151214,24.42,24.719,24.12,24.12,89117,0
20151215,24.61,24.61,23.84,23.91,57262,0
20151216,23.81,24.14,23.81,24.14,45046,0
20151217,24.2,24.44,24.2,24.366,32183,0
20151218,24.35,24.35,24.04,24.267,54547,0
20151221,24.286,24.66,24.286,24.65,26745,0
20151222,24.64,24.75,24.56,24.7,42795,0
20151223,24.75,24.86,24.64,24.8,38527,0
20151224,24.8,24.84,24.77,24.8,38134,0
20151228,24.82,25.07,24.82,25.07,79970,0
20151229,25.07,25.18,25.02,25.07,67096,0
20151230,25.11,25.3,25.11,25.3,67422,0
20151231,25.35,25.35,25.01,25.17,55092,0
20160104,25,25.24,24.75,25.23,135498,0
20160105,25.24,25.4,25.21,25.27,116891,0
20160106,25.18,25.22,25,25.16,107883,0
20160107,25,25.1,24.97,25.02,80334,0
20160108,25.08,25.16,24.88,24.94,99779,0
20160111,24.97,24.98,24.85,24.94,39774,0
20160112,25,25.07,24.57,24.7,111304,0
20160113,24.75,24.82,24.14,24.35,67827,0
20160114,24.35,24.67,24.23,24.67,106164,0
20160115,24.4,24.94,24.31,24.94,787956,0
20160119,25,25,25,25,0,0
20160120,24.9,24.95,24.73,24.89,58313,0
20160121,24.95,24.96,24.37,24.58,80963,0
20160122,24.69,25.1,24.6671,25,76753,0
20160125,25.04,25.04,24.26,24.31,86670,0
20160126,24.41,24.54,23.95,24.05,99233,0
20160127,23.54,24.1899,23.51,24.13,55434,0
20160128,24.15,24.36,24.1,24.33,50488,0
20160129,24.38,24.58,24.38,24.46,19299,0
20160201,24.4,24.75,24.4,24.69,28723,0
20160202,24.66,24.75,24.6,24.75,27369,0
20160203,24.7708,24.86,24.685,24.7138,7944,0
20160204,24.82,24.9,24.73,24.75,22892,0
20160205,24.8799,24.8799,24.65,24.7,20795,0
20160208,24.8499,24.8499,23.8001,24.2,25520,0
20160209,23.8015,24.07,23.36,23.89,18747,0
20160210,23.71,24.19,23.71,23.95,20021,0
20160211,23.8,23.8,22.4501,22.5,31969,0
20160212,22.98,22.98,22.4,22.42,25194,0
20160216,22.74,23.73,22.73,23.58,33433,0
20160217,23.99,24.589,23.91,24.29,28243,0
20160218,24.1847,24.286,24.0414,24.1499,29715,0
20160219,24.22,24.71,24.15,24.51,9397,0
20160222,24.87,24.89,24.49,24.5804,16914,0
20160223,24.49,24.6266,23.83,24.25,37187,0
20160224,24.25,24.3,23.97,23.98,43129,0
20160225,24.12,24.49,24,24.49,24579,0
20160226,23.97,24.3,23.97,24.3,19487,0
20160229,24.07,24.48,23.85,24,39779,0
20160301,24.15,24.39,24.12,24.1601,26874,0
20160302,24.1865,24.2625,24.1,24.1,19679,0
20160303,24.23,24.38,24.14,24.23,26279,0
20160304,24.35,24.35,24,24.11,28358,0
20160307,24.21,24.21,23.65,23.65,54445,0
20160308,23.35,23.7228,23.35,23.6638,17751,0
20160309,23.585,23.83,23.54,23.8,32106,0
20160310,23.83,23.9504,23.76,23.857,15994,0
20160311,23.99,24.06,23.9143,24.06,14750,0
20160314,24.09,24.1399,23.85,24.06,25508,0
20160315,24.07,24.07,23.657,23.8,12562,0
20160316,23.7101,24.06,23.7101,24.06,15613,0
20160317,23.908,24.39,23.83,24.36,18633,0
20160318,24.1,24.34,24.07,24.34,30193,0
20160321,24.34,24.5,24.11,24.22,29895,0
20160322,24.43,24.46,24.25,24.3409,14502,0
20160323,24.48,24.5,24.34,24.4,18639,0
20160324,24.4767,24.68,24.4,24.54,28476,0
20160328,24.49,24.625,24.33,24.4299,15867,0
20160329,24.46,24.46,24,24.15,37476,0
20160330,24.25,24.33,24.08,24.17,43864,0
20160331,24.2799,24.2799,24.12,24.16,41000,0
20160401,24.11,24.24,23.76,23.92,30734,0
20160404,23.98,24.14,23.78,23.93,27435,0
20160405,24.09,24.2,24,24.19,12853,0
20160406,24.19,24.3,24.11,24.21,44274,0
20160407,24.21,24.47,24.0501,24.0501,23962,0
20160408,24.128,24.13,24,24,13057,0
20160411,24.17,24.455,24.0535,24.25,10006,0
20160412,24.26,24.26,24.1301,24.173,19051,0
20160413,24.2,24.615,24.1999,24.45,43596,0
20160414,24.65,24.7,24.36,24.44,79431,0
20160415,24.5,24.74,24.28,24.54,50530,0
20160418,24.5,24.703,24.35,24.4,57159,0
20160419,24.44,24.7099,24.44,24.65,21145,0
20160420,24.7199,24.7499,24.65,24.7499,32458,0
20160421,24.75,24.79,24.5301,24.69,30160,0
20160422,24.67,24.8299,24.66,24.8299,35598,0
20160425,24.85,24.8578,24.4,24.666,26853,0
20160426,24.72,24.85,24.61,24.7,42129,0
20160427,24.6301,24.7799,24.578,24.72,45071,0
20160428,24.64,24.7,24.5,24.5946,40706,0
20160429,24.5995,24.6768,24.55,24.6,56847,0
20160502,24.67,24.79,24.66,24.75,22927,0
20160503,24.66,24.7689,24.64,24.65,93123,0
20160504,24.65,24.75,24.61,24.68,37103,0
20160505,24.7,24.73,24.6,24.62,85898,0
20160506,24.66,24.81,24.62,24.67,32658,0
20160509,24.79,24.85,24.71,24.75,42823,0
20160510,24.75,24.9,24.75,24.84,66579,0
20160511,24.88,24.9898,24.85,24.94,38485,0
20160512,24.95,24.95,24.9,24.9499,40798,0
20160513,24.95,24.95,24.8101,24.89,54735,0
20160516,24.92,24.95,24.8901,24.905,62635,0
20160517,24.93,24.95,24.81,24.9,95891,0
20160518,24.95,24.99,24.77,24.88,62039,0
20160519,24.85,24.88,24.73,24.81,59098,0
20160520,24.85,24.94,24.83,24.88,80168,0
20160523,24.9,24.99,24.86,24.95,109632,0
20160524,24.9,25,24.86,24.93,60286,0
20160525,24.93,24.98,24.91,24.94,89880,0
20160526,25,25,24.95,24.9699,65977,0
20160527,24.59,24.87,24.59,24.87,93595,0
20160531,24.95,24.96,24.89,24.93,43559,0
20160601,24.96,24.99,24.9,24.94,75214,0
20160602,24.98,25,24.91,24.98,43696,0
20160603,25.01,25.11,25,25.11,97815,0
20160606,25.16,25.2,25.1,25.1337,47318,0
20160607,25.17,25.25,25.1,25.18,90866,0
20160608,25.18,25.3,25.18,25.21,43727,0
20160609,25.27,25.36,25.21,25.31,29418,0
20160610,25.27,25.33,25.25,25.25,21243,0
20160613,25.26,25.44,25.21,25.3,72851,0
20160614,25.25,25.4,25.25,25.26,23423,0
20160615,25.28,25.39,25.27,25.35,18233,0
20160616,25.38,25.5,25.14,25.24,65773,0
20160617,25.24,25.25,25.2,25.25,64763,0
20160620,25.25,25.5,25.2,25.43,79527,0
20160621,25.39,25.41,25.31,25.35,58519,0
20160622,25.37,25.47,25.37,25.45,12850,0
20160623,25.5,25.55,25.45,25.4716,27714,0
20160624,25.24,25.3,25.1101,25.25,64743,0
20160627,25.22,25.25,25.15,25.19,39471,0
20160628,25.2,25.41,25.2,25.3,43166,0
20160629,25.3796,25.5515,25.35,25.47,19177,0
20160630,25.57,25.9,25.51,25.58,47135,0
20160701,25.66,25.76,25.6,25.68,11858,0
20160705,26.24,26.24,25.48,25.57,40323,0
20160706,25.65,25.7411,25.37,25.51,38003,0
20160707,25.57,25.67,25.495,25.52,15258,0
