Date,Open,High,Low,Close,Volume,OpenInt
20050225,2.9391,2.9523,2.9391,2.9479,671042,0
20050228,2.9523,2.9573,2.9391,2.9479,667016,0
20050301,2.9391,2.9523,2.9347,2.9479,553140,0
20050302,2.9391,2.9438,2.9304,2.9391,519710,0
20050303,2.9347,2.9523,2.9347,2.9391,417647,0
20050304,2.9347,2.9479,2.9347,2.9438,410958,0
20050307,2.9479,2.9479,2.9391,2.9479,325381,0
20050308,2.9391,2.9479,2.9347,2.9479,291279,0
20050309,2.9347,2.9347,2.8892,2.9078,423440,0
20050310,2.8853,2.9078,2.8762,2.9029,758398,0
20050311,2.8892,2.8892,2.8762,2.8805,414295,0
20050314,2.8805,2.8942,2.8668,2.8853,428556,0
20050315,2.8805,2.8892,2.8629,2.872,400479,0
20050316,2.872,2.8892,2.872,2.872,636051,0
20050317,2.872,2.8853,2.8497,2.8583,548015,0
20050318,2.8583,2.8762,2.8536,2.872,453524,0
20050321,2.8536,2.8668,2.8359,2.8497,599725,0
20050322,2.8445,2.8668,2.8445,2.8536,452189,0
20050323,2.8445,2.8536,2.8269,2.8406,975470,0
20050324,2.8359,2.8445,2.8135,2.8359,633590,0
20050328,2.8445,2.8445,2.8089,2.8135,772885,0
20050329,2.8135,2.8269,2.8135,2.8269,333400,0
20050330,2.8225,2.8497,2.8225,2.8497,443498,0
20050331,2.8629,2.8668,2.8445,2.8668,482706,0
20050401,2.8629,2.8892,2.8536,2.8629,676604,0
20050404,2.8629,2.8805,2.8583,2.8668,379537,0
20050405,2.8668,2.8805,2.8583,2.872,593925,0
20050406,2.8762,2.8892,2.8668,2.872,285938,0
20050407,2.8668,2.8942,2.8629,2.8668,540879,0
20050408,2.8668,2.872,2.8536,2.8583,367510,0
20050411,2.8536,2.8805,2.8497,2.8629,387558,0
20050412,2.8042,2.8629,2.7909,2.8445,465565,0
20050413,2.8359,2.8583,2.8089,2.8317,227097,0
20050414,2.8269,2.8629,2.8225,2.8583,372175,0
20050415,2.8583,2.8629,2.8359,2.8583,253610,0
20050418,2.8445,2.8668,2.8445,2.8583,329389,0
20050419,2.8497,2.8805,2.8497,2.8805,401147,0
20050420,2.8805,2.8892,2.872,2.872,247812,0
20050421,2.872,2.8853,2.8583,2.8762,373289,0
20050422,2.872,2.9029,2.872,2.8942,410060,0
20050425,2.8942,2.9165,2.8853,2.9029,460209,0
20050426,2.9029,2.9121,2.8853,2.8892,330064,0
20050427,2.9029,2.9029,2.8853,2.8942,342769,0
20050428,2.8942,2.9121,2.8892,2.9078,259626,0
20050429,2.9029,2.9217,2.8985,2.9078,576982,0
20050502,2.9029,2.9347,2.8942,2.9217,321369,0
20050503,2.8985,2.9217,2.8985,2.9121,227763,0
20050504,2.9165,2.9391,2.8942,2.9165,304431,0
20050505,2.9165,2.9391,2.9029,2.9304,305094,0
20050506,2.9078,2.9217,2.8985,2.9121,140848,0
20050509,2.8942,2.9251,2.8942,2.9029,246480,0
20050510,2.8762,2.8942,2.8762,2.8853,313568,0
20050511,2.8805,2.9217,2.8805,2.9029,390234,0
20050512,2.8985,2.9121,2.8942,2.8985,232223,0
20050513,2.9121,2.9251,2.8985,2.9029,290831,0
20050516,2.8985,2.9391,2.8985,2.9217,371060,0
20050517,2.9304,2.9438,2.9165,2.9391,254285,0
20050518,2.9391,2.9438,2.9121,2.9165,346998,0
20050519,2.9121,2.9347,2.9121,2.9121,284597,0
20050520,2.9217,2.9347,2.8942,2.9078,397809,0
20050523,2.9078,2.9217,2.8985,2.9217,292619,0
20050524,2.9165,2.9251,2.9121,2.9165,303094,0
20050525,2.9251,2.9391,2.9165,2.9347,519038,0
20050526,2.9304,2.9391,2.9251,2.9251,253841,0
20050527,2.9251,2.9347,2.9217,2.9251,312007,0
20050531,2.9251,2.9391,2.9251,2.9304,404702,0
20050601,2.9304,2.9438,2.9304,2.9347,507899,0
20050602,2.9304,2.9391,2.9251,2.9347,287268,0
20050603,2.9304,2.9438,2.9078,2.9121,287043,0
20050606,2.9078,2.9347,2.9078,2.9347,270100,0
20050607,2.9304,2.9391,2.9251,2.9251,291947,0
20050608,2.9251,2.9304,2.9165,2.9217,299745,0
20050609,2.9078,2.9251,2.9029,2.9121,344989,0
20050610,2.9029,2.9304,2.8942,2.9078,313568,0
20050613,2.9029,2.9165,2.8985,2.9029,337635,0
20050614,2.8985,2.9078,2.8668,2.8668,353900,0
20050615,2.872,2.9078,2.872,2.8853,285699,0
20050616,2.8805,2.9121,2.8805,2.9121,382870,0
20050617,2.9121,2.9121,2.8892,2.8942,233336,0
20050620,2.8942,2.9121,2.8942,2.8942,251610,0
20050621,2.8942,2.9217,2.8942,2.9078,378196,0
20050622,2.9029,2.9304,2.9029,2.9251,313787,0
20050623,2.9304,2.9347,2.9078,2.9217,234680,0
20050624,2.9165,2.9347,2.9165,2.9217,274344,0
20050627,2.9251,2.9347,2.9217,2.9304,303533,0
