Date,Open,High,Low,Close,Volume,OpenInt
20181109,23.773,23.773,23.773,23.773,1667,0
20181112,24.124,24.124,24.124,24.124,494,0
20181115,23.831,23.831,23.831,23.831,312,0
20181116,23.861,24.054,23.861,24.05,2221,0
20181121,23.989,23.989,23.989,23.989,1026,0
20181126,24.007,24.007,24.007,24.007,928,0
20181129,24.027,24.027,24.027,24.027,3602,0
20181204,24.124,24.124,24.124,24.124,3285,0
20181206,24.201,24.201,24.201,24.201,100,0
20181207,24.24,24.24,24.22,24.22,2570,0
20181210,24.25,24.25,24.25,24.25,40,0
20181211,24.23,24.26,24.23,24.26,512,0
20181212,24.25,24.25,24.25,24.25,40,0
20181213,24.24,24.24,24.24,24.24,1,0
20181214,24.23,24.23,24.23,24.23,40,0
20181217,24.23,24.23,24.23,24.23,40,0
20181218,24.26,24.26,24.26,24.26,40,0
20181219,24.28,24.28,24.28,24.28,40,0
20181220,24.35,24.35,24.32,24.32,10271,0
20181221,24.387,24.387,24.36,24.36,10271,0
20181224,24.407,24.407,24.379,24.379,10271,0
20181226,24.407,24.407,24.379,24.379,10271,0
20181227,24.407,24.407,24.387,24.387,10263,0
20181228,24.437,24.437,24.407,24.407,10263,0
20181231,24.446,24.446,24.417,24.417,10263,0
20190102,24.446,24.446,24.417,24.417,10263,0
20190103,24.484,24.612,24.484,24.503,20379,0
20190104,24.533,24.533,24.523,24.523,10309,0
20190107,24.553,24.553,24.513,24.518,11366,0
20190108,24.493,24.513,24.465,24.47,11803,0
20190109,24.475,24.475,24.397,24.407,14396,0
20190110,24.427,24.427,24.402,24.402,10264,0
20190111,24.427,24.442,24.427,24.442,14265,0
20190114,24.446,24.446,24.442,24.442,10263,0
20190115,24.456,24.456,24.446,24.446,10263,0
20190116,24.475,24.475,24.456,24.456,10263,0
20190117,24.456,24.456,24.456,24.456,10264,0
20190118,24.475,24.475,24.456,24.456,10263,0
20190122,24.475,24.475,24.461,24.461,10777,0
20190123,24.465,24.465,24.456,24.456,12316,0
20190124,24.446,24.446,24.407,24.427,10777,0
20190125,24.446,24.446,24.407,24.427,12112,0
20190128,24.446,24.446,24.427,24.427,10263,0
20190129,24.465,24.513,24.465,24.484,29766,0
20190130,24.475,24.475,24.475,24.475,10263,0
20190131,24.513,24.543,24.513,24.513,14265,0
20190201,24.592,24.592,24.562,24.577,12177,0
20190204,24.602,24.602,24.577,24.577,10538,0
20190205,24.562,24.562,24.558,24.558,10231,0
20190206,24.562,24.562,24.548,24.558,10742,0
20190207,24.602,24.612,24.587,24.587,20492,0
20190208,24.659,24.659,24.635,24.635,10439,0
20190211,24.669,24.674,24.669,24.674,10231,0
20190212,24.679,24.679,24.674,24.674,10231,0
20190213,24.65,24.689,24.642,24.659,14324,0
20190214,24.659,24.659,24.635,24.635,10231,0
20190215,24.669,24.669,24.654,24.654,10231,0
20190219,24.699,24.724,24.699,24.724,9208,0
20190220,24.689,24.724,24.689,24.724,1381,0
20190221,24.699,24.699,24.699,24.699,610,0
20190222,24.679,24.679,24.679,24.679,1,0
20190225,24.779,24.779,24.699,24.699,1520,0
20190226,24.729,24.739,24.714,24.714,1227,0
20190227,24.744,24.744,24.744,24.744,1,0
20190228,24.719,24.749,24.719,24.734,718,0
20190301,24.718,24.718,24.714,24.714,100,0
20190304,24.699,24.699,24.699,24.699,1,0
20190305,24.699,24.699,24.699,24.699,21,0
20190306,24.704,24.704,24.704,24.704,1,0
20190307,24.749,24.759,24.729,24.729,10720,0
20190308,24.779,24.779,24.779,24.779,1,0
20190311,24.809,24.809,24.809,24.809,39,0
20190312,24.818,24.818,24.818,24.818,1,0
20190313,24.837,24.837,24.837,24.837,1,0
20190314,24.818,24.818,24.799,24.799,3411,0
20190315,24.809,24.818,24.794,24.794,968,0
20190318,24.813,24.813,24.813,24.813,1,0
20190319,24.832,24.832,24.832,24.832,1,0
20190320,24.857,24.857,24.832,24.832,1018,0
20190321,24.866,24.866,24.866,24.866,100,0
20190322,24.955,24.955,24.935,24.955,2296,0
20190325,25.018,25.018,25.018,25.018,1,0
20190326,25.038,25.038,25.038,25.038,1,0
20190327,25.047,25.047,25.047,25.047,19,0
20190328,25.085,25.085,25.085,25.085,262,0
20190329,25.07,25.07,25.07,25.07,2554,0
20190401,25.07,25.08,25.033,25.033,5095,0
20190402,25.038,25.038,25.038,25.038,1,0
20190403,25.052,25.052,25.046,25.046,5083,0
20190404,24.998,24.998,24.998,24.998,1,0
20190405,25.003,25.003,25.003,25.003,1,0
20190408,24.998,24.998,24.998,24.998,3,0
20190409,24.974,25.023,24.974,24.998,640,0
20190410,25.009,25.009,25.009,25.009,1,0
20190411,25.033,25.033,25.008,25.008,8192,0
20190412,25.038,25.042,25.018,25.018,3016,0
20190415,25.013,25.013,25.013,25.013,1,0
20190416,25.018,25.018,25.018,25.018,4,0
20190417,25.008,25.008,25.008,25.008,1,0
20190418,25.013,25.013,24.988,24.988,2020,0
20190422,25.033,25.033,25.008,25.008,1304,0
20190423,25.038,25.038,25.038,25.038,1,0
20190424,25.052,25.07,25.052,25.068,3096,0
20190425,25.065,25.065,25.065,25.065,19,0
20190426,25.109,25.199,25.097,25.129,4274,0
20190429,25.179,25.179,25.179,25.179,150,0
20190430,25.189,25.189,25.189,25.189,40,0
20190501,25.199,25.199,25.179,25.179,441,0
20190502,25.209,25.229,25.209,25.209,2361,0
20190503,25.219,25.219,25.219,25.219,147,0
20190506,25.229,25.229,25.209,25.229,2185,0
20190507,25.267,25.267,25.248,25.248,849,0
20190508,25.282,25.297,25.258,25.259,5988,0
20190509,25.307,25.307,25.307,25.307,2,0
20190510,25.307,25.346,25.307,25.321,2052,0
20190513,25.336,25.336,25.336,25.336,1,0
