Date,Open,High,Low,Close,Volume,OpenInt
20050225,3.0781,3.0781,3.0633,3.0781,135551,0
20050228,3.0681,3.0824,3.0583,3.0583,194971,0
20050301,3.0681,3.0926,3.0583,3.0681,305353,0
20050302,3.0633,3.0824,3.0633,3.0727,214564,0
20050303,3.0824,3.0926,3.0633,3.0633,345178,0
20050304,3.0633,3.0781,3.0633,3.0727,265944,0
20050307,3.0727,3.0824,3.0681,3.0781,142981,0
20050308,3.0681,3.0824,3.0681,3.0824,345578,0
20050309,3.0681,3.0824,3.0535,3.0727,297923,0
20050310,3.0342,3.0633,3.0194,3.0292,239947,0
20050311,3.0247,3.0487,3.0149,3.0342,191467,0
20050314,3.0342,3.0487,3.0194,3.0247,112861,0
20050315,3.0247,3.0342,2.9514,2.9711,406448,0
20050316,2.9616,2.9862,2.9421,2.9711,309675,0
20050317,2.9327,2.9956,2.9327,2.9862,235002,0
20050318,2.9761,2.9956,2.9661,2.9806,281826,0
20050321,2.9421,2.9761,2.9225,2.9421,323715,0
20050322,2.9327,2.9956,2.9327,2.9567,259752,0
20050323,2.9081,2.937,2.879,2.8841,511675,0
20050324,2.8646,2.9081,2.855,2.8985,423572,0
20050328,2.8985,2.9178,2.8742,2.8936,368694,0
20050329,2.879,2.9225,2.879,2.9178,222003,0
20050330,2.9081,2.9711,2.8985,2.9567,303085,0
20050331,2.9275,2.9567,2.9275,2.9421,199716,0
20050401,2.947,2.9711,2.9225,2.9711,198693,0
20050404,2.9421,2.9761,2.9421,2.947,189398,0
20050405,2.947,2.9661,2.947,2.947,104391,0
20050406,2.947,2.9567,2.9127,2.9178,361061,0
20050407,2.9178,2.9514,2.9081,2.9275,359812,0
20050408,2.9275,2.9421,2.9225,2.9275,220544,0
20050411,2.9225,2.9514,2.9225,2.9327,211479,0
20050412,2.9327,2.9616,2.9081,2.937,194971,0
20050413,2.9327,2.9514,2.9178,2.9178,198891,0
20050414,2.9127,2.9327,2.8888,2.903,265529,0
20050415,2.8936,2.947,2.8888,2.947,210438,0
20050418,2.9225,2.9275,2.9081,2.9127,232105,0
20050419,2.9081,2.9514,2.9081,2.9421,221388,0
20050420,2.9275,2.947,2.9178,2.9275,206317,0
20050421,2.9421,2.9761,2.9275,2.9761,152879,0
20050422,2.9567,3.0149,2.9421,2.9567,341663,0
20050425,2.9567,2.9956,2.947,2.9903,267589,0
20050426,2.9956,3.0049,2.9567,3.0006,205085,0
20050427,2.9806,3.0006,2.9711,2.9862,127507,0
20050428,2.9761,3.0049,2.9761,2.9903,117804,0
20050429,2.9903,3.0101,2.9903,3.0049,93259,0
20050502,2.9862,3.0342,2.9862,3.0247,202400,0
20050503,3.0194,3.0391,3.0101,3.0391,148549,0
20050504,3.0006,3.0391,2.9956,3.0292,165065,0
20050505,3.0292,3.0342,3.0149,3.0292,134926,0
20050506,3.0194,3.0292,3.0049,3.0049,113262,0
20050509,3.0049,3.0342,3.0049,3.0292,156395,0
20050510,2.9806,3.0292,2.9711,3.0292,213753,0
20050511,3.0292,3.0292,2.9956,3.0247,116368,0
20050512,2.9903,3.0247,2.9903,3.0049,93663,0
20050513,3.0006,3.0194,2.9956,3.0049,151435,0
20050516,2.9956,3.0149,2.9862,3.0101,179906,0
20050517,2.9956,3.0149,2.9862,2.9956,171661,0
20050518,2.9806,3.0149,2.9806,3.0006,223237,0
20050519,3.0149,3.0149,2.9956,3.0049,132254,0
20050520,3.0101,3.0101,2.9903,2.9903,119048,0
20050523,2.9903,3.0049,2.9903,2.9903,206111,0
20050524,2.9956,3.0006,2.9862,2.9903,210230,0
20050525,2.9903,3.0101,2.9903,2.9903,211479,0
20050526,2.9903,3.0006,2.9862,2.9956,192288,0
