Date,Open,High,Low,Close,Volume,OpenInt
20050225,6.6317,6.6932,6.6199,6.6872,145447,0
20050228,6.6688,6.6991,6.6199,6.6199,89656,0
20050301,6.6439,6.6567,6.6076,6.6501,55952,0
20050302,6.6567,6.6688,6.6259,6.6501,76886,0
20050303,6.6567,6.6806,6.6501,6.6501,46134,0
20050304,6.6626,6.6932,6.6501,6.6501,37625,0
20050307,6.6688,6.6872,6.6567,6.6746,64944,0
20050308,6.6806,6.6806,6.6384,6.6567,80159,0
20050309,6.6626,6.6626,6.5956,6.5956,85073,0
20050310,6.5956,6.6199,6.5706,6.5706,80159,0
20050311,6.5649,6.6013,6.5401,6.5462,81315,0
20050314,6.5462,6.5771,6.5033,6.5343,121717,0
20050315,6.5956,6.5956,6.479,6.5033,98653,0
20050316,6.5101,6.5462,6.4915,6.528,121717,0
20050317,6.5401,6.5401,6.4666,6.5222,49570,0
20050318,6.479,6.5462,6.479,6.479,65436,0
20050321,6.4736,6.4736,6.4305,6.4365,140040,0
20050322,6.4488,6.5706,6.4365,6.4736,180450,0
20050323,6.479,6.479,6.4058,6.4182,85722,0
20050324,6.5401,6.5401,6.4058,6.4851,199587,0
20050328,6.4915,6.5343,6.4851,6.5343,44671,0
20050329,6.5101,6.5343,6.4182,6.528,98818,0
20050330,6.5156,6.5706,6.5101,6.5462,97340,0
20050331,6.528,6.6013,6.528,6.5527,291532,0
20050401,6.5527,6.6013,6.5462,6.6013,101102,0
20050404,6.5706,6.6137,6.5527,6.6013,41230,0
20050405,6.5889,6.6013,6.5343,6.5649,75084,0
20050406,6.5649,6.5956,6.528,6.5889,107318,0
20050407,6.5956,6.6013,6.5401,6.5462,91128,0
20050408,6.5401,6.5527,6.4915,6.4976,42870,0
20050411,6.5033,6.5156,6.455,6.4736,77878,0
20050412,6.4421,6.5527,6.4305,6.5527,191904,0
20050413,6.5527,6.5831,6.528,6.5583,129732,0
20050414,6.5649,6.5889,6.5527,6.5583,52193,0
20050415,6.5771,6.6076,6.5649,6.5771,56109,0
20050418,6.5583,6.6137,6.5583,6.6137,35991,0
20050419,6.6199,6.6259,6.5889,6.6013,100121,0
20050420,6.5771,6.5771,6.4915,6.5156,175380,0
20050421,6.5101,6.5462,6.4976,6.5156,55130,0
20050422,6.4915,6.5222,6.4608,6.5222,90951,0
20050425,6.5706,6.5706,6.4915,6.4915,106016,0
20050426,6.4976,6.5343,6.4915,6.528,65118,0
20050427,6.5401,6.5706,6.5101,6.5156,162126,0
20050428,6.5156,6.5343,6.4608,6.528,119104,0
20050429,6.5101,6.5771,6.5101,6.5583,98326,0
20050502,6.5706,6.5706,6.5343,6.5343,59062,0
20050503,6.5649,6.5649,6.5156,6.5156,75907,0
20050504,6.5771,6.5771,6.4736,6.5101,203522,0
20050505,6.528,6.528,6.5033,6.5222,51531,0
20050506,6.4851,6.5101,6.4608,6.479,87031,0
20050509,6.4666,6.5101,6.4666,6.5101,37958,0
20050510,6.528,6.528,6.4976,6.5101,39104,0
20050511,6.4976,6.5583,6.4976,6.5527,57749,0
20050512,6.528,6.5771,6.528,6.5771,62990,0
20050513,6.5343,6.5956,6.5343,6.5771,116488,0
20050516,6.5889,6.6013,6.5583,6.5889,79182,0
20050517,6.5706,6.6199,6.5527,6.5956,101440,0
20050518,6.5771,6.6137,6.5771,6.6013,72808,0
20050519,6.5889,6.6076,6.5706,6.5956,79350,0
20050520,6.528,6.5649,6.479,6.5222,166382,0
20050523,6.5033,6.528,6.4851,6.4976,77067,0
20050524,6.528,6.5401,6.5033,6.528,125972,0
20050525,6.5033,6.5462,6.4736,6.5462,165400,0
20050526,6.5462,6.5527,6.4976,6.528,91783,0
20050527,6.5527,6.5649,6.5101,6.5156,58731,0
20050531,6.5156,6.5583,6.5101,6.5527,87847,0
20050601,6.5527,6.6199,6.528,6.6199,134153,0
20050602,6.6013,6.6013,6.5101,6.5831,139387,0
20050603,6.5831,6.5956,6.528,6.5527,46636,0
20050606,6.5401,6.5706,6.528,6.5462,56770,0
20050607,6.5222,6.5649,6.5156,6.5401,101925,0
20050608,6.5222,6.5583,6.5101,6.5401,68060,0
20050609,6.5156,6.528,6.4915,6.528,60043,0
20050610,6.4851,6.5343,6.4851,6.4915,89326,0
20050613,6.4915,6.5156,6.4851,6.4851,58574,0
20050614,6.4851,6.5222,6.479,6.5101,167035,0
20050615,6.5101,6.5222,6.479,6.5033,80818,0
20050616,6.5156,6.5222,6.4851,6.5033,146101,0
20050617,6.479,6.4851,6.4365,6.4851,114191,0
20050620,6.4608,6.479,6.4488,6.479,53823,0
20050621,6.4666,6.4976,6.4608,6.4976,98326,0
20050622,6.4976,6.5343,6.4915,6.4915,144303,0
20050623,6.5101,6.5222,6.4851,6.5222,52681,0
20050624,6.528,6.5831,6.5033,6.5771,131368,0
20050627,6.5831,6.5956,6.5222,6.5343,79835,0
20050628,6.528,6.5462,6.5101,6.5343,38122,0
20050629,6.5401,6.5583,6.528,6.5343,47937,0
20050630,6.528,6.5706,6.4976,6.5583,86387,0
20050701,6.5156,6.5462,6.5101,6.5343,44497,0
20050705,6.5343,6.5401,6.4976,6.5401,94397,0
20050706,6.5401,6.5956,6.528,6.5831,76725,0
20050707,6.5462,6.6013,6.5343,6.5706,44332,0
20050708,6.5649,6.6013,6.4915,6.5771,124506,0
20050711,6.5771,6.5956,6.5527,6.5956,56937,0
20050712,6.5771,6.5889,6.5527,6.5889,70343,0
20050713,6.5889,6.5889,6.5583,6.5889,66424,0
20050714,6.5889,6.6013,6.5583,6.5831,76242,0
20050715,6.5889,6.5956,6.5527,6.5831,50558,0
20050718,6.5706,6.5706,6.5343,6.5343,61845,0
20050719,6.528,6.5649,6.5033,6.5401,63641,0
20050720,6.5462,6.5583,6.5156,6.5343,46458,0
20050721,6.528,6.5889,6.5156,6.5649,99312,0
20050722,6.5527,6.5706,6.528,6.5401,79504,0
20050725,6.5649,6.5831,6.528,6.5343,79835,0
20050726,6.528,6.5831,6.528,6.5831,22740,0
20050727,6.5831,6.6384,6.5527,6.6076,145775,0
20050728,6.6259,6.6439,6.6076,6.6384,29449,0
20050729,6.6013,6.6626,6.5831,6.6137,111088,0
20050801,6.6439,6.6439,6.5831,6.6259,81477,0
20050802,6.6076,6.6317,6.5889,6.5956,58731,0
20050803,6.6013,6.6317,6.5889,6.6013,65935,0
20050804,6.5831,6.6076,6.5706,6.5889,121554,0
20050805,6.5583,6.5956,6.5462,6.5649,41559,0
20050808,6.5706,6.5706,6.5156,6.5156,41065,0
20050809,6.5156,6.5462,6.479,6.5343,132678,0
20050810,6.5101,6.5706,6.5033,6.5649,47772,0
20050811,6.5583,6.5831,6.5583,6.5649,24868,0
20050812,6.5401,6.5831,6.5401,6.5706,44332,0
20050815,6.5462,6.6013,6.5401,6.5771,49570,0
20050816,6.5527,6.6076,6.5527,6.6013,86536,0
20050817,6.6317,6.6317,6.5831,6.6137,34351,0
20050818,6.5771,6.6317,6.5771,6.5956,98985,0
20050819,6.5706,6.5831,6.5527,6.5831,48099,0
20050822,6.5771,6.6076,6.5706,6.5831,65118,0
20050823,6.5889,6.5956,6.5583,6.5649,57749,0
20050824,6.5831,6.6199,6.5649,6.5706,140040,0
20050825,6.6199,6.6317,6.5706,6.5771,68556,0
20050826,6.5889,6.6384,6.5889,6.5956,81801,0
20050829,6.6137,6.6384,6.6013,6.6013,47283,0
20050830,6.6137,6.6317,6.5889,6.5956,51370,0
20050831,6.5706,6.6199,6.5706,6.6199,65768,0
20050901,6.6137,6.6317,6.6076,6.6259,82293,0
20050902,6.6199,6.6384,6.6137,6.6259,44332,0
20050906,6.6439,6.6439,6.6199,6.6199,55299,0
20050907,6.6137,6.6384,6.6137,6.6137,71327,0
20050908,6.6137,6.6384,6.5956,6.6199,22910,0
20050909,6.6259,6.6567,6.6199,6.6439,37300,0
20050912,6.6626,6.6626,6.6137,6.6137,51206,0
20050913,6.6384,6.6567,6.6259,6.6567,30758,0
20050914,6.6384,6.6626,6.6199,6.6199,40739,0
20050915,6.6199,6.6501,6.5889,6.6317,142667,0
20050916,6.6137,6.6259,6.5956,6.5956,65935,0
20050919,6.5956,6.6259,6.5706,6.5831,40899,0
20050920,6.5831,6.6013,6.5527,6.5771,62990,0
20050921,6.5771,6.5956,6.5527,6.5889,77395,0
20050922,6.5462,6.5583,6.5101,6.5343,95216,0
20050923,6.5222,6.528,6.4666,6.5156,68708,0
20050926,6.4851,6.5033,6.4608,6.4976,103229,0
20050927,6.5033,6.528,6.455,6.479,84090,0
20050928,6.455,6.5649,6.4488,6.5101,97181,0
20050929,6.5343,6.5462,6.5033,6.5401,47937,0
20050930,6.5401,6.6076,6.528,6.5649,200091,0
20051003,6.5956,6.6076,6.4976,6.5343,87358,0
20051004,6.5343,6.5831,6.5343,6.5771,56937,0
20051005,6.5831,6.6076,6.5649,6.5889,94891,0
20051006,6.5706,6.5889,6.5401,6.5771,55130,0
20051007,6.5771,6.5771,6.5401,6.5649,62171,0
20051010,6.5156,6.5889,6.5156,6.5706,73301,0
20051011,6.5831,6.6317,6.5771,6.6199,77538,0
20051012,6.6501,6.6501,6.5771,6.6199,74604,0
20051013,6.5831,6.6013,6.5101,6.5401,96196,0
20051014,6.5222,6.5527,6.4851,6.5401,82293,0
20051017,6.5956,6.5956,6.5101,6.5462,58731,0
20051018,6.5222,6.5401,6.479,6.4976,56937,0
20051019,6.4851,6.5222,6.4736,6.4915,116488,0
20051020,6.479,6.528,6.479,6.528,49896,0
20051021,6.4365,6.5343,6.4365,6.5343,83599,0
20051024,6.5343,6.5956,6.5156,6.5156,60860,0
20051025,6.5583,6.5649,6.5101,6.5156,82451,0
20051026,6.5401,6.5583,6.4666,6.479,134645,0
20051027,6.4976,6.5343,6.4851,6.4976,66590,0
20051028,6.5222,6.5649,6.5033,6.528,90636,0
20051031,6.5156,6.5527,6.5156,6.5222,76886,0
20051101,6.5222,6.5343,6.5101,6.5222,66915,0
20051102,6.5831,6.5831,6.5222,6.5649,65436,0
20051103,6.5649,6.5649,6.479,6.4976,94891,0
20051104,6.5033,6.5222,6.4666,6.4915,70999,0
20051107,6.479,6.5101,6.479,6.5101,22740,0
20051108,6.5156,6.5527,6.5033,6.528,47283,0
20051109,6.5033,6.5033,6.4608,6.4915,39921,0
20051110,6.455,6.479,6.4365,6.4365,58401,0
20051111,6.4237,6.455,6.4182,6.4182,81962,0
20051114,6.4182,6.455,6.4182,6.455,108635,0
20051115,6.4305,6.455,6.4058,6.4122,134976,0
20051116,6.3872,6.4488,6.3872,6.4365,117630,0
20051117,6.4237,6.4305,6.3817,6.4058,166876,0
20051118,6.3995,6.4237,6.3995,6.3995,51700,0
20051121,6.4058,6.4305,6.3938,6.3938,47610,0
20051122,6.3872,6.4488,6.3751,6.3817,166876,0
20051123,6.4365,6.4421,6.3938,6.4182,43686,0
20051125,6.4182,6.5527,6.3938,6.4976,69206,0
20051128,6.455,6.5706,6.4182,6.5033,193046,0
20051129,6.4608,6.479,6.4182,6.4421,236899,0
20051130,6.4488,6.4488,6.3751,6.4122,204510,0
20051201,6.3938,6.4182,6.3632,6.3995,129732,0
20051202,6.4122,6.4365,6.3938,6.4365,97011,0
20051205,6.4182,6.4305,6.4058,6.4305,89160,0
20051206,6.3938,6.4305,6.3872,6.4237,142010,0
20051207,6.4182,6.4182,6.3817,6.3995,96196,0
20051208,6.3995,6.4058,6.3632,6.3995,104545,0
20051209,6.3995,6.3995,6.3751,6.3751,65935,0
20051212,6.4058,6.4182,6.3632,6.3817,102907,0
20051213,6.3688,6.3995,6.3568,6.3632,135301,0
20051214,6.3938,6.4058,6.3632,6.3995,147408,0
20051215,6.3688,6.3995,6.3632,6.3632,149038,0
20051216,6.3632,6.3817,6.3506,6.3688,85899,0
20051219,6.3688,6.3938,6.3632,6.3632,81477,0
20051220,6.3817,6.3938,6.3688,6.3751,148386,0
20051221,6.3751,6.3995,6.3751,6.3872,42372,0
20051222,6.3751,6.3938,6.3506,6.3632,123358,0
20051223,6.3632,6.4058,6.3632,6.4058,122869,0
20051227,6.4182,6.4305,6.3751,6.3817,186507,0
20051228,6.3817,6.4305,6.3817,6.4305,121881,0
20051229,6.4182,6.4365,6.4058,6.4122,211859,0
20051230,6.4058,6.4736,6.3995,6.4237,325731,0
20060103,6.4237,6.479,6.4122,6.479,110275,0
20060104,6.4365,6.4976,6.4365,6.4915,86387,0
20060105,6.4851,6.5343,6.479,6.5343,43513,0
20060106,6.5649,6.5831,6.528,6.5462,63310,0
20060109,6.5771,6.6137,6.5401,6.5771,121554,0
20060110,6.5771,6.5771,6.528,6.5706,126300,0
20060111,6.5401,6.5889,6.5101,6.5889,135458,0
20060112,6.6137,6.6199,6.5649,6.5706,67733,0
20060113,6.6199,6.6259,6.5771,6.6137,51860,0
20060117,6.6199,6.6199,6.5706,6.5956,40406,0
20060118,6.6013,6.6137,6.5771,6.5831,54312,0
20060119,6.5706,6.6137,6.5706,6.6137,35991,0
20060120,6.5401,6.6317,6.5401,6.5889,74113,0
20060123,6.6137,6.6137,6.5527,6.5831,53333,0
20060124,6.6076,6.6076,6.5527,6.5771,153786,0
20060125,6.6137,6.6384,6.5771,6.5956,129406,0
20060126,6.5831,6.6199,6.5831,6.5956,59222,0
20060127,6.6076,6.6384,6.5831,6.5831,137588,0
20060130,6.5771,6.6259,6.5706,6.5831,58246,0
20060131,6.5706,6.6013,6.5527,6.5706,92105,0
20060201,6.5401,6.5956,6.5401,6.5706,62660,0
20060202,6.5527,6.5831,6.5401,6.5527,50715,0
20060203,6.5527,6.5527,6.4976,6.4976,52193,0
20060206,6.5222,6.5222,6.479,6.5101,61343,0
20060207,6.4851,6.528,6.4851,6.528,41395,0
20060208,6.528,6.5649,6.5156,6.5462,54312,0
20060209,6.5649,6.5831,6.5462,6.5649,56937,0
20060210,6.5706,6.5706,6.5401,6.5706,30257,0
20060213,6.5649,6.5956,6.5583,6.5956,38441,0
20060214,6.5706,6.5889,6.5401,6.5771,72968,0
20060215,6.5583,6.5831,6.5527,6.5706,88351,0
20060216,6.5706,6.5706,6.5343,6.5401,40081,0
20060217,6.5343,6.5706,6.5343,6.5583,50223,0
20060221,6.5343,6.5771,6.5156,6.5771,98653,0
20060222,6.6076,6.6076,6.5401,6.5527,114851,0
20060223,6.5831,6.6013,6.5343,6.5956,90951,0
20060224,6.6076,6.6567,6.6013,6.6076,102253,0
20060227,6.6567,6.6567,6.6013,6.6259,58895,0
20060228,6.6259,6.6317,6.5831,6.6076,117793,0
20060301,6.5889,6.6199,6.5831,6.6137,60369,0
20060302,6.6013,6.6317,6.6013,6.6199,57093,0
20060303,6.6137,6.6259,6.5889,6.5956,111583,0
20060306,6.5831,6.6076,6.5462,6.5771,70678,0
20060307,6.5156,6.5831,6.4851,6.5771,87031,0
20060308,6.5462,6.6199,6.5401,6.6199,61517,0
20060309,6.5583,6.6567,6.5583,6.6137,116159,0
20060310,6.6384,6.6567,6.6076,6.6259,26499,0
20060313,6.5771,6.6384,6.5771,6.6317,70512,0
20060314,6.6013,6.6626,6.6013,6.6567,84090,0
20060315,6.6317,6.6626,6.5956,6.6439,141189,0
20060316,6.6137,6.6806,6.6137,6.6384,115338,0
20060317,6.6384,6.6439,6.6137,6.6259,89326,0
20060320,6.6013,6.6688,6.6013,6.6384,123845,0
20060321,6.6013,6.6567,6.6013,6.6501,76725,0
20060322,6.6317,6.6746,6.6199,6.6199,55627,0
20060323,6.6688,6.6806,6.6317,6.6806,115338,0
20060324,6.6626,6.6626,6.6076,6.6199,67073,0
20060327,6.6317,6.6439,6.6076,6.6439,57261,0
20060328,6.6439,6.6439,6.5649,6.6384,148222,0
20060329,6.6384,6.6688,6.6259,6.6626,96366,0
20060330,6.6317,6.6626,6.6317,6.6317,74604,0
20060331,6.6317,6.6932,6.6137,6.6872,191904,0
20060403,6.6688,6.6991,6.6384,6.6932,87203,0
20060404,6.6626,6.6872,6.6501,6.6806,75259,0
20060405,6.6567,6.6567,6.6259,6.6317,43186,0
20060406,6.6567,6.6688,6.6317,6.6626,77067,0
20060407,6.6688,6.6688,6.6137,6.6384,56109,0
20060410,6.6259,6.6626,6.6076,6.6317,87358,0
20060411,6.6626,6.6872,6.6259,6.6688,111910,0
20060412,6.6688,6.6872,6.4488,6.5583,271093,0
20060413,6.5831,6.6259,6.5583,6.6259,64293,0
20060417,6.6872,6.6932,6.6384,6.6501,132845,0
20060418,6.6991,6.6991,6.6746,6.6991,71657,0
20060419,6.7115,6.7115,6.6567,6.6872,89002,0
20060420,6.6872,6.7115,6.6626,6.7115,48261,0
20060421,6.6932,6.7115,6.6688,6.7055,53993,0
20060424,6.7115,6.7232,6.6872,6.7115,86536,0
20060425,6.7115,6.7115,6.6567,6.6932,72476,0
20060426,6.6439,6.6991,6.6439,6.6932,74764,0
20060427,6.7055,6.7115,6.6872,6.7055,111910,0
20060428,6.6626,6.7115,6.6626,6.6932,95216,0
20060501,6.7232,6.7232,6.6076,6.6076,152472,0
20060502,6.6199,6.6626,6.5889,6.5889,96035,0
20060503,6.6013,6.6259,6.5889,6.6137,53993,0
20060504,6.6076,6.6199,6.5771,6.6076,34023,0
20060505,6.6076,6.6384,6.6013,6.6384,43355,0
20060508,6.6688,6.6688,6.6137,6.6259,77878,0
20060509,6.6137,6.6567,6.6137,6.6439,51370,0
20060510,6.6439,6.6626,6.6137,6.6384,70837,0
20060511,6.6439,6.6439,6.5831,6.6076,54149,0
20060512,6.5831,6.6137,6.5831,6.5889,75753,0
20060515,6.5771,6.6013,6.5583,6.5889,52018,0
20060516,6.5771,6.6137,6.5462,6.5889,71494,0
20060517,6.5706,6.5771,6.5343,6.5527,48755,0
20060518,6.5462,6.5649,6.5401,6.5462,54312,0
20060519,6.5343,6.5401,6.528,6.5343,76886,0
20060522,6.5343,6.5462,6.5101,6.5101,65935,0
20060523,6.5401,6.5462,6.5101,6.5222,75907,0
20060524,6.5156,6.5343,6.4976,6.528,84415,0
20060525,6.5222,6.5831,6.5222,6.5706,153959,0
20060526,6.5771,6.6199,6.5771,6.6199,69695,0
20060530,6.6199,6.6259,6.5706,6.5706,35662,0
20060531,6.5649,6.6137,6.5649,6.5956,91128,0
20060601,6.6013,6.6317,6.5706,6.6199,74604,0
20060602,6.6199,6.6439,6.5706,6.5706,65602,0
20060605,6.5831,6.5956,6.5583,6.5583,90636,0
20060606,6.5583,6.5889,6.5583,6.5706,30105,0
20060607,6.5706,6.5831,6.5343,6.5401,57261,0
20060608,6.5401,6.5649,6.5156,6.5222,41395,0
