Date,Open,High,Low,Close,Volume,OpenInt
20050225,40.496,41.35,40.477,41.279,4078583,0
20050228,41.027,41.167,40.201,40.432,6346691,0
20050301,40.432,41,40.432,40.77,5861113,0
20050302,40.596,41.134,40.522,40.621,5601860,0
20050303,40.945,41.142,40.227,40.76,5435019,0
20050304,41.315,42.208,41.199,41.802,5509687,0
20050307,42.098,42.623,42.038,42.383,5384467,0
20050308,42.383,42.961,42.208,42.53,6126279,0
20050309,42.537,43.149,42.184,42.925,8797759,0
20050310,42.961,43.244,42.444,42.942,7348337,0
20050311,42.849,42.873,41.486,41.875,6410344,0
20050314,41.875,42.297,41.745,42.245,4099802,0
20050315,42.711,42.909,41.924,42.132,5105274,0
20050316,41.736,41.943,41.063,41.495,5781925,0
20050317,41.19,41.495,40.522,40.854,8853175,0
20050318,40.864,41.38,40.337,41.366,9751401,0
20050321,41.297,41.667,40.693,40.811,6736381,0
20050322,40.917,41.124,39.846,39.883,6753658,0
20050323,39.883,40.036,39.166,39.837,6742178,0
20050324,39.718,40.201,39.597,39.801,6578115,0
20050328,39.828,39.948,39.536,39.718,5158954,0
20050329,39.736,40.201,38.365,38.38,15997570,0
20050330,38.501,39.801,38.38,39.581,20418070,0
20050331,40.596,41.233,40.432,40.982,20551177,0
20050401,41.159,42.297,40.522,40.719,15986088,0
20050404,42.245,43.029,40.77,41.745,30253535,0
20050405,40.811,41.528,40.079,40.415,15492747,0
20050406,40.415,40.737,40.095,40.522,12558766,0
20050407,40.201,40.432,39.63,40.079,10268748,0
20050408,40.166,40.302,39.597,39.854,7792286,0
20050411,39.756,39.908,38.666,38.906,9921027,0
20050412,38.804,39.466,38.372,39.2,11621011,0
20050413,39.439,39.439,37.802,38.038,15956408,0
20050414,37.647,38.088,37.164,37.466,15412861,0
20050415,37.44,37.88,36.803,36.862,11066332,0
20050418,36.942,37.258,36.517,36.933,7323871,0
20050419,37.338,37.572,36.895,37.036,7940349,0
20050420,36.732,36.852,35.802,35.931,12232965,0
20050421,36.44,36.706,35.63,36.649,8119369,0
20050422,36.649,37.036,35.716,35.976,5946219,0
20050425,36.189,36.835,36.06,36.675,5766273,0
20050426,36.586,37.008,36.181,36.181,6031554,0
20050427,36.405,36.777,35.905,36.649,6990763,0
20050428,36.517,37.086,36.095,36.113,6233875,0
20050429,36.476,37.947,35.853,37.67,18677857,0
20050502,36.016,36.274,34.954,35.362,28052208,0
20050503,35.335,35.699,35.008,35.381,14106515,0
20050504,35.664,36.113,35.509,36.07,10803597,0
20050505,36.079,36.32,35.692,35.976,5778213,0
20050506,36.137,36.225,35.802,35.837,6149349,0
20050509,35.914,36.413,35.758,36.335,6563040,0
20050510,35.722,35.94,35.292,35.381,9261650,0
20050511,35.381,35.886,34.766,35.692,8393459,0
20050512,35.859,35.976,35.309,35.371,8452131,0
20050513,35.455,35.682,34.12,34.528,12824980,0
20050516,34.473,34.992,34.19,34.939,8893529,0
20050517,34.939,34.992,34.239,34.836,8144064,0
20050518,35.068,35.205,34.651,35.025,8583381,0
20050519,35.061,35.94,34.836,35.905,8509056,0
20050520,35.655,35.859,35.509,35.802,5523947,0
20050523,35.655,36.06,35.551,35.716,5913060,0
20050524,35.722,35.722,35.008,35.381,7248389,0
20050525,35.473,35.802,35.196,35.44,7672863,0
20050526,35.584,35.708,35.075,35.266,5642673,0
20050527,35.258,35.526,35.122,35.266,3029866,0
20050531,35.196,35.258,34.87,35.052,4807292,0
20050601,35.223,35.896,35.085,35.844,7763883,0
20050602,35.786,35.786,35.231,35.283,5735431,0
20050603,35.139,35.509,34.87,35.017,4699000,0
20050606,34.973,35.249,34.801,35.165,4374588,0
20050607,35.39,35.722,35.183,35.183,4303283,0
20050608,35.223,35.483,35.19,35.398,3908840,0
20050609,35.44,35.692,35.309,35.534,3940491,0
20050610,35.655,35.722,35.344,35.716,5008342,0
20050613,37.062,37.275,36.234,36.431,25698654,0
20050614,36.372,36.706,35.976,36.225,12656044,0
20050615,36.362,36.431,35.94,36.234,7864175,0
20050616,36.335,37.302,36.327,37.155,12470420,0
20050617,37.407,37.407,36.732,36.786,9142579,0
20050620,36.786,37.111,36.622,36.914,6012888,0
20050621,36.982,37.095,36.458,36.492,5501337,0
20050622,36.723,37.053,36.172,36.172,11083371,0
20050623,36.372,37.302,36.274,37.027,12424042,0
20050624,37.227,38.122,36.517,38.038,14886125,0
20050627,37.947,38.01,37.267,37.982,11209291,0
20050628,37.982,38.096,37.631,37.957,7118536,0
20050629,38.301,38.301,37.821,38.173,5986104,0
20050630,38.32,38.492,37.481,37.572,13452700,0
20050701,37.767,38.078,37.735,37.965,5181450,0
20050705,38.145,38.666,38.029,38.501,6756436,0
20050706,38.501,38.579,38.198,38.198,5443713,0
20050707,37.751,38.235,37.525,38.19,5699604,0
20050708,38.122,38.163,37.898,38.038,6706812,0
20050711,37.957,38.355,37.906,38.355,10212514,0
20050712,38.448,38.519,38.01,38.311,7092677,0
20050713,38.129,38.416,38.038,38.285,5986450,0
20050714,38.648,38.813,38.338,38.456,6681887,0
20050715,38.553,38.622,38.163,38.407,4139338,0
20050718,38.301,38.466,38.173,38.235,5433160,0
20050719,38.57,38.837,38.285,38.311,6317471,0
20050720,38.251,38.69,38.198,38.483,5096806,0
20050721,38.519,38.596,38.096,38.217,4446243,0
20050722,38.285,38.708,38.198,38.666,3305463,0
20050725,38.768,39.097,38.432,38.629,4800917,0
20050726,38.699,38.76,38.416,38.456,3270564,0
20050727,38.483,38.544,37.914,38.311,3604020,0
20050728,38.294,38.501,38.01,38.355,4340967,0
20050729,38.372,38.501,37.839,37.982,4059797,0
20050801,38.061,38.355,37.777,37.829,4405777,0
20050802,37.957,38.666,37.864,38.388,4860052,0
20050803,38.235,39.016,38.061,38.961,5471077,0
20050804,38.804,38.804,38.088,38.301,4601377,0
20050805,38.07,38.173,37.553,37.698,3726807,0
20050808,37.698,38.019,37.2,37.302,5339135,0
20050809,37.44,37.767,37.407,37.647,5151765,0
20050810,37.947,38.251,37.872,38.038,7616284,0
20050811,37.965,38.683,37.965,38.666,5580875,0
20050812,38.561,38.579,37.688,37.839,4952457,0
20050815,37.849,38.579,37.717,38.372,4397777,0
20050816,38.338,38.416,37.812,37.914,4072204,0
20050817,37.947,38.096,37.812,37.839,4915123,0
20050818,37.587,37.606,37.208,37.44,7403177,0
20050819,37.283,37.473,37.192,37.258,4382124,0
20050822,37.407,37.647,37.078,37.44,3853650,0
20050823,37.572,37.606,37.363,37.516,4643929,0
20050824,37.407,37.707,36.88,36.895,5127534,0
20050825,36.924,37.119,36.723,36.959,3873593,0
20050826,36.959,37.164,36.586,36.914,3105107,0
20050829,36.517,36.889,36.501,36.675,5049153,0
20050830,36.622,36.723,36.156,36.532,4668277,0
20050831,36.69,36.748,35.931,36.422,6313993,0
20050901,36.422,36.999,36.234,36.803,5962568,0
20050902,36.862,36.895,36.32,36.389,3683094,0
20050906,36.569,37.267,36.56,37.184,6219848,0
20050907,37.363,37.407,37.086,37.267,3606919,0
20050908,37.363,37.655,37.155,37.389,3630341,0
20050909,37.49,37.698,37.283,37.606,3657127,0
20050912,37.802,38.038,37.688,37.906,5029559,0
20050913,37.587,37.864,37.509,37.655,3886466,0
20050914,37.864,38.096,37.5,37.572,4859470,0
20050915,37.606,37.613,37.062,37.234,4055159,0
20050916,37.234,37.363,37.102,37.234,9109533,0
20050919,37.275,37.613,36.871,37.407,5962104,0
20050920,37.587,38.01,37.372,37.516,8635321,0
20050921,37.234,37.812,36.942,37.053,10073958,0
20050922,37.078,37.647,36.895,37.372,5772768,0
20050923,37.053,37.563,36.942,37.192,5659719,0
20050926,37.363,37.631,37.128,37.164,4907353,0
20050927,37.128,37.793,37.102,37.49,6087208,0
20050928,37.432,37.982,37.432,37.743,5549801,0
20050929,37.802,38.605,37.655,38.553,8328413,0
20050930,38.372,38.666,38.226,38.622,5382840,0
20051003,38.613,38.648,38.198,38.561,5265276,0
20051004,38.553,38.666,37.982,38.115,5544700,0
20051005,37.982,38.32,37.698,37.939,4867931,0
20051006,38.038,38.622,37.664,38.055,7213493,0
20051007,38.269,38.588,38.138,38.269,3796838,0
20051010,38.338,38.588,38.105,38.301,5623777,0
20051011,38.301,38.553,37.613,37.974,5706446,0
20051012,37.947,38.208,37.086,37.192,7296276,0
20051013,37.155,37.631,36.32,37.017,7567589,0
20051014,37.234,37.563,37.053,37.372,4538535,0
20051017,37.372,37.974,37.372,37.621,3627209,0
20051018,37.587,37.991,37.407,37.5,4602189,0
20051019,37.318,38.038,36.639,38.038,7675415,0
20051020,37.857,38.078,37.164,37.328,5022716,0
20051021,37.587,37.707,37.071,37.302,5521972,0
20051024,37.234,38.301,37.234,38.235,5191189,0
20051025,37.991,38.474,37.784,38.145,4889963,0
20051026,37.982,38.579,37.821,38.173,5205562,0
20051027,38.038,38.629,37.957,37.957,5050084,0
20051028,37.957,38.666,37.726,38.613,5658906,0
20051031,38.613,39.432,38.613,38.961,9037881,0
20051101,38.961,38.961,37.906,37.965,8223365,0
20051102,37.898,38.397,37.726,38.078,6427043,0
20051103,38.115,38.285,37.621,37.743,6840035,0
20051104,37.5,37.613,37.155,37.525,7277842,0
20051107,37.525,37.888,37.407,37.743,5348411,0
20051108,37.572,37.939,37.509,37.613,4838598,0
20051109,37.481,38.061,37.481,38,6737306,0
20051110,38.078,39.112,37.957,38.984,7949625,0
20051111,39.303,39.828,39.242,39.581,10687076,0
20051114,39.458,39.917,39.268,39.809,7347293,0
20051115,39.701,39.828,39.191,39.503,6367794,0
20051116,39.555,39.638,38.751,38.934,5605805,0
20051117,38.984,39.654,38.943,39.38,4973211,0
20051118,39.771,39.771,39.268,39.736,5615197,0
20051121,39.736,40.192,39.581,40.104,4718016,0
20051122,39.908,40.562,39.763,40.415,4844163,0
20051123,40.505,41.451,40.347,41.063,6639917,0
20051125,41.134,41.406,40.881,41.366,2479129,0
20051128,41.509,41.509,40.53,40.562,6536491,0
20051129,40.811,41.124,40.366,40.667,5661109,0
20051130,40.639,40.864,39.976,40.113,5634675,0
20051201,40.382,40.871,40.174,40.779,5118838,0
20051202,40.779,41.15,40.737,41.01,2776527,0
20051205,40.702,41.134,40.269,41.115,4043334,0
20051206,41.099,41.366,40.486,40.505,5287534,0
20051207,40.604,40.604,40.029,40.31,4327863,0
20051208,40.235,40.639,40.02,40.357,6109700,0
20051209,40.53,40.612,40.029,40.064,3971913,0
20051212,40.347,40.596,40.251,40.467,5196169,0
20051213,40.448,41.19,40.251,41.072,5076751,0
20051214,40.63,41.5,40.63,41.124,5337274,0
20051215,41.063,41.19,40.621,40.744,4631522,0
20051216,40.811,41.027,40.649,40.728,5065038,0
20051219,40.604,41.081,40.398,40.57,5683486,0
20051220,41.495,41.794,40.951,41.323,12722133,0
20051221,41.414,41.77,41.38,41.609,7172100,0
20051222,41.495,41.924,41.35,41.875,3932029,0
20051223,41.667,41.958,41.657,41.821,5232693,0
20051227,41.821,42.002,41.332,41.509,3567381,0
20051228,41.509,41.599,41.259,41.259,2662671,0
20051229,41.182,41.34,40.82,40.899,3364133,0
20051230,40.77,40.82,40.286,40.621,4330066,0
20060103,40.935,41.875,40.621,41.745,6234339,0
20060104,42.03,42.444,41.779,41.779,9249824,0
20060105,41.779,41.951,41.536,41.892,6699278,0
20060106,42.08,42.132,41.563,41.934,7988345,0
20060109,41.975,42.452,41.967,42.373,4805318,0
20060110,42.132,42.399,41.943,42.399,5465165,0
20060111,42.346,42.873,42.124,42.649,6768730,0
20060112,42.695,42.795,42.434,42.579,4426415,0
20060113,42.649,42.72,42.289,42.512,3977943,0
20060117,42.564,42.572,42.011,42.106,3043198,0
20060118,41.916,42.167,41.563,41.848,3365757,0
20060119,42.063,42.942,42.038,42.495,4420970,0
20060120,42.46,42.631,41.106,41.414,6314572,0
20060123,41.315,42.021,41.315,41.875,4407051,0
20060124,42.114,42.564,41.967,42.021,4421660,0
20060125,42.245,42.546,41.916,42.366,4651350,0
20060126,43.307,43.316,42.587,42.933,6713655,0
20060127,42.961,43.674,42.804,43.511,4290063,0
20060130,43.995,44.283,43.416,43.435,4923700,0
20060131,43.316,44.323,43.307,43.995,6004075,0
20060201,44.012,44.356,43.598,44.273,4157772,0
20060202,44.142,44.484,43.563,43.863,4023044,0
20060203,43.382,44.493,43.217,43.986,4593260,0
20060206,43.854,44.323,43.838,44.192,3048762,0
20060207,43.927,44.064,43.149,43.339,4419693,0
20060208,43.78,43.936,43.529,43.863,3152534,0
20060209,43.863,44.315,43.747,43.806,3146738,0
20060210,43.674,43.77,42.512,43.175,5198490,0
20060213,43.098,43.372,42.52,42.823,4759409,0
20060214,42.823,43.289,42.391,43.012,4307457,0
20060215,43.003,43.718,42.711,43.573,3403666,0
20060216,43.556,43.927,43.316,43.89,3066964,0
20060217,43.847,43.927,43.325,43.538,3846692,0
20060221,43.598,43.872,43.325,43.511,3213985,0
20060222,43.641,44.229,43.632,44.09,4057481,0
20060223,44.029,44.029,43.556,43.563,3423496,0
20060224,43.425,43.946,43.316,43.556,3566336,0
20060227,43.598,43.78,43.339,43.486,3493064,0
20060228,43.175,43.495,42.452,42.711,4893673,0
20060301,42.742,43.244,42.735,43.047,2887483,0
20060302,43.047,43.047,42.703,42.804,2872988,0
20060303,42.631,43.133,42.468,42.752,3041921,0
20060306,42.849,43.217,42.495,42.9,3365639,0
20060307,42.678,42.873,42.32,42.711,3685646,0
20060308,42.703,42.752,41.883,42.289,4562536,0
20060309,42.217,42.564,41.821,41.993,3338740,0
20060310,41.993,42.761,41.993,42.329,4822716,0
20060313,42.417,42.742,41.951,42.089,4742134,0
20060314,42.804,43.563,42.614,42.976,8093740,0
20060315,43.064,43.469,42.649,42.703,5703196,0
20060316,43.307,43.408,42.84,42.917,7206306,0
20060317,43.133,43.348,42.994,43.142,6636666,0
20060320,43.175,43.556,43.074,43.217,4877323,0
20060321,43.299,43.618,42.873,43.254,6607796,0
20060322,43.408,44.436,43.316,44.347,9899582,0
20060323,44.436,44.436,43.854,44.08,5053790,0
20060324,44.029,44.659,43.847,44.012,4359285,0
20060327,43.995,44.608,43.995,44.478,4110352,0
20060328,44.565,45.26,43.972,44.436,7984522,0
20060329,44.428,45.205,44.401,45.03,4368100,0
20060330,44.738,45.78,44.738,45.547,6456379,0
20060331,45.358,45.989,44.901,44.979,5832940,0
20060403,44.979,45.807,44.78,45.278,5692878,0
20060404,45.152,46.167,44.987,46.014,4459229,0
20060405,46.162,46.539,45.857,46.038,6025524,0
20060406,46.091,46.411,45.702,46.174,4457605,0
20060407,46.038,46.452,45.479,45.659,3900143,0
20060410,45.651,46.539,45.463,45.961,3936434,0
20060411,45.771,45.927,44.71,44.911,4672797,0
20060412,44.928,45.306,44.911,45.16,2750437,0
20060413,45.244,45.278,44.892,45.089,2923775,0
20060417,45.108,45.771,45.108,45.541,3774344,0
20060418,45.981,47.102,45.981,46.999,7700574,0
20060419,47.039,47.067,46.462,46.649,3299320,0
20060420,46.611,47.022,46.52,46.52,2842844,0
20060421,46.859,46.859,46.34,46.557,4456794,0
20060424,46.42,46.849,46.211,46.755,3583266,0
20060425,46.627,46.755,45.857,46.082,4392907,0
20060426,46.082,46.322,45.749,46.118,3908723,0
20060427,45.997,46.755,45.749,46.513,3945479,0
20060428,46.601,46.841,45.592,46.038,6991572,0
20060501,46.29,46.557,45.135,45.22,4257832,0
20060502,45.393,45.997,45.367,45.918,4594072,0
20060503,45.997,46.082,45.205,45.409,3504431,0
20060504,45.659,46.144,45.617,45.677,3671502,0
20060505,46.038,46.939,45.997,46.919,3701765,0
20060508,46.919,47.167,46.452,46.824,3649124,0
20060509,46.644,47.167,46.644,47.076,2291529,0
20060510,46.824,47.059,46.246,46.685,2490839,0
20060511,46.952,47.258,45.659,46.007,5126258,0
20060512,45.857,46.462,45.22,45.315,4397312,0
20060515,45.108,45.455,43.918,44.445,5479888,0
20060516,44.746,45.205,43.918,44.436,4140384,0
20060517,43.936,43.978,42.495,42.952,6635855,0
20060518,42.961,43.529,42.814,42.858,4543752,0
20060519,42.994,43.632,42.777,42.917,5663428,0
20060522,42.596,42.795,41.241,42.366,7089661,0
20060523,42.742,43.098,41.993,42.08,4484040,0
20060524,41.883,42.408,41.225,42.312,6956790,0
20060525,42.668,42.858,42.346,42.795,4487167,0
20060526,43.133,43.641,42.933,43.363,3788370,0
20060530,42.873,43.029,42.167,42.32,3587442,0
20060531,42.28,42.814,42.114,42.688,4281485,0
20060601,42.495,43.435,42.46,43.372,4002640,0
20060602,43.847,44.054,43.254,43.382,4909325,0
20060605,43.316,43.399,41.883,41.993,5936129,0
20060606,42.208,42.46,41.58,42.167,5704357,0
20060607,42.417,43.003,41.984,42.338,5303540,0
20060608,42.338,42.668,41.358,42.226,6551561,0
20060609,42.28,42.925,42.245,42.373,4056204,0
20060612,42.53,42.742,41.451,41.667,5110608,0
20060613,41.509,42.208,39.034,39.555,11590864,0
20060614,39.736,40.31,39.329,39.801,8783845,0
20060615,40.382,41.167,40.302,41.046,7186476,0
20060616,41.046,41.046,40.486,40.803,5050084,0
20060619,40.982,41.142,40.166,40.467,3810403,0
20060620,40.596,41.124,40.596,40.82,5690559,0
20060621,42.038,43.029,41.83,42.587,12724915,0
20060622,42.596,43.054,42.312,42.967,4322766,0
20060623,42.564,43.125,42.245,42.742,3933420,0
20060626,42.742,43.445,42.703,43.244,5044752,0
20060627,43.316,43.529,42.961,42.986,4872687,0
20060628,43.133,43.416,42.623,43.054,5110142,0
20060629,43.529,44.821,43.511,44.78,8617807,0
20060630,44.961,45.455,44.892,45.252,6468200,0
20060703,45.384,45.882,45.351,45.832,2180914,0
20060705,45.677,45.702,45.056,45.573,4925556,0
20060706,45.573,46.174,45.541,45.73,3793358,0
20060707,45.875,46.529,45.583,45.789,6583915,0
20060710,46.144,46.452,45.72,45.971,4044147,0
20060711,45.824,45.927,45.081,45.771,5160575,0
20060712,45.541,45.74,44.806,44.841,5631892,0
20060713,44.436,44.901,43.674,44.012,6358167,0
20060714,43.963,44.211,43.09,43.452,5767434,0
20060717,43.416,44.229,43.185,43.814,4544446,0
20060718,43.693,44.453,43.573,44.356,5526846,0
20060719,44.78,46.219,44.746,45.711,6644434,0
20060720,45.702,46.03,45.278,45.351,4234061,0
20060721,45.463,45.463,44.608,44.755,6723857,0
20060724,45.108,46.167,45.073,45.981,4256906,0
20060725,45.824,46.635,45.608,46.513,4471290,0
20060726,46.539,46.539,45.937,46.144,4261078,0
20060727,46.462,46.738,46.29,46.584,4103510,0
20060728,46.644,47.644,46.627,47.417,5726388,0
20060731,47.094,47.728,46.893,47.607,4417836,0
20060801,47.258,47.306,46.703,47.211,4422705,0
20060802,47.573,47.597,46.712,47.417,7144043,0
20060803,46.611,48.695,46.611,48.539,5991902,0
20060804,49.559,49.755,48.152,48.465,7547416,0
20060807,48.144,48.548,47.835,48.066,5507136,0
20060808,48.066,48.293,47.211,47.451,7158417,0
20060809,47.78,48.092,46.091,46.306,7109950,0
20060810,45.857,46.797,45.677,46.703,6052305,0
20060811,46.712,46.97,46.29,46.797,4182354,0
20060814,46.945,47.258,46.394,46.557,4085192,0
20060815,47.258,47.79,47.203,47.426,5158487,0
20060816,47.78,48.178,47.508,47.935,4812976,0
20060817,47.861,48.654,47.737,48.375,3695851,0
20060818,48.375,48.375,47.78,48.066,4722307,0
20060821,47.97,48.256,47.281,48.11,5038139,0
