Date,Open,High,Low,Close,Volume,OpenInt
20191129,24.98,25.04,24.91,24.91,135348,0
20191202,24.95,24.95,24.67,24.82,279796,0
20191203,24.75,24.85,24.73,24.81,188915,0
20191204,24.88,24.88,24.78,24.8,121177,0
20191205,24.81,24.81,24.71,24.71,130284,0
20191206,24.73,24.87,24.64,24.85,294647,0
20191209,24.9,24.9,24.82,24.85,82242,0
20191210,24.84,24.92,24.84,24.85,430248,0
20191211,24.92,24.97,24.87,24.96,127212,0
20191212,24.98,24.98,24.85,24.94,229982,0
20191213,24.9,25.0718,24.87,25.05,269576,0
20191216,25.09,25.09,25.01,25.08,754825,0
20191217,25.075,25.14,25.02,25.06,524480,0
20191218,25.09,25.2,25.085,25.14,739910,0
20191219,25.14,25.19,25.11,25.18,249239,0
20191220,25.17,25.29,25.15,25.27,521831,0
20191223,25.29,25.38,25.23,25.36,263928,0
20191224,25.39,25.41,25.34,25.4,102312,0
20191226,25.4,25.49,25.36,25.49,136569,0
20191227,25.49,25.49,25.4,25.45,585481,0
20191230,25.32,25.37,25.24,25.32,380706,0
20191231,25.33,25.34,25.12,25.2,2181221,0
20200102,25.25,25.35,25.25,25.3,121245,0
20200103,25.3118,25.4,25.31,25.38,139036,0
20200106,25.38,25.38,25.23,25.33,141730,0
20200107,25.35,25.38,25.27,25.34,85217,0
20200108,25.34,25.44,25.29,25.44,165681,0
20200109,25.45,25.47,25.34,25.4,156252,0
20200110,25.44,25.44,25.34,25.42,106670,0
20200113,25.42,25.47,25.37,25.44,122048,0
20200114,25.44,25.47,25.4,25.41,81027,0
20200115,25.41,25.46,25.36,25.43,72786,0
20200116,25.43,25.44,25.31,25.44,113754,0
20200117,25.44,25.53,25.34,25.53,133922,0
20200121,25.48,25.59,25.48,25.57,199699,0
20200122,25.52,25.6,25.5,25.55,83510,0
20200123,25.57,25.57,25.46,25.55,112472,0
