Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.1067,9.1962,8.871,9.0814,285900,0
20050228,9.0814,9.722,9.0507,9.66,578786,0
20050301,9.81,9.86,9.3468,9.4946,373600,0
20050302,9.4116,9.4116,8.7638,9.2164,288979,0
20050303,9.2164,9.3971,9.1488,9.2995,140072,0
20050304,9.4454,10.321,9.4454,9.933,544686,0
20050307,10.202,10.632,9.738,9.86,513880,0
20050308,9.81,9.837,9.2773,9.554,284664,0
20050309,9.591,9.979,9.2599,9.529,240300,0
20050310,9.372,9.372,8.3501,8.6762,788483,0
20050311,8.7072,9.2503,8.6904,9.0182,302329,0
20050314,9.1278,9.1585,8.6666,8.8953,182177,0
20050315,8.899,9.1153,8.8598,8.9994,121586,0
20050316,9.0563,9.0563,8.2834,8.6179,222643,0
20050317,8.6666,9.0814,8.6363,8.9939,139047,0
20050318,8.9632,9.0032,8.7444,8.8125,85850,0
20050321,8.8372,8.939,8.6179,8.8372,86882,0
20050322,8.911,9.201,8.8125,8.9594,206212,0
20050323,8.9539,8.9828,8.6409,8.6523,159382,0
20050324,8.7152,8.7487,8.6232,8.6523,100026,0
20050328,8.6666,8.6666,8.2937,8.3263,365383,0
20050329,7.7892,8.0037,7.5958,7.6836,901856,0
20050330,7.1812,7.4098,6.7236,7.0686,1347547,0
20050331,7.0591,7.4339,7.0155,7.3033,464384,0
20050401,7.322,7.5228,7.322,7.4292,266180,0
20050404,7.1908,7.275,6.9127,7.2057,250571,0
20050405,7.1812,7.3535,7.0845,7.0845,228386,0
20050406,7.0686,7.1812,6.87,6.9425,282615,0
20050407,6.9127,7.2698,6.9127,6.9863,217100,0
20050408,6.9775,7.1314,6.9346,6.9389,101870,0
20050411,7.7892,8.3193,7.7468,8.0136,706945,0
20050412,7.9804,7.9854,7.6276,7.898,162871,0
20050413,7.898,7.9653,7.7564,7.8292,65516,0
20050414,7.7516,7.7692,7.2698,7.3372,252624,0
20050415,7.3033,7.5913,7.1709,7.2406,160201,0
20050418,7.2019,7.5461,7.2019,7.4488,283230,0
20050419,7.6445,8.2191,7.6235,8.2141,257344,0
20050420,8.399,8.54,7.8868,7.8868,230448,0
20050421,8.1301,8.2431,7.9854,8.1412,138020,0
20050422,8.1805,8.399,8.1557,8.1805,71475,0
20050425,8.3193,8.3193,8.1557,8.1943,118713,0
20050426,8.1943,8.2431,7.7564,7.7892,153427,0
20050427,7.6683,7.6683,7.2057,7.2364,151372,0
20050428,7.2213,7.2936,6.9811,7.0591,159791,0
20050429,7.1083,7.2533,7.0591,7.124,108853,0
20050502,7.3535,7.7468,7.322,7.6107,132678,0
20050503,7.571,7.7892,7.5517,7.5656,89960,0
20050504,7.5958,8.0104,7.5958,7.9561,87700,0
20050505,8.0037,8.0825,7.9804,8.0496,49702,0
20050506,8.0328,8.2784,8.0287,8.1557,96321,0
20050509,8.1943,8.2268,7.7892,7.7892,304384,0
20050510,7.7892,7.7948,7.4152,7.472,145822,0
20050511,7.472,7.5849,7.3033,7.5126,64084,0
20050512,7.5958,7.6197,7.3535,7.3673,95092,0
20050513,7.3673,7.5228,7.0591,7.1374,161438,0
20050516,7.0897,7.3673,7.0897,7.226,150345,0
20050517,7.275,7.3535,7.1857,7.3033,62229,0
20050518,7.322,7.6683,7.322,7.4643,109884,0
