Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.9639,8.0608,7.9549,8.0254,1606615,0
20050228,8.0783,8.1929,8.0696,8.0871,1022661,0
20050301,8.0959,8.1047,8.0254,8.0518,568193,0
20050302,8.0166,8.0608,7.9812,8.0518,705170,0
20050303,8.0166,8.0431,7.9727,7.9989,796447,0
20050304,8.0342,8.0871,8.0166,8.0696,956213,0
20050307,8.0608,8.0696,8.0254,8.0431,478730,0
20050308,8.0342,8.0342,7.9549,7.9812,638721,0
20050309,8.1136,8.1753,8.0696,8.1488,597449,0
20050310,8.0871,8.1753,8.0783,8.1577,615929,0
20050311,8.3166,8.3518,8.2106,8.2106,1142060,0
20050314,8.2371,8.2725,8.1841,8.2282,1544137,0
20050315,8.2106,8.2106,8.1313,8.1488,599150,0
20050316,8.1488,8.1488,8.0166,8.0431,608221,0
20050317,8.0342,8.1224,8.0077,8.1224,1417141,0
20050318,8.1136,8.14,8.0783,8.1136,491769,0
20050321,8.0871,8.1047,8.0342,8.0959,1411245,0
20050322,8.0696,8.1313,8.0254,8.0518,2092489,0
20050323,8.0077,8.0077,7.9284,7.9549,1371445,0
20050324,7.7345,7.8843,7.7256,7.8667,1263272,0
20050328,7.8579,7.8579,7.7785,7.7785,745989,0
20050329,7.7256,7.7256,7.6021,7.6727,1170065,0
20050330,7.6285,7.7168,7.6285,7.6904,625571,0
20050331,7.6727,7.6814,7.5844,7.6285,989889,0
20050401,7.6197,7.7874,7.6197,7.761,697911,0
20050404,7.6992,7.6992,7.5404,7.6109,941133,0
20050405,7.6374,7.6463,7.5933,7.6197,443465,0
20050406,7.6374,7.7433,7.6374,7.6992,436096,0
20050407,7.7785,7.7785,7.6727,7.6904,484852,0
20050408,7.6992,7.7433,7.655,7.6992,460360,0
20050411,7.7345,7.7785,7.7256,7.7521,470339,0
20050412,7.6904,7.7785,7.6374,7.7698,472154,0
20050413,7.761,7.7698,7.6374,7.6814,431105,0
20050414,7.6109,7.6727,7.5844,7.6197,405936,0
20050415,7.5316,7.5933,7.4698,7.4698,539394,0
20050418,7.2052,7.3904,7.1964,7.2582,1310555,0
20050419,7.4169,7.5494,7.4169,7.5404,733518,0
20050420,7.6109,7.6463,7.4698,7.4963,444939,0
20050421,7.5316,7.6814,7.5316,7.6463,427592,0
20050422,7.6727,7.6814,7.5668,7.5844,364660,0
20050425,7.6197,7.7698,7.6197,7.7698,353775,0
20050426,7.6727,7.6904,7.5494,7.5933,779668,0
20050427,7.5757,7.6197,7.505,7.5844,228706,0
20050428,7.4698,7.6021,7.4698,7.4963,430427,0
20050429,7.5404,7.6463,7.505,7.6285,442332,0
20050502,7.7082,7.7168,7.6285,7.7082,566266,0
20050503,7.7256,7.7256,7.5404,7.6197,769007,0
20050504,7.6374,7.7521,7.6374,7.7082,535537,0
20050505,7.7785,7.8137,7.7168,7.7698,412738,0
20050506,7.7433,7.8314,7.7433,7.8049,239252,0
20050509,7.6992,7.6992,7.6463,7.6727,290506,0
20050510,7.5844,7.6021,7.4963,7.5316,312161,0
20050511,7.5139,7.5844,7.4874,7.5494,287784,0
20050512,7.4698,7.4963,7.3199,7.3816,692355,0
20050513,7.3729,7.3904,7.2582,7.3377,1876709,0
20050516,7.3022,7.3729,7.2933,7.3552,670473,0
20050517,7.2759,7.3377,7.2494,7.3111,935803,0
20050518,7.2759,7.3377,7.2406,7.3111,881490,0
20050519,7.3641,7.4433,7.3464,7.4257,1276765,0
20050520,7.3904,7.3904,7.3199,7.3377,531571,0
20050523,7.3199,7.4433,7.3199,7.3904,1159522,0
20050524,7.3904,7.4522,7.3816,7.4347,552433,0
20050525,7.4081,7.4169,7.3287,7.3904,489276,0
20050526,7.3377,7.3377,7.2846,7.2933,752112,0
20050527,7.267,7.267,7.1964,7.2317,658339,0
20050531,7.3022,7.3816,7.3022,7.3199,679315,0
20050601,7.3729,7.4787,7.3287,7.4347,1121422,0
20050602,7.4081,7.4522,7.3816,7.3992,391986,0
20050603,7.3729,7.4698,7.3552,7.3904,348219,0
20050606,7.4081,7.4874,7.4081,7.4698,383937,0
20050607,7.4433,7.5494,7.4433,7.505,250817,0
20050608,7.5757,7.5757,7.4522,7.4698,407521,0
20050609,7.4169,7.4963,7.4081,7.461,297195,0
20050610,7.4257,7.4963,7.3641,7.3729,541207,0
20050613,7.3641,7.3729,7.3199,7.3464,233924,0
20050614,7.3552,7.3816,7.3377,7.3729,439157,0
20050615,7.4347,7.5404,7.4347,7.5139,904849,0
20050616,7.5844,7.6727,7.5581,7.6374,741567,0
20050617,7.6904,7.7168,7.655,7.6814,431105,0
20050620,7.655,7.655,7.5404,7.5844,360350,0
20050621,7.6021,7.7345,7.6021,7.6904,574999,0
20050622,7.7168,7.7433,7.5494,7.6197,594614,0
20050623,7.7345,7.7345,7.5844,7.5933,311820,0
20050624,7.5494,7.6021,7.4874,7.5404,878994,0
20050627,7.3992,7.5316,7.3992,7.4963,524200,0
20050628,7.4347,7.5316,7.4257,7.4787,525445,0
20050629,7.4963,7.5668,7.4787,7.4963,382008,0
20050630,7.5494,7.5581,7.461,7.4787,472720,0
20050701,7.3992,7.4787,7.3992,7.4522,802797,0
20050705,7.4698,7.5228,7.4081,7.505,594727,0
20050706,7.4433,7.4433,7.3287,7.3641,624436,0
20050707,7.3022,7.4347,7.2759,7.4257,549598,0
20050708,7.4081,7.4874,7.3816,7.4874,493924,0
20050711,7.4698,7.4963,7.4433,7.4787,378494,0
20050712,7.4874,7.5581,7.4522,7.5404,528620,0
20050713,7.4698,7.4698,7.3992,7.4433,462516,0
20050714,7.4169,7.461,7.3904,7.4169,378721,0
20050715,7.3729,7.4522,7.3552,7.4257,313861,0
20050718,7.3992,7.4522,7.3992,7.4257,427252,0
20050719,7.3022,7.3199,7.267,7.2846,831597,0
20050720,7.2494,7.2582,7.126,7.2494,843618,0
20050721,7.2494,7.3199,7.223,7.2846,484401,0
20050722,7.2317,7.2759,7.1875,7.214,517623,0
20050725,7.2317,7.2494,7.1699,7.2406,486893,0
20050726,7.126,7.1875,7.0113,7.1435,533383,0
20050727,7.223,7.3022,7.1964,7.2582,744176,0
20050728,7.2846,7.3729,7.267,7.3729,832390,0
20050729,7.3729,7.4081,7.3111,7.3199,419313,0
20050801,7.4081,7.4698,7.3904,7.461,977983,0
20050802,7.4522,7.5933,7.4433,7.5668,1293998,0
20050803,7.5316,7.5844,7.5139,7.5139,357518,0
20050804,7.5139,7.5757,7.4963,7.505,499480,0
20050805,7.4874,7.4874,7.3464,7.3904,719454,0
20050808,7.4081,7.4787,7.4081,7.4433,509234,0
20050809,7.5316,7.6021,7.505,7.5404,510593,0
20050810,7.7168,8.0254,7.7168,7.8137,2534706,0
20050811,7.9989,8.1929,7.99,8.1929,1560580,0
20050812,8.1488,8.246,8.1136,8.2282,1028671,0
20050815,8.3782,8.6167,8.3782,8.6167,2337976,0
20050816,8.5543,8.5988,8.44,8.4576,1271776,0
20050817,8.5284,8.5898,8.5194,8.5373,990798,0
20050818,8.5454,8.5454,8.3871,8.5284,1179705,0
20050819,8.5627,8.6431,8.5543,8.5898,891808,0
20050822,8.9957,9.0757,8.89,9.039,3215045,0
20050823,8.8994,8.9432,8.7313,8.7672,1878410,0
20050824,9.0842,9.1811,9.0842,9.1024,1742004,0
20050825,8.9777,8.9957,8.8716,8.9507,1006671,0
20050826,9.039,9.039,8.8716,8.9078,601870,0
20050829,8.8455,8.8994,8.8014,8.8807,990570,0
20050830,8.9339,9.0305,8.9153,8.9871,1088199,0
20050831,8.9871,9.1263,8.9598,9.1263,1190361,0
20050901,8.9507,9.0842,8.9245,9.0136,1304092,0
20050902,9.0567,9.0567,8.9432,8.9693,845772,0
20050906,9.0305,9.1811,9.0136,9.1734,1562734,0
20050907,8.9693,9.039,8.9432,8.9957,2779515,0
20050908,8.828,8.8631,8.8105,8.8455,2237515,0
20050909,9.0041,9.1734,9.0041,9.1453,1571464,0
20050912,9.349,9.516,9.3037,9.3824,3094171,0
20050913,9.349,9.3667,9.2526,9.2776,1288783,0
20050914,9.2342,9.2526,9.0757,9.1024,977530,0
20050915,9.2863,9.462,9.2863,9.4364,1421451,0
20050916,9.525,9.684,9.508,9.657,1430635,0
20050919,9.648,9.657,9.55,9.588,2256903,0
20050920,9.763,9.922,9.71,9.79,3488767,0
20050921,9.816,9.922,9.781,9.781,2786545,0
20050922,9.807,9.852,9.703,9.842,977871,0
20050923,9.842,9.922,9.735,9.755,1120287,0
20050926,9.852,9.913,9.763,9.816,1414759,0
20050927,9.869,10.142,9.869,10.097,4813606,0
20050928,10.759,10.857,10.749,10.795,2651838,0
20050929,11.234,11.332,11.155,11.323,3528792,0
20050930,11.483,11.509,11.122,11.492,2226289,0
20051003,11.06,11.146,10.891,10.978,1380858,0
20051004,10.802,10.926,10.759,10.768,1724767,0
20051005,10.759,10.83,10.611,10.628,1708212,0
20051006,10.362,10.628,10.292,10.399,2780877,0
20051007,10.539,10.672,10.486,10.634,1647549,0
20051010,10.672,10.688,10.539,10.566,1575319,0
20051011,11.234,11.456,11.164,11.315,4266052,0
20051012,11.211,11.271,11.052,11.086,3159482,0
20051013,11.377,11.579,11.253,11.422,2365190,0
20051014,11.201,11.456,11.139,11.422,2206217,0
20051017,10.802,10.875,10.672,10.865,3401118,0
20051018,10.733,10.759,10.592,10.716,2525749,0
20051019,10.618,10.9,10.592,10.891,2735066,0
20051020,10.875,10.917,10.662,10.672,2114600,0
20051021,11.103,11.103,10.802,10.946,1948031,0
20051024,10.795,10.936,10.742,10.891,1813550,0
20051025,10.759,10.891,10.672,10.716,1840765,0
20051026,10.802,11.086,10.802,10.936,1670226,0
20051027,11.024,11.093,10.848,10.848,1201022,0
20051028,10.997,11.113,10.857,11.113,1417368,0
20051031,11.113,11.234,11.113,11.192,1723292,0
20051101,11.465,11.623,11.403,11.544,1296835,0
20051102,11.888,12.267,11.773,12.241,3083400,0
20051103,12.284,12.339,12.224,12.284,3080224,0
20051104,12.275,12.514,12.275,12.408,3019787,0
20051107,12.48,12.506,12.418,12.434,1495381,0
20051108,12.241,12.241,12.03,12.04,2005292,0
20051109,11.72,11.923,11.579,11.853,2337750,0
20051110,11.686,11.729,11.518,11.703,2058246,0
20051111,11.819,11.853,11.729,11.766,1206121,0
20051114,11.456,11.589,11.369,11.5,2472117,0
20051115,11.253,11.465,11.201,11.234,2264728,0
20051116,11.29,11.377,11.271,11.315,1753341,0
20051117,11.623,11.95,11.606,11.871,3372202,0
20051118,11.871,11.906,11.659,11.729,1256809,0
20051121,11.642,11.642,11.483,11.589,2319039,0
20051122,11.182,11.323,11.086,11.315,3212778,0
20051123,11.422,11.589,11.262,11.5,1489937,0
20051125,11.766,11.766,11.561,11.598,1246379,0
20051128,11.422,11.422,11.227,11.323,1589381,0
20051129,11.536,11.561,11.43,11.439,1319060,0
20051130,11.201,11.253,11.155,11.155,2906170,0
20051201,11.465,11.623,11.422,11.623,3052897,0
20051202,11.465,11.483,11.315,11.36,1510576,0
20051205,11.623,11.623,11.483,11.544,1402740,0
20051206,11.81,12.073,11.8,12.021,1988284,0
20051207,11.906,11.942,11.756,11.853,1211225,0
20051208,11.623,11.712,11.536,11.606,1833848,0
20051209,11.863,12.002,11.843,11.977,1065746,0
20051212,12.117,12.215,12.117,12.187,1434716,0
20051213,12.171,12.294,12.083,12.241,1890543,0
20051214,12.267,12.339,12.171,12.18,1418275,0
20051215,12.231,12.294,12.162,12.224,1248417,0
20051216,12.347,12.497,12.339,12.408,1284248,0
20051219,12.531,12.648,12.453,12.497,2024003,0
20051220,12.655,12.77,12.62,12.674,1347861,0
20051221,12.602,12.664,12.55,12.639,1081848,0
20051222,12.514,12.611,12.48,12.586,1784297,0
20051223,12.674,12.77,12.639,12.664,1955062,0
20051227,12.586,12.602,12.294,12.347,2141360,0
20051228,12.434,12.506,12.364,12.399,890560,0
20051229,12.26,12.303,12.117,12.162,942039,0
20051230,12.162,12.171,11.923,12.073,810166,0
20060103,12.171,12.698,12.171,12.461,1676689,0
20060104,12.373,12.56,12.373,12.55,2309290,0
20060105,12.523,12.523,12.126,12.329,1990892,0
20060106,12.284,12.461,12.224,12.339,1596523,0
20060109,12.434,12.506,12.364,12.506,1365777,0
20060110,11.906,11.994,11.766,11.819,3305642,0
20060111,11.888,12.092,11.888,12.055,1782821,0
20060112,11.95,11.95,11.633,11.747,1430635,0
20060113,11.703,11.738,11.623,11.686,1346160,0
20060117,11.819,11.827,11.729,11.782,2468828,0
20060118,11.57,11.747,11.474,11.686,2139999,0
20060119,11.863,11.985,11.79,11.942,2268356,0
20060120,11.729,11.738,11.29,11.386,2314617,0
20060123,11.554,11.65,11.474,11.623,2599340,0
20060124,11.642,11.766,11.633,11.659,1314636,0
20060125,11.79,11.79,11.65,11.695,990118,0
20060126,12.083,12.303,12.055,12.231,1804707,0
20060127,12.453,12.691,12.453,12.592,1692223,0
20060130,12.698,12.698,12.434,12.56,1586091,0
20060131,12.718,12.77,12.568,12.743,1546177,0
20060201,12.568,12.611,12.434,12.602,925146,0
20060202,12.602,12.639,12.418,12.453,881717,0
20060203,12.418,12.602,12.364,12.506,1218143,0
20060206,12.303,12.329,12.153,12.224,1302844,0
20060207,12.197,12.313,12.171,12.215,1136502,0
20060208,12.126,12.187,12.011,12.144,768894,0
20060209,12.197,12.347,12.126,12.153,1846207,0
20060210,12.162,12.206,11.968,12.1,1100445,0
20060213,12.135,12.135,11.923,11.994,1295475,0
20060214,12.04,12.284,12.002,12.275,1372579,0
20060215,12.339,12.391,12.197,12.275,1090920,0
20060216,12.319,12.48,12.284,12.48,1495718,0
20060217,11.914,12.241,11.914,12.231,1742343,0
20060221,11.994,12.047,11.863,11.95,1302504,0
20060222,11.906,12.215,11.871,12.153,4011378,0
20060223,12.339,12.461,12.267,12.329,2662609,0
20060224,12.56,12.77,12.523,12.655,2348978,0
20060227,12.797,13.052,12.797,13.034,2649570,0
20060228,13.308,13.308,13.096,13.139,2806276,0
20060301,13.125,13.229,13.052,13.185,2059153,0
20060302,12.991,13.034,12.875,12.929,2502506,0
20060303,12.938,12.964,12.743,12.875,2151224,0
20060306,12.698,12.718,12.497,12.531,2246699,0
20060307,12.488,12.55,12.339,12.488,1563412,0
20060308,12.497,12.523,12.171,12.443,2522348,0
20060309,12.698,12.832,12.443,12.461,2218012,0
20060310,12.629,12.698,12.54,12.691,1607297,0
20060313,12.761,12.938,12.761,12.884,1565114,0
20060314,12.788,13.052,12.698,13.018,3362903,0
20060315,12.788,12.832,12.682,12.77,2380156,0
20060316,12.514,12.577,12.434,12.531,2628483,0
20060317,12.743,12.77,12.629,12.735,1606615,0
20060320,12.919,12.955,12.797,12.832,1686895,0
20060321,12.832,12.929,12.708,12.735,1373033,0
20060322,12.718,12.78,12.639,12.761,1092052,0
20060323,12.674,12.674,12.418,12.488,1439704,0
20060324,12.611,12.78,12.56,12.718,873551,0
20060327,12.77,12.805,12.743,12.761,912444,0
20060328,12.611,12.691,12.523,12.55,1361353,0
20060329,12.718,12.955,12.718,12.938,1231862,0
20060330,13.405,13.724,13.317,13.66,4969519,0
20060331,13.565,13.59,13.3,13.412,2347162,0
20060403,13.757,13.828,13.644,13.757,2162451,0
20060404,13.608,13.66,13.529,13.644,1178229,0
20060405,13.803,13.989,13.793,13.96,1488577,0
20060406,14.243,14.279,14.118,14.243,2571899,0
20060407,14.375,14.419,14.137,14.208,1486195,0
20060410,14.367,14.367,14.164,14.27,998053,0
20060411,14.157,14.199,13.899,14.013,1315771,0
20060412,13.803,13.882,13.652,13.863,1189569,0
20060413,13.741,13.882,13.678,13.803,973221,0
20060417,13.757,13.757,13.397,13.59,1170519,0
20060418,13.803,14.171,13.803,14.118,1616253,0
20060419,13.757,13.917,13.757,13.873,2490827,0
20060420,13.793,13.821,13.678,13.766,1543004,0
20060421,13.917,13.926,13.775,13.828,909837,0
20060424,13.766,13.979,13.626,13.917,2369725,0
20060425,14.11,14.164,14.004,14.04,1245470,0
20060426,14.05,14.057,13.908,13.96,1059965,0
20060427,13.908,14.164,13.793,14.022,1276199,0
20060428,13.855,13.926,13.803,13.812,929567,0
20060501,13.951,14.157,13.812,13.855,1141491,0
20060502,13.951,14.085,13.863,13.926,1263158,0
20060503,14.03,14.157,13.942,14.157,1045110,0
20060504,14.128,14.147,14.013,14.118,693149,0
20060505,14.19,14.367,14.147,14.314,1109968,0
20060508,14.746,14.772,14.587,14.639,1397864,0
20060509,14.596,14.71,14.516,14.71,1417026,0
20060510,14.621,14.648,14.438,14.481,1311350,0
20060511,14.419,14.455,13.969,14.013,1692337,0
20060512,14.118,14.137,13.855,13.873,1290373,0
20060515,14.05,14.208,13.979,14.128,1831013,0
20060516,13.803,13.908,13.644,13.845,2946878,0
20060517,13.793,13.882,13.194,13.292,2719645,0
20060518,13.254,13.44,13.194,13.212,1403988,0
