Date,Open,High,Low,Close,Volume,OpenInt
20190913,18,19.41,17.5,18,35993741,0
20190916,18.6,19.55,18.3,18.63,9758097,0
20190917,18.45,18.9,18.2,18.75,3170878,0
20190918,18.83,19.7,18.63,19.59,4714162,0
20190919,20,20.48,18.31,18.75,8525548,0
20190920,18.9,20,18.77,19.87,4851169,0
20190923,20.09,21.22,19.58,20.96,3535511,0
20190924,21.51,22.08,19.67,20.71,5019945,0
20190925,20.88,21.2,20.1,20.52,2627705,0
20190926,20.52,20.61,18.71,19.55,3130886,0
20190927,19.41,19.7311,18,18.24,3290526,0
20190930,18.25,18.73,17.5101,18.57,2313431,0
20191001,18.72,18.72,16.62,16.84,2626406,0
20191002,16.41,17.3,15.51,17.25,3320994,0
20191003,17.22,17.38,16.52,16.78,2463664,0
20191004,17.12,17.45,16.6,17.27,1577780,0
20191007,17.27,17.6,16.9105,17.04,1427235,0
20191008,16.76,17.7,16.55,17.19,1310853,0
20191009,17.46,17.5398,16.92,17.34,842651,0
20191010,17.26,17.26,16.25,16.33,1888212,0
20191011,16.32,16.61,16.11,16.47,1459687,0
20191014,16.5,16.5,15.68,15.69,1293238,0
20191015,15.68,16.43,15.68,16.36,1026019,0
20191016,16.31,16.43,15.83,15.85,1121680,0
20191017,15.88,16.35,15.83,15.91,938739,0
20191018,16.1322,16.17,15.25,15.29,836729,0
20191021,15.37,15.69,14.5,14.97,1127668,0
20191022,15.04,15.13,14.52,14.62,1212997,0
20191023,14.63,15.2404,14.63,14.73,894715,0
20191024,14.85,15.93,14.8,15.84,1118127,0
20191025,15.79,16.3,15.69,16.17,1023473,0
20191028,16.3,16.41,15.8,16.03,1184943,0
20191029,16.12,16.24,15.58,15.72,753510,0
20191030,15.75,16.77,15.73,16.73,1093303,0
20191031,16.75,16.97,16.32,16.84,918151,0
20191101,16.92,17.19,16.7,16.83,705664,0
20191104,17.34,17.48,16.892,17.37,1013746,0
20191105,17.44,17.49,16.84,17.1,850880,0
20191106,16.99,17.1,16.16,16.22,1057002,0
20191107,16.47,16.84,15.55,15.89,1439956,0
20191108,16.24,16.596,15.585,16.12,1498723,0
20191111,15.94,16.466,15.94,16.23,503996,0
20191112,16.26,16.3735,16.02,16.16,338955,0
20191113,16,16.38,15.78,16.26,713239,0
20191114,16.12,16.75,16,16.67,659555,0
20191115,16.75,17.12,16.64,16.74,815160,0
20191118,16.79,16.99,16.51,16.89,460873,0
20191119,16.92,16.97,16.22,16.3,861629,0
20191120,16.2,17.09,16.18,16.92,761784,0
20191121,16.92,17.45,16.9178,17.36,1010721,0
20191122,17.45,17.99,17.3,17.77,1063553,0
20191125,17.8,18.22,17.74,18.07,787142,0
20191126,18.2,18.83,18.07,18.79,1335127,0
20191127,18.85,19.8,18.5682,19.61,1662597,0
20191129,19.4,19.62,19.131,19.48,496466,0
20191202,19.37,19.44,18.1982,18.94,1723193,0
20191203,18.25,19.1598,18.11,18.95,856449,0
20191204,19.1,19.4,18.83,18.96,992848,0
20191205,18.91,19.15,17.72,17.73,1145649,0
20191206,18.26,18.5,17.95,18.48,878687,0
20191209,18.45,18.57,17.27,17.71,924974,0
20191210,17.7,18.0625,17.43,17.67,453298,0
20191211,17.63,17.7048,17.05,17.17,611852,0
20191212,17.12,17.69,16.92,17.66,545472,0
20191213,17.62,18.195,17.33,17.95,704662,0
20191216,18.2,18.7,18.06,18.37,882440,0
20191217,18.24,19.2,17.42,17.61,1186032,0
20191218,17.55,17.759,17.38,17.39,772398,0
20191219,17.4,18.15,17.4,18,580045,0
20191220,18.3,18.7,17.8,18.12,4174063,0
20191223,18.29,18.29,17.28,17.34,981251,0
20191224,17.46,17.545,17.2,17.35,354499,0
20191226,17.24,17.55,17.15,17.18,498865,0
20191227,17.09,17.24,16.635,16.69,790399,0
20191230,16.7,17.24,16.2,17.21,890513,0
20191231,17.09,17.26,16.8,17.06,928233,0
20200102,17.24,17.35,16.8,17.03,706092,0
20200103,16.96,17.33,16.82,17.17,594403,0
20200106,17.15,17.95,16.98,17.69,1261809,0
20200107,17.67,17.849,17.3,17.67,568971,0
20200108,17.65,18,17.5,17.78,543817,0
20200109,18.12,18.12,17,17.02,924376,0
20200110,17.275,17.64,17.1,17.48,653595,0
20200113,17.7,18.54,17.63,18.36,840797,0
20200114,18.52,18.85,18.11,18.7,775592,0
20200115,18.7,19.3,18.7,18.85,1229327,0
20200116,19.11,19.2399,18.64,18.96,700445,0
20200117,19.14,19.3,18.4,18.6,542730,0
20200121,18.56,18.9,18,18,636082,0
20200122,18.19,18.49,17.98,18.05,526465,0
20200123,18.05,18.18,17.76,18.17,407089,0
