Date,Open,High,Low,Close,Volume,OpenInt
20150812,20.286,20.309,20.221,20.27,119193,0
20150813,20.278,20.278,20.233,20.253,179900,0
20150814,20.233,20.295,20.233,20.261,45407,0
20150817,20.344,20.344,20.253,20.278,47387,0
20150818,20.35,20.35,20.225,20.278,31468,0
20150819,20.173,20.27,20.173,20.225,28999,0
20150820,20.27,20.27,20.221,20.243,49605,0
20150821,20.253,20.27,20.173,20.27,23940,0
20150824,13.703,20.302,13.703,20.302,180946,0
20150825,20.214,20.295,20.214,20.221,70575,0
20150826,20.221,20.309,20.221,20.243,29368,0
20150827,20.233,20.261,20.214,20.221,21593,0
20150828,20.189,20.261,20.181,20.214,15544,0
20150831,20.253,20.27,20.199,20.225,26408,0
20150901,19.929,20.27,19.929,20.233,43060,0
20150902,20.27,20.278,20.225,20.225,39357,0
20150903,20.225,20.261,20.225,20.253,22828,0
20150904,20.199,20.286,20.199,20.221,38870,0
20150908,20.253,20.261,20.225,20.243,24062,0
20150909,20.243,20.261,20.243,20.243,15796,0
20150910,20.261,20.295,20.214,20.243,48469,0
20150911,21.177,21.177,20.233,20.243,26408,0
20150914,20.253,20.27,20.221,20.253,21342,0
20150915,20.261,20.278,20.233,20.253,14439,0
20150916,20.278,20.318,20.243,20.295,38130,0
20150917,20.327,20.327,20.225,20.225,50589,0
20150918,20.221,20.344,20.221,20.302,18015,0
20150921,20.283,20.305,20.229,20.249,28994,0
20150922,20.249,20.331,20.229,20.249,20473,0
20150923,20.239,20.324,20.229,20.324,31208,0
20150924,20.324,20.324,20.229,20.292,19171,0
20150925,20.21,20.331,20.21,20.258,73524,0
20150928,20.219,20.324,20.202,20.21,40886,0
20150929,20.169,20.3,20.169,20.249,28243,0
20150930,20.283,20.283,20.169,20.249,33923,0
20151001,20.225,20.258,20.219,20.219,27511,0
20151002,20.169,20.275,20.169,20.219,1027572,0
20151005,20.305,20.34,20.186,20.275,45002,0
20151006,20.324,20.34,20.195,20.275,25905,0
20151007,20.229,20.331,20.225,20.305,19367,0
20151008,20.275,20.428,20.225,20.314,43299,0
20151009,20.283,20.761,20.229,20.305,26026,0
20151012,20.314,20.363,20.239,20.283,49874,0
20151013,20.42,20.42,20.239,20.34,39972,0
20151014,20.283,20.324,20.267,20.283,30711,0
20151015,20.275,20.363,20.275,20.292,54767,0
20151016,20.3,20.349,20.267,20.3,35283,0
20151019,20.363,20.363,20.275,20.34,15420,0
20151020,20.351,20.384,20.253,20.377,14357,0
20151021,20.243,20.384,20.243,20.384,21446,0
20151022,20.278,20.384,20.278,20.309,23049,0
20151023,20.261,20.368,20.261,20.336,20704,0
20151026,20.286,20.399,20.286,20.327,20210,0
20151027,20.286,20.399,20.286,20.345,14544,0
20151028,20.309,20.399,20.309,20.327,27231,0
20151029,20.278,20.399,20.278,20.39,29578,0
20151030,20.327,20.399,20.302,20.399,21201,0
20151102,20.345,20.399,20.278,20.39,29927,0
20151103,20.302,20.416,20.286,20.318,21446,0
20151104,20.351,20.39,20.309,20.368,12242,0
20151105,20.318,20.39,20.295,20.309,23167,0
20151106,20.302,20.399,20.27,20.309,31180,0
20151109,20.253,20.368,20.233,20.336,24212,0
20151110,20.295,20.351,20.233,20.278,98220,0
20151111,20.261,20.336,20.221,20.295,73207,0
20151112,20.309,20.345,20.225,20.233,19715,0
20151113,20.214,20.302,20.206,20.243,21317,0
20151116,20.225,20.302,20.189,20.221,14912,0
20151117,20.181,20.318,20.181,20.206,31301,0
20151118,20.302,20.441,20.199,20.221,50400,0
20151119,20.351,20.351,20.181,20.199,48799,0
20151120,20.202,20.394,20.192,20.216,57800,0
20151123,20.176,20.33,20.166,20.192,40581,0
20151124,20.192,20.272,20.179,20.187,20893,0
20151125,20.183,20.33,20.183,20.192,21641,0
20151127,20.321,20.321,20.176,20.236,14390,0
20151130,20.183,20.272,20.044,20.236,30741,0
20151201,20.246,20.255,20.183,20.255,18408,0
20151202,20.192,20.297,20.192,20.246,22148,0
20151203,20.226,20.297,20.216,20.255,15106,0
20151204,20.226,20.33,20.183,20.192,23856,0
20151207,20.255,20.289,20.246,20.272,25457,0
20151208,20.255,20.321,20.176,20.297,20296,0
20151209,20.208,20.321,20.176,20.208,32343,0
20151210,20.192,20.303,20.176,20.208,26808,0
20151211,20.264,20.264,20.176,20.216,34433,0
20151214,20.202,20.339,19.185,20.069,130819,0
20151215,20.002,20.086,20.002,20.012,41810,0
20151216,20.037,20.312,20.012,20.078,27914,0
20151217,20.052,20.183,20.002,20.103,29885,0
20151218,20.078,20.192,20.078,20.103,38617,0
20151221,20.146,20.225,20.072,20.08,28927,0
20151222,20.08,20.23,20.08,20.162,16092,0
20151223,20.114,20.225,20.089,20.146,60545,0
20151224,20.186,20.225,20.08,20.132,18800,0
20151228,20.114,20.365,20.089,20.114,13161,0
20151229,20.222,20.285,20.038,20.259,22707,0
20151230,20.164,20.24,20.106,20.225,22408,0
20151231,20.231,20.259,20.132,20.203,21182,0
20160104,20.141,20.259,20.114,20.179,14098,0
20160105,20.162,20.225,20.141,20.219,882569,0
20160106,20.225,20.229,20.154,20.169,15930,0
20160107,20.154,20.24,20.062,20.141,38452,0
20160108,20.132,20.211,20.099,20.154,28944,0
20160111,20.154,20.24,20.141,20.195,25215,0
20160112,20.261,20.261,20.169,20.179,20951,0
20160113,20.195,20.25,20.162,20.173,22581,0
20160114,20.162,20.211,20.146,20.162,23868,0
20160115,20.146,20.25,20.08,20.099,27622,0
20160119,20.114,20.23,19.712,19.712,53928,0
20160120,20.023,20.223,19.94,19.948,24001,0
20160121,20.006,20.053,19.851,19.892,65257,0
20160122,20.006,20.191,19.982,20.023,60759,0
20160125,19.988,20.186,19.982,20.186,22921,0
20160126,20.148,20.251,19.988,20.147,20768,0
20160127,19.988,20.241,19.988,20.081,30854,0
20160128,20.092,20.231,19.988,20.142,16819,0
20160129,20.082,20.225,20.082,20.186,47874,0
20160201,20.136,20.225,19.924,20.19,25388,0
20160202,20.142,20.212,20.142,20.182,10114,0
20160203,20.223,20.231,20.037,20.073,15735,0
20160204,20.115,20.241,20.107,20.161,101410,0
20160205,20.301,20.301,20.098,20.147,98839,0
20160208,20.107,20.186,19.993,20.087,85605,0
20160209,20.145,20.251,19.998,20.124,155013,0
20160210,20.14,20.225,20.055,20.063,81201,0
20160211,20.039,20.231,20.039,20.085,32691,0
20160212,20.077,20.137,20.032,20.073,26075,0
20160216,20.039,20.163,19.988,19.988,138103,0
20160217,19.998,20.111,19.988,20.023,39026,0
20160218,19.988,20.1,19.876,20.047,129479,0
20160219,19.998,20.147,19.988,20.055,38912,0
20160222,20.116,20.197,19.993,20.108,52316,0
20160223,20.124,20.168,20.039,20.168,34320,0
20160224,20.1,20.269,20.1,20.213,829493,0
20160225,20.165,20.205,20.147,20.147,25261,0
20160226,20.144,20.269,20.144,20.197,24311,0
