Date,Open,High,Low,Close,Volume,OpenInt
20190509,25.1,26.32,24.96,25.02,536317,0
20190510,25.06,25.19,25.03,25.18,135000,0
20190513,25.05,25.17,25.05,25.1267,77934,0
20190514,25.17,25.3,25.17,25.17,235087,0
20190515,25.16,25.44,25.16,25.29,335931,0
20190516,25.35,25.45,25.326,25.4,97471,0
20190517,25.39,25.4,25.32,25.37,138667,0
20190520,25.36,25.45,25.27,25.3,126841,0
20190521,25.33,25.37,25.3,25.35,62857,0
20190522,25.34,25.43,25.339,25.4,67325,0
20190523,25.37,25.3795,25.3,25.37,63281,0
20190524,25.38,25.51,25.36,25.5,177161,0
20190528,25.55,25.675,25.5,25.63,203987,0
20190529,25.55,25.63,25.5,25.6,276632,0
20190530,25.63,25.69,25.61,25.64,136359,0
20190531,25.59,25.69,25.53,25.6,654100,0
20190603,25.63,25.715,25.6,25.67,88881,0
20190604,25.68,25.88,25.675,25.83,69318,0
20190605,25.84,25.92,25.7984,25.92,28398,0
20190606,25.96,26.17,25.96,26.05,113760,0
20190607,26.1,26.13,26.0897,26.11,24665,0
20190610,26.17,26.17,26.0804,26.1197,32474,0
20190611,26.11,26.12,26,26.0899,11841,0
20190612,26.12,26.14,26.09,26.125,83636,0
20190613,26.09,26.09,26.02,26.04,28529,0
20190614,26.06,26.13,25.5,26.13,80088,0
20190617,26.17,26.17,26.09,26.15,14834,0
20190618,26.15,26.19,26.02,26.14,90984,0
20190619,26.19,26.19,26.044,26.11,49302,0
20190620,26.16,26.16,26.1,26.1,23334,0
20190621,26.04,26.14,26.04,26.1343,15009,0
20190624,26.06,26.2,26.04,26.13,34439,0
20190625,26.19,26.26,26.0589,26.24,41651,0
20190626,26.27,26.63,26.25,26.29,38071,0
20190627,26.36,26.59,26.33,26.58,16135,0
20190628,26.64,26.89,26.42,26.69,231769,0
20190701,26.69,26.69,26.51,26.67,14266,0
20190702,26.5,26.71,26.46,26.69,13577,0
20190703,26.69,26.69,26.44,26.69,9026,0
20190705,26.69,26.8,26.5498,26.8,17435,0
20190708,26.8,26.84,26.7253,26.84,5885,0
20190709,26.84,27.2,26.815,26.94,15506,0
20190710,26.9,27.29,26.8705,26.942,11384,0
20190711,26.99,27.0056,26.95,27.0056,8839,0
20190712,26.85,26.9829,26.85,26.9,3448,0
20190715,26.95,26.95,26.7601,26.8,17498,0
20190716,26.85,26.86,26.6,26.86,4450,0
20190717,26.93,26.965,26.81,26.82,43796,0
20190718,26.94,26.94,26.8,26.84,18368,0
20190719,26.84,27.05,26.8,27.05,11749,0
20190722,27.05,27.0599,26.8223,27,9573,0
20190723,27.18,27.18,26.9368,27.15,8363,0
20190724,27.13,27.15,27,27.15,32852,0
20190725,27.2,27.2,26.68,26.95,19143,0
20190726,26.95,27.1097,26.827,27.05,5131,0
20190729,27.13,27.45,27.07,27.1,21086,0
20190730,27.16,27.28,27.088,27.265,49266,0
20190731,27.37,27.45,26.83,27.4,99078,0
20190801,27.46,27.56,27.11,27.42,23059,0
20190802,27.72,27.75,27.21,27.52,11550,0
20190805,27.32,27.4,26.92,27.05,24829,0
20190806,27.1,27.15,27.05,27.075,8212,0
20190807,27.16,27.5202,26.67,26.67,12077,0
20190808,26.67,27.23,26.39,26.47,30460,0
20190809,26.55,27,26.55,27,17263,0
20190812,27.26,27.3655,27.1743,27.28,7848,0
