Date,Open,High,Low,Close,Volume,OpenInt
19830901,0.9004,0.9078,0.8851,0.8923,74033,0
19830902,0.8851,0.8923,0.8851,0.8851,60810,0
19830906,0.9004,0.9004,0.8923,0.9004,41248,0
19830907,0.9004,0.9078,0.8851,0.8851,94129,0
19830908,0.9004,0.9078,0.8923,0.9078,138549,0
19830909,0.9078,0.9153,0.8851,0.8923,99413,0
19830912,0.9004,0.9078,0.9004,0.9078,56583,0
19830913,0.9228,0.9303,0.9078,0.9228,582744,0
19830914,0.9376,0.9457,0.9303,0.9457,14278,0
19830915,0.9607,0.9835,0.9457,0.9835,14278,0
19830916,0.9909,1.0058,0.9835,0.9987,285026,0
19830919,1.0438,1.0816,1.0213,1.0665,285026,0
19830920,1.0665,1.0665,1.0136,1.0438,123210,0
19830921,1.029,1.0665,1.0136,1.029,221569,0
19830922,1.029,1.0665,1.029,1.0665,50767,0
19830923,1.0742,1.0816,1.0665,1.0665,86722,0
19830926,1.0589,1.0665,1.0362,1.0665,116337,0
19830927,1.029,1.0589,1.0136,1.029,172389,0
19830928,1.029,1.0438,1.029,1.0438,49180,0
19830929,1.0438,1.0516,1.029,1.029,44418,0
19830930,1.029,1.0438,1.0058,1.0058,251184,0
19831003,0.9909,1.0058,0.9759,0.9909,34896,0
19831004,1.0136,1.029,1.0058,1.0213,156000,0
19831005,1.0213,1.029,1.0213,1.029,451600,0
19831006,1.029,1.0362,1.0058,1.0213,85139,0
19831007,1.0213,1.029,1.0213,1.029,35956,0
19831010,1.0213,1.0213,1.0136,1.0213,21154,0
19831011,1.0213,1.0213,1.0136,1.0213,19032,0
19831012,1.0213,1.0213,1.0136,1.0136,52882,0
19831013,1.0136,1.029,1.0058,1.0213,13749,0
19831014,1.0213,1.0213,1.0058,1.0136,31202,0
19831017,1.0136,1.0213,1.0136,1.0136,25913,0
19831018,1.0136,1.0136,1.0058,1.0058,26443,0
19831019,1.0058,1.0058,1.0058,1.0058,33843,0
19831020,1.0058,1.0136,0.9987,1.0058,34374,0
19831021,1.0058,1.0058,0.9909,1.0058,61344,0
19831024,0.9909,1.0058,0.9835,0.9835,8460,0
19831025,0.9835,0.9835,0.968,0.9759,86196,0
19831026,0.9759,1.0136,0.9759,1.0136,169215,0
19831027,1.0058,1.0058,0.9987,0.9987,34374,0
19831028,0.9909,1.0058,0.9909,0.9987,216820,0
19831031,0.9909,0.9909,0.9909,0.9909,48123,0
19831101,0.9909,0.9909,0.9759,0.9835,129558,0
19831102,0.9759,0.9759,0.9607,0.9607,17451,0
19831103,0.9607,0.9607,0.9228,0.9531,138020,0
19831104,0.9531,0.9607,0.9531,0.9531,92543,0
19831107,0.9607,0.9607,0.9457,0.9457,44418,0
19831108,0.9457,0.9607,0.9457,0.9607,80910,0
19831109,0.9531,0.9531,0.9531,0.9531,20620,0
19831110,0.9607,0.9759,0.9607,0.9607,50767,0
19831111,0.9607,0.9759,0.9607,0.968,41248,0
19831114,0.9759,0.9759,0.968,0.968,26971,0
19831115,0.968,0.9759,0.9531,0.9759,337909,0
19831116,0.9835,0.9987,0.9835,0.9835,21681,0
19831117,1.0136,1.0438,0.9909,1.0213,52882,0
19831118,1.029,1.0362,1.0213,1.0213,43890,0
19831121,1.029,1.0438,1.0136,1.0136,97831,0
19831122,1.0213,1.029,1.0058,1.029,124798,0
19831123,1.029,1.029,1.0136,1.029,34374,0
19831125,1.029,1.029,1.0058,1.0136,17451,0
19831128,1.0213,1.0213,0.9987,1.0058,72977,0
19831129,0.9987,1.029,0.9987,1.029,905322,0
19831130,1.029,1.0516,1.029,1.0438,194599,0
19831201,1.0516,1.0516,1.0213,1.0362,105231,0
19831202,1.0438,1.0516,1.0362,1.0438,85139,0
19831205,1.0438,1.0516,1.0362,1.0362,14278,0
19831206,1.0438,1.0438,1.029,1.0362,90424,0
