Date,Open,High,Low,Close,Volume,OpenInt
20170329,92.84,93.04,91,91,554,0
20170330,88.28,88.84,85.96,86.12,4048,0
20170331,87.48,87.48,84,84.28,2265,0
20170403,84.6,86.64,84.6,86.4,3403,0
20170404,84.48,84.48,82,82.338,6569,0
20170405,79,83.52,78.506,83,24299,0
20170406,79.72,79.72,65.216,79.414,368,0
20170407,78.315,78.32,76.6,76.954,3169,0
20170410,74.04,74.2,73.12,73.2,2741,0
20170411,73.16,74.185,72,72.28,3746,0
20170412,70.974,73.602,70.6,73.542,4740,0
20170413,71.96,73.44,71.6,73.04,3672,0
20170417,73.037,74.398,72.791,74.377,1273,0
20170418,75.64,76.52,74.44,74.571,6088,0
20170419,74.92,85.24,74.886,83.68,28582,0
20170420,84.32,85.2,82.44,84.952,3493,0
20170421,85.04,91.704,85.04,90.24,4170,0
20170424,91.6,92.8,91.4,92,2968,0
20170425,92.52,92.52,88.84,88.841,5315,0
20170426,92.436,92.6,87.4,91.041,3964,0
20170427,95.24,96.96,92.129,92.129,1082,0
20170428,91.204,94.32,89.88,92.6,4404,0
20170501,94.16,95.486,93.56,94.6,4655,0
20170502,94.72,103.2,94.72,101.08,5601,0
20170503,99.73,102.6,99.08,99.72,13246,0
20170504,106.2,114.92,106.2,114.88,13044,0
20170505,114.48,114.48,105.92,107.96,5123,0
20170508,106.36,111.52,104.72,107.08,3521,0
20170509,109.91,112.13,108.48,110.48,4308,0
20170510,105.96,106.12,97.32,100.12,13650,0
20170511,97.88,98.68,95.4,97.88,2558,0
20170512,97.2,100.32,96.96,97.28,11082,0
20170515,88,92.122,87.96,91.2,18189,0
20170516,89.88,93.28,89.32,92.884,11441,0
20170517,90.12,92.8,87.941,90.48,15580,0
20170518,93,93,87.68,89,10983,0
20170519,85.28,85.28,82.8,83.24,27241,0
20170522,81.32,82.28,80.32,81.6,21520,0
20170523,80.4,81.32,79.2,79.36,11760,0
20170524,79.8,81.4,77.92,80.16,14915,0
20170525,82.4,93.8,80.8,92.8,91115,0
20170526,90.68,91.44,86.24,86.64,20918,0
20170530,89.28,90.16,86.32,87.84,33316,0
20170531,94.16,97,92.96,94.6,27767,0
20170601,93.64,96,86.64,96,24541,0
20170602,98.6,101,95.8,97.36,32024,0
20170605,101.56,102.44,98.96,99.52,23087,0
20170606,101.16,101.24,93.882,94.2,19403,0
20170607,98.04,109.32,97.16,108.72,46758,0
20170608,111.24,111.28,106.88,109.96,15319,0
20170609,108.72,109.96,106,107.96,10068,0
20170612,103.48,106.8,102.24,106.77,6797,0
20170613,107.36,109.88,103.76,104.4,10786,0
20170614,106.44,117,105.44,115.92,64755,0
20170615,116.8,118.28,115.84,118,7775,0
20170616,115.16,116.64,115,115.6,5617,0
20170619,113.97,120.12,113.48,119.72,13376,0
20170620,127.6,130.64,125.8,126.6,16668,0
20170621,126.08,138.96,120.64,136.87,50489,0
20170622,132.96,134,128.26,133.52,20163,0
20170623,133.36,134.84,128.76,129.56,16496,0
20170626,129.12,133.88,126.47,126.64,8885,0
20170627,124.04,124.08,118.2,119.83,15664,0
20170628,120.04,120.72,112.3,115.6,27674,0
20170629,113,116.12,110.6,114.88,16090,0
20170630,110.92,112.2,104.76,104.96,31496,0
20170703,103.08,103.08,100.72,101.08,17842,0
20170705,102.24,112.4,102,112,52066,0
20170706,105.52,110.36,101.2,110.12,42859,0
20170707,114.8,120.88,114.16,117.44,66848,0
20170710,119.88,120.16,113.4,116.12,21277,0
20170711,117.36,117.88,109.52,110.84,29583,0
20170712,103.84,110.64,101.08,108.56,56834,0
20170713,107,107.56,102.8,103.92,43924,0
20170714,101.6,103.48,99.56,100.04,45974,0
20170717,101.2,104.16,100,104.08,21856,0
20170718,99.44,103.52,99.36,101.04,27123,0
20170719,100,100.4,95.96,96.932,24292,0
20170720,94.36,99.6,94.2,99.28,22734,0
20170721,100.52,107.88,100.4,107.2,47538,0
20170724,103.2,103.68,101.6,102.08,22698,0
20170725,95.96,97.12,91.92,92.12,59838,0
20170726,89.56,91.92,86.6,87.48,50321,0
20170727,86.2,88.32,84.68,85.24,34115,0
