Date,Open,High,Low,Close,Volume,OpenInt
20050225,14.442,14.583,14.442,14.535,11408,0
20050228,14.68,14.728,14.526,14.554,14607,0
20050301,14.535,14.671,14.498,14.564,26973,0
20050302,14.564,14.564,14.498,14.545,14607,0
20050303,14.535,14.633,14.488,14.574,9062,0
20050304,14.633,14.958,14.623,14.858,14822,0
20050307,14.841,14.916,14.643,14.868,33369,0
20050308,14.868,14.878,14.653,14.776,20045,0
20050309,14.776,14.776,14.545,14.7,32731,0
20050310,14.7,14.7,14.079,14.294,85398,0
20050311,14.331,14.452,14.214,14.452,120260,0
20050314,14.452,14.488,14.388,14.414,13220,0
20050315,14.452,14.452,14.165,14.358,19832,0
20050316,14.358,14.358,13.6,14.049,63223,0
20050317,14.049,14.442,14.032,14.442,21644,0
20050318,14.442,14.868,14.069,14.868,70577,0
20050321,14.868,14.916,14.233,14.69,36993,0
20050322,14.583,14.633,14.348,14.554,25906,0
20050323,15.004,15.004,14.442,14.488,23458,0
20050324,14.488,14.554,14.313,14.442,59812,0
20050328,14.488,14.488,14.214,14.442,44565,0
20050329,14.442,14.583,14.251,14.322,16631,0
20050330,14.368,14.623,14.214,14.593,30067,0
20050331,14.633,14.776,14.488,14.69,83800,0
20050401,14.633,14.776,14.442,14.719,23134,0
20050404,14.728,14.916,14.68,14.878,128151,0
20050405,14.757,14.925,14.71,14.71,39983,0
20050406,14.633,14.824,14.423,14.728,35822,0
20050407,14.633,14.7,14.488,14.671,27507,0
20050408,14.488,14.583,14.175,14.348,44246,0
20050411,14.396,14.535,14.294,14.294,34223,0
20050412,14.204,14.442,14.089,14.331,17059,0
20050413,14.348,14.368,14.118,14.277,17911,0
20050414,14.214,14.251,13.469,13.469,26867,0
20050415,13.479,13.479,13.046,13.046,29320,0
20050418,13.046,13.375,13.018,13.274,34866,0
20050419,13.365,13.673,13.365,13.673,43181,0
20050420,13.927,13.927,13.302,13.581,42645,0
20050421,13.6,13.871,13.6,13.871,26867,0
20050422,13.871,14.26,13.871,14.128,83268,0
20050425,14.165,14.516,14.118,14.414,57676,0
