Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.601,11.715,11.422,11.672,182655,0
20050228,11.61,11.61,11.323,11.372,283664,0
20050301,11.353,11.731,11.353,11.706,351577,0
20050302,11.681,11.787,11.43,11.601,217222,0
20050303,11.601,11.616,11.347,11.372,380260,0
20050304,11.422,11.697,11.331,11.576,216973,0
20050307,11.681,11.916,11.681,11.771,235610,0
20050308,11.771,11.771,11.534,11.633,230214,0
20050309,11.585,11.601,11.517,11.576,165000,0
20050310,11.585,11.755,11.509,11.576,183391,0
20050311,11.576,11.657,11.543,11.576,289056,0
20050314,11.568,11.649,11.543,11.601,408946,0
20050315,11.624,11.731,11.559,11.624,247623,0
20050316,11.543,11.551,11.387,11.422,536189,0
20050317,11.43,11.61,11.387,11.517,333676,0
20050318,11.543,11.61,11.464,11.543,302783,0
20050321,11.501,11.509,11.422,11.478,198837,0
20050322,11.464,11.534,11.394,11.472,264295,0
20050323,11.455,11.534,11.403,11.492,240023,0
20050324,11.501,11.593,11.472,11.485,154213,0
20050328,11.501,11.576,11.394,11.568,115230,0
20050329,11.568,11.576,11.323,11.379,323871,0
20050330,11.258,11.585,11.258,11.485,545501,0
20050331,11.485,11.517,11.34,11.347,618809,0
20050401,11.387,11.485,11.112,11.112,775472,0
20050404,11.112,11.387,10.966,11.372,434932,0
20050405,11.387,11.61,11.387,11.585,549179,0
20050406,11.624,11.649,11.232,11.266,436155,0
20050407,11.266,11.266,10.94,11.144,699963,0
20050408,11.144,11.144,10.808,10.891,567081,0
20050411,10.891,10.996,10.827,10.891,371188,0
20050412,10.866,11.202,10.818,11.158,544277,0
20050413,11.158,11.175,10.922,10.94,640872,0
20050414,10.957,11.028,10.808,10.827,493282,0
20050415,10.827,10.898,10.499,10.499,532512,0
20050418,10.515,10.866,10.515,10.736,560215,0
20050419,11.054,11.885,11.021,11.862,1905711,0
20050420,11.819,12.188,11.681,11.755,1060850,0
20050421,11.862,12.015,11.64,11.81,673975,0
20050422,11.819,11.819,11.29,11.387,692605,0
20050425,11.464,11.706,11.464,11.624,644796,0
20050426,11.624,11.862,11.517,11.665,597233,0
20050427,11.665,11.924,11.568,11.624,584975,0
20050428,11.601,11.88,11.464,11.534,577622,0
