Date,Open,High,Low,Close,Volume,OpenInt
20050225,8.4315,8.4385,8.3675,8.4385,39594,0
20050228,8.471,8.4781,8.4054,8.4504,66560,0
20050301,8.4385,8.471,8.3954,8.4112,87896,0
20050302,8.4315,8.4598,8.3954,8.3954,83806,0
20050303,8.4315,8.4385,8.3988,8.3988,53762,0
20050304,8.3675,8.4647,8.3675,8.4253,56662,0
20050307,8.4385,8.4504,8.4176,8.4504,17235,0
20050308,8.4504,8.4504,8.4054,8.4176,29359,0
20050309,8.3206,8.3988,8.2602,8.2602,91140,0
20050310,8.2676,8.3206,8.2353,8.2676,69801,0
20050311,8.2676,8.3675,8.2228,8.3509,149515,0
20050314,8.3675,8.3675,8.3206,8.3206,176824,0
20050315,8.3206,8.3509,8.3206,8.339,26284,0
20050316,8.339,8.339,8.2075,8.2743,32772,0
20050317,8.2857,8.3278,8.2743,8.2857,98826,0
20050318,8.28,8.3453,8.28,8.339,7001,0
20050321,8.3325,8.3675,8.2977,8.339,52402,0
20050322,8.3278,8.339,8.2602,8.2676,85342,0
20050323,8.2422,8.2422,8.146,8.2025,107700,0
20050324,8.2297,8.2743,8.2025,8.2125,46589,0
20050328,8.2743,8.2743,8.0494,8.1146,143374,0
20050329,8.0389,8.1759,8.0389,8.146,79358,0
20050330,8.1264,8.2025,8.1264,8.182,24914,0
20050331,8.1264,8.2297,8.1264,8.2228,71173,0
20050401,8.2857,8.3206,8.2602,8.28,37892,0
20050404,8.2977,8.3325,8.2602,8.2857,31239,0
20050405,8.3278,8.3278,8.28,8.3159,46082,0
20050406,8.3278,8.339,8.2977,8.3037,92001,0
20050407,8.3037,8.3278,8.2857,8.3159,27826,0
20050408,8.3278,8.3278,8.28,8.3159,69461,0
20050411,8.2743,8.3084,8.2743,8.3037,24234,0
20050412,8.2743,8.3159,8.2602,8.3037,54783,0
20050413,8.2927,8.3084,8.28,8.28,20993,0
20050414,8.2602,8.3037,8.2534,8.2534,35328,0
20050415,8.2602,8.3084,8.2602,8.2676,15360,0
20050418,8.2534,8.3206,8.2534,8.28,54783,0
20050419,8.3159,8.339,8.3159,8.339,16898,0
20050420,8.339,8.3453,8.3037,8.3278,27302,0
20050421,8.3278,8.3453,8.2977,8.339,65368,0
20050422,8.3453,8.3563,8.3084,8.3509,43535,0
20050425,8.3278,8.3714,8.3278,8.3278,39082,0
20050426,8.3453,8.3453,8.3084,8.3325,42495,0
20050427,8.339,8.339,8.3278,8.3278,14847,0
20050428,8.3509,8.3675,8.2977,8.3037,81584,0
20050429,8.3278,8.3563,8.3206,8.3206,97798,0
20050502,8.3037,8.3509,8.2977,8.3206,65712,0
20050503,8.3453,8.3714,8.3206,8.3714,70493,0
20050504,8.3714,8.3988,8.362,8.3988,33453,0
20050505,8.3675,8.3988,8.3675,8.3988,42833,0
20050506,8.3988,8.3988,8.3714,8.3954,24072,0
20050509,8.3954,8.4385,8.3842,8.4385,33282,0
20050510,8.4385,8.7363,8.4253,8.5721,147806,0
20050511,8.5823,8.6108,8.537,8.537,14677,0
20050512,8.5436,8.5721,8.4967,8.5661,64168,0
20050513,8.5569,8.5948,8.5271,8.5948,118964,0
20050516,8.6047,8.6047,8.5617,8.5786,17915,0
20050517,8.5786,8.653,8.5336,8.6047,43688,0
20050518,8.6047,8.6962,8.5993,8.6228,119643,0
20050519,8.6298,8.6648,8.6047,8.6363,64005,0
20050520,8.6711,8.6711,8.5569,8.5569,30208,0
20050523,8.5661,8.5661,8.4967,8.5139,67425,0
20050524,8.52,8.5721,8.5012,8.5721,69801,0
20050525,8.5786,8.5786,8.537,8.5504,11607,0
20050526,8.5504,8.5661,8.5271,8.5336,31576,0
20050527,8.5569,8.5661,8.5139,8.5661,21168,0
20050531,8.5823,8.6108,8.5336,8.6108,29706,0
20050601,8.5993,8.6575,8.5993,8.6472,68103,0
20050602,8.6108,8.6711,8.5993,8.6711,78845,0
20050603,8.7018,8.7018,8.6427,8.6711,56662,0
20050606,8.7018,8.7018,8.6172,8.6575,56662,0
20050607,8.6575,8.7088,8.6228,8.6575,51722,0
20050608,8.6108,8.6108,8.4781,8.4845,159751,0
20050609,8.4845,8.4845,8.4445,8.4445,89610,0
20050610,8.4598,8.4598,8.3885,8.4112,89610,0
20050613,8.3885,8.4385,8.3885,8.4385,58709,0
20050614,8.4253,8.4845,8.4054,8.4781,121183,0
20050615,8.4445,8.4781,8.4445,8.471,32940,0
20050616,8.4781,8.5139,8.471,8.5139,41132,0
20050617,8.52,8.5436,8.4967,8.4967,82605,0
20050620,8.52,8.5336,8.4781,8.5012,75444,0
20050621,8.5617,8.5879,8.5271,8.5721,60591,0
20050622,8.5569,8.6228,8.5569,8.5823,46935,0
20050623,8.6047,8.6363,8.5948,8.6363,66227,0
20050624,8.6363,8.6575,8.6298,8.6427,32596,0
20050627,8.6472,8.653,8.5569,8.5569,93527,0
20050628,8.5436,8.5823,8.5271,8.5823,47274,0
20050629,8.5948,8.7703,8.5786,8.7703,142342,0
20050630,8.7519,8.7703,8.6427,8.7309,93361,0
20050701,8.7309,8.8116,8.7253,8.7703,92680,0
20050705,8.7703,8.7828,8.7456,8.7703,43018,0
20050706,8.7703,8.8171,8.7519,8.7867,150364,0
20050707,8.8171,8.8712,8.8171,8.8636,69972,0
20050708,8.8769,8.9009,8.8486,8.8879,41132,0
20050711,8.8486,8.8636,8.7309,8.8116,117770,0
20050712,8.7519,8.8572,8.7088,8.8572,82944,0
20050713,8.8116,8.8879,8.8116,8.8486,35505,0
20050714,8.8956,8.8956,8.8302,8.8572,58709,0
20050715,8.8302,8.8879,8.8116,8.8535,37722,0
20050718,8.8171,8.8486,8.7867,8.7938,35668,0
20050719,8.7938,8.8535,8.7938,8.8422,26629,0
20050720,8.8712,8.8712,8.8013,8.8369,28338,0
20050721,8.8486,8.8636,8.8369,8.8572,27302,0
20050722,8.8486,8.9238,8.8486,8.9238,61618,0
20050725,8.9071,8.941,8.8769,8.9071,23554,0
20050726,8.9306,8.9354,8.8486,8.8636,71345,0
20050727,8.9071,8.9178,8.8636,8.8956,39765,0
20050728,8.9009,8.9354,8.7867,8.8769,85507,0
20050729,8.8769,8.8769,8.8013,8.8422,12805,0
20050801,8.8171,8.8535,8.7649,8.7649,44374,0
20050802,8.8171,8.8712,8.8171,8.8712,62811,0
20050803,8.8171,8.8712,8.8171,8.8226,49329,0
20050804,8.8369,8.8814,8.8369,8.8814,43860,0
20050805,8.8956,8.9698,8.8712,8.8712,92159,0
20050808,8.8712,8.9632,8.8013,8.8486,89257,0
20050809,8.7703,8.9306,8.7703,8.8712,45400,0
20050810,8.9306,8.9306,8.8486,8.8572,81762,0
20050811,8.8226,8.9071,8.8226,8.8769,60761,0
20050812,8.9071,8.9306,8.8535,8.9071,12805,0
20050815,8.9071,8.9354,8.8712,8.8769,38412,0
20050816,8.8769,8.9009,8.8572,8.8769,31408,0
20050817,8.8712,8.9128,8.8572,8.8814,23892,0
20050818,8.8956,8.9128,8.8535,8.8712,39432,0
20050819,8.8769,8.8769,8.8535,8.8535,29872,0
20050822,8.8814,8.8814,8.8535,8.8712,14515,0
20050823,8.8712,8.9238,8.8712,8.9071,46769,0
20050824,8.8769,8.9238,8.8769,8.9071,36871,0
20050825,8.9071,8.951,8.8956,8.9238,52564,0
20050826,8.951,8.9819,8.9306,8.9819,31737,0
20050829,9.022,9.055,9.022,9.055,35328,0
20050830,9.1117,9.1117,8.9914,9.0274,97289,0
20050831,9.0821,9.0821,9.0162,9.0484,42833,0
20050901,9.055,9.055,9.0274,9.0343,38917,0
20050902,9.055,9.1049,9.0398,9.1012,13653,0
20050906,9.0768,9.1856,9.0722,9.0897,18259,0
20050907,9.1387,9.1915,9.1117,9.1915,48137,0
20050908,9.2255,9.2255,9.1117,9.1117,46769,0
20050909,9.1387,9.1541,9.1117,9.1175,36191,0
20050912,9.1387,9.1856,9.132,9.1856,43688,0
20050913,9.1981,9.2853,9.1856,9.2785,66738,0
20050914,9.2605,9.2605,9.1856,9.1915,35668,0
20050915,9.2255,9.2605,9.1387,9.1492,55470,0
20050916,9.1117,9.1541,9.0956,9.132,47274,0
20050919,9.1387,9.1981,9.0897,9.0897,22187,0
20050920,9.1204,9.179,9.0274,9.055,62292,0
20050921,9.1117,9.1492,9.0626,9.0722,35668,0
20050922,9.0722,9.1541,8.9473,9.022,63151,0
20050923,9.1117,9.132,8.9128,8.9632,55128,0
20050926,8.9632,8.9632,8.9071,8.951,26963,0
20050927,8.9238,8.951,8.7867,8.7867,83456,0
20050928,8.7867,8.9071,8.7867,8.8879,88240,0
20050929,8.8879,8.9009,8.8572,8.8956,34817,0
20050930,8.9178,8.9178,8.8535,8.9071,30208,0
20051003,8.9354,8.9566,8.8486,8.9009,30040,0
20051004,8.9632,8.9914,8.8879,8.9632,66738,0
20051005,8.9566,8.9698,8.8486,8.8486,63151,0
20051006,8.9071,8.9071,8.8422,8.8769,73389,0
20051007,8.8535,8.9071,8.8535,8.8956,79193,0
20051010,8.9071,8.9071,8.8769,8.9071,70147,0
20051011,8.9632,9.1981,8.8712,8.8712,47624,0
20051012,8.806,8.9071,8.806,8.806,48817,0
20051013,8.7585,8.9071,8.7585,8.8486,64346,0
20051014,8.8486,8.8535,8.6711,8.7309,74588,0
20051017,8.7828,8.7828,8.6711,8.7363,40276,0
20051018,8.7018,8.7363,8.6472,8.6575,48297,0
20051019,8.6427,8.6648,8.5823,8.6047,26629,0
20051020,8.6427,8.6796,8.5271,8.6108,53425,0
20051021,8.6427,8.6796,8.5823,8.6648,18779,0
20051024,8.6711,8.7828,8.6711,8.7828,54268,0
20051025,8.8422,8.8572,8.7309,8.7585,49329,0
20051026,8.8171,8.8226,8.7309,8.7309,53246,0
20051027,8.7867,8.8226,8.7309,8.7828,37390,0
20051028,8.7867,8.806,8.7585,8.7585,10243,0
20051031,8.8171,8.8486,8.7828,8.8422,37390,0
20051101,8.9009,8.9071,8.8636,8.8769,26792,0
20051102,8.8171,8.9009,8.8116,8.9009,40276,0
20051103,8.9009,8.9238,8.8226,8.8486,46082,0
20051104,8.8171,8.8422,8.8116,8.8116,40106,0
20051107,8.8171,8.8302,8.7938,8.7938,46082,0
20051108,8.806,8.8369,8.8013,8.8013,34133,0
20051109,8.8369,8.8369,8.74,8.74,59905,0
20051110,8.7585,8.8486,8.7309,8.7363,80052,0
20051111,8.7763,8.8535,8.7363,8.8535,35505,0
20051114,8.8486,8.9071,8.8226,8.8769,76293,0
20051115,8.8302,8.9178,8.7309,8.9071,68955,0
20051116,8.9071,9.0162,8.8486,8.9354,24072,0
20051117,8.9354,9.0105,8.9009,8.951,22356,0
20051118,8.9632,9.0105,8.7363,8.8422,79539,0
20051121,8.7938,8.8486,8.7585,8.8171,25261,0
20051122,8.7585,8.8302,8.7585,8.8302,49329,0
20051123,8.7867,8.9009,8.7867,8.8369,19295,0
20051125,8.8769,8.8769,8.7763,8.7763,18599,0
20051128,8.7867,8.8486,8.7703,8.7867,92499,0
20051129,8.9071,8.9071,8.7867,8.8013,29872,0
20051130,8.8302,8.8879,8.7763,8.8486,60761,0
20051201,8.8769,8.9071,8.8171,8.8486,25428,0
20051202,8.8486,8.8879,8.8422,8.8636,18941,0
20051205,8.806,8.8712,8.7867,8.8712,29706,0
20051206,8.8769,8.9009,8.8572,8.8956,25261,0
20051207,8.9071,8.9632,8.8572,8.9071,52402,0
20051208,8.9071,8.941,8.8814,8.941,22356,0
20051209,8.9566,8.9914,8.9566,8.9914,37541,0
20051212,8.941,9.0029,8.9128,8.9876,48817,0
20051213,8.9756,9.055,8.9756,9.022,41820,0
20051214,9.0956,9.0956,8.9306,8.9306,69461,0
20051215,8.9756,9.0105,8.9128,8.9238,32436,0
20051216,8.9354,8.9698,8.9071,8.9566,51367,0
20051219,8.9632,9.0162,8.8636,8.8636,43535,0
20051220,8.8572,8.9698,8.8535,8.9306,42158,0
20051221,8.9354,9.0029,8.9071,9.0029,30384,0
20051222,9.0029,9.055,8.9632,9.022,22015,0
20051223,9.1387,9.1387,9.022,9.0626,22700,0
20051227,9.0626,9.1262,9.022,9.0343,26111,0
20051228,9.055,9.132,9.0484,9.0821,25604,0
20051229,9.1262,9.2785,9.1204,9.2605,93873,0
20051230,9.1981,9.2921,9.1981,9.2785,41820,0
20060103,9.2488,9.3554,9.2313,9.3488,85170,0
20060104,9.3682,9.3682,9.2853,9.2921,30208,0
20060105,9.3263,9.3341,9.2785,9.3341,31053,0
20060106,9.2853,9.3633,9.2692,9.3554,59905,0
20060109,9.3117,9.3751,9.2921,9.3439,25769,0
20060110,9.3019,9.405,9.3019,9.399,60072,0
20060111,9.3751,9.405,9.3263,9.405,34817,0
20060112,9.405,9.4344,9.2178,9.3019,38054,0
20060113,9.2853,9.3409,9.2692,9.2921,45571,0
20060117,9.2751,9.3019,9.1981,9.2488,45571,0
20060118,9.2313,9.297,8.9819,9.0768,85342,0
20060119,9.0821,9.1444,9.0821,9.1117,27826,0
20060120,9.1607,9.1856,9.1175,9.1175,21683,0
20060123,9.132,9.2313,9.1204,9.2255,47274,0
20060124,9.2785,9.3682,9.2255,9.3439,49842,0
20060125,9.3439,9.3751,9.2853,9.3263,23721,0
20060126,9.3633,9.3633,9.2605,9.2605,25428,0
20060127,9.2605,9.3633,9.2605,9.3409,25940,0
20060130,9.3633,9.3633,9.1981,9.1981,32436,0
20060131,9.2178,9.2605,9.1607,9.1607,28338,0
20060201,9.1981,9.3409,9.1387,9.2785,72539,0
20060202,9.2785,9.3117,9.0897,9.0897,110597,0
20060203,9.0821,9.0821,8.9178,8.9876,82944,0
20060206,8.9128,8.9566,8.8712,8.951,123742,0
20060207,8.9071,8.9632,8.8535,8.951,105819,0
20060208,8.9354,8.941,8.7867,8.8422,143708,0
20060209,8.8486,8.8769,8.8422,8.8636,122378,0
20060210,8.8956,8.9128,8.7938,8.8422,68955,0
20060213,8.7201,8.806,8.7088,8.7938,64513,0
20060214,8.8769,8.9632,8.7938,8.9009,44547,0
20060215,8.8769,9.0105,8.8769,8.9756,42158,0
20060216,8.9914,9.0029,8.8486,9.0029,85682,0
20060217,9.022,9.0956,8.9819,9.0768,47446,0
20060221,9.0821,9.132,9.0821,9.132,37032,0
