Date,Open,High,Low,Close,Volume,OpenInt
20190924,0.95,1.06,0.95,1.06,17866,0
20190930,1.07,1.07,1.07,1.07,167,0
20191010,0.95,1.07,0.95,1.07,48090,0
20191105,1.03,1.03,1.03,1.03,9999,0
20191112,0.95,1.02,0.9,0.9,32002,0
20191113,0.9,0.96,0.9,0.96,3102,0
20191115,0.87,0.9,0.8499,0.8499,55606,0
20191126,0.84,0.84,0.83,0.83,11000,0
20191210,0.7969,0.7969,0.7969,0.7969,5000,0
20191211,0.8,0.8,0.72,0.7899,28146,0
20191217,0.79,0.79,0.79,0.79,67966,0
20200113,0.8707,0.8707,0.8109,0.8109,6500,0
20200117,0.9,0.9,0.85,0.85,3434,0
