Date,Open,High,Low,Close,Volume,OpenInt
20050225,8.4273,8.4835,8.4273,8.4615,160445,0
20050228,8.4782,8.5303,8.4782,8.5011,137902,0
20050301,8.5011,8.5011,8.4411,8.4835,223719,0
20050302,8.4951,8.5076,8.4668,8.5076,213754,0
20050303,8.5076,8.5418,8.5076,8.5182,130557,0
20050304,8.5243,8.5833,8.5243,8.5607,145065,0
20050307,8.6158,8.6158,8.5475,8.5788,155201,0
20050308,8.5545,8.5833,8.5303,8.5356,249057,0
20050309,8.4951,8.5011,8.3759,8.3759,284715,0
20050310,8.3303,8.3759,8.3303,8.3646,262172,0
20050311,8.3361,8.3686,8.3361,8.3646,161147,0
20050314,8.3066,8.3759,8.3066,8.3303,294320,0
20050315,8.3258,8.3686,8.2968,8.3127,312335,0
20050316,8.3127,8.3529,8.2968,8.3361,173736,0
20050317,8.3822,8.4042,8.3529,8.3993,243638,0
20050318,8.3937,8.4729,8.3591,8.4668,280350,0
20050321,8.4615,8.4951,8.3591,8.3591,256399,0
20050322,8.3529,8.3822,8.3032,8.3032,124977,0
20050323,8.3032,8.3258,8.1243,8.1706,571359,0
20050324,8.2221,8.255,8.1948,8.2121,213231,0
20050328,8.182,8.2334,8.1304,8.2121,234722,0
20050329,8.2334,8.2376,8.206,8.2179,184385,0
20050330,8.2121,8.2908,8.2121,8.2846,91417,0
20050331,8.2968,8.3822,8.2968,8.3646,166043,0
20050401,8.4273,8.4615,8.4273,8.4569,123213,0
20050404,8.4211,8.4951,8.4042,8.4464,205888,0
20050405,8.4516,8.4668,8.3529,8.3822,164469,0
20050406,8.3937,8.4411,8.3937,8.3993,74285,0
20050407,8.3822,8.388,8.3303,8.3303,167963,0
20050408,8.3303,8.3303,8.2603,8.2908,182642,0
20050411,8.2673,8.3066,8.2603,8.2968,159571,0
20050412,8.2908,8.3303,8.2499,8.3127,208344,0
20050413,8.2743,8.3414,8.2743,8.3414,160094,0
20050414,8.2968,8.3529,8.2968,8.3529,152228,0
20050415,8.3529,8.3686,8.3258,8.3529,239446,0
20050418,8.3529,8.4042,8.3303,8.4042,399717,0
20050419,8.3822,8.4569,8.3822,8.4273,200299,0
20050420,8.4338,8.4338,8.388,8.4273,119197,0
20050421,8.4273,8.4273,8.3686,8.388,220570,0
20050422,8.4114,8.4464,8.3993,8.3993,151353,0
20050425,8.4211,8.4835,8.416,8.4729,175297,0
20050426,8.4516,8.4835,8.3993,8.4516,208164,0
20050427,8.4516,8.4835,8.4211,8.4569,108892,0
20050428,8.4615,8.4951,8.4516,8.4782,137383,0
20050429,8.4888,8.5076,8.4729,8.4951,104351,0
