Date,Open,High,Low,Close,Volume,OpenInt
20170314,24.69,24.89,24.65,24.82,106141,0
20170315,24.83,24.83,24.66,24.74,129580,0
20170316,24.8,24.9,24.73,24.7601,145935,0
20170317,24.8099,25.05,24.782,24.939,155875,0
20170320,24.98,24.98,24.86,24.89,69722,0
20170321,24.89,24.92,24.81,24.89,99589,0
20170322,24.88,25.02,24.88,24.99,129582,0
20170323,24.99,25.05,24.98,25,110252,0
20170324,25,25.15,25,25.04,197817,0
20170327,24.99,25.23,24.94,25.19,109202,0
20170328,25.23,25.33,25.2,25.31,153384,0
20170329,25.33,25.35,25.24,25.28,225000,0
20170330,25.28,25.38,25.26,25.31,122705,0
20170331,25.33,25.36,25.21,25.22,116226,0
20170403,25.26,25.32,25.26,25.28,92451,0
20170404,25.28,25.33,25.25,25.29,69922,0
20170405,25.3,25.32,25.15,25.16,106965,0
20170406,25.17,25.24,25.12,25.23,55773,0
20170407,25.27,25.37,25.26,25.35,117031,0
20170410,25.36,25.43,25.32,25.36,110456,0
20170411,25.37,25.42,25.24,25.4,59299,0
20170412,25.39,25.45,25.34,25.38,59951,0
20170413,25.34,25.48,25.33,25.48,45600,0
20170417,25.5,25.58,25.43,25.47,68880,0
20170418,25.45,25.45,25.32,25.37,51012,0
20170419,25.39,25.49,25.33,25.33,63992,0
20170420,25.38,25.39,25.28,25.34,65030,0
20170421,25.37,25.38,25.03,25.1,407326,0
20170424,25.18,25.23,25.13,25.23,143621,0
20170425,25.23,25.27,25.14,25.18,164747,0
20170426,25.16,25.22,25.06,25.21,113530,0
20170427,25.18,25.36,25.16,25.36,87832,0
20170428,25.3637,25.39,25.32,25.369,44138,0
20170501,25.36,25.36,25.28,25.319,107559,0
20170502,25.35,25.36,25.29,25.32,210717,0
20170503,25.35,25.4,25.35,25.37,25959,0
20170504,25.36,25.395,25.26,25.3,53963,0
20170505,25.31,25.3699,25.3,25.34,21125,0
20170508,25.31,25.37,25.2964,25.3,31808,0
20170509,25.3,25.37,25.26,25.36,44607,0
20170510,25.31,25.41,25.31,25.41,31958,0
20170511,25.4,25.41,25.35,25.35,17162,0
20170512,25.4,25.43,25.37,25.4,23625,0
20170515,25.44,25.49,25.41,25.4844,33530,0
20170516,25.49,25.53,25.45,25.52,42948,0
20170517,25.47,25.51,25.4,25.48,25535,0
20170518,25.4,25.5008,25.4,25.49,26753,0
20170519,25.45,25.57,25.45,25.57,27794,0
20170522,25.57,25.7,25.52,25.7,20773,0
