Date,Open,High,Low,Close,Volume,OpenInt
20170725,89.003,89.003,88.961,88.961,1922,0
20170726,88.961,88.961,88.961,88.961,0,0
20170727,88.961,88.961,88.961,88.961,0,0
20170728,88.961,88.961,88.961,88.961,0,0
20170731,89.523,89.523,89.523,89.523,153,0
20170801,89.586,89.767,89.586,89.702,1527,0
20170802,89.702,89.702,89.702,89.702,0,0
20170803,89.702,89.702,89.702,89.702,0,0
20170804,89.586,89.586,89.586,89.586,154,0
20170807,89.586,89.586,89.586,89.586,0,0
20170808,89.586,89.586,89.586,89.586,179,0
20170809,89.586,89.586,89.586,89.586,0,0
20170810,89.586,89.586,89.586,89.586,0,0
20170811,89.363,89.363,89.363,89.363,135,0
20170814,89.363,89.363,89.363,89.363,0,0
20170815,89.551,89.551,89.551,89.551,179,0
20170816,89.551,89.551,89.551,89.551,0,0
20170817,89.551,89.551,89.551,89.551,0,0
20170818,89.551,89.551,89.551,89.551,0,0
20170821,89.551,89.551,89.551,89.551,0,0
20170822,89.551,89.551,89.551,89.551,0,0
20170823,89.551,89.551,89.551,89.551,0,0
20170824,89.643,89.643,89.623,89.623,1810,0
20170825,89.623,89.623,89.623,89.623,0,0
20170828,89.749,89.749,89.749,89.749,229,0
20170829,89.693,89.693,89.504,89.504,1849,0
20170830,89.504,89.504,89.504,89.504,0,0
20170831,89.504,89.504,89.504,89.504,0,0
20170901,89.903,89.903,89.829,89.829,455,0
20170905,90.04,90.04,90.04,90.04,228,0
20170906,89.805,89.805,89.805,89.805,103,0
20170907,89.805,89.805,89.805,89.805,0,0
20170908,89.805,89.805,89.805,89.805,0,0
20170911,89.805,89.805,89.805,89.805,0,0
20170912,89.805,89.805,89.805,89.805,0,0
20170913,89.805,89.805,89.805,89.805,0,0
20170914,89.805,89.805,89.805,89.805,0,0
20170915,89.805,89.805,89.805,89.805,0,0
20170918,89.805,89.805,89.805,89.805,0,0
20170919,90.057,90.137,90.057,90.119,1492,0
20170920,90.012,90.012,90.012,90.012,1027,0
20170921,90.1,90.1,90.1,90.1,295,0
20170922,90.1,90.1,90.074,90.074,1348,0
20170925,90.309,90.309,90.258,90.258,326,0
20170926,90.345,90.345,90.336,90.336,1027,0
20170927,90.258,90.272,90.258,90.272,347,0
20170928,90.272,90.272,90.272,90.272,0,0
20170929,90.418,90.428,90.418,90.428,330,0
20171002,90.499,90.499,90.291,90.291,639,0
20171003,90.491,90.491,90.491,90.491,229,0
20171004,89.945,89.945,89.839,89.839,510,0
20171005,89.839,89.839,89.839,89.839,0,0
20171006,89.975,90.012,89.975,90.012,305,0
20171009,90.109,90.109,90.09,90.09,368,0
20171010,90.09,90.09,90.09,90.09,373,0
20171011,90.09,90.09,90.09,90.09,221,0
20171012,90.137,90.137,90.109,90.137,524,0
20171013,90.231,90.258,90.231,90.258,256,0
20171016,90.173,90.173,90.173,90.173,184,0
20171017,90.202,90.202,90.202,90.202,300,0
20171018,90.249,90.249,90.249,90.249,276,0
20171019,90.309,90.309,90.309,90.309,245,0
20171020,90.309,90.309,90.309,90.309,0,0
20171023,90.465,90.465,90.4,90.4,1030,0
20171024,90.355,90.355,90.355,90.355,1144,0
20171025,90.355,90.355,90.355,90.355,942,0
20171026,90.355,90.355,90.355,90.355,0,0
20171027,90.355,90.355,90.355,90.355,86,0
20171030,90.482,90.525,90.482,90.525,4891,0
20171031,90.465,90.474,90.465,90.474,227,0
20171101,90.231,90.272,90.231,90.272,1357,0
20171102,90.272,90.272,90.272,90.272,1477,0
20171103,90.345,90.345,90.345,90.345,556,0
20171106,90.345,90.345,90.345,90.345,0,0
20171107,90.345,90.345,90.345,90.345,228,0
20171108,90.211,90.211,90.211,90.211,229,0
20171109,90.211,90.211,89.985,90.211,1282,0
20171110,90.1,90.1,89.995,89.995,651,0
20171113,90.291,90.291,90.202,90.202,1691,0
20171114,90.202,90.202,90.202,90.202,1819,0
20171115,89.749,89.749,89.749,89.749,2228,0
20171116,90.202,90.202,90.173,90.173,1225,0
20171117,90.137,90.202,90.137,90.146,4486,0
20171120,90.067,90.09,90.067,90.09,1146,0
20171121,90.09,90.09,90.09,90.09,0,0
20171122,90.39,90.447,90.345,90.447,4036,0
20171124,90.309,90.309,90.309,90.309,201,0
20171127,90.281,90.408,90.241,90.336,7752,0
20171128,90.564,90.646,90.564,90.618,666,0
20171129,90.437,90.584,90.39,90.584,3393,0
20171130,90.508,90.508,90.508,90.508,441,0
20171201,90.637,90.681,90.525,90.646,12654,0
20171204,90.627,90.627,90.627,90.627,1016,0
20171205,90.718,90.718,90.646,90.689,3522,0
20171206,90.554,90.637,90.508,90.515,4108,0
20171207,90.664,90.664,90.4,90.4,582,0
20171208,89.345,89.354,89.252,89.325,6576,0
20171211,90.173,90.336,90.173,90.241,1949,0
20171212,90.241,90.241,90.241,90.241,1973,0
20171213,90.534,90.534,90.534,90.534,192,0
20171214,90.554,90.554,90.457,90.457,748,0
20171215,90.447,90.554,90.437,90.554,1061,0
20171218,90.554,90.554,90.554,90.554,1098,0
20171220,90.281,90.291,90.109,90.281,1440,0
20171221,90.281,90.281,90.281,90.281,1442,0
20171222,90.364,90.601,90.355,90.601,326,0
20171226,90.718,90.718,90.718,90.718,167,0
20171227,90.718,90.86,90.718,90.832,1215,0
20171228,90.681,90.718,90.681,90.718,454,0
20171229,90.766,90.766,90.766,90.766,140,0
20180102,90.681,90.681,90.544,90.544,3442,0
20180103,90.805,90.805,90.805,90.805,5,0
20180104,90.939,90.939,90.939,90.939,326,0
20180105,90.842,90.842,90.813,90.813,1534,0
20180108,90.813,90.813,90.813,90.813,1784,0
20180109,90.813,90.813,90.813,90.813,266,0
20180110,90.823,90.823,90.823,90.823,224,0
20180111,91.235,91.235,90.931,91.004,2093,0
20180116,91.172,91.172,91.172,91.172,437,0
20180117,91.004,91.144,91.004,91.144,405,0
20180118,91.144,91.144,91.144,91.144,551,0
20180119,90.956,90.956,90.956,90.956,323,0
20180122,90.823,90.823,90.823,90.823,492,0
20180123,90.931,90.984,90.851,90.931,2343,0
20180124,90.931,90.931,90.931,90.931,2425,0
20180125,90.965,90.984,90.877,90.984,1131,0
20180126,90.922,90.939,90.922,90.939,3877,0
20180129,90.939,90.939,90.939,90.939,191,0
20180130,90.922,90.922,90.746,90.746,44957,0
20180131,90.736,91.032,90.736,91.023,2927,0
20180201,90.832,90.832,90.727,90.785,1270,0
20180202,90.574,90.574,90.46,90.564,3819,0
20180205,90.564,90.564,90.564,90.564,77,0
20180206,90.201,90.29,90.145,90.145,2568,0
20180207,90.266,90.266,90.108,90.108,1890,0
20180208,90.336,90.336,90.147,90.147,363,0
20180209,90.055,90.088,89.827,90.088,4372,0
20180212,90.141,90.141,90.141,90.141,173,0
20180213,90.055,90.08,89.984,90.01,2399,0
