Date,Open,High,Low,Close,Volume,OpenInt
20191105,25.27,25.27,25.26,25.26,30548,0
20191106,25.27,25.27,25.27,25.27,965,0
20191107,25.2665,25.27,25.26,25.26,40672,0
20191108,25.26,25.27,25.26,25.27,29727,0
20191111,25.26,25.28,25.26,25.2676,4258,0
20191112,25.27,25.2728,25.26,25.27,3704,0
20191114,25.28,25.28,25.26,25.27,51890,0
20191115,25.2667,25.27,25.26,25.26,3060,0
20191118,25.27,25.28,25.268,25.28,5538,0
20191119,25.26,25.28,25.2522,25.28,83064,0
20191120,25.27,25.28,25.26,25.27,13966,0
20191121,25.27,25.29,25.27,25.27,12363,0
20191122,25.27,25.29,25.26,25.2817,2752,0
20191125,25.27,25.27,25.27,25.27,545,0
20191126,25.26,25.3,25.26,25.28,4305,0
20191127,25.27,25.2818,25.27,25.28,2181,0
20191129,25.27,25.32,25.27,25.32,10371,0
20191202,25.2912,25.2947,25.27,25.29,1979,0
20191203,25.29,25.3,25.29,25.29,3191,0
20191204,25.3,25.3074,25.29,25.29,22879,0
20191205,25.3,25.31,25.3,25.31,6356,0
20191206,25.33,25.33,25.3,25.32,22875,0
20191209,25.312,25.33,25.31,25.31,21839,0
20191210,25.32,25.34,25.31,25.32,12700,0
20191211,25.32,25.32,25.31,25.31,21460,0
20191212,24.97,24.97,24.96,24.96,65683,0
20191213,24.98,24.99,24.97,24.97,12516,0
20191216,24.98,24.98,24.9733,24.9733,657,0
20191217,24.99,24.99,24.98,24.9859,2076,0
20191218,24.98,24.99,24.98,24.98,5832,0
20191219,24.98,24.9801,24.98,24.98,22213,0
20191220,24.98,24.99,24.98,24.99,27947,0
20191223,24.98,24.98,24.98,24.98,60924,0
20191224,24.9868,24.99,24.98,24.98,63454,0
20191226,24.99,25,24.99,24.99,10009,0
20191227,24.99,25,24.99,24.99,3511,0
