Date,Open,High,Low,Close,Volume,OpenInt
20050225,47.234,48.344,47.164,48.09,981020,0
20050228,48.422,48.841,47.97,48.212,1014824,0
20050301,48.22,48.229,47.241,47.592,1047849,0
20050302,46.427,47.147,46.381,47.147,1029186,0
20050303,47.147,47.501,47.108,47.339,477065,0
20050304,46.963,47.386,46.849,47.331,664368,0
20050307,47.386,48.029,47.386,47.638,472235,0
20050308,48.649,48.949,48.496,48.718,636043,0
20050309,49.224,49.316,48.192,48.212,738244,0
20050310,48.344,48.543,47.54,47.73,1240113,0
20050311,47.492,47.962,47.241,47.77,318088,0
20050314,47.999,48.328,47.578,48.29,478762,0
20050315,48.281,48.81,47.77,47.837,443129,0
20050316,47.884,48.442,47.476,48.237,1039626,0
20050317,48.344,49.624,48.344,49.452,1187637,0
20050318,49.82,50.145,49.8,49.939,776618,0
20050321,50.106,50.335,49.812,50.075,877646,0
20050322,49.324,49.785,48.176,48.398,1194947,0
20050323,47.21,47.234,46.276,46.628,1283575,0
20050324,46.734,47.562,46.734,47.217,610592,0
20050328,47.193,47.249,46.311,46.637,420940,0
20050329,46.889,47.395,46.551,46.551,456964,0
20050330,47.501,47.884,47.193,47.792,659930,0
20050331,47.984,48.741,47.984,48.434,491032,0
20050401,49.194,49.761,49.194,49.616,591405,0
20050404,50.145,50.181,49.224,49.231,757822,0
20050405,49.34,49.493,48.826,49.033,456052,0
20050406,49.033,49.608,48.818,49.37,578482,0
20050407,49.785,49.785,48.889,48.934,815646,0
20050408,49.033,49.645,48.834,48.918,547287,0
20050411,48.841,48.902,48.266,48.757,543242,0
20050412,48.381,48.489,47.425,47.999,836402,0
20050413,47.922,48.107,47.117,47.369,560470,0
20050414,46.849,47.386,46.849,47.156,603023,0
20050415,46.903,47.003,45.394,46.221,918890,0
20050418,45.547,46.665,45.426,46.407,707441,0
20050419,47.088,47.654,46.963,47.631,647792,0
20050420,46.658,46.963,45.831,45.854,1254862,0
20050421,46.926,47.139,46.459,47.056,674809,0
20050422,47.05,47.425,46.933,47.256,576526,0
20050425,47.578,47.877,47.469,47.601,499646,0
20050426,47.601,47.984,47.476,47.585,331664,0
20050427,47.77,47.77,46.582,46.788,454222,0
20050428,46.427,46.521,45.984,46.13,1027618,0
20050429,46.13,46.137,45.516,45.747,571828,0
20050502,45.952,46.694,45.768,46.62,435820,0
20050503,46.311,46.414,46.007,46.13,483720,0
20050504,46.199,47.027,46.068,47.027,591143,0
20050505,47.027,47.095,46.749,47.08,398882,0
20050506,47.21,47.225,46.949,47.043,229461,0
20050509,47.462,47.762,47.418,47.646,340932,0
20050510,47.884,48.074,47.624,47.73,426031,0
20050511,47.778,47.962,47.532,47.807,247475,0
20050512,47.807,47.822,46.39,46.611,1009081,0
20050513,46.949,47.027,46.276,46.42,595580,0
20050516,46.582,46.582,45.584,46.367,615552,0
20050517,46.199,46.903,46.153,46.741,652359,0
20050518,46.352,47.234,46.352,46.62,424988,0
20050519,46.849,47.31,46.813,47.187,341192,0
20050520,47.501,47.617,47.193,47.585,245906,0
20050523,47.585,47.669,47.278,47.476,244214,0
20050524,47.51,48.052,47.401,47.945,236512,0
20050525,47.884,48.16,47.608,48.107,380870,0
20050526,48.107,48.266,47.922,48.121,352027,0
20050527,48.319,49.134,48.319,49.118,424727,0
20050531,49.608,49.698,49.118,49.401,599626,0
20050601,49.425,49.891,49.239,49.884,774009,0
20050602,49.418,49.493,48.971,49.142,619206,0
20050603,49.27,49.898,49.118,49.591,474454,0
20050606,50.565,51.325,50.565,51.178,690212,0
20050607,51.64,52.114,51.606,51.714,580443,0
20050608,52.251,53.247,52.022,52.688,985850,0
20050610,53.783,54.205,53.401,53.615,849190,0
20050613,53.445,53.492,52.709,52.765,726366,0
20050614,51.868,52.311,51.561,52.179,680553,0
20050615,52.404,52.671,52.375,52.449,534757,0
20050616,53.247,53.547,53.057,53.247,857674,0
20050617,53.552,53.937,53.439,53.844,777661,0
20050620,54.397,55.125,54.213,54.956,770745,0
20050621,55.507,55.927,54.625,54.756,937034,0
20050622,55.875,55.882,55.437,55.62,644269,0
20050623,56.228,56.694,56.189,56.28,553164,0
20050624,57.384,57.46,56.473,56.473,685512,0
20050627,56.004,56.694,55.96,56.504,566997,0
20050628,57.27,57.27,56.687,56.748,959484,0
20050629,57.222,57.422,56.886,57.194,573524,0
20050630,57.076,57.085,56.274,56.274,526011,0
20050701,56.426,57.499,56.42,57.422,454356,0
20050705,57.844,59.337,57.821,59.298,762655,0
20050706,60.135,60.638,59.613,59.926,795282,0
20050707,59.337,59.912,58.526,59.827,619206,0
20050708,59.376,59.76,59.162,59.499,703133,0
20050711,59.499,59.95,58.005,59.453,533583,0
20050712,59.622,60.296,59.575,60.036,662803,0
20050713,60.525,60.67,59.906,60.343,626910,0
20050714,60.525,60.71,58.993,59.329,1268042,0
20050715,59.108,59.453,58.664,59.108,511913,0
20050718,59.108,59.171,58.303,58.878,424335,0
20050719,58.608,59.76,58.587,59.638,353982,0
20050720,59.973,60.272,59.009,59.674,705352,0
20050721,63.36,64.279,62.718,63.512,2305321,0
20050722,63.435,64.124,63.052,64.124,542200,0
20050725,65.297,66.026,65.208,65.934,1041455,0
20050726,65.887,65.912,65.289,65.504,529014,0
20050727,66.884,67.097,66.448,66.97,609678,0
20050728,66.388,66.929,66.126,66.845,534105,0
20050729,68.961,69.106,68.34,68.363,613331,0
20050801,69.411,71.092,69.337,70.998,980496,0
20050802,72.401,73.281,71.938,72.401,1260734,0
20050803,69.337,70.177,68.669,68.839,1560415,0
20050804,67.42,68.095,66.173,67.375,1396740,0
20050805,67.442,68.379,66.861,67.865,579136,0
20050808,69.337,70.823,69.182,70.17,738897,0
20050809,69.719,69.796,68.262,68.669,790979,0
20050810,69.45,70.678,69.337,70.678,949825,0
20050811,70.561,70.944,69.927,70.654,457617,0
20050812,70.678,70.775,70.002,70.561,563997,0
20050815,70.6,70.746,69.801,70.102,324613,0
20050816,69.411,69.458,67.672,68.151,1074997,0
20050817,67.92,68.133,64.641,65.121,1412794,0
20050818,64.814,64.822,63.237,63.703,2202594,0
20050819,62.287,63.506,62.241,62.673,1936587,0
20050822,62.831,63.121,62.44,62.518,1938282,0
20050823,62.822,63.047,62.271,62.593,833658,0
20050824,62.072,62.081,60.954,61.407,2384677,0
20050825,63.435,64.569,63.024,64.338,1627505,0
20050826,62.848,64.625,62.848,63.093,571698,0
20050829,63.589,63.88,63.015,63.451,578092,0
20050830,63.052,63.398,62.673,62.939,1093271,0
20050831,62.939,62.939,62.939,62.939,13969,0
20050901,62.901,63.971,62.901,63.82,1895862,0
20050902,63.167,63.167,62.518,62.678,1502594,0
20050906,62.822,62.947,61.903,62.057,942776,0
