Date,Open,High,Low,Close,Volume,OpenInt
20170811,14,14.5,13.5,14.22,2093191,0
20170814,14.2,14.2,13.96,14,65975,0
20170815,13.9,14.05,13.75,14,135528,0
20170816,14,14.1,13.9,14.01,64711,0
20170817,14.1,14.1,13.75,13.75,18385,0
20170818,14,14.88,13.95,14.15,159393,0
20170821,14.5,14.5,13.88,13.99,109101,0
20170822,13.95,14.29,13.8,14.05,68562,0
20170823,14,14.13,13.8397,14,130350,0
20170824,14.02,14.065,13.9645,14,42510,0
20170825,13.99,14,13.96,14,38896,0
20170828,13.91,14.15,13.84,14.05,35382,0
20170829,13.9,14.15,13.84,13.98,38692,0
20170830,13.9919,14.25,13.99,14.2,37975,0
20170831,14.11,14.25,13.85,14.2,167828,0
20170901,14.2,15.17,14.06,14.92,58542,0
20170905,14.77,14.77,14.15,14.57,78151,0
20170906,14.63,14.65,14.33,14.53,82827,0
20170907,14.525,14.55,14,14.37,126150,0
20170908,14.34,14.7,14,14.55,106079,0
20170911,14.45,14.55,13.84,13.93,81212,0
20170912,14,14.3,13.96,14.2,116335,0
20170913,14.15,14.54,13.92,14.36,150100,0
20170914,14.4,15.7,14.2556,15.5,80482,0
20170915,15.69,15.69,14.7,14.75,57189,0
20170918,14.58,14.615,14.02,14.08,62182,0
20170919,14.08,14.34,14.05,14.16,21766,0
20170920,14.13,14.28,13.85,14.25,65626,0
20170921,14.25,14.35,14.2,14.35,19396,0
20170922,14.4,14.55,14.28,14.51,13757,0
20170925,14.51,14.91,14.51,14.87,31492,0
20170926,14.98,15.07,14.52,14.6,44744,0
20170927,14.68,14.805,14.42,14.52,20327,0
20170928,14.48,14.69,14.24,14.66,14738,0
20170929,14.6,14.76,14.595,14.7,44773,0
20171002,14.7,14.7,14.5823,14.6,17008,0
20171003,14.547,14.67,14.45,14.52,12234,0
20171004,14.5,14.55,14.44,14.5,26433,0
20171005,14.47,14.67,14.47,14.59,15824,0
20171006,14.57,14.6,14.41,14.58,4738,0
20171009,14.34,14.985,14.28,14.75,23786,0
20171010,14.85,15.05,14.8497,14.88,53730,0
20171011,14.91,14.91,14.62,14.77,21979,0
20171012,14.7,14.855,14.7,14.8,5772,0
20171013,14.8,14.88,14.48,14.58,11198,0
20171016,14.57,14.59,14.48,14.58,6403,0
20171017,14.48,14.575,13.75,13.92,39764,0
20171018,13.92,13.96,12.99,13.16,90527,0
20171019,13.05,13.21,12.999,13.18,25751,0
20171020,13.28,13.38,13.15,13.16,7824,0
20171023,13.25,13.27,12.61,12.75,38054,0
20171024,12.83,12.9,12.24,12.35,19629,0
20171025,12.35,12.47,11.392,11.75,42557,0
20171026,11.65,11.65,11.14,11.39,64882,0
20171027,11.4,11.75,10.8,11,70372,0
20171030,10.87,12.08,10.87,11.92,51800,0
20171031,11.91,12.17,11.54,11.6,13247,0
20171101,11.5,12.42,11.5,12.24,42662,0
20171102,12.19,12.47,11.37,11.39,27928,0
20171103,11.51,11.6,11.02,11.38,139562,0
20171106,11.23,12.24,11.23,11.85,193606,0
20171107,11.7,11.96,11.33,11.43,164408,0
20171108,11.35,11.47,11.135,11.22,26015,0
20171109,11.24,11.265,10.51,10.61,27943,0
20171110,10.5,10.75,8.87,8.96,334390,0
20171113,9.2,9.5,9.02,9.12,58422,0
20171114,9.08,9.12,8.56,8.82,67548,0
20171115,8.76,9.24,8.48,9.17,74417,0
20171116,9.18,9.3299,8.82,9.26,22305,0
20171117,9.26,9.46,8.985,9.32,67384,0
20171120,9.3,9.3,9.15,9.18,47645,0
20171121,9.2,9.21,9.01,9.11,61141,0
20171122,9.17,9.22,9.03,9.16,18315,0
20171124,9.14,9.31,8.98,9.25,6012,0
20171127,9.25,9.25,9.05,9.12,15800,0
20171128,9.07,9.32,8.66,9.23,137814,0
20171129,9.28,9.3,8.75,9.19,36490,0
20171130,9.19,9.56,9.19,9.43,29255,0
20171201,9.52,9.6,9.4,9.47,68914,0
20171204,9.59,10.37,9.59,9.9,30472,0
20171205,9.95,10.025,9.62,9.71,37560,0
20171206,9.68,9.81,9.51,9.63,15718,0
20171207,9.59,9.85,9.57,9.65,23691,0
20171208,9.73,10.16,9.6303,9.85,23661,0
20171211,9.85,9.95,9.74,9.8,23722,0
20171212,9.77,10,9.7,9.79,31073,0
20171213,9.76,10,9.76,9.79,43574,0
20171214,9.81,9.99,9.65,9.69,54185,0
20171215,9.8,9.88,9.71,9.82,78299,0
20171218,9.75,9.85,9.55,9.68,47082,0
20171219,9.75,9.81,9.53,9.56,44302,0
20171220,9.64,9.7199,9.155,9.3,72519,0
20171221,9.36,9.4275,9.16,9.26,64916,0
20171222,9.255,9.5,9.2401,9.26,79599,0
20171226,9.29,9.48,9.25,9.27,106512,0
20171227,9.3,9.41,9.25,9.29,28626,0
20171228,9.25,9.62,9.24,9.27,94508,0
20171229,9.3,9.32,9.03,9.23,55698,0
20180102,9.35,9.4214,9.11,9.15,18292,0
20180103,9.21,9.25,8.97,9.2,17471,0
20180104,9.2,9.54,9.07,9.36,20467,0
20180105,9.36,9.41,9.12,9.25,29960,0
20180108,9.22,9.51,9.12,9.34,28901,0
20180109,9.35,9.5,9.22,9.29,43762,0
20180110,9.27,9.34,9.21,9.22,70927,0
20180111,9.28,10.17,9.22,10.02,48559,0
20180112,10.09,10.47,9.901,10.27,24398,0
20180116,10.38,10.38,9.8801,10.08,25153,0
20180117,10.1,10.29,10.03,10.24,12165,0
20180118,10.14,10.23,9.7,9.98,23959,0
20180119,9.87,10.3,9.82,10.27,17856,0
20180122,10.25,10.38,10.2,10.34,52760,0
20180123,10.4,10.74,10.33,10.7,27157,0
20180124,10.74,10.86,10.32,10.55,18774,0
20180125,10.54,10.63,10.27,10.6,23806,0
20180126,10.54,11.39,10.45,11.15,32562,0
20180129,11.1,11.1,10.64,10.95,13089,0
20180130,10.81,11.06,10.62,10.77,20817,0
20180131,10.83,10.96,10.73,10.8,9773,0
20180201,10.74,11.02,10.33,10.44,18677,0
20180202,10.42,10.77,10.42,10.69,15653,0
20180205,10.57,10.81,10.4122,10.51,21956,0
20180206,10.35,10.545,10.31,10.37,17787,0
20180207,10.4,10.53,10.08,10.1,32329,0
20180208,10.06,10.14,9.69,9.88,23339,0
20180209,9.91,10,9.54,9.74,20446,0
20180212,9.85,9.85,9.31,9.51,44098,0
20180213,9.42,9.65,9.31,9.4,17402,0
20180214,9.33,9.83,9.3,9.83,21897,0
20180215,9.8,9.93,9.46,9.49,26152,0
20180216,9.51,9.9,9.51,9.51,8180,0
20180220,9.42,10.09,9.42,9.42,21949,0
20180221,9.41,9.63,8.84,8.86,32902,0
20180222,9.01,9.5,8.99,9.07,28045,0
20180223,9,9,8.56,8.7,77634,0
20180226,8.83,9,8.77,8.85,29059,0
20180227,8.85,9.05,8.85,8.91,21675,0
20180228,8.87,9,8.845,8.93,17620,0
20180301,8.91,9.04,8.425,8.63,35637,0
20180302,8.63,8.76,8.53,8.64,12715,0
20180305,8.68,9.2738,8.5201,9.2,14637,0
20180306,9.23,9.32,8.93,9,26087,0
20180307,9,9.15,8.66,8.83,35704,0
20180308,8.78,8.955,8.69,8.71,12509,0
20180309,8.7,8.7,8.0812,8.44,81341,0
20180312,8.35,8.55,8.225,8.46,57048,0
20180313,8.34,8.575,8.14,8.41,23193,0
20180314,8.41,8.488,8.2,8.2,19081,0
20180315,8.19,8.52,8.04,8.24,30092,0
20180316,8.23,8.35,7.91,8.26,51323,0
20180319,8.18,8.44,8.02,8.13,24715,0
20180320,7.8,8.25,7.8,7.8,47252,0
20180321,7.88,8.25,7.74,7.93,37044,0
20180322,7.9,8.11,7.85,7.9,19428,0
20180323,7.825,7.98,7.615,7.76,62518,0
20180326,8.14,8.14,7.76,7.86,10558,0
20180327,7.75,7.86,7.65,7.77,34378,0
20180328,7.75,7.93,7.601,7.9,28925,0
20180329,8.05,8.285,7.97,8.14,21967,0
20180402,8.05,8.05,7.56,7.82,21046,0
20180403,7.82,8.04,7.43,7.45,38360,0
20180404,7.47,7.47,7.23,7.27,19507,0
20180405,7.67,7.7,7.155,7.3,35783,0
20180406,7.23,7.55,6.9,7.05,71544,0
20180409,7.13,7.15,6.875,6.91,30743,0
20180410,6.95,7.17,6.885,7.14,50844,0
20180411,7.17,7.26,7.04,7.26,9590,0
20180412,7.37,7.38,7.1,7.17,16057,0
20180413,7.27,7.38,7.17,7.37,8425,0
20180416,7.38,7.7106,7.37,7.71,26223,0
20180417,7.77,8.23,7.5,8.19,24470,0
20180418,8.19,8.63,8.175,8.54,64528,0
20180419,8.5,8.65,8.36,8.55,23397,0
20180420,8.46,8.55,8.3,8.52,17789,0
20180423,8.54,8.55,8.2101,8.25,21419,0
20180424,8.26,8.4099,8.2,8.32,17632,0
20180425,8.4,8.43,8.25,8.4,12465,0
20180426,8.5,8.55,8.3701,8.42,28204,0
20180427,8.45,8.55,8.36,8.37,32690,0
20180430,8.42,8.42,8.23,8.25,22599,0
20180501,8.27,8.515,8.21,8.41,13749,0
20180502,8.4,8.55,8.4,8.53,9891,0
20180503,8.5,8.55,8.25,8.35,27749,0
20180504,8.41,8.55,8.31,8.49,22353,0
20180507,8.56,8.6,8.45,8.54,34253,0
20180508,8.55,8.55,8.2,8.35,28860,0
20180509,8.43,8.55,8.25,8.3,276216,0
20180510,8.29,8.44,8.23,8.31,11233,0
20180511,8.37,8.45,8.13,8.34,12538,0
20180514,8.4,8.55,8.31,8.45,73377,0
20180515,8.47,8.5,8.4,8.49,83171,0
20180516,8.99,8.99,8.47,8.5,145751,0
20180517,8.55,8.81,8.47,8.53,82284,0
20180518,8.46,8.59,8.18,8.43,52396,0
20180521,8.56,8.65,8.32,8.65,52772,0
20180522,8.71,9.21,8.6,9.07,20813,0
20180523,9.03,9.17,8.82,9.05,13141,0
20180524,9.17,9.41,8.55,8.85,24365,0
20180525,8.75,8.97,8.64,8.85,34548,0
20180529,8.78,9.2,8.78,9.18,13313,0
20180530,9.15,9.7,9.15,9.7,19260,0
20180531,9.74,9.8,9.61,9.8,9023,0
20180601,9.8,10.02,9.53,9.56,15034,0
20180604,9.53,9.58,8.95,9.1,17544,0
20180605,8.68,8.94,8.51,8.59,22382,0
20180606,8.57,8.74,8.555,8.56,27201,0
20180607,8.6,8.8,8.59,8.75,12047,0
20180608,8.75,9.24,8.75,9.03,13593,0
20180611,9.03,9.04,8.85,8.94,15426,0
20180612,8.94,9.06,8.61,8.7,11051,0
20180613,8.75,8.75,8.56,8.62,10598,0
20180614,8.62,8.6936,8.39,8.6,12936,0
20180615,8.54,8.59,8.4,8.53,19662,0
20180618,8.65,8.79,8.6,8.75,13509,0
20180619,8.86,9.1,8.71,8.72,14067,0
20180620,8.8,8.88,8.68,8.78,16598,0
20180621,8.8,10.24,8.8,9.43,50564,0
20180622,9.64,9.88,9.18,9.56,501929,0
20180625,9.62,9.65,9.335,9.35,30090,0
20180626,9.38,9.38,9.02,9.2,30569,0
20180627,9.2,9.34,9.2,9.29,7375,0
20180628,9.375,9.54,9.235,9.27,8323,0
20180629,9.39,9.39,9.09,9.17,5948,0
20180702,9.18,9.83,9.18,9.68,12420,0
20180703,9.74,10.14,9.74,10.05,6220,0
20180705,10.05,10.35,9.87,10.35,41628,0
20180706,10.21,10.32,10.17,10.32,2355,0
20180709,10.42,10.4908,10.26,10.35,8119,0
20180710,10.36,10.78,10.36,10.6,15972,0
20180711,10.56,10.56,10.22,10.27,6674,0
20180712,10.34,10.61,10.25,10.61,7084,0
20180713,10.6,10.74,10.53,10.7,13339,0
20180716,10.73,10.73,10.21,10.45,62558,0
20180717,10.37,10.67,10.37,10.65,5928,0
20180718,10.63,10.63,10.33,10.37,6702,0
20180719,10.3,10.3,9.88,9.88,8099,0
20180720,9.87,9.9087,9.67,9.85,1506,0
20180723,9.68,9.86,9.4,9.65,26902,0
20180724,9.6,9.75,9.53,9.75,11118,0
20180725,9.75,9.7505,9.6,9.65,35459,0
20180726,9.65,9.66,9.64,9.65,675,0
20180727,9.71,9.74,9.62,9.7,4767,0
20180730,9.71,9.72,9.6,9.7,14932,0
20180731,9.6602,9.7129,9.65,9.65,1994,0
20180801,9.545,9.5499,9.416,9.49,1398,0
20180802,9.4,9.5,9.12,9.46,54978,0
20180803,9.4246,9.45,9.25,9.3,6959,0
20180806,9.35,9.415,9.25,9.36,5301,0
20180807,9.28,9.28,9.28,9.28,228,0
20180808,9.3,9.5924,8.5,8.72,63486,0
20180809,8.66,9,8.63,9,14329,0
20180810,9.01,9.07,8.9,9,8431,0
20180813,9.02,9.105,9.005,9.09,3497,0
20180814,9.16,9.19,8.72,8.81,15550,0
20180815,8.85,8.85,8.3701,8.62,38381,0
20180817,8.5039,8.82,8.4201,8.8,14277,0
20180821,8.8,8.8,8.6,8.62,4494,0
20180822,8.74,8.75,8.5001,8.64,28015,0
20180823,8.66,8.67,8.26,8.55,27542,0
20180824,8.53,8.57,8.2,8.2,5423,0
20180827,8.28,8.55,8.17,8.18,11896,0
20180828,8.13,8.32,7.95,8.08,30965,0
20180829,8.05,8.34,7.82,8.09,25467,0
20180830,8.1,8.71,8.1,8.42,9196,0
20180831,8.38,8.38,8.29,8.35,23067,0
20180904,8.3,8.55,8.225,8.5,357898,0
20180905,8.58,8.58,8.42,8.5,17542,0
20180906,8.44,8.44,8.3,8.4,10671,0
20180907,8.5,8.5,8.34,8.49,11159,0
20180910,8.49,8.49,8.215,8.34,14375,0
20180911,8.3,8.51,8.3,8.44,8759,0
20180912,8.41,8.53,8.25,8.3,12688,0
20180913,8.28,8.41,8.22,8.22,7129,0
20180914,8.27,8.34,8.15,8.26,10636,0
20180917,8.22,8.25,8.04,8.18,10314,0
20180918,8.14,8.47,8.14,8.36,14883,0
20180919,8.48,8.5,8.33,8.35,8755,0
20180920,8.28,8.53,8.28,8.5,10293,0
20180921,8.43,8.6,8.43,8.52,90330,0
20180924,8.5,8.72,8.33,8.47,15053,0
20180925,8.48,8.67,8.43,8.46,19847,0
20180926,8.56,8.6,8.33,8.37,10334,0
20180927,8.31,8.59,8.3,8.39,7171,0
20180928,8.4221,8.4221,8.38,8.38,1033,0
20181001,8.37,8.65,8.37,8.48,10889,0
20181002,8.51,8.51,8.22,8.4,7584,0
20181003,8.4,8.4,7.99,8,13823,0
20181004,8.05,8.23,7.8338,7.94,18604,0
20181005,8,8,7.85,8,6272,0
20181008,7.9,8.005,7.88,8,6279,0
20181009,7.95,8.36,7.95,8.25,5855,0
20181010,8.21,8.31,7.46,7.5,6363,0
20181011,7.6,7.62,7.6,7.6,3773,0
20181012,7.65,7.65,7.59,7.64,5261,0
20181015,7.675,7.75,7.65,7.65,8839,0
20181016,7.65,7.86,7.5,7.86,9320,0
20181017,7.9194,8.01,7.8,7.97,8733,0
20181018,7.85,7.85,7.396,7.5,24790,0
20181019,7.5,7.52,7.36,7.4,17343,0
20181022,7.41,7.455,7.26,7.43,11910,0
20181023,7.31,7.41,7.109,7.15,13181,0
20181024,7.1,7.1,6.91,6.95,10359,0
20181025,6.95,6.98,6.685,6.7,23155,0
20181026,6.67,6.8,6.44,6.8,6668,0
20181029,6.85,6.85,6.7,6.7,1095,0
20181030,6.73,6.79,6.36,6.4,11663,0
20181031,6.405,6.55,6.405,6.5,10161,0
20181101,6.52,6.67,6.52,6.58,9505,0
20181102,6.63,6.8,6.35,6.45,11728,0
20181105,6.54,6.92,6.54,6.92,13837,0
20181106,7.003,7.003,6.79,6.79,4999,0
20181107,6.838,6.92,6.832,6.9,2311,0
20181108,6.94,7.1,6.83,7.1,11336,0
20181109,7.18,7.73,7.18,7.7,2890,0
20181112,7.79,8.105,7.77,8,4450,0
20181113,7.85,8.195,7.85,8.15,13909,0
20181114,8.27,8.36,7.67,7.8,11111,0
20181115,7.86,8.17,7.6671,8.15,7100,0
20181116,8.25,8.3102,7.65,7.65,12279,0
20181119,7.61,7.63,7.49,7.5,6004,0
20181120,7.37,7.79,7.37,7.64,9287,0
20181121,7.67,7.92,7.6,7.6,2271,0
20181123,7.58,7.58,7.58,7.58,542,0
20181126,7.57,7.58,7.43,7.58,3306,0
20181127,7.5,7.58,7.36,7.36,3791,0
