Date,Open,High,Low,Close,Volume,OpenInt
20190404,10,10.06,10,10.05,5381967,0
20190405,10.04,10.05,10,10.05,58150,0
20190408,10,10.1,10,10.1,29550,0
20190409,10.07,10.09,10.07,10.09,35800,0
20190410,10.0674,10.1,10.0593,10.09,18500,0
20190411,10.07,10.1,10.07,10.09,52350,0
20190412,10.0902,10.12,10.0845,10.12,4650,0
20190415,10.03,10.12,10.03,10.12,3374,0
20190416,10.1001,10.129,10.04,10.1,67670,0
20190417,10.05,10.12,10.05,10.1,7647,0
20190418,10.12,10.15,10.08,10.08,79368,0
20190422,10.0533,10.08,10.0533,10.068,3300,0
20190423,10.05,10.072,10.02,10.06,4903,0
20190424,10.02,10.08,10,10.07,3900,0
20190425,10.05,10.09,10.05,10.0749,900,0
20190430,10.05,10.07,10.0402,10.06,6400,0
20190501,10.03,10.09,10.03,10.05,1700,0
20190502,10.03,10.05,10.03,10.05,4450,0
20190503,10.04,10.06,10,10.0462,4210,0
20190506,10.08,10.08,10.04,10.0589,42979,0
20190507,10.02,10.07,10.02,10.0401,21113,0
20190508,10.02,10.04,10.02,10.02,203890,0
20190509,10.02,10.023,10.01,10.01,52967,0
20190510,10.02,10.02,10.02,10.02,1237,0
20190513,10.02,10.02,10,10,5531,0
20190514,10.0201,10.0353,10.02,10.0353,1177,0
20190515,10.04,10.04,10.01,10.04,14826,0
20190520,10.02,10.02,10.02,10.02,488,0
20190521,10.02,10.022,10,10.01,18153,0
20190522,10.003,10.003,10,10.003,1500,0
20190523,10,10.01,10,10.01,675,0
20190528,10.01,10.01,10,10.01,12161,0
20190529,10,10.003,9.99,10,50402,0
20190530,10,10.01,10,10.01,2635,0
20190531,10.01,10.01,10,10.01,250950,0
20190603,10,10.01,10,10.01,2246,0
20190605,10.01,10.0356,10.01,10.0356,600,0
20190606,10.02,10.02,10.01,10.01,7900,0
20190607,10.01,10.01,10.01,10.01,25043,0
20190610,10.05,10.06,10.05,10.06,12000,0
20190611,10.04,10.04,10.04,10.04,500,0
20190613,10.01,10.06,10.01,10.02,13009,0
20190614,10.01,10.0283,10.01,10.0283,7605,0
20190617,10.0276,10.0276,10.01,10.0205,800,0
20190618,10.0391,10.0391,10.0196,10.0196,534,0
20190624,10.01,10.01,10.01,10.01,100,0
20190625,10.02,10.02,10.02,10.02,7198,0
20190626,10.01,10.01,10.01,10.01,125,0
20190627,10.02,10.02,10.02,10.02,8898,0
20190701,10.03,10.03,10.03,10.03,15000,0
20190702,10.03,10.06,10.03,10.06,12063,0
20190703,10.06,10.06,10.06,10.06,500,0
20190710,10.04,10.05,10.04,10.05,14166,0
20190711,10.05,10.05,10.05,10.05,5175,0
20190712,10.02,10.02,10.02,10.02,6006,0
20190715,10.08,10.08,10.03,10.05,5676,0
20190717,10.055,10.08,10.03,10.03,1260,0
20190722,10.03,10.03,10.03,10.03,7400,0
20190723,10.08,10.08,10.05,10.05,10100,0
20190724,10.04,10.04,10.04,10.04,100,0
20190725,10.04,10.04,10.04,10.04,10185,0
20190726,10.0455,10.05,10.0301,10.05,1800,0
20190729,10.055,10.055,10.055,10.055,574,0
20190730,10.06,10.06,10.06,10.06,1340,0
20190731,10.055,10.06,10.055,10.06,200,0
20190801,10.05,10.06,10.05,10.05,2308,0
20190802,10.06,10.06,10.05,10.05,2305,0
20190806,10.05,10.05,10.05,10.05,6138,0
20190807,10.05,10.1,10.045,10.06,314650,0
20190808,10.06,10.06,10.04,10.0544,1085,0
20190809,10.07,10.07,10.04,10.04,55467,0
20190812,10.0401,10.07,10.0401,10.07,30750,0
20190813,10.04,10.08,10.04,10.04,33400,0
20190814,10.04,10.07,10.04,10.05,24800,0
20190815,10.04,10.04,10.04,10.04,44058,0
20190816,10.03,10.0362,10.02,10.0362,1000,0
20190820,10.05,10.05,10.01,10.01,595,0
20190821,10.01,10.07,10.01,10.05,14186,0
20190822,10.1,10.13,10.1,10.13,21900,0
20190823,10.12,10.12,10.12,10.12,400,0
20190827,10.1673,10.1673,10.08,10.14,1200,0
20190828,10.14,10.19,10.14,10.19,5761,0
20190829,10.15,10.2,10.15,10.18,21897,0
20190830,10.2,10.2,10.199,10.199,4300,0
20190904,10.2,10.2,10.2,10.2,7700,0
20190905,10.22,10.22,10.22,10.22,115662,0
20190911,10.25,10.26,10.23,10.25,100682,0
20190916,10.21,10.21,10.21,10.21,300,0
20190917,10.26,10.26,10,10,643,0
20190918,10.2803,10.2803,10,10,25700,0
20190919,10.2,10.25,10.2,10.2,601,0
20190920,10.31,10.311,10.31,10.311,710,0
20190923,10.3221,10.3221,10.26,10.26,400,0
20190924,10.2,10.2,10.2,10.2,100,0
20190925,10.01,10.01,10.01,10.01,100,0
20190926,10.2,10.25,10.2,10.25,601,0
20190927,10.2582,10.2582,10.2582,10.2582,500,0
20191001,10.28,10.28,10.28,10.28,100,0
20191002,10.27,10.27,10.27,10.27,400,0
20191008,10.22,10.25,10.2,10.25,1276,0
20191009,10.25,10.25,10.25,10.25,200,0
20191011,10.2871,10.2871,10.2871,10.2871,500,0
20191016,10.25,10.27,10.25,10.27,400,0
20191022,10.26,10.26,10.26,10.26,511,0
20191023,10.251,10.275,10.251,10.275,200,0
20191024,10.2873,10.29,10.285,10.285,824,0
20191025,10.28,10.28,10.2,10.25,624,0
20191028,10.25,10.2873,10.25,10.2873,1800,0
20191029,10.28,10.2973,10.25,10.2973,212500,0
20191030,10.28,10.28,10.265,10.265,700,0
20191031,10.27,10.271,10.27,10.271,400,0
20191104,10.28,10.28,10.2773,10.2773,400,0
20191105,10.29,10.29,10.29,10.29,252,0
