Date,Open,High,Low,Close,Volume,OpenInt
20050225,17.086,17.182,16.933,17.011,114095,0
20050228,17.114,17.193,16.841,17.114,96899,0
20050301,17.176,17.442,17.176,17.375,53080,0
20050302,17.254,17.459,17.159,17.168,51589,0
20050303,17.168,17.642,17.146,17.476,77714,0
20050304,17.57,17.689,17.483,17.535,89952,0
20050307,17.535,17.611,17.375,17.459,71764,0
20050308,17.415,17.415,17.199,17.199,42165,0
20050309,17.205,17.205,16.937,16.937,64493,0
20050310,16.937,17.296,16.878,17.011,98385,0
20050311,17.265,17.265,16.902,16.937,60358,0
20050314,17,17.086,16.668,16.802,67470,0
20050315,16.802,17.055,16.802,16.91,79871,0
20050316,16.582,16.87,16.449,16.54,91443,0
20050317,16.603,16.849,16.479,16.788,35216,0
20050318,16.862,16.862,16.491,16.491,128314,0
20050321,16.497,16.497,16.3,16.329,46792,0
20050322,16.333,16.841,16.333,16.37,86150,0
20050323,16.376,16.491,16.205,16.333,72922,0
20050324,16.395,16.613,16.382,16.402,46301,0
20050328,16.329,16.491,16.213,16.408,52584,0
20050329,16.316,16.389,16.146,16.316,86811,0
20050330,16.329,16.436,16.237,16.436,55392,0
20050331,16.436,16.548,16.279,16.42,84002,0
20050401,16.509,16.603,16.286,16.395,81027,0
20050404,16.449,16.509,16.146,16.509,113432,0
20050405,16.474,16.528,16.408,16.503,25960,0
20050406,16.59,16.758,16.551,16.576,22155,0
20050407,16.54,16.684,16.449,16.608,13892,0
20050408,16.691,16.704,16.354,16.354,70275,0
20050411,16.389,16.479,16.279,16.329,38198,0
20050412,16.329,16.769,16.245,16.691,119552,0
20050413,16.709,16.752,16.622,16.663,86976,0
20050414,16.617,16.802,16.617,16.691,38693,0
20050415,16.704,16.796,16.42,16.509,42165,0
20050418,16.479,16.663,16.47,16.636,29432,0
20050419,16.603,16.728,16.347,16.535,51589,0
20050420,16.629,16.629,16.359,16.462,101197,0
20050421,16.54,16.629,16.456,16.54,62007,0
20050422,16.509,16.509,16.359,16.462,87142,0
20050425,16.42,16.769,16.408,16.765,58043,0
20050426,16.721,16.752,16.47,16.709,56715,0
20050427,16.752,16.892,16.663,16.788,141049,0
20050428,16.752,16.781,16.697,16.697,30589,0
20050429,16.704,16.802,16.678,16.746,97888,0
20050502,16.841,16.994,16.721,16.987,79206,0
20050503,17.023,17.023,16.733,16.83,35058,0
20050504,16.892,16.933,16.87,16.916,22491,0
20050505,16.926,17.205,16.878,16.964,96567,0
20050506,16.968,16.968,16.769,16.823,49774,0
20050509,16.823,16.964,16.812,16.933,49774,0
20050510,16.87,17.023,16.802,17.023,57044,0
20050511,16.933,17.114,16.691,17.055,40346,0
20050512,16.945,17.023,16.644,16.721,42334,0
20050513,16.663,16.663,15.847,15.995,502681,0
20050516,15.512,16.137,15.512,16.028,223396,0
