Date,Open,High,Low,Close,Volume,OpenInt
20180521,23.084,23.084,23.084,23.084,1170,0
20180522,23.421,23.421,23.406,23.406,213,0
20180523,23.681,23.681,23.681,23.681,105,0
20180524,23.555,23.555,23.555,23.555,105,0
20180525,23.681,23.681,23.681,23.681,117,0
20180529,23.845,23.845,23.822,23.822,255,0
20180530,24.052,24.068,24.052,24.068,213,0
20180531,24.051,24.051,24.051,24.051,105,0
20180605,24.434,24.434,24.434,24.434,105,0
20180606,24.415,24.493,24.415,24.493,1277,0
20180607,24.786,24.804,24.786,24.804,214,0
20180608,24.804,24.857,24.786,24.857,1055,0
20180611,24.966,24.966,24.966,24.966,121,0
20180612,25.157,25.321,25.157,25.321,256,0
20180613,25.092,25.092,25.092,25.092,128,0
20180614,24.814,24.871,24.814,24.862,1080,0
20180618,24.884,24.897,24.884,24.897,293,0
20180619,24.885,24.885,24.885,24.885,106,0
20180620,25.135,25.246,25.087,25.231,957,0
20180621,25.331,25.415,25.228,25.415,3622,0
20180622,25.66,25.684,25.66,25.684,595,0
20180625,25.66,25.708,25.66,25.684,5637,0
20180626,25.746,25.746,25.746,25.746,253,0
20180627,25.746,25.746,25.67,25.67,548,0
20180628,25.5,25.5,25.481,25.481,212,0
20180702,25.472,25.472,25.472,25.472,433,0
20180703,25.66,25.66,25.66,25.66,212,0
20180706,25.962,25.962,25.962,25.962,154,0
20180709,25.804,25.804,25.804,25.804,105,0
20180710,25.738,25.849,25.738,25.849,577,0
20180711,25.755,25.755,25.676,25.676,635,0
20180712,25.754,25.754,25.68,25.68,212,0
20180713,25.746,25.813,25.746,25.801,920,0
20180716,25.552,25.552,25.51,25.51,427,0
20180717,25.547,25.547,25.505,25.52,426,0
20180718,25.32,25.32,25.32,25.32,106,0
20180719,25.275,25.774,25.275,25.774,212,0
20180720,25.589,25.668,25.589,25.668,212,0
20180723,25.534,25.534,25.534,25.534,105,0
20180724,25.614,25.637,25.614,25.637,212,0
20180725,25.66,25.66,25.66,25.66,105,0
20180726,25.915,25.915,25.915,25.915,105,0
20180801,25.972,25.972,25.967,25.972,847,0
20180802,26.17,26.17,26.17,26.17,774,0
20180806,26.364,26.406,26.364,26.406,487,0
20180807,25.966,25.966,25.966,25.966,809,0
20180809,26.103,26.103,26.039,26.039,1043,0
20180810,25.944,25.944,25.925,25.925,243,0
20180813,25.859,25.859,25.774,25.774,765,0
20180814,25.935,26.039,25.915,26.03,488,0
20180815,26.107,26.162,26.107,26.162,1075,0
20180816,26.299,26.312,26.299,26.312,5700,0
20180817,26.52,26.605,26.52,26.598,3906,0
20180820,26.85,26.992,26.806,26.806,1754,0
20180821,26.756,26.756,26.756,26.756,162,0
20180822,26.65,26.65,26.586,26.633,622,0
20180823,26.687,26.718,26.687,26.718,739,0
20180824,26.691,26.813,26.658,26.813,720,0
20180827,26.633,26.66,26.633,26.66,1530,0
20180828,26.624,26.624,26.624,26.624,105,0
20180829,26.881,26.983,26.881,26.983,530,0
20180831,26.861,26.861,26.766,26.771,2793,0
20180904,26.624,26.633,26.607,26.633,1652,0
20180905,26.483,26.483,26.483,26.483,105,0
20180906,26.925,26.925,26.925,26.925,181,0
20180907,26.51,26.51,26.51,26.51,152,0
20180910,26.651,26.651,26.642,26.642,602,0
20180912,26.737,26.737,26.6,26.6,441,0
20180913,26.756,26.756,26.722,26.722,832,0
20180914,26.294,26.294,26.294,26.294,297,0
20180918,26.36,26.434,26.36,26.434,395,0
20180919,26.388,26.388,25.888,25.888,544,0
20180920,25.858,25.858,25.858,25.858,105,0
20180925,25.764,25.784,25.764,25.784,1655,0
20180926,25.888,25.888,25.888,25.888,1606,0
20180928,25.438,25.878,25.438,25.878,2362,0
20181002,25.658,25.658,25.658,25.658,183,0
20181003,25.706,25.706,25.278,25.278,213,0
20181004,25.011,25.095,25.011,25.095,262,0
20181008,25.415,25.415,25.415,25.415,470,0
20181011,24.915,24.915,24.541,24.541,3323,0
20181012,24.697,24.697,24.57,24.57,1271,0
20181015,24.541,24.541,24.541,24.541,210,0
20181016,24.617,24.951,24.617,24.951,733,0
20181018,25.027,25.171,25.027,25.027,343,0
20181023,24.732,24.732,24.732,24.732,420,0
20181026,25.238,25.278,25.238,25.278,933,0
20181029,25.693,25.693,25.693,25.693,104,0
20181101,25.611,25.611,25.611,25.611,555,0
20181105,25.726,25.726,25.726,25.726,143,0
20181106,25.763,25.763,25.763,25.763,111,0
20181107,26.012,26.012,25.955,25.955,210,0
20181109,26.225,26.231,26.225,26.231,595,0
20181114,26.033,26.079,26.033,26.079,555,0
20181116,25.658,25.745,25.658,25.73,524,0
20181120,25.812,25.812,25.63,25.63,574,0
20181121,25.777,25.862,25.745,25.745,1156,0
20181127,25.526,25.526,25.526,25.526,189,0
20181128,25.783,25.783,25.783,25.783,319,0
20181130,26.036,26.036,26.036,26.036,189,0
20181206,25.725,26.347,25.725,26.347,396,0
20181207,26.632,26.737,26.606,26.737,420,0
20181210,26.337,26.337,26.193,26.282,426,0
20181211,26.506,26.506,26.325,26.325,262,0
20181212,26.374,26.374,25.772,25.772,104,0
20181213,26.051,26.051,26.046,26.046,104,0
20181214,25.962,25.962,25.941,25.952,1466,0
20181217,24.794,24.794,24.794,24.794,10,0
20181218,25.036,25.036,24.931,24.931,209,0
20181219,24.704,24.704,24.457,24.457,104,0
20181220,24.273,24.389,24.062,24.062,387,0
20181221,24.417,24.417,23.944,23.944,104,0
20181224,23.131,23.131,23.131,23.131,10,0
20181226,23.069,24.052,23.069,24.052,629,0
20181227,23.736,24.064,23.736,24.064,150,0
20181228,24.163,24.163,24.163,24.163,10,0
20181231,24.023,24.023,24.023,24.023,10,0
20190102,23.69,23.69,23.69,23.69,11,0
20190103,23.875,23.875,23.875,23.875,6,0
20190104,24.205,24.205,24.205,24.205,10,0
20190107,24.542,24.542,24.542,24.542,40,0
20190108,25.09,25.09,25.09,25.09,10,0
20190109,25.094,25.094,25.094,25.094,40,0
20190110,25.272,25.272,25.272,25.272,1,0
20190111,25.159,25.277,25.159,25.277,188,0
20190114,25.116,25.189,25.116,25.162,928,0
20190115,25.286,25.448,25.246,25.418,497,0
20190116,25.494,25.6,25.494,25.6,145,0
20190117,25.666,25.666,25.666,25.666,9,0
20190118,25.702,25.714,25.671,25.714,413,0
20190122,25.713,25.713,25.561,25.561,491,0
20190123,25.6,25.6,25.489,25.54,248,0
20190124,25.529,25.653,25.529,25.653,586,0
20190125,25.768,26.049,25.768,26.049,128,0
20190128,26.084,26.349,26.084,26.349,136,0
20190129,26.377,26.53,26.377,26.53,645,0
20190130,26.662,26.854,26.662,26.846,579,0
20190131,26.83,26.97,26.83,26.97,141,0
20190201,27.052,27.052,26.781,26.781,243,0
20190204,26.874,27.059,26.874,27.059,233,0
20190205,26.931,27.225,26.931,27.225,392,0
20190206,27.097,27.121,27.066,27.1,761,0
20190207,27.028,27.388,27.028,27.388,457,0
20190208,27.473,27.473,27.421,27.421,1097,0
20190211,27.455,27.589,27.455,27.589,142,0
20190212,27.358,27.382,27.293,27.293,407,0
20190213,27.368,27.397,27.368,27.397,140,0
20190214,27.352,27.352,27.352,27.352,1,0
20190215,27.309,27.439,27.309,27.439,987,0
20190219,27.523,27.523,27.454,27.454,137,0
20190220,27.217,27.217,27.134,27.134,258,0
20190221,26.979,27.284,26.979,27.284,128,0
20190222,27.59,27.59,27.426,27.436,1925,0
20190225,27.356,27.387,27.29,27.335,573,0
20190226,27.268,27.268,27.132,27.234,1370,0
20190227,27.117,27.117,27.053,27.053,2333,0
20190228,27.173,27.314,27.173,27.175,425,0
20190301,26.97,26.97,26.535,26.668,1499,0
20190304,26.515,26.712,26.515,26.712,123,0
20190305,26.902,26.961,26.902,26.911,19744,0
20190306,26.865,26.887,26.669,26.669,634,0
20190307,26.797,26.797,26.558,26.558,209,0
20190308,26.675,26.675,26.485,26.485,116,0
20190311,26.468,26.767,26.468,26.767,2082,0
20190312,27.011,27.011,27.011,27.011,205,0
20190313,27.198,27.198,27.122,27.122,128,0
20190314,27.164,27.175,27.164,27.175,157,0
20190315,26.91,26.91,26.873,26.873,487,0
20190318,26.717,26.717,26.717,26.717,4,0
20190319,26.693,26.693,26.627,26.627,1492,0
20190320,26.941,26.951,26.781,26.781,9131,0
20190321,27.326,27.375,27.326,27.375,10754,0
20190322,27.595,27.595,27.314,27.314,354,0
20190325,27.433,27.433,27.342,27.342,136,0
20190326,27.624,27.76,27.624,27.76,133,0
20190327,27.711,27.711,27.711,27.711,137,0
20190328,28.015,28.015,28.015,28.015,58,0
20190329,27.963,27.963,27.874,27.874,266,0
20190401,27.799,27.835,27.799,27.835,127,0
20190402,27.692,27.878,27.633,27.878,490,0
20190403,27.787,27.787,27.761,27.761,122,0
20190404,27.673,27.803,27.673,27.803,171,0
20190405,27.947,28.053,27.947,28.053,134,0
20190408,27.907,27.907,27.883,27.883,201,0
20190409,27.78,27.78,27.607,27.607,1790,0
20190410,27.838,28.029,27.838,27.961,4459,0
20190411,28.074,28.074,27.866,27.866,902,0
20190412,27.76,27.918,27.76,27.918,2255,0
20190415,27.775,27.775,27.756,27.756,493,0
20190416,26.909,26.909,26.909,26.909,1,0
20190417,26.753,26.753,26.753,26.753,10,0
20190418,26.954,26.954,26.954,26.954,5,0
20190422,26.455,26.455,26.455,26.455,18,0
20190423,26.545,26.936,26.545,26.889,2370,0
20190424,27.329,27.329,27.2,27.2,102,0
20190425,27.084,27.216,27.084,27.216,102,0
20190426,27.299,27.368,27.299,27.368,104,0
20190429,27.049,27.049,27.049,27.049,26,0
20190430,27.035,27.035,27.035,27.035,5,0
20190501,27.193,27.193,27.193,27.193,5,0
20190502,27.349,27.359,27.349,27.359,129,0
20190503,27.557,27.653,27.557,27.557,237,0
20190506,27.581,27.581,27.581,27.581,94,0
20190507,27.18,27.18,26.875,26.875,705,0
20190508,26.857,26.857,26.857,26.857,14,0
20190509,26.937,26.937,26.937,26.937,61,0
20190510,27.187,27.187,27.187,27.187,1,0
20190513,27.224,27.241,27.22,27.22,793,0
20190514,27.331,27.331,27.331,27.331,30,0
20190515,27.427,27.427,27.427,27.427,2,0
20190516,27.582,27.582,27.447,27.447,304,0
20190517,27.408,27.408,27.355,27.355,316,0
20190520,26.93,26.93,26.93,26.93,36,0
20190521,27.257,27.257,27.244,27.244,181,0
20190522,27.208,27.208,27.208,27.208,5,0
20190523,27.149,27.159,27.149,27.159,110,0
20190524,27.244,27.256,27.211,27.256,849,0
20190528,26.922,26.922,26.922,26.922,40,0
20190529,26.288,26.288,26.288,26.288,5,0
20190530,26.262,26.262,26.262,26.262,103,0
20190531,26.348,26.348,26.348,26.348,32,0
20190603,26.359,26.436,26.359,26.436,4049,0
20190604,26.385,26.402,26.385,26.402,1099,0
20190605,26.986,26.986,26.986,26.986,20,0
20190606,26.944,26.944,26.746,26.898,612,0
20190607,26.988,26.988,26.856,26.856,122,0
20190610,26.712,26.721,26.681,26.681,4950,0
20190611,26.792,26.792,26.792,26.792,5,0
20190612,26.907,26.907,26.887,26.887,220,0
20190613,26.996,27.087,26.915,27.087,969,0
20190614,27.16,27.171,27.143,27.144,2122,0
20190617,27.303,27.391,27.303,27.391,102,0
20190618,27.286,27.587,27.241,27.286,1582,0
20190619,27.272,27.401,27.211,27.401,282,0
20190620,27.372,27.405,27.372,27.405,153,0
20190621,26.967,27.105,26.967,27.105,592,0
20190624,26.766,26.766,26.766,26.766,43,0
20190625,26.527,26.527,26.527,26.527,87,0
20190626,25.892,25.892,25.892,25.892,15,0
20190627,26.175,26.175,26.175,26.175,5,0
20190628,26.248,26.248,26.225,26.225,1229,0
20190701,26.121,26.134,25.905,26.006,1382,0
20190702,26.441,26.441,26.441,26.441,100,0
20190703,26.476,26.77,26.476,26.77,368,0
20190705,26.387,26.692,26.387,26.692,193,0
20190708,26.869,26.869,26.835,26.835,119,0
20190709,26.859,26.94,26.859,26.94,103,0
20190710,26.977,27.038,26.957,27.038,734,0
20190711,26.997,26.997,26.662,26.721,2007,0
20190712,26.692,26.712,26.681,26.692,1200,0
20190715,26.672,26.672,26.657,26.657,113,0
20190716,26.574,26.613,26.54,26.54,214,0
20190717,26.279,26.386,26.279,26.386,102,0
20190718,26.18,26.351,26.18,26.351,117,0
20190719,25.973,25.973,25.891,25.891,1211,0
20190722,25.828,25.828,25.828,25.828,18,0
20190723,26.326,26.326,26.326,26.326,19,0
20190724,26.369,26.471,26.369,26.471,2070,0
20190725,26.338,26.338,26.304,26.304,361,0
20190726,26.382,26.382,26.382,26.382,37,0
20190729,26.622,26.622,26.622,26.622,76,0
20190730,26.584,26.711,26.565,26.711,3294,0
20190731,26.736,26.736,26.724,26.724,205,0
20190801,26.629,26.629,26.456,26.456,119,0
20190802,26.578,26.578,26.578,26.578,20,0
20190805,25.804,26.028,25.804,26.028,1588,0
20190806,26.144,26.144,26.144,26.144,20,0
20190807,26.278,26.464,26.278,26.464,1288,0
20190808,26.415,26.78,26.415,26.78,278,0
20190809,26.839,26.839,26.8,26.8,435,0
20190812,26.66,26.673,26.66,26.673,202,0
20190813,26.652,26.675,26.652,26.675,163,0
20190814,26.28,26.317,26.28,26.303,1292,0
20190815,26.298,26.298,26.298,26.298,29,0
20190816,26.495,26.495,26.495,26.495,10,0
20190819,26.562,26.653,26.562,26.653,1987,0
20190820,26.357,26.357,26.319,26.319,234,0
20190821,26.346,26.346,26.346,26.346,1,0
20190822,26.544,26.544,26.544,26.544,136,0
20190823,26.061,26.061,26.061,26.061,25,0
20190826,26.242,26.242,26.242,26.242,21,0
20190827,26.163,26.163,26.163,26.163,25,0
20190828,26.282,26.282,26.282,26.282,58,0
20190829,26.537,26.537,26.537,26.537,13,0
20190830,26.647,26.647,26.647,26.647,102,0
20190903,26.89,26.89,26.89,26.89,10,0
20190904,27.237,27.237,27.237,27.237,21,0
20190905,27.096,27.096,27.096,27.096,11,0
20190906,27.33,27.33,27.33,27.33,25,0
20190909,27.669,27.669,27.669,27.669,12,0
20190910,27.807,27.807,27.807,27.807,5,0
20190911,27.882,27.884,27.882,27.884,697,0
20190912,27.845,27.845,27.845,27.845,25,0
20190913,27.478,27.478,27.478,27.478,25,0
20190916,27.606,27.606,27.606,27.606,25,0
20190917,27.694,27.736,27.558,27.736,1113,0
20190918,27.734,27.734,27.734,27.734,25,0
20190919,27.774,27.774,27.774,27.774,25,0
20190920,27.914,27.914,27.865,27.865,480,0
20190923,27.931,27.989,27.835,27.835,1846,0
20190924,27.769,27.791,27.769,27.791,337,0
20190925,27.842,27.864,27.842,27.864,222,0
20190926,28.238,28.238,28.238,28.238,9,0
20190927,28.233,28.233,28.233,28.233,54,0
20190930,28.194,28.194,28.194,28.194,73,0
20191001,27.97,27.97,27.97,27.97,24,0
20191002,27.729,27.729,27.729,27.729,6,0
20191003,27.912,27.912,27.757,27.757,101,0
20191004,27.842,27.919,27.842,27.919,9918,0
20191007,27.902,27.952,27.902,27.948,787,0
20191008,27.794,27.794,27.794,27.794,61,0
20191009,27.788,27.788,27.757,27.757,101,0
20191010,27.824,27.824,27.824,27.824,1,0
20191011,27.961,27.961,27.961,27.961,1,0
20191014,27.981,27.981,27.981,27.981,6,0
20191015,27.971,27.971,27.971,27.971,1,0
20191016,28.052,28.052,28.052,28.052,47,0
20191017,28.13,28.13,28.106,28.106,109,0
20191018,28.187,28.32,28.187,28.32,15778,0
20191021,28.676,28.676,28.676,28.676,87,0
20191022,28.656,28.832,28.647,28.832,308,0
20191023,28.829,28.829,28.829,28.829,1,0
20191024,28.595,28.749,28.595,28.749,108,0
20191025,28.804,28.804,28.804,28.804,1,0
20191028,28.721,28.721,28.686,28.713,4435,0
20191029,28.899,28.944,28.809,28.809,379,0
20191030,29.052,29.052,29.052,29.052,200,0
20191031,28.805,28.88,28.805,28.88,112,0
20191101,28.904,28.97,28.795,28.97,202,0
20191104,28.914,29.009,28.914,29.009,244,0
20191105,28.647,28.647,28.647,28.647,1,0
20191106,28.675,28.675,28.675,28.675,18,0
20191107,28.369,28.369,28.369,28.369,18,0
20191108,28.337,28.337,28.116,28.116,807,0
20191111,28.2,28.2,28.2,28.2,2,0
20191112,27.974,27.974,27.974,27.974,18,0
20191113,28.035,28.204,28.035,28.204,462,0
