Date,Open,High,Low,Close,Volume,OpenInt
20170508,26.01,27.029,26.01,26.85,9992,0
20170509,27.5,28,27.35,27.7,26784,0
20170510,27.7,27.8,27.35,27.5,13574,0
20170511,27.35,27.5,27.3,27.49,22534,0
20170512,26.75,27.25,26,27.07,18040,0
20170515,27.11,27.79,27.11,27.79,10185,0
20170516,27.39,28,24.36,27.28,48518,0
20170517,31.33,31.33,27.0794,27.26,10158,0
20170518,27.25,27.25,26.501,27.13,20343,0
20170519,27.2,29.2,27.2,28,18601,0
20170522,28.76,28.76,27.57,28.01,18052,0
20170523,28.0111,28.74,27.75,27.8,20974,0
20170524,26.6335,28.5,26.6335,28.24,13054,0
20170525,28.1,28.1,27.5,28.06,11723,0
20170526,28.5,29.98,27.17,29.9,27204,0
20170530,28.56,29.884,27.6,29.17,24817,0
20170531,29.1,29.4,27.39,27.69,26541,0
20170601,28.5,29.4899,27.7,29,18030,0
20170602,28.95,29.5,27.74,29.05,19479,0
20170605,28.67,29.05,27.02,29.05,31437,0
20170606,29.02,29.25,28.044,29,30980,0
20170607,29,29,27.8,28.58,32222,0
20170608,28.15,29.57,28.15,28.84,31057,0
20170609,28.2,29.27,28.17,28.31,25420,0
20170612,28.95,29.7,28.95,29,81365,0
20170613,28.97,29.89,28.1792,28.93,79312,0
20170614,29.36,29.8,28.85,29.54,53609,0
20170615,29.42,29.45,28.1792,29.05,44307,0
20170616,28.85,29.51,28.85,28.94,222486,0
20170619,29,29.23,28.36,28.58,25831,0
20170620,28.31,29,27.37,27.37,21602,0
20170621,27.48,28.2,25.44,26.25,21568,0
20170622,26.25,26.25,25.3,25.82,15940,0
20170623,25.93,28.4,25.01,25.83,674169,0
20170626,25.85,26.25,24.57,24.81,44099,0
20170627,24.889,25.05,24.78,24.95,34391,0
20170628,25.19,26.179,25.19,25.78,22183,0
20170629,26.66,27.06,25.12,26.75,65940,0
20170630,27,27.01,25.78,26.16,19245,0
20170703,26.2,27.03,25.81,26.74,6452,0
20170705,26.56,27.05,25.84,26.9,28050,0
20170706,26.85,26.85,26.05,26.1,14589,0
20170707,26.46,26.46,25.435,26.15,31076,0
20170710,25.81,25.81,25,25.63,7594,0
20170711,25.82,26.82,25.1996,26.69,22517,0
20170712,27.05,27.05,26.21,26.42,27938,0
20170713,26.4,26.4,25.6138,26,8538,0
20170714,26.02,26.02,25.38,25.47,8637,0
20170717,25.49,25.49,25.18,25.27,8709,0
20170718,25.15,25.92,25.0923,25.37,7268,0
20170719,25.58,25.58,25.364,25.5,5547,0
20170720,25.64,25.64,24.75,25.3,18188,0
20170721,25.25,25.25,24.725,24.94,15728,0
20170724,24.98,25.63,24.98,25.49,6266,0
20170725,25.5,25.5,25.15,25.36,19604,0
20170726,25.2385,25.48,25.14,25.14,14463,0
20170727,25.1756,25.25,25.02,25.07,9879,0
20170728,25.25,25.25,25.01,25.12,16149,0
20170731,25.25,25.25,25.01,25.03,8262,0
20170801,25.07,25.16,24.71,24.88,12871,0
20170802,24.89,25,24,24,12302,0
20170803,23.12,23.81,23.01,23.4,27602,0
20170804,23.75,23.75,22.77,22.86,13450,0
20170807,22.1,22.31,21.85,22,9955,0
20170808,21.3023,23.09,21.11,23.08,18924,0
20170809,24.547,24.547,22.96,22.97,10918,0
20170810,22.15,22.96,22.12,22.54,10828,0
20170811,22.65,22.65,21.81,21.87,12002,0
20170814,21.97,22.74,21.97,22.62,18708,0
20170815,22.72,22.72,22.05,22.19,12216,0
20170816,21.71,22.125,21.18,21.32,17337,0
20170817,21.15,21.39,21.03,21.19,17399,0
20170818,21.02,21.17,21.01,21.17,8582,0
20170821,21,21.21,20.6925,21.13,12011,0
20170822,21.2,21.64,21,21.23,15358,0
20170823,21.12,21.21,20.75,21.1,10545,0
20170824,21.12,21.12,20.58,20.95,7673,0
20170825,21.03,22.05,20.83,22.03,22092,0
20170828,21.2,21.61,21,21.33,15107,0
20170829,21.2,21.655,19.89,20.32,46236,0
20170830,20.68,21.25,20.05,21.25,51295,0
20170831,21.39,21.76,21.22,21.64,18823,0
20170901,21.91,21.91,21.07,21.58,20809,0
20170905,21.41,21.895,21.22,21.66,17752,0
20170906,22.03,22.69,21.4,22.47,27880,0
20170907,22.25,22.6,21.855,22.55,33577,0
20170908,22.21,22.67,21.75,22.3,36219,0
20170911,22.25,22.87,22.24,22.5,12892,0
20170912,21.5,23.74,21.4,23.29,47105,0
20170913,24.04,24.11,23.52,23.97,20192,0
20170914,23.75,24.02,23.01,23.97,13856,0
20170915,24.29,24.5209,23.56,24.26,96266,0
20170918,24.28,24.5,23.17,23.36,57815,0
20170919,23.48,23.48,22.1101,22.4,22877,0
20170920,23.4435,23.4435,22.48,22.63,11493,0
20170921,22.45,22.61,22.25,22.28,11670,0
20170922,21.4,23.11,21.21,23.02,33037,0
20170925,23.1,23.1,22.07,22.19,61033,0
20170926,22.21,23.392,22.21,23.23,14015,0
20170927,23.96,23.99,23.4301,23.99,21243,0
20170928,24.16,24.16,23.5601,24.05,13938,0
20170929,24.4,25.19,24.2,24.55,24878,0
20171002,24.04,24.49,24.04,24.39,28813,0
20171003,24.58,24.99,24.49,24.85,18348,0
20171004,24.8,24.8,23.74,24.05,7555,0
20171005,24.31,24.31,23.56,23.68,10918,0
20171006,23.78,23.9029,23.07,23.29,17429,0
20171009,23.705,23.705,23.19,23.19,5516,0
20171010,23.3,23.62,22.74,23.24,39991,0
20171011,23.3,23.3666,22.94,22.97,284647,0
20171012,22.05,22.99,22.03,22.36,20193,0
20171013,22.48,22.6953,22.16,22.35,8079,0
20171016,22.33,23.0994,22.33,22.55,25738,0
20171017,22.69,22.99,22.655,22.9,58356,0
20171018,22.9,23.5,22.61,22.7,28783,0
20171019,22.5013,22.5654,22.21,22.38,6375,0
20171020,22.39,22.74,22.39,22.51,7715,0
20171023,22.25,22.28,21.75,21.78,13474,0
20171024,21.9,22.2,21.9,22.02,11114,0
20171025,22.09,22.2925,21.982,22.01,13008,0
20171026,21.98,22.1,21.85,22,7520,0
20171027,22,22.62,21.53,22.33,44438,0
20171030,22.365,22.4,21.73,21.85,20761,0
20171031,21.9,23.16,21.8415,22.49,52682,0
20171101,22.83,22.9572,22.26,22.27,28686,0
20171102,22.46,22.64,21.81,22.06,81130,0
20171103,22.1,22.1,21.76,21.85,17522,0
20171106,22.11,22.48,21.88,21.97,40861,0
20171107,22.89,24.37,22.395,23.67,171567,0
20171108,23.84,23.84,23.2,23.45,49805,0
20171109,23.45,24.01,23.2635,23.73,20509,0
20171110,23.75,23.97,23.4,23.43,36719,0
20171113,23.5,23.695,23.11,23.15,21530,0
20171114,23.01,23.1,22.46,22.7,35995,0
20171115,22.57,22.57,22.119,22.25,32611,0
20171116,22.3,22.83,22.05,22.33,35963,0
20171117,22.29,22.99,22.29,22.66,9576,0
20171120,22.74,23.07,22.58,22.66,36617,0
20171121,22.93,23.265,22.45,22.63,30767,0
20171122,22.64,22.65,22.2398,22.3,36312,0
20171124,22.38,22.94,22.22,22.88,9437,0
20171127,22.9,22.9,22.1,22.2,43538,0
20171128,22.7,23.29,22.36,22.55,24053,0
20171129,22.4859,23.41,22.4859,22.57,32064,0
20171130,22.63,22.8968,22.49,22.64,45513,0
20171201,22.49,23.42,22.49,22.87,38121,0
20171204,23.07,24.67,23.07,23.71,315541,0
20171205,23.85,24.32,23.85,23.91,36193,0
20171206,23.77,24.2614,23.24,23.26,12860,0
20171207,23.31,23.82,22.67,22.82,47293,0
20171208,22.81,23.67,22.61,23.46,34376,0
20171211,23.45,24.17,23.45,23.98,35028,0
20171212,24.08,24.74,24.02,24.11,28447,0
20171213,24.27,24.4,23.91,24.09,37271,0
20171214,24.07,24.2,23.23,23.49,60898,0
20171215,23.54,24.1,23.427,23.97,77944,0
20171218,24.03,24.5,23.88,23.88,50936,0
20171219,24.55,24.7425,24.19,24.42,94703,0
20171220,24.69,24.82,24.47,24.6,71342,0
20171221,24.6,24.7,24.2,24.45,54890,0
20171222,24.49,26.18,24.49,25.49,118153,0
20171226,25.74,26.49,25.74,26.06,56511,0
20171227,26.32,27.365,26.09,27.16,54215,0
20171228,27.23,28.72,27.23,28.58,50423,0
20171229,28.83,29.99,28.09,29.72,64817,0
20180102,30,30.68,29.39,30.2,78661,0
20180103,30.1,30.64,30,30.41,81176,0
20180104,30.49,30.5,29.855,30.39,61823,0
20180105,30.27,31,29.9,30.66,63260,0
20180108,30.73,30.9,29.84,30.8,46604,0
20180109,30.9,33.11,30.75,32.41,102533,0
20180110,32.7,32.9267,32.14,32.5,76063,0
20180111,32.42,33.14,32.42,32.47,45167,0
20180112,32.76,33.21,32.6,32.82,65697,0
20180116,33.01,33.01,30.84,30.96,59508,0
20180117,31.15,31.55,30.0001,31.48,32071,0
20180118,31.81,32.37,31.53,32.29,48300,0
20180119,31.78,32.98,31.15,32.24,77115,0
20180122,32.08,32.29,31.25,31.45,33811,0
20180123,31.57,32.51,31.42,32.23,40572,0
20180124,32.27,32.75,32.1452,32.5,21742,0
20180125,32.42,32.6,32.2903,32.51,24872,0
20180126,32.54,32.82,32.3456,32.39,16401,0
20180129,32.25,32.25,30.97,31.37,49826,0
20180130,31.04,31.31,30.28,31.06,35695,0
20180131,31.32,31.3372,30.54,30.7,27222,0
20180201,30.68,31.13,30.33,31.01,21279,0
20180202,30.64,30.7603,30.25,30.5,19105,0
20180205,30.09,30.8487,30.02,30.03,33611,0
20180206,29.5,31.27,28.9636,29.59,35009,0
20180207,29.49,29.73,29.0531,29.34,26007,0
20180208,29.29,30.28,28.43,28.78,39218,0
20180209,28.9,28.9,26.73,27.68,33334,0
20180212,27.71,28.27,27.51,27.96,19763,0
20180213,27.96,28.1,27.73,27.74,12525,0
20180214,27.6,28.37,27.35,27.85,25008,0
20180215,28.11,28.11,27.23,27.77,26274,0
20180216,27.61,28.14,27.25,27.61,20694,0
20180220,27.67,27.99,27.33,27.66,18878,0
20180221,27.64,28.095,27.46,27.51,20429,0
20180222,27.56,28.82,27.41,27.99,15340,0
20180223,28,28.03,27.61,27.97,12373,0
20180226,28.04,29.05,28,28.87,29265,0
20180227,28.91,28.91,28.26,28.47,22273,0
20180228,28.55,28.638,27.68,27.77,20475,0
20180301,29,30.5,28.01,29.06,65567,0
20180302,28.75,29.29,28.13,28.75,38837,0
20180305,28.59,29.4033,28.35,28.39,33750,0
20180306,28.35,28.48,27.79,28.18,31446,0
20180307,28,28.49,27.86,28.18,41646,0
20180308,28.11,28.5,27.065,28.27,42390,0
20180309,28.25,29.16,28.25,28.91,41161,0
20180312,28.92,29.87,28.92,29.27,31091,0
20180313,29.42,29.74,28.46,29.4,52144,0
20180314,29.53,29.6,29.17,29.3,22856,0
20180315,29.3,29.31,28.79,28.95,38417,0
20180316,29.06,30.53,29.06,29.93,95923,0
20180319,29.77,29.77,28.13,28.31,67644,0
20180320,28.28,28.8,28.02,28.28,27054,0
20180321,28.33,29.45,28.33,28.87,16096,0
20180322,28.64,29.5,27.43,27.5,25906,0
20180323,27.71,29.69,27.71,28.85,27699,0
20180326,29.12,29.17,28.51,29.11,20859,0
20180327,29.1,29.1,28.65,28.82,19816,0
20180328,29.1827,29.1827,28.181,28.62,26142,0
20180329,28.76,29.2,28.38,29.1,19812,0
20180402,29.09,29.09,27.95,28.62,38394,0
20180403,28.62,29.03,28.055,28.66,36434,0
20180404,28.28,28.88,28.01,28.34,26231,0
20180405,28.42,29.82,28.41,29.6,33076,0
20180406,29.46,30,29.4,30,28169,0
20180409,30.3,31.155,30.24,30.52,24508,0
20180410,31,32,30.8,31.41,31772,0
20180411,31.23,31.7322,31.22,31.41,16149,0
20180412,31.45,31.665,31.05,31.16,12201,0
20180413,31.25,31.2899,30.72,30.97,10376,0
20180416,31.16,32.295,30.76,31.83,61023,0
20180417,31.95,32.35,31.78,31.97,73476,0
20180418,32.21,33.91,32.09,33.13,20967,0
20180419,33.22,34.76,32.87,32.92,21665,0
20180420,32.73,33.35,32.02,33.26,15889,0
20180423,33.18,33.2599,32.67,32.73,19188,0
20180424,32.76,33.0682,31.77,31.83,6181,0
20180425,32.86,32.87,31.14,31.49,36823,0
20180426,31.55,31.7,30.78,30.9,18747,0
20180427,30.87,31.14,29.26,29.41,38987,0
20180430,29.42,31,29.42,30.65,21732,0
20180501,30.45,30.93,30.2,30.75,10284,0
20180502,30.69,31.62,30.32,31.35,21196,0
20180503,31.25,31.25,30.2,30.42,18966,0
20180504,30.43,31.24,30.33,30.64,27448,0
20180507,30.78,31.46,30.2,30.43,29906,0
20180508,30.24,31.25,30.2,31.01,23537,0
20180509,30.98,31.505,30.3721,30.71,17649,0
20180510,30.63,30.78,30.18,30.2,34992,0
20180511,30.09,30.095,28.45,28.6,27849,0
20180514,28.44,29.15,28.44,28.63,35487,0
20180515,28.49,29.255,28.49,28.73,11932,0
20180516,28.71,28.91,28.465,28.83,52849,0
20180517,28.85,31.2,28.85,30.3,23651,0
20180518,30.37,30.55,29.31,29.43,25090,0
20180521,29.48,30.2576,28.85,29.12,19086,0
20180522,29.21,29.78,28.14,28.14,23145,0
20180523,28.09,28.9999,27.82,28.83,25763,0
20180524,28.72,29.2,28.4498,29.01,28351,0
20180525,28.77,28.77,27.28,27.43,34385,0
20180529,27.27,28.38,27.27,27.92,41824,0
20180530,28.01,29.65,28.01,29.1,24378,0
20180531,29.12,29.64,28.18,28.76,34306,0
20180601,28.83,28.83,28.06,28.78,16883,0
20180604,28.73,29.24,27.15,27.46,54543,0
20180605,27.36,28.04,27.1,27.68,33757,0
20180606,27.63,28.18,27.42,28.07,23451,0
20180607,28.43,29.66,28.43,28.65,20902,0
20180608,28.56,28.56,27.07,27.58,21142,0
20180611,27.67,28.05,27.27,27.63,21093,0
20180612,27.585,27.88,27.04,27.54,22720,0
20180613,27.47,27.71,27.07,27.18,17366,0
20180614,27.12,27.45,25.88,26.42,35435,0
20180615,26.27,26.86,25.945,26.43,23923,0
20180618,26.36,27.18,26.3,26.78,17451,0
20180619,26.74,27.48,26.5,27.08,19386,0
20180620,27.22,27.5,26.98,27.47,17198,0
20180621,27.44,27.64,26.1,26.42,28875,0
20180622,26.92,27,25.66,26.35,117602,0
20180625,26.22,27.85,26.05,27.21,30528,0
20180626,27.18,29.37,27.18,28.53,47923,0
20180627,28.69,29.23,28.38,29.01,14325,0
20180628,28.99,29.04,28.12,28.53,14694,0
20180629,28.58,29.1,28.11,28.88,21749,0
20180702,28.68,28.83,28.11,28.83,16012,0
20180703,28.97,29.29,28.7535,29.29,6505,0
20180705,29.25,29.29,28.93,28.99,16512,0
20180706,29.04,29.82,28.99,29.78,14968,0
20180709,30,31,29.84,30.81,17687,0
20180710,31,31.16,30.13,30.54,30723,0
20180711,30.37,30.94,30.15,30.17,15572,0
20180712,30.24,30.6,29.11,30.37,24742,0
20180713,30.39,31.145,30.24,30.68,19128,0
20180716,30.56,31,30.215,30.86,30144,0
20180717,30.76,30.88,29.96,29.96,9699,0
20180718,29.88,30.3,29.77,30.16,7821,0
20180719,30.1,30.9202,30.1,30.72,11413,0
20180720,30.79,30.98,30.3217,30.34,13310,0
20180723,30.2,30.79,30.1801,30.3,13409,0
20180724,30.46,31.35,30.29,30.8,27211,0
20180725,30.69,30.8,30.14,30.37,10742,0
20180726,30.32,30.61,29.86,30,13003,0
20180727,29.9,30.59,29.16,29.16,12695,0
20180730,29.24,30.22,29,29.84,58624,0
20180731,30.2,31.16,29.556,30.47,46365,0
20180801,30.44,30.67,29.83,30.61,10625,0
20180802,30.54,31,30.2336,30.93,11542,0
20180803,30.94,30.94,30.14,30.26,10525,0
20180806,30.4,30.72,30.1101,30.35,9215,0
20180807,30.44,31.22,30.44,31,15202,0
20180808,31.23,31.35,29.075,29.66,89218,0
20180809,29.55,31.53,29.55,31.14,41833,0
20180810,31,31.6,30.26,30.46,14405,0
20180813,30.52,31.339,29.81,30.17,17314,0
20180814,30.36,31.09,30.31,30.49,19531,0
20180815,30.35,30.35,29.16,29.65,14317,0
20180816,29.65,30.17,29.5201,29.97,12984,0
20180817,30.02,31.0326,29.89,30.9,25686,0
20180820,30.85,31.86,30.85,31.09,51944,0
20180821,31.19,31.9399,30.83,30.92,36937,0
20180822,31.06,31.6454,30.62,30.97,17002,0
20180823,30.91,30.91,30.34,30.35,12492,0
20180824,30.42,30.8999,30.3001,30.37,14891,0
20180827,30.42,30.49,30.0401,30.09,11207,0
20180828,30.11,30.89,29.34,29.97,20613,0
20180829,29.97,30.48,29.82,30.43,8534,0
20180830,30.42,30.91,30.33,30.67,13084,0
20180831,30.68,30.88,30.1903,30.86,8487,0
20180904,30.82,31.36,30.37,30.37,16540,0
20180905,30.3,30.8,30.049,30.48,10262,0
20180906,30.52,30.739,29.31,29.4,19121,0
20180907,29.34,29.63,28.79,28.9,15880,0
20180910,28.99,29.11,27.48,27.83,20991,0
20180911,27.87,29.1,27.7325,28.87,13875,0
20180912,28.87,29.32,28.56,28.85,22594,0
20180913,28.9,29.09,28.21,28.42,17745,0
20180914,28.41,28.4965,28.01,28.18,5871,0
20180917,28.26,28.33,27.95,27.95,17959,0
20180918,28.04,28.349,27.76,28.24,31832,0
20180919,28.17,28.395,27.5,27.67,11244,0
20180920,27.81,27.9899,27.135,27.39,16948,0
20180921,27.39,28.51,27.39,28.51,73606,0
20180924,28.55,29.52,28.55,29.02,15029,0
20180925,28.63,28.7,26.69,26.86,43860,0
20180926,26.91,27.357,26.52,26.6,22536,0
20180927,26.67,27.205,26.55,27.06,36017,0
20180928,26.96,27.03,26.51,26.67,22915,0
20181001,26.74,27.005,26.3,26.57,25632,0
20181002,26.62,26.88,26.36,26.7,30124,0
20181003,26.97,28.04,26.49,27.77,15358,0
20181004,27.7,27.7,26.9639,27.39,39966,0
20181005,27.43,28.32,27.22,27.73,23413,0
20181008,27.72,28.68,27.55,28.3,18825,0
20181009,28.25,29.07,28.25,28.76,21691,0
20181010,28.85,28.85,28.2,28.59,13107,0
20181011,28.6,28.93,28.33,28.73,15375,0
20181012,28.98,29.06,28.51,28.99,21710,0
20181015,29,29.8531,29,29.52,40448,0
20181016,29.64,29.87,28.9,29.49,18394,0
20181017,29.47,29.5,28.835,29.15,12038,0
20181018,29.06,29.06,28.56,28.65,10648,0
20181019,28.65,29.3,28.65,28.95,18708,0
20181022,29.03,29.43,28.69,29.3,21840,0
20181023,28.97,29.8273,28.9477,29.4,18974,0
20181024,29.47,29.61,28.85,28.85,27647,0
20181025,28.9,29.23,28.44,28.64,17534,0
20181026,28.37,28.37,27.57,27.64,10534,0
20181029,27.88,27.88,26.3,26.49,19900,0
20181030,26.48,26.58,26.03,26.32,23045,0
20181031,26.32,27.1464,26.08,26.26,17620,0
