Date,Open,High,Low,Close,Volume,OpenInt
20050225,2.1064,2.1133,2.0771,2.084,1148871,0
20050228,2.0981,2.1189,2.0827,2.1133,663744,0
20050301,2.1133,2.1287,2.0799,2.1133,693752,0
20050302,2.0995,2.1555,2.0715,2.0953,981683,0
20050303,2.0882,2.1189,2.0127,2.0616,979542,0
20050304,2.0755,2.0981,2.0674,2.0926,836644,0
20050307,2.1079,2.1485,2.1023,2.1064,635875,0
20050308,2.1233,2.1344,2.0576,2.1007,1518250,0
20050309,2.0659,2.0659,1.9762,2.0098,933813,0
20050310,1.9959,1.9959,1.9175,1.9832,895235,0
20050311,2.0085,2.0085,1.9329,1.9581,694466,0
20050314,1.9721,1.9721,1.8882,1.9398,971681,0
20050315,1.954,1.9581,1.8824,1.9105,434397,0
20050316,1.9036,1.9804,1.9036,1.9357,1658288,0
20050317,1.9134,1.9665,1.8783,1.9454,1381780,0
20050318,1.9454,1.9454,1.8896,1.8896,708037,0
20050321,1.9036,1.9105,1.8545,1.8854,412248,0
20050322,1.895,1.8965,1.7747,1.7831,1720446,0
20050323,1.7775,1.7831,1.6921,1.7551,2786432,0
20050324,1.7691,1.786,1.7299,1.7299,565857,0
20050328,1.6866,1.7313,1.6096,1.6866,4462581,0
20050329,1.6824,1.7216,1.6307,1.6419,1429655,0
20050330,1.6376,1.709,1.6376,1.702,2649973,0
20050331,1.7257,1.7538,1.702,1.7229,845932,0
20050401,1.7369,1.8027,1.7229,1.7369,1362493,0
20050404,1.7131,1.7203,1.6935,1.7117,971681,0
20050405,1.6976,1.7203,1.6796,1.6935,752337,0
20050406,1.6965,1.7986,1.6965,1.7103,1391070,0
20050407,1.7243,1.7706,1.716,1.7608,844503,0
20050408,1.7747,1.7747,1.7286,1.7495,1339633,0
20050411,1.7369,1.7761,1.6839,1.7203,2043387,0
20050412,1.7257,1.7691,1.702,1.7524,621589,0
20050413,1.8,1.835,1.7775,1.7986,990256,0
20050414,1.7914,1.7957,1.6866,1.702,1056703,0
20050415,1.688,1.7076,1.6403,1.6517,1293191,0
20050418,1.6376,1.6558,1.6125,1.6459,855223,0
20050419,1.7006,1.7564,1.6655,1.7564,880944,0
20050420,1.7564,1.7846,1.7299,1.7761,1236751,0
20050421,1.8098,1.8098,1.7761,1.8069,590865,0
20050422,1.7929,1.7929,1.7328,1.7509,353667,0
20050425,1.7369,1.7775,1.7369,1.7664,505849,0
20050426,1.7524,1.8126,1.7524,1.7972,756623,0
20050427,1.7914,1.867,1.7914,1.8377,838074,0
20050428,1.8518,1.8518,1.8,1.8056,538708,0
20050429,1.7914,1.8252,1.7914,1.8196,264356,0
20050502,1.8238,1.8882,1.8224,1.8588,888086,0
20050503,1.8588,1.926,1.8418,1.9036,417968,0
20050504,1.9735,2.0645,1.9386,2.0001,3169389,0
20050505,1.9594,2.0085,1.9217,1.9917,1981941,0
20050506,1.9777,2.0072,1.9566,1.9972,607298,0
20050509,1.9832,1.9917,1.9441,1.9638,850934,0
20050510,1.9566,1.9594,1.8896,1.9091,307938,0
20050511,1.895,1.9371,1.8756,1.9175,422969,0
20050512,1.9036,1.9246,1.8588,1.8896,600864,0
20050513,1.8756,1.9386,1.8713,1.8909,1590411,0
20050516,1.9049,1.9231,1.8572,1.9105,963822,0
20050517,1.8965,1.9246,1.8559,1.9175,575148,0
20050518,1.9314,1.9735,1.9314,1.9706,1770458,0
20050519,1.9566,1.9651,1.9246,1.9594,610156,0
20050520,2.0435,2.0504,1.9651,1.9987,2416336,0
20050523,2.0001,2.0056,1.9735,1.9945,513706,0
20050524,2.0015,2.0015,1.9441,1.9706,327226,0
20050525,1.9721,2.042,1.9721,2.0211,1083853,0
20050526,2.0534,2.056,2.0337,2.0534,249349,0
20050527,2.0393,2.1064,2.035,2.0995,714475,0
20050531,2.1064,2.1329,2.0406,2.0882,1426797,0
20050601,2.0995,2.1133,2.0701,2.1133,607298,0
20050602,2.1051,2.2381,2.1051,2.2381,2021948,0
20050603,2.224,2.2435,2.14,2.1791,999543,0
20050606,2.1133,2.1204,2.0602,2.0869,1149581,0
20050607,2.0476,2.0729,2.0364,2.0504,1247462,0
20050608,2.0827,2.1218,2.0576,2.0882,791633,0
20050609,2.0715,2.0715,1.989,2.0224,1030984,0
20050610,2.0224,2.0463,2.0113,2.0282,1196025,0
20050613,2.0435,2.0926,1.9903,2.0364,1533969,0
20050614,2.0364,2.1007,1.9246,2.0337,1774747,0
20050615,2.0337,2.0911,2.0169,2.0379,1680439,0
20050616,2.0685,2.1329,2.0674,2.1259,1279614,0
20050617,2.1275,2.1485,2.0715,2.0771,765913,0
20050620,2.0729,2.1064,2.0602,2.0729,1000264,0
20050621,2.1023,2.1204,2.0882,2.1079,1298911,0
20050622,2.1079,2.1329,2.084,2.1121,790206,0
20050623,2.1092,2.1092,2.0211,2.0282,1796179,0
20050624,2.042,2.0897,2.042,2.0785,511560,0
20050627,2.0926,2.1007,2.0729,2.0937,540138,0
20050628,2.0576,2.1007,2.0576,2.0856,624446,0
20050629,2.1414,2.1414,2.1064,2.1204,1060271,0
20050630,2.1233,2.1233,2.1007,2.1064,450831,0
20050701,2.1625,2.1625,2.0926,2.1023,1391070,0
20050705,2.0981,2.0981,2.0183,2.0337,1889777,0
20050706,2.0616,2.063,2.0324,2.0576,1191735,0
20050707,2.0364,2.0645,2.0294,2.0645,308650,0
20050708,2.0504,2.0953,2.0504,2.0856,1082421,0
20050711,2.1555,2.1555,2.1133,2.1329,513706,0
20050712,2.1611,2.2534,2.1555,2.2086,1281042,0
20050713,2.2353,2.2743,2.1877,2.1988,1036695,0
20050714,2.1287,2.2394,2.1204,2.1946,768054,0
20050715,2.1862,2.2255,2.1374,2.1414,2267724,0
20050718,2.1695,2.1695,2.1133,2.1429,1833327,0
20050719,2.1625,2.1625,2.0701,2.1051,1155299,0
20050720,2.0729,2.1316,2.0602,2.1178,815214,0
20050721,2.1807,2.1807,2.0449,2.0715,1353209,0
20050722,2.0659,2.0659,1.9861,2.0224,1422512,0
20050725,1.9119,1.9161,1.8335,1.9036,2555662,0
20050726,1.9021,2.042,1.8603,1.9917,1333201,0
20050727,2.0056,2.0294,1.9623,2.0072,844503,0
20050728,2.0211,2.1023,2.0072,2.0869,1124574,0
20050729,2.1162,2.1666,2.0897,2.1162,1432512,0
20050801,2.1218,2.147,2.0827,2.1204,624446,0
20050802,2.1652,2.2086,2.1442,2.1751,1449662,0
20050803,2.2255,2.2435,2.1723,2.2269,2343465,0
20050804,2.2955,2.3445,2.252,2.2898,10891385,0
20050805,2.3219,2.3304,2.2743,2.2786,1876197,0
20050808,2.3359,2.3359,2.2435,2.2801,1493240,0
20050809,2.2856,2.3219,2.2687,2.3219,1616131,0
20050810,2.3724,2.4424,2.3514,2.399,4602620,0
20050811,2.4102,2.4102,2.2394,2.2759,2487784,0
20050812,2.2029,2.3094,2.1695,2.2814,6638146,0
20050815,2.3331,2.3331,2.2673,2.3122,916664,0
20050816,2.3318,2.3445,2.2296,2.2394,1440370,0
20050817,2.2562,2.2633,2.2226,2.2394,3092229,0
20050818,2.2394,2.2394,2.1555,2.1974,1869058,0
20050819,2.2323,2.2323,2.0546,2.1037,4149641,0
20050822,2.1079,2.2394,2.1079,2.2071,2504933,0
20050823,2.2212,2.2212,2.1233,2.1539,590865,0
20050824,2.168,2.168,2.0742,2.0926,633734,0
20050825,2.1625,2.1625,2.1133,2.1414,1974796,0
20050826,2.1555,2.1581,2.0926,2.14,633016,0
20050829,2.1374,2.1386,2.0937,2.1189,1608271,0
20050830,2.1162,2.15,2.1162,2.1275,1078852,0
20050831,2.1485,2.1974,2.14,2.1974,3869574,0
20050901,2.1974,2.2394,2.182,2.182,2420622,0
20050902,2.1555,2.2394,2.1555,2.2353,1976938,0
20050906,2.2394,2.2394,2.2282,2.2381,1435372,0
20050907,2.2409,2.2421,2.1903,2.2323,945962,0
20050908,2.2323,2.2323,2.1695,2.1807,773055,0
20050909,2.2743,2.3136,2.1625,2.2255,2200568,0
20050912,2.2114,2.2212,2.1833,2.2101,1063133,0
20050913,2.217,2.217,2.1457,2.1485,1874058,0
20050914,2.1807,2.1918,2.1611,2.1736,1564688,0
20050915,2.2086,2.2226,2.1833,2.1903,1257471,0
20050916,2.1891,2.2743,2.1891,2.2716,1977656,0
20050919,2.2646,2.3136,2.2534,2.3053,2038385,0
20050920,2.3402,2.3877,2.3374,2.3445,2578522,0
20050921,2.3598,2.4326,2.35,2.4088,5801498,0
20050922,2.4409,2.4424,2.3864,2.3977,1100282,0
20050923,2.3864,2.434,2.3864,2.4128,955962,0
20050926,2.4326,2.4942,2.4186,2.4409,1796890,0
20050927,2.455,2.4564,2.3359,2.3795,1230320,0
20050928,2.4074,2.4312,2.3919,2.4158,1005974,0
20050929,2.4213,2.4409,2.4003,2.434,839502,0
20050930,2.4481,2.4481,2.3934,2.4326,550854,0
20051003,2.4354,2.462,2.3822,2.4229,842365,0
20051004,2.42,2.4717,2.3949,2.4243,1746168,0
20051005,2.4088,2.4326,2.3655,2.3697,1079563,0
20051006,2.3585,2.3655,2.2114,2.2465,2060536,0
20051007,2.2465,2.3318,2.2465,2.3122,587296,0
20051010,2.3374,2.3766,2.2898,2.3053,652314,0
20051011,2.3304,2.3795,2.2814,2.3039,895945,0
20051012,2.2743,2.364,2.2673,2.2913,721614,0
20051013,2.2366,2.2633,2.2184,2.2562,1444663,0
