Date,Open,High,Low,Close,Volume,OpenInt
20071113,184.35,184.35,184.35,184.35,0,0
20071114,188.7,188.94,172.82,176.58,4452910,0
20071115,173.71,173.71,161.6,161.6,874149,0
20071116,161.6,165.58,160.45,161.29,240165,0
20071119,156.56,156.56,135.8,148.23,867006,0
20071120,148.35,150.42,134.82,140.29,486403,0
20071121,133.65,137.71,131.36,131.64,157613,0
20071123,132.81,138.28,130.95,135.8,40844,0
20071126,135.61,148.05,122.53,141.43,355894,0
20071127,142.75,151.53,142.75,144.59,213124,0
20071128,144.89,152.15,144.89,146.36,64417,0
20071129,146.28,149.79,140.29,143.97,134838,0
20071130,146.88,149.79,141.71,142,111578,0
20071203,141.15,143.97,138.28,141.15,125360,0
20071204,141.15,141.15,137.23,138.48,109184,0
20071205,139.41,142.6,137.71,138.83,162351,0
20071206,138.28,152.53,137.64,145.47,235100,0
20071207,146.36,153.25,144.01,150.42,229075,0
20071210,149.79,168.74,149.79,161.87,348292,0
20071211,160.45,161.29,155.09,157.43,144790,0
20071212,160.33,160.45,150.04,153.87,75127,0
20071213,151.53,152.73,148.64,150.94,96233,0
20071214,150.66,152.59,147.94,149.79,141729,0
20071217,148.64,153.75,141.71,149.21,56467,0
20071218,149.79,155.38,145.11,153.83,87085,0
20071219,153.83,155.05,144.08,152.15,181394,0
20071220,152.43,158.82,152.43,156.56,99271,0
20071221,154.98,163.57,154.75,160.21,237218,0
20071224,161.42,162.62,158.43,160.15,107326,0
20071226,158.43,162.45,152.84,157.68,65076,0
20071227,155.25,157.16,152.43,154.82,115743,0
20071228,154.11,155.21,152.37,153.93,71117,0
20071231,150.04,155.47,148.23,151.4,81427,0
20080102,151.53,154.11,147.85,150.37,210728,0
20080103,152.66,152.66,142.25,148.35,65891,0
20080104,144.65,144.65,138.28,142.6,142563,0
20080107,142.88,142.97,138.28,140.57,81097,0
20080108,139.11,140.5,132.5,133.92,162021,0
20080109,130.62,133.65,129.05,131.64,315399,0
20080110,132.55,142.12,128.68,135.61,274694,0
20080111,135.67,145.11,134.99,139.51,235932,0
20080114,139.45,144.01,135.73,143.46,70128,0
20080115,141.15,141.15,135.4,138.28,100713,0
20080116,138.28,139.18,132.5,136.51,123459,0
20080117,135.14,139.41,129.62,131.64,112307,0
20080118,131.64,135.67,129.3,135.09,86356,0
20080122,131.92,137.51,127.49,137.51,136643,0
20080123,137.51,140.5,131.69,139.11,245814,0
20080124,138.28,143.9,138.03,138.28,42302,0
20080125,142.88,145.17,131.05,133.98,178077,0
20080128,131.99,133.06,127.95,131.42,97951,0
20080129,131.92,133.88,130.62,131.92,104513,0
20080130,131.64,133.06,123.28,127.19,188700,0
20080131,126.1,128.13,123.85,126.94,185297,0
20080201,127.16,131.69,126.63,130.71,69051,0
20080204,132.3,135.94,132.3,133.6,109983,0
20080205,135.73,135.73,129.34,129.73,55912,0
20080206,128.98,131.99,125.76,125.86,76428,0
20080207,124.27,126.47,122.46,123.69,96199,0
20080208,124.43,124.79,115.32,118.56,151016,0
20080211,118.5,124.55,117.58,123.46,99550,0
20080212,124.67,128.68,123.63,127.95,64347,0
20080213,128.25,128.62,126.74,128.36,62646,0
20080214,129.91,129.91,125.76,125.98,10711,0
20080215,125.31,126.74,123,124.84,15102,0
20080219,126.74,128.06,123.52,124.27,72557,0
20080220,123.85,125.53,123.1,124.6,43273,0
20080221,124.6,125.02,122.35,123.85,46676,0
20080222,123.33,123.8,119.38,120.57,54452,0
20080225,119.82,123.39,119.42,121.82,93248,0
20080226,115.85,134.11,115.85,130.77,195671,0
20080227,130.77,139.51,128.13,136.65,101660,0
20080228,133.65,138.54,132.81,137.41,34552,0
20080229,137.71,137.71,132.55,133.31,45636,0
20080303,131.76,132.38,127.31,127.78,34925,0
20080304,126.74,127.72,120.41,120.93,109495,0
20080305,122.14,124.84,120.63,122.78,51854,0
20080306,123,124.04,116.66,117.86,172717,0
20080307,115.22,118.97,114.76,116.83,72228,0
20080310,117.97,117.97,113.5,113.91,70968,0
20080311,116.07,122.26,116.07,120.45,129058,0
20080312,119.54,122.66,119.54,121.34,105364,0
20080313,120.69,128.45,117.65,128.06,97223,0
20080314,127.89,132.63,124.24,124.67,197240,0
20080317,118.61,121.61,106.34,112.22,167657,0
20080318,114.54,119.13,113.61,119.13,80206,0
20080319,119.42,124.49,119.07,123.85,121037,0
20080320,125.02,135.09,123.46,131.05,74180,0
20080324,132.17,136.51,129.62,134.82,43970,0
20080325,135.09,135.4,132.11,133.65,34721,0
20080326,131.99,135.4,131.99,132.69,27636,0
20080327,133.6,134.28,126.5,126.94,54452,0
20080328,127.31,127.31,120.52,120.69,46815,0
20080331,121.51,122.19,120.75,121.01,26748,0
20080401,122.35,124.49,120.41,123.28,116045,0
20080402,123.85,124.98,116.96,117.76,142703,0
20080403,116.02,116.96,113.36,115.7,124878,0
20080404,114.89,117.23,113.84,115.26,95071,0
20080407,115.22,116.49,114.54,115.22,119894,0
