Date,Open,High,Low,Close,Volume,OpenInt
20050225,16.305,16.305,15.789,15.916,18641,0
20050228,15.836,16.281,15.789,16.1,16123,0
20050301,16.075,16.075,15.789,15.796,22169,0
20050302,15.789,15.789,15.469,15.67,2142,0
20050303,15.63,16.108,15.622,16.012,11462,0
20050304,16.067,16.162,16.067,16.148,3148,0
20050307,16.267,16.383,16.267,16.383,4158,0
20050308,16.504,16.504,16.305,16.305,4787,0
20050309,16.313,16.313,16.155,16.187,1763,0
20050310,16.108,16.108,15.836,15.908,3274,0
20050311,15.75,15.75,15.592,15.592,2142,0
20050314,15.592,16.25,15.592,16.114,13355,0
20050315,16.194,16.25,16.108,16.25,3148,0
20050316,16.224,16.224,16.026,16.067,1512,0
20050317,16.108,16.108,15.948,16.019,503,0
20050318,16.139,16.25,16.108,16.25,1387,0
20050321,16.267,16.465,16.187,16.383,3400,0
20050322,16.383,16.44,16.347,16.44,883,0
20050323,16.512,16.512,16.383,16.383,756,0
20050328,16.305,16.305,16.148,16.148,2390,0
20050329,16.108,16.108,15.781,15.781,2390,0
20050330,15.709,15.709,15.392,15.392,2516,0
20050331,15.353,15.353,15.192,15.311,2142,0
20050401,15.123,15.123,15.004,15.123,4536,0
20050404,15.045,15.045,14.955,14.955,2266,0
20050405,14.844,14.844,14.844,14.844,883,0
20050406,14.687,14.805,14.534,14.687,2644,0
20050407,14.608,14.844,14.574,14.749,2142,0
20050408,14.844,15.004,14.844,15.004,1260,0
20050411,14.883,14.883,14.608,14.608,2770,0
20050413,14.408,14.408,14.13,14.138,2018,0
20050414,14.052,14.052,13.853,13.853,378,0
20050415,13.694,13.766,13.614,13.694,6177,0
20050418,13.662,13.662,13.503,13.503,1512,0
20050419,13.304,13.304,13.304,13.304,756,0
20050420,13.399,13.399,13.105,13.304,24313,0
20050421,13.424,13.463,13.24,13.24,2516,0
20050422,13.13,13.211,13.105,13.211,1889,0
20050425,13.304,13.304,12.986,13.145,1133,0
20050426,13.067,13.248,13.067,13.145,8943,0
20050427,13.424,13.424,13.424,13.424,128,0
20050428,13.614,14.13,13.614,14.13,11087,0
20050429,14.121,14.471,14.121,14.471,16375,0
20050502,14.67,14.946,14.615,14.615,3529,0
20050503,14.726,15.208,14.726,15.208,5791,0
20050504,15.019,15.789,14.922,15.63,6929,0
20050505,15.789,15.789,15.235,15.235,22803,0
20050506,15.045,15.045,14.615,14.615,4536,0
20050509,14.416,14.821,14.416,14.821,9322,0
20050510,14.922,14.922,14.449,14.454,2516,0
20050511,14.297,14.59,14.297,14.305,1008,0
20050512,14.471,14.471,14.305,14.313,756,0
20050513,14.313,14.528,14.313,14.528,629,0
20050516,14.217,14.217,14.018,14.018,1387,0
20050517,13.812,13.812,13.346,13.662,3529,0
20050518,13.654,13.654,13.654,13.654,1260,0
20050519,13.662,13.805,13.662,13.805,883,0
20050520,13.226,13.694,13.226,13.694,19525,0
20050523,13.679,13.812,13.679,13.812,3654,0
20050524,13.62,13.62,13.226,13.367,2018,0
20050525,13.399,13.399,13.028,13.035,6801,0
20050526,13.044,13.346,12.836,13.346,7431,0
20050527,13.248,13.424,12.83,13.417,36910,0
20050531,13.463,13.932,13.463,13.479,2516,0
20050601,13.805,13.876,13.679,13.812,2266,0
20050602,13.62,13.805,13.62,13.62,629,0
20050603,13.805,13.805,13.62,13.62,1512,0
20050606,13.62,14.091,13.62,13.62,3654,0
20050607,13.853,13.868,13.853,13.868,378,0
20050608,13.972,13.972,13.775,13.972,1260,0
20050609,13.503,13.549,13.503,13.549,756,0
20050610,13.654,13.812,13.635,13.812,883,0
20050613,13.679,13.679,13.424,13.424,503,0
20050614,13.448,13.455,13.448,13.455,1763,0
20050615,13.424,13.503,13.304,13.503,1133,0
20050616,13.424,14.018,13.313,13.818,10080,0
20050617,14.018,14.21,13.972,14.21,3778,0
20050620,14.21,14.392,14.21,14.233,2142,0
20050621,14.217,14.272,14.21,14.217,883,0
20050622,14.21,14.59,14.21,14.361,9449,0
20050623,14.217,14.582,14.217,14.449,1763,0
20050624,14.248,14.248,14.21,14.21,3400,0
20050627,14.217,14.424,14.217,14.226,1640,0
20050628,14.217,14.233,14.21,14.233,2390,0
20050629,14.217,14.217,14.21,14.21,2516,0
20050630,14.21,14.52,14.21,14.4,1640,0
20050701,14.226,14.384,14.052,14.052,7183,0
20050705,14.248,14.248,14.248,14.248,128,0
20050706,14.217,14.217,14.043,14.052,8188,0
20050707,14.052,14.052,13.853,13.853,13982,0
20050708,13.812,13.908,13.812,13.908,883,0
20050711,13.923,13.923,13.662,13.662,4031,0
20050712,13.463,13.479,13.463,13.47,4536,0
20050713,13.775,14.008,13.662,13.812,10961,0
20050714,13.812,13.812,13.812,13.812,1387,0
20050715,13.86,13.86,13.346,13.346,2390,0
20050718,13.424,13.812,13.417,13.812,10080,0
20050719,13.775,13.775,13.62,13.62,4661,0
20050720,13.304,13.601,13.304,13.47,8063,0
20050721,13.479,14.008,13.479,14.008,20660,0
20050722,13.892,14.06,13.892,14.06,3023,0
20050725,14.217,14.366,14.17,14.366,6300,0
20050726,14.289,14.289,13.892,13.972,5541,0
20050727,14.202,14.28,14.068,14.068,8188,0
20050728,14.21,14.248,14.13,14.195,883,0
20050729,14.052,14.17,14.052,14.17,2018,0
20050801,14.008,14.179,14.008,14.13,3904,0
20050802,14.091,14.408,13.972,14.408,17760,0
20050803,14.408,14.408,13.979,14.13,5164,0
20050804,13.979,13.979,13.584,13.783,7305,0
20050805,13.853,13.923,13.732,13.812,3778,0
20050808,13.424,13.487,13.381,13.389,3148,0
20050809,13.313,13.313,12.708,13.105,10837,0
20050810,12.907,13.097,12.757,12.836,6300,0
20050811,12.788,12.986,12.469,12.986,8440,0
20050812,13.145,13.145,13.145,13.145,128,0
20050815,13.105,13.105,12.83,12.859,2142,0
20050816,12.83,13.035,12.629,13.028,8819,0
20050817,12.907,12.986,12.83,12.986,1889,0
20050818,13.186,13.346,12.797,13.028,2390,0
20050819,13.186,13.381,13.153,13.33,2644,0
20050822,13.33,13.381,13.33,13.338,1008,0
20050823,13.304,13.304,13.153,13.226,1763,0
20050824,13.226,13.248,13.105,13.145,1008,0
20050825,13.145,13.257,13.113,13.145,1889,0
20050826,13.139,13.177,12.994,13.177,1512,0
20050829,13.113,13.113,12.844,12.844,12597,0
20050830,12.866,13.028,12.708,13.028,4406,0
20050831,12.969,13.097,12.969,13.097,2018,0
20050901,12.9,13.067,12.629,13.028,5416,0
20050902,12.907,13.381,12.637,12.852,21544,0
20050906,12.874,13.105,12.866,13.105,6553,0
20050907,13.263,13.361,13.234,13.313,1260,0
20050908,13.145,13.24,13.028,13.24,3274,0
20050909,13.375,13.503,13.375,13.503,3023,0
20050912,13.503,13.503,13.33,13.381,1260,0
20050913,13.424,13.503,13.226,13.234,3148,0
20050914,13.145,13.417,13.035,13.313,14234,0
20050915,13.067,13.067,12.956,13.035,4406,0
20050916,13.218,13.417,13.105,13.381,6425,0
20050919,13.263,13.424,13.263,13.417,7937,0
20050920,13.346,13.346,13.067,13.067,6425,0
20050921,13.226,13.424,13.226,13.424,9195,0
20050922,13.441,14.13,13.417,14.052,22803,0
20050923,13.972,14.289,13.932,14.289,11462,0
20050926,13.775,14.289,13.775,14.21,19275,0
20050927,14.091,14.258,14.091,14.258,6679,0
20050928,14.248,14.566,14.226,14.534,6801,0
20050929,14.454,14.462,14.408,14.449,13225,0
20050930,14.566,14.566,14.454,14.454,3023,0
20051003,14.488,14.796,14.454,14.528,3654,0
20051004,14.608,14.608,14.488,14.488,2898,0
20051005,14.289,14.449,14.28,14.449,6553,0
20051006,14.408,14.513,14.408,14.513,1763,0
20051007,14.528,14.528,14.408,14.488,10329,0
20051010,14.494,14.52,14.21,14.52,9068,0
20051011,14.566,14.566,14.138,14.138,15117,0
20051012,14.138,14.289,14.138,14.17,3148,0
20051013,14.17,14.488,14.091,14.416,6679,0
20051014,14.687,15.082,14.687,14.916,11211,0
20051017,15.157,15.274,14.955,14.955,5541,0
20051018,14.86,15.208,14.86,15.208,8566,0
20051019,15.051,15.131,14.964,15.045,1889,0
20051020,15.082,15.157,14.922,14.964,3148,0
20051021,14.844,14.98,14.844,14.98,629,0
20051024,15.096,15.096,15.004,15.091,5666,0
20051025,15.162,15.305,15.105,15.235,2018,0
20051026,15.131,15.235,15.131,15.162,3400,0
20051027,15.105,15.105,14.877,14.877,1763,0
20051028,14.964,14.98,14.392,14.408,8314,0
20051031,14.408,14.408,14.21,14.4,4536,0
20051101,14.21,14.408,14.21,14.366,3023,0
20051102,14.366,14.408,14.248,14.408,3654,0
20051103,14.408,14.424,14.33,14.353,16629,0
20051104,14.353,14.392,14.353,14.392,756,0
20051107,14.408,14.566,14.21,14.449,16506,0
20051108,14.408,14.408,14.258,14.289,5164,0
20051109,14.289,14.528,14.289,14.528,8819,0
20051110,14.528,14.528,14.33,14.408,1640,0
20051111,14.408,14.528,14.408,14.408,2770,0
20051114,13.662,14.488,13.662,14.488,3023,0
20051115,14.408,14.408,14.33,14.366,6051,0
20051116,14.366,14.384,14.366,14.366,2898,0
20051117,14.366,14.52,14.33,14.33,2770,0
20051118,14.33,14.33,14.33,14.33,1008,0
20051121,14.289,14.408,14.289,14.366,2390,0
20051122,14.366,14.366,14.366,14.366,252,0
20051123,14.366,14.408,14.33,14.408,4406,0
20051125,14.408,14.408,14.408,14.408,629,0
20051128,14.449,14.449,14.408,14.408,2018,0
20051129,14.408,14.454,14.408,14.408,4158,0
20051130,14.408,14.416,14.408,14.408,4787,0
20051201,14.408,14.449,14.376,14.449,6553,0
20051202,14.408,14.432,14.408,14.432,1008,0
20051205,14.416,14.416,14.392,14.408,2770,0
20051206,14.408,14.408,14.366,14.408,4031,0
20051207,14.366,14.408,14.366,14.408,5164,0
20051208,14.4,14.408,14.289,14.408,2898,0
20051209,14.408,14.488,14.408,14.408,12972,0
20051212,14.488,14.488,14.366,14.366,19397,0
20051213,14.289,14.52,14.289,14.52,3904,0
20051214,14.408,14.454,14.366,14.408,2390,0
20051215,14.408,14.408,14.17,14.17,9703,0
20051216,14.17,14.376,14.052,14.052,2898,0
20051219,14.084,14.084,13.263,13.463,5791,0
20051220,13.381,13.448,13.195,13.322,10837,0
20051221,13.322,13.322,13.202,13.263,883,0
20051222,13.145,13.145,12.874,13.074,3529,0
20051223,13.263,13.732,13.263,13.424,7305,0
20051227,13.424,13.424,12.947,12.947,3274,0
20051228,12.749,12.805,12.25,12.367,8693,0
20051229,12.177,12.177,11.582,12,20911,0
20051230,11.923,12.266,11.694,12.266,8063,0
20060103,12.074,12.591,12.074,12.591,11339,0
20060104,12.591,12.83,12.591,12.749,3274,0
20060105,12.772,12.986,12.732,12.892,4661,0
20060106,13.089,13.263,12.907,13.263,1008,0
20060109,13.202,13.503,13.195,13.496,5791,0
20060110,13.295,13.417,13.295,13.417,503,0
20060111,13.218,13.432,13.218,13.432,2390,0
20060112,13.424,13.62,13.417,13.424,13982,0
20060113,13.234,13.534,13.234,13.234,1387,0
20060117,13.346,13.463,13.313,13.313,4282,0
20060118,13.381,13.381,13.105,13.105,3148,0
20060119,13.067,13.067,12.947,12.947,2142,0
20060120,12.947,12.947,12.947,12.947,1260,0
20060123,12.788,12.788,12.645,12.645,1889,0
20060124,12.621,13.028,12.621,13.028,2898,0
20060125,12.83,12.836,12.645,12.693,3148,0
20060126,12.629,12.629,12.314,12.432,3654,0
20060127,12.512,12.512,12.241,12.241,2018,0
20060130,12.241,12.241,12.232,12.232,1133,0
20060131,12.232,12.241,12.138,12.224,2142,0
20060201,12.026,12.026,11.766,11.766,1387,0
20060202,11.844,12.25,11.844,11.994,3529,0
20060203,12.32,12.375,11.868,12.082,5416,0
20060206,12.232,12.28,12.122,12.28,4406,0
20060207,12.232,12.232,12.043,12.043,1008,0
20060208,12.026,12.026,11.844,11.853,4158,0
20060209,11.861,12.043,11.766,11.844,3274,0
20060210,11.844,12.788,11.844,12.788,11714,0
20060213,12.591,12.629,12.392,12.44,3778,0
20060214,12.314,12.629,12.314,12.629,2390,0
20060215,12.629,12.83,12.432,12.629,7811,0
20060216,12.549,12.549,12.549,12.549,128,0
20060217,12.671,12.708,12.549,12.549,1763,0
20060221,12.432,12.432,12.392,12.392,252,0
20060222,12.162,12.162,11.923,12.018,5666,0
20060223,12.018,12.106,11.844,11.923,4661,0
20060224,11.923,11.923,11.723,11.723,1763,0
20060227,11.604,11.803,11.447,11.646,18394,0
20060228,11.527,11.604,11.447,11.447,30484,0
20060301,11.527,11.803,11.447,11.628,26579,0
20060302,11.685,11.685,11.604,11.604,4158,0
20060303,11.794,11.794,11.559,11.559,5416,0
20060306,11.486,11.646,11.367,11.559,3529,0
20060307,11.478,11.542,11.384,11.542,3654,0
20060308,11.542,11.899,11.407,11.899,3274,0
20060309,11.844,11.844,11.766,11.835,5291,0
20060310,11.844,11.844,11.604,11.604,2266,0
20060313,11.567,12.082,11.567,12.082,7937,0
20060314,11.963,12.043,11.844,12.043,6177,0
20060315,12.122,12.122,11.685,11.844,7305,0
20060316,11.835,11.844,11.604,11.654,3778,0
20060317,11.59,11.59,11.447,11.534,1387,0
20060320,11.604,11.604,11.486,11.502,1763,0
20060321,11.336,11.454,11.336,11.345,3023,0
20060322,11.264,11.354,11.13,11.249,5416,0
20060323,11.13,11.249,11.027,11.048,17760,0
20060324,11.027,11.16,10.971,11.048,18267,0
20060327,11.13,11.328,11.056,11.211,4031,0
20060328,11.264,11.296,11.168,11.249,3654,0
20060329,11.168,11.288,11.056,11.123,15242,0
20060330,11.13,11.272,11.13,11.272,4917,0
20060331,11.194,11.264,11.02,11.264,8188,0
20060403,11.211,11.296,11.056,11.108,6300,0
20060404,11.13,11.36,11.13,11.36,5291,0
20060405,11.303,11.36,11.13,11.225,5666,0
20060406,11.064,11.13,11.064,11.073,5541,0
20060407,11.041,11.36,11.041,11.36,5039,0
20060410,11.375,11.375,11.175,11.36,6679,0
20060411,11.219,11.367,11.012,11.012,8063,0
20060412,11.056,11.319,11.056,11.249,6553,0
20060413,11.272,11.646,11.272,11.527,6679,0
20060417,11.447,11.597,11.367,11.384,3654,0
20060418,11.567,11.685,11.567,11.604,2266,0
20060419,11.604,11.7,11.567,11.685,3023,0
20060420,11.567,11.567,11.567,11.567,378,0
20060421,11.527,11.963,11.527,11.963,3400,0
20060424,12.082,12.232,12.082,12.216,4406,0
20060425,12.138,12.138,11.94,11.963,1889,0
20060426,12.122,12.122,11.803,12,5791,0
20060427,11.963,12.266,11.963,12,8063,0
20060428,11.923,12.162,11.923,11.948,4536,0
20060501,12.026,12.026,11.685,11.794,11087,0
20060502,11.844,11.844,11.7,11.717,5416,0
20060503,11.612,11.694,11.612,11.694,1512,0
20060504,11.527,11.612,11.211,11.272,5666,0
20060505,11.354,11.393,11.249,11.249,6929,0
20060508,11.288,11.328,11.288,11.319,1512,0
20060509,11.064,11.138,11.048,11.048,2898,0
20060510,11.056,11.527,11.056,11.527,14739,0
20060511,11.604,11.766,11.604,11.766,3274,0
20060512,11.685,11.685,11.527,11.527,2390,0
20060515,11.447,11.447,11.089,11.13,3274,0
20060516,11.081,11.211,11.081,11.168,503,0
20060517,11.211,11.527,11.211,11.486,6801,0
