Date,Open,High,Low,Close,Volume,OpenInt
20190102,17.96,17.96,17.96,17.96,3,0
20190103,17.729,17.729,17.729,17.729,82,0
20190104,18.228,18.228,18.228,18.228,1,0
20190107,18.287,18.287,18.287,18.287,1,0
20190108,18.383,18.383,18.383,18.383,1,0
20190109,18.448,18.448,18.448,18.448,7,0
20190110,18.469,18.469,18.469,18.469,1,0
20190111,18.479,18.479,18.479,18.479,1,0
20190114,18.401,18.401,18.401,18.401,1,0
20190115,18.502,18.502,18.502,18.502,4,0
20190116,18.568,18.568,18.568,18.568,1,0
20190117,18.68,18.68,18.666,18.666,343,0
20190118,18.835,18.835,18.835,18.835,1,0
20190122,18.608,18.608,18.608,18.608,1,0
20190123,18.655,18.655,18.655,18.655,1,0
20190124,18.67,18.67,18.635,18.635,378,0
20190125,18.683,18.683,18.683,18.683,1,0
20190128,18.631,18.631,18.631,18.631,3,0
20190129,18.685,18.685,18.685,18.685,3,0
20190130,18.713,18.859,18.713,18.859,139,0
20190131,18.923,18.923,18.923,18.923,25,0
20190201,18.954,18.954,18.954,18.954,3,0
20190204,19.03,19.03,19.03,19.03,3,0
20190205,19.141,19.141,19.141,19.141,101,0
20190206,19.131,19.131,19.131,19.131,61,0
20190207,18.93,18.93,18.93,18.93,3,0
20190208,18.958,18.958,18.958,18.958,3,0
20190211,18.946,18.946,18.946,18.946,3,0
20190212,19.147,19.147,19.127,19.127,627,0
20190213,19.122,19.122,19.122,19.122,3,0
20190214,19.16,19.16,19.16,19.16,4,0
20190215,19.344,19.344,19.344,19.344,3,0
20190219,19.418,19.418,19.418,19.418,1,0
20190220,19.443,19.443,19.443,19.443,675,0
20190221,19.481,19.481,19.46,19.46,409,0
20190222,19.58,19.58,19.577,19.577,101,0
20190225,19.633,19.633,19.633,19.633,12,0
20190226,19.735,19.735,19.693,19.693,208,0
20190227,19.649,19.649,19.644,19.644,2742,0
20190228,19.565,19.565,19.565,19.565,5,0
20190301,19.655,19.655,19.655,19.655,12,0
20190304,19.51,19.578,19.51,19.578,101,0
20190305,19.567,19.567,19.567,19.567,12,0
20190306,19.472,19.472,19.472,19.472,2,0
20190307,19.346,19.346,19.346,19.346,12,0
20190308,19.256,19.281,19.256,19.281,101,0
20190311,19.443,19.473,19.443,19.473,101,0
20190312,19.479,19.479,19.479,19.479,12,0
