Date,Open,High,Low,Close,Volume,OpenInt
20100921,12.895,13.522,12.592,12.865,2770030,0
20100922,12.76,13.032,12.457,12.623,1627644,0
20100923,12.472,12.955,12.382,12.676,633597,0
20100924,13.19,13.606,12.662,13.16,1123859,0
20100927,13.228,13.515,12.669,12.698,978569,0
20100928,12.76,12.798,12.276,12.284,1095692,0
20100929,12.298,12.336,11.55,11.55,2682684,0
20100930,11.625,12.382,11.625,12.32,1463578,0
20101001,12.457,12.798,12.32,12.389,451312,0
20101004,11.913,12.193,11.905,11.966,668020,0
20101005,11.936,13.009,11.867,12.472,1348745,0
20101006,12.616,12.646,12.215,12.526,359392,0
20101007,12.435,12.435,12.132,12.193,269495,0
20101008,12.064,12.382,11.958,12.124,372793,0
20101011,12.178,12.178,11.944,11.98,285370,0
20101012,12.132,12.314,11.769,12.116,881501,0
20101013,12.102,13.462,12.072,13.175,1565800,0
20101014,13.28,14.688,12.85,14.482,1451365,0
20101015,14.603,14.936,14.082,14.233,569852,0
20101018,14.468,14.582,13.697,13.757,639159,0
20101019,13.455,13.772,13.092,13.492,639444,0
20101020,13.728,13.728,12.94,13.228,410321,0
20101021,13.439,13.697,13.024,13.417,696003,0
20101022,13.787,15.352,13.545,15.103,1251503,0
20101025,15.344,15.548,14.868,15.141,766501,0
20101026,15.087,15.117,14.688,14.815,804109,0
20101027,14.747,14.808,13.794,14.022,1107969,0
20101028,14.324,14.324,13.606,13.794,322879,0
20101029,13.709,14.34,13.66,13.892,1672985,0
20101101,13.946,14.362,13.628,13.871,250769,0
20101102,13.81,13.984,13.728,13.893,631522,0
20101103,13.893,14.93,13.893,14.551,1454142,0
20101104,14.452,15.103,14.181,14.468,614710,0
20101105,14.551,14.77,14.452,14.588,400677,0
20101108,14.93,15.964,14.83,15.684,841527,0
20101109,15.926,15.964,15.601,15.828,404832,0
20101110,17.144,17.673,16.644,17.355,1704877,0
20101111,17.098,18.05,16.924,17.862,419607,0
20101112,17.537,17.68,16.629,16.804,394255,0
20101115,16.94,17.053,15.224,15.714,968445,0
20101116,15.526,16.047,14.173,14.498,1388735,0
20101117,14.468,15.012,14.271,14.362,993322,0
20101118,14.914,15.103,14.036,14.324,601422,0
20101119,14.181,15.103,14.166,14.506,960386,0
20101122,14.884,14.884,13.962,14.468,420793,0
20101123,14.173,14.476,13.878,14.362,232797,0
20101124,14.688,14.688,14.014,14.173,331500,0
20101126,14.332,14.498,13.878,14.452,105561,0
20101129,14.173,14.566,14.135,14.446,751355,0
20101130,14.166,14.392,13.606,13.916,678375,0
20101201,13.976,14.362,13.651,13.794,290863,0
20101202,14.036,14.362,13.462,14.346,567254,0
20101203,14.377,14.4,13.931,14.014,260690,0
20101206,13.923,14.543,13.893,14.4,154689,0
20101207,14.4,14.83,14.4,14.74,282481,0
20101208,14.822,15.148,14.212,14.241,167264,0
20101209,14.512,14.528,13.417,13.552,482125,0
20101210,13.984,14.036,13.643,13.794,256409,0
20101213,13.984,14.248,13.228,13.394,421252,0
20101214,13.417,13.417,12.662,12.812,349787,0
20101215,12.631,13.038,12.487,12.994,200289,0
20101216,12.865,13.409,12.828,13.046,380824,0
20101217,13.182,13.704,13.182,13.704,395079,0
20101220,13.643,13.794,13.568,13.704,148647,0
20101221,13.787,13.954,13.53,13.712,218298,0
20101222,14.672,14.672,13.779,14.106,490564,0
20101223,14.226,14.226,13.962,14.226,177439,0
20101227,14.248,14.309,12.828,13.084,907781,0
20101228,13.092,13.236,12.526,12.638,512928,0
20101229,12.495,12.676,12.284,12.623,1099021,0
20101230,12.714,12.971,12.32,12.971,744909,0
20101231,12.955,13.606,12.938,13.512,703067,0
20110103,13.682,13.923,13.591,13.697,404092,0
20110104,13.614,13.757,13.53,13.697,177719,0
20110105,13.622,13.794,13.515,13.606,144572,0
20110106,13.47,13.825,13.409,13.53,312480,0
20110107,13.643,13.658,12.925,13.311,191553,0
20110110,12.873,13.364,12.873,13.19,300098,0
20110111,13.341,13.606,13.146,13.568,317392,0
20110112,13.878,14.906,13.848,14.875,723373,0
20110113,15.004,15.406,14.815,15.064,541656,0
20110114,14.93,15.208,14.93,15.208,345479,0
20110118,15.322,16.168,15.193,15.669,1023164,0
20110119,15.648,15.805,15.526,15.639,410975,0
20110120,15.466,15.534,15.117,15.306,118067,0
20110121,15.511,15.768,15.375,15.458,223653,0
20110124,15.375,15.496,15.193,15.238,111937,0
20110125,15.201,16.153,15.178,15.738,301198,0
20110126,15.904,15.904,14.46,14.74,950889,0
20110127,14.754,14.914,14.248,14.754,247227,0
20110128,14.747,14.747,14.384,14.384,75481,0
20110131,14.36,14.908,14.273,14.633,98045,0
20110201,14.77,15.337,14.77,15.224,385687,0
20110202,15.117,15.563,14.93,14.974,65660,0
20110203,14.974,15.186,14.754,15.172,41964,0
20110204,15.224,15.231,15.117,15.186,17464,0
20110207,15.035,15.964,15.035,15.406,102840,0
20110208,15.442,15.442,14.93,15.133,87849,0
20110209,15.133,15.254,14.672,14.77,102566,0
20110210,15.064,15.117,14.362,14.452,126310,0
20110211,14.46,14.77,14.309,14.476,149065,0
20110214,14.702,15.496,14.702,15.375,325859,0
20110215,15.594,15.594,14.944,15.216,121330,0
20110216,15.458,15.586,15.238,15.488,223282,0
20110218,18.021,18.021,15.368,15.594,1135445,0
20110222,15.095,15.782,14.754,15.292,310772,0
20110223,15.609,15.859,14.173,14.747,243500,0
20110224,15.012,15.42,14.46,14.626,105371,0
20110225,14.582,15.004,14.362,14.899,174491,0
20110228,15.178,15.458,14.558,14.717,170672,0
20110301,15.004,15.201,14.664,14.99,254416,0
20110302,14.99,14.99,14.014,14.15,228618,0
20110303,14.446,14.93,13.764,14.642,318902,0
20110304,14.566,15.344,14.324,15.08,236455,0
20110307,15.42,15.42,14.974,15.027,174066,0
20110308,14.966,15.722,14.732,14.914,107227,0
20110309,14.4,14.815,13.485,13.628,321818,0
20110310,13.326,13.794,13.084,13.674,258137,0
20110311,13.251,14.052,13.084,13.848,86175,0
20110314,13.658,13.742,13.357,13.394,82898,0
20110315,13.115,13.28,12.888,13.138,125850,0
20110316,12.963,13.138,12.094,12.147,212243,0
20110317,12.472,12.487,12.094,12.314,412153,0
20110318,12.586,12.782,12.222,12.457,368848,0
20110321,12.76,12.918,12.472,12.698,315305,0
20110322,12.768,12.925,12.51,12.706,142925,0
20110323,12.691,12.873,12.555,12.782,103497,0
20110324,12.955,13.72,12.94,13.182,234345,0
20110325,13.258,13.538,13.205,13.447,219894,0
20110328,13.606,13.833,13.591,13.787,193589,0
20110329,14.067,14.633,13.856,14.438,248066,0
20110330,14.498,14.588,14.014,14.566,329360,0
20110331,14.548,14.591,13.872,14.103,151097,0
20110401,14.438,14.452,13.53,13.583,191105,0
20110404,13.606,13.984,13.273,13.939,223439,0
20110405,13.916,14.642,13.848,14.438,188040,0
20110406,14.43,14.672,14.309,14.452,60096,0
20110407,14.166,14.815,13.885,14.762,328924,0
20110408,14.74,15.805,14.709,15.586,401946,0
20110411,15.428,16.101,15.428,15.98,407417,0
20110412,15.262,16.192,15.262,15.942,208320,0
20110413,15.813,16.237,15.813,16.04,89163,0
20110414,15.79,16.962,15.609,16.78,380509,0
20110415,16.644,17.287,16.5,17.053,206797,0
20110418,16.629,17.128,16.282,17.022,279482,0
20110419,16.94,17.386,16.584,17.257,190935,0
20110420,17.355,17.386,17.022,17.158,88766,0
20110421,17.158,17.514,17.061,17.218,172524,0
20110425,17.31,17.566,17.092,17.484,160460,0
20110426,17.437,17.468,17.076,17.34,120233,0
20110427,17.34,17.348,16.796,17.182,193093,0
20110428,17.082,17.272,16.735,16.856,73917,0
20110429,16.74,17.844,16.604,17.426,121018,0
20110502,17.476,17.99,17.424,17.8,148584,0
20110503,17.635,17.764,16.735,17.688,132218,0
20110504,17.386,17.688,17.068,17.582,156327,0
20110505,18.172,19.336,17.975,19.124,601389,0
20110506,19.26,20.001,19.26,19.805,482049,0
20110509,19.676,20.446,19.676,20.364,314630,0
20110510,20.786,20.84,20.197,20.348,329310,0
20110511,20.024,20.024,16.735,18.186,1531631,0
20110512,17.71,18.897,17.053,18.3,615241,0
20110513,17.922,18.066,17.242,17.386,1675106,0
20110516,17.4,17.597,15.117,15.269,1767462,0
20110517,15.571,16.327,15.314,16.016,1069086,0
20110518,15.89,16.621,15.435,16.478,1410711,0
20110519,16.629,17.362,16.448,16.932,283272,0
20110520,16.758,16.864,16.426,16.577,275317,0
20110523,16.192,16.327,15.375,15.526,308578,0
20110524,15.714,16.062,15.654,15.79,205435,0
20110525,15.805,16.04,15.648,15.926,232456,0
20110526,15.874,16.742,15.874,16.644,245240,0
20110527,16.675,17.28,16.675,17.136,58709,0
20110531,17.286,17.748,17.158,17.644,156090,0
20110601,17.416,17.642,17.197,17.386,201902,0
20110602,17.28,17.537,17.053,17.537,201383,0
20110603,17.136,17.597,16.871,16.947,265675,0
20110606,16.531,17,14.233,14.346,674517,0
20110607,14.74,15.186,14.212,14.899,860023,0
20110608,14.966,15.45,14.633,14.838,971364,0
20110609,15.117,15.156,14.075,14.112,866568,0
20110610,14.188,14.248,13.107,13.417,561061,0
20110613,13.138,13.492,12.834,13.22,1212781,0
20110614,13.545,13.991,13.401,13.742,433308,0
20110615,13.515,13.522,12.351,12.366,1119700,0
20110616,12.424,12.846,11.505,11.632,1206839,0
20110617,11.702,11.995,11.452,11.951,686332,0
20110620,11.671,12.828,11.308,12.646,683906,0
20110621,12.904,13.357,12.683,12.963,536633,0
20110622,13.146,13.984,12.669,13.076,719540,0
20110623,12.768,13.508,12.662,13.432,315012,0
20110624,13.606,13.787,13.228,13.334,218974,0
20110627,13.357,13.628,13.22,13.388,222995,0
20110628,13.334,14.204,13.334,14.158,299117,0
20110629,14.181,14.369,14.052,14.226,267506,0
20110630,14.103,15.799,14.103,15.619,434208,0
20110701,15.561,16.631,15.401,16.391,384895,0
20110705,16.631,16.686,15.968,16,183953,0
20110706,15.808,15.944,15.17,15.194,367039,0
20110707,15.586,16.478,15.417,16.247,154829,0
20110708,16.112,16.112,15.801,15.936,154344,0
20110711,15.39,15.518,14.498,14.936,259745,0
20110712,14.611,15.561,14.611,15.346,144747,0
20110713,15.496,16.04,15.216,15.995,446387,0
20110714,15.648,16.168,15.473,15.73,258522,0
20110715,16.093,16.161,15.466,15.798,194886,0
20110718,15.648,15.745,15.262,15.586,326434,0
20110719,15.96,17.214,15.84,16.982,253619,0
20110720,16.834,17.982,16.72,17.908,143000,0
20110721,17.877,17.877,16.871,16.977,383552,0
20110722,17.214,17.214,16.287,16.391,166873,0
20110725,16.364,16.879,16.253,16.319,299808,0
20110726,16.558,17.11,16.368,16.591,236051,0
20110727,16.538,16.546,15.699,15.738,145917,0
20110728,15.888,16.351,15.65,15.776,233177,0
20110729,15.466,15.753,14.954,15.72,177802,0
20110801,15.944,16.527,15.346,15.385,513363,0
20110802,15.346,15.401,14.675,14.699,204153,0
20110803,15.433,15.433,14.659,15.138,420102,0
20110804,14.85,15.146,14.435,14.89,269712,0
20110805,15.194,15.337,14.34,15.113,227962,0
20110808,14.587,14.692,13.285,13.908,779796,0
20110809,14.06,15.729,13.916,15.713,166643,0
20110810,15.329,15.466,14.524,14.651,199156,0
20110811,16.287,17.413,15.13,15.84,974179,0
20110812,16.672,16.79,15.609,15.776,221070,0
20110815,15.624,15.984,15.489,15.729,171001,0
20110816,15.457,15.586,14.22,14.651,571144,0
20110817,14.611,15.306,14.595,15.17,228868,0
20110818,14.531,14.692,12.982,13.924,609559,0
20110819,13.788,14.292,13.492,13.573,585703,0
20110822,13.916,14.084,13.66,13.709,176422,0
20110823,13.884,14.156,13.74,14.068,191781,0
20110824,14.14,14.14,13.62,13.757,159626,0
20110825,13.837,13.837,13.58,13.7,53018,0
20110826,13.589,13.788,12.247,13.469,495880,0
20110829,13.764,14.34,13.693,14.292,134508,0
20110830,14.052,14.507,13.828,14.212,342436,0
20110831,14.368,14.933,14.018,14.651,338208,0
20110901,14.771,14.802,14.619,14.699,251123,0
20110902,14.746,14.994,14.471,14.72,70837,0
20110906,14.092,14.524,13.717,14.452,410395,0
20110907,14.779,15.01,14.731,14.826,75900,0
20110908,14.628,14.81,14.371,14.491,95160,0
20110909,15.097,15.097,14.099,14.363,233294,0
20110912,14.108,14.316,13.525,13.86,210941,0
20110913,13.972,13.98,13.589,13.612,133253,0
20110914,13.732,13.956,13.301,13.453,249465,0
20110915,13.764,13.764,13.07,13.118,154590,0
20110916,13.118,13.181,12.735,12.735,323880,0
20110919,12.735,12.87,12.456,12.558,210375,0
20110920,12.551,12.654,12,12.032,166108,0
20110921,11.977,12.168,11.64,11.673,118093,0
20110922,11.178,11.321,9.405,9.4135,651925,0
20110923,9.556,10.651,9.556,9.98,589278,0
20110926,9.589,10.356,9.3655,9.693,831085,0
20110927,10.212,10.595,9.971,10.539,264022,0
20110928,10.443,10.771,9.685,9.78,250565,0
20110929,10.155,10.283,8.599,8.8785,609488,0
20110930,8.7945,9.308,8.066,8.126,646027,0
20111003,7.545,7.8165,7.1535,7.513,495209,0
20111004,7.329,7.6005,7.1935,7.3375,415957,0
20111005,7.585,7.7045,7.2655,7.537,333336,0
20111006,7.9685,8.647,7.8165,8.3675,764352,0
20111007,8.7825,9.3015,8.447,8.567,875561,0
20111010,8.7265,8.9745,7.8565,8.008,342049,0
20111011,7.8245,8.088,7.513,7.8245,382116,0
20111012,8.1835,9.3015,8.0795,9.221,557366,0
20111013,9.1175,10.075,9.0065,9.948,306689,0
20111014,9.948,10.061,9.518,9.669,265887,0
20111017,9.1575,10.061,9.1575,9.757,313499,0
20111018,9.78,9.852,8.934,9.4855,194539,0
20111019,9.334,9.542,8.7825,9.046,156588,0
20111020,8.9425,9.102,8.6785,9.0375,58514,0
20111021,9.2935,9.445,8.8785,9.3735,148280,0
20111024,9.2935,10.196,9.2775,9.82,263923,0
20111025,9.772,9.828,9.4375,9.542,65159,0
20111026,9.589,9.9,9.3015,9.732,76239,0
20111027,10.132,10.994,10.108,10.651,805657,0
20111028,10.842,11.154,10.634,10.826,255926,0
20111031,10.926,10.926,10.164,10.19,192613,0
20111101,9.0225,9.4215,8.8785,9.0695,322416,0
20111102,9.3015,9.66,9.3015,9.596,184846,0
20111103,9.844,10.044,9.581,10.004,508862,0
20111104,10.01,10.336,9.821,9.95,121099,0
20111107,9.948,10.363,9.732,10.299,230264,0
20111108,10.34,10.762,10.268,10.698,203156,0
20111109,10.219,10.874,10.044,10.794,226864,0
20111110,11.442,11.442,9.581,9.868,650597,0
20111111,10.219,10.539,9.884,10.307,179426,0
20111114,10.307,10.307,9.932,9.98,115766,0
20111115,10.035,10.116,9.732,9.98,1178883,0
20111116,9.94,10.124,9.9,10.028,95222,0
20111117,9.877,10.148,9.772,9.908,142246,0
20111118,10.34,10.34,9.948,10.02,133043,0
20111121,9.813,10.028,9.502,9.629,404916,0
20111122,9.732,9.732,9.046,9.4375,332536,0
20111123,9.2535,10.035,8.934,9.3015,427211,0
20111125,9.1735,9.2935,9.1265,9.1265,173536,0
20111128,9.4135,9.836,9.2775,9.589,561880,0
20111129,9.652,9.86,9.4855,9.724,231758,0
20111130,10.061,10.574,10.061,10.353,535449,0
20111201,10.491,11.425,10.108,11.298,426636,0
20111202,11.542,11.568,11.14,11.439,208320,0
20111205,11.576,11.833,11.473,11.824,128418,0
20111206,11.654,11.851,11.286,11.38,206109,0
20111207,11.098,11.174,10.78,11.157,167538,0
20111208,11.089,11.089,10.694,10.806,97781,0
20111209,10.858,11.123,10.754,11.046,62901,0
20111212,10.78,10.952,10.583,10.78,41248,0
20111213,11.149,11.149,10.506,10.703,107794,0
20111214,10.574,10.754,10.104,10.643,310458,0
20111215,10.9,10.9,10.336,10.464,143130,0
20111216,10.592,11.166,10.592,10.866,145281,0
20111219,11.132,11.218,10.978,11.089,127143,0
20111220,11.174,11.636,11.157,11.576,164902,0
20111221,11.56,11.756,11.465,11.56,128919,0
20111222,11.56,11.808,11.294,11.696,281466,0
20111223,11.954,12.082,11.611,11.671,117817,0
20111227,11.714,11.791,11.465,11.542,41695,0
20111228,11.312,11.696,11.226,11.576,192965,0
20111229,11.542,12.04,11.542,12.04,381274,0
20111230,12.066,12.673,12.04,12.502,602892,0
20120103,12.844,13.024,12.758,12.784,221290,0
20120104,12.828,12.913,12.493,12.664,174692,0
20120105,12.484,13.478,12.246,13.34,98019,0
20120106,13.589,13.589,12.844,12.878,88291,0
20120109,12.965,14.633,12.965,14.411,235941,0
20120110,14.026,15.233,13.958,15.182,260786,0
20120111,15.113,16.115,15.113,15.756,251018,0
20120112,15.876,15.876,14.633,15.773,270687,0
20120113,15.584,15.833,15.43,15.756,205640,0
20120117,15.756,16.115,15.387,15.927,223487,0
20120118,15.979,16.2,15.833,15.936,96545,0
20120119,15.867,16.2,15.764,15.97,120346,0
20120120,16.192,16.698,16.098,16.689,318507,0
20120123,16.698,17.126,16.698,17.048,233997,0
20120124,17.048,17.408,16.869,17.066,426829,0
20120125,17.185,17.28,17.057,17.152,421397,0
20120126,17.322,17.452,17.057,17.126,327467,0
20120127,16.937,17.468,16.937,17.177,622885,0
20120130,16.792,16.8,16.02,16.226,447582,0
20120131,16.183,16.253,15.841,16.029,261686,0
20120201,15.979,16.612,15.884,16.253,438982,0
20120202,16.098,16.604,16.098,16.183,304519,0
20120203,16.304,16.423,16.132,16.183,230203,0
20120206,15.97,15.987,15.104,15.284,337783,0
20120207,15.447,15.447,15.02,15.224,291468,0
20120208,15.301,16.543,15.301,16.518,293650,0
20120209,16.5,16.792,15.799,15.901,451905,0
20120210,15.584,16.166,15.413,15.542,257048,0
20120213,16.68,16.732,15.046,15.413,557826,0
20120214,15.499,16.08,15.404,15.627,252641,0
20120215,13.632,14.977,13.564,14.257,917747,0
20120216,14.154,14.548,13.906,14.497,270391,0
20120217,14.548,14.668,14.171,14.488,240796,0
20120221,14.446,15.122,14.121,14.711,253926,0
20120222,14.711,15.353,14.651,15.224,178403,0
20120223,14.951,15.301,14.933,15.25,162985,0
20120224,15.241,15.353,15.156,15.164,331181,0
20120227,14.968,14.986,14.154,14.273,351966,0
20120228,14.428,14.977,14.266,14.488,326485,0
20120229,14.377,14.788,14.154,14.291,266092,0
20120301,14.273,14.968,14.231,14.968,133818,0
