Date,Open,High,Low,Close,Volume,OpenInt
20181015,23.85,23.85,22.8562,23.5,3258,0
20181016,23.127,23.16,22.71,23.05,13540,0
20181017,22.9559,22.9559,22.501,22.55,4027,0
20181018,22.5,22.94,22.5,22.72,4368,0
20181019,22.91,23.25,22.6443,22.85,9666,0
20181022,23.54,23.54,22.9312,22.9312,4348,0
20181023,22.5551,23.0272,22.5551,22.94,3127,0
20181024,22.5919,22.875,22.5,22.68,40355,0
20181025,22.5,23.1565,22.5,22.86,4095,0
20181026,23.16,23.16,22.89,22.9042,5380,0
20181029,23.12,23.12,22.8957,23.0301,1813,0
20181030,23,23.1406,22.85,23.0436,13074,0
20181031,22.89,23.56,22.59,23,4074,0
20181101,23.81,23.81,23.15,23.81,2162,0
20181102,23.81,23.81,23,23,2934,0
20181105,23.046,23.3094,23.0001,23.0368,1719,0
20181106,23.1978,23.64,23,23.64,3119,0
20181107,23.64,23.64,23,23.05,9641,0
20181108,23.3,23.3,23,23,3242,0
20181109,23.18,23.18,23,23,2651,0
20181112,23.18,23.4762,23,23.4762,16285,0
20181113,23.1321,23.1321,23,23,9492,0
20181114,23.167,23.6796,23,23,4411,0
20181115,23,23.1861,23,23,13835,0
20181116,23.0138,23.06,23,23.0414,2728,0
20181119,22.95,23.11,22.95,23,4133,0
20181120,22.86,23.1362,22.5001,23.1362,18910,0
20181121,22.914,23,22.4166,23,12828,0
20181123,22.59,23.0865,22.59,22.8135,2992,0
20181126,22.98,23.26,22.58,22.77,5984,0
20181127,23.04,23.04,22.6,22.71,5758,0
20181128,22.78,23.1,22.25,22.55,6018,0
20181129,22.88,23.1769,22.58,22.6482,5024,0
20181130,22.59,23.19,22.58,22.71,8692,0
20181203,23.1,23.1,22.55,22.55,7896,0
20181204,22.55,22.69,21.9948,22.46,14414,0
20181206,22.46,22.46,21.59,21.96,15412,0
20181207,21.89,22.51,21.89,21.9216,6945,0
20181210,22.19,22.19,21.32,21.66,25449,0
20181211,21.63,22.1,21.63,21.85,48296,0
20181212,22.0051,22.066,22,22,6788,0
20181213,21.8501,22.2,21.8501,22,181452,0
20181214,22,22.21,22,22.21,37007,0
20181217,22.1503,22.1503,22.048,22.06,39052,0
20181218,22,22.21,22,22.13,62479,0
20181219,22.04,22.21,22,22.21,10135,0
20181220,21.8036,22.2,21.8036,22.2,8924,0
20181221,22,22.21,22,22.21,9613,0
20181224,22.21,22.21,22,22,7450,0
20181226,22.0579,22.21,22,22.21,6691,0
20181227,22.17,22.18,21.8,21.85,11869,0
20181228,22.15,22.16,21.8436,21.885,5955,0
20181231,22.17,22.3711,21.6,21.6,50821,0
20190102,21.8897,22.25,21.8897,22.0039,6014,0
20190103,21.77,22.39,21.6,22.39,11968,0
20190104,22.0902,23.69,22.0902,23.64,8518,0
20190107,23.7683,24.2819,23.65,23.65,8698,0
20190108,23.31,23.7,23,23.7,3066,0
20190109,23.1,23.6678,23.1,23.59,13517,0
20190110,22.89,23.34,22.89,23.1,4785,0
20190111,23.0546,23.69,22.9,23.68,24897,0
20190114,24.1588,24.3,23.5521,24.06,13687,0
20190115,24.01,24.02,22.735,23.23,20583,0
20190116,22.8363,23.45,22.8363,23.45,6185,0
20190117,23.5295,23.6621,23.464,23.464,1976,0
20190118,23.11,23.6186,22.98,23.11,7026,0
20190122,23.13,23.5634,22.89,23.13,18509,0
20190123,22.9,23.22,22.9,23.2,225234,0
20190124,23.0346,23.2191,22.67,22.95,5124,0
20190125,23.15,23.15,22.81,22.81,1716,0
20190128,22.7376,23.1114,22.56,22.58,31735,0
20190129,22.7,22.92,22.6,22.65,11254,0
20190130,22.95,22.95,22.428,22.68,49856,0
20190131,22.6816,23.24,21.96,21.96,389497,0
20190201,22.7,23.0145,22.69,22.95,107969,0
20190204,22.94,23.3633,22.6,23.21,545952,0
20190205,23.18,23.195,22.8015,22.99,8525,0
20190206,22.95,23.29,22.87,23.28,10257,0
20190207,23.1636,23.1636,22.9419,23.12,4729,0
20190208,23.1212,23.23,23.0343,23.23,1485,0
20190211,23.03,23.45,23.03,23.43,7601,0
20190212,23.42,23.5831,23.23,23.23,25479,0
20190213,23.55,23.57,23.2555,23.36,3774,0
20190214,23.348,23.53,23.25,23.47,4356,0
20190215,23.569,23.68,23.27,23.63,4084,0
20190219,23.635,23.8055,23.6,23.7988,4813,0
20190220,23.57,24.22,23.57,24.15,15048,0
20190221,24.04,24.3299,23.96,24.25,52574,0
20190222,24.49,24.7,24.42,24.487,7611,0
20190225,24.69,24.69,24.49,24.69,10545,0
20190226,24.51,24.865,24.51,24.865,11440,0
20190227,24.53,24.88,24.53,24.87,8510,0
20190228,24.7772,24.9,24.7,24.73,9069,0
20190301,24.69,24.9,24.59,24.9,9861,0
20190304,24.6833,25.14,24.6833,24.82,12893,0
20190305,24.9852,25.12,24.855,25.12,6323,0
20190306,25.1783,25.24,24.85,25.22,16829,0
20190307,25.24,25.24,24.9001,25.02,5627,0
20190308,25.21,25.23,24.63,25.2,3834,0
20190311,25.1256,25.23,25.0989,25.17,9950,0
20190312,25.16,25.23,24.68,25.2,23997,0
20190313,25.05,25.58,24.89,25.58,48624,0
20190314,25.4637,25.785,25.35,25.46,12460,0
20190315,25.38,25.65,25.38,25.53,4229,0
20190318,25.53,25.68,25.51,25.68,8078,0
20190319,25.5,25.7,25.5,25.7,10915,0
20190320,25.7,25.83,25.5,25.7,28413,0
20190321,25.7,26.2004,25.69,26.04,20038,0
20190322,26.25,26.31,25.96,26.03,39676,0
20190325,25.96,26,25.82,25.965,11676,0
20190326,25.95,25.95,25.72,25.94,13136,0
20190327,25.95,25.95,25.93,25.95,16688,0
20190328,25.64,25.99,25.64,25.99,17665,0
20190329,25.975,25.975,25.45,25.45,36698,0
20190401,25.5,25.6551,24.84,25.4,17855,0
20190402,25.304,25.64,25.304,25.56,2383,0
20190403,25.6448,25.74,25.58,25.74,1814,0
20190404,25.7,25.75,25.6801,25.75,13868,0
20190405,25.7,25.75,25.654,25.654,6397,0
20190408,25.3609,25.3609,25.23,25.3,5206,0
20190409,25.6043,25.7,25.366,25.7,2177,0
20190410,25.48,25.6422,25.23,25.23,8022,0
20190411,25.4194,25.57,25.25,25.45,18851,0
20190412,25.5185,25.67,25.5185,25.67,1790,0
20190415,25.68,25.7,25.63,25.7,4023,0
20190416,25.6797,25.72,25.29,25.31,4842,0
20190417,25.35,25.6599,25.05,25.65,9313,0
20190418,25.58,25.59,25.06,25.2543,3805,0
20190422,25.24,25.5353,25.081,25.1,20115,0
20190423,25.12,25.26,25.02,25.09,24026,0
20190424,25.08,25.46,25.08,25.35,5012,0
20190425,25.364,25.49,25.3,25.47,9113,0
20190426,25.3884,25.54,25.15,25.54,15729,0
20190429,25.64,25.72,25.5401,25.72,8604,0
20190430,25.75,25.75,25.28,25.47,22363,0
20190501,25.2,25.5151,25.2,25.47,13579,0
20190502,25.4735,25.579,25.25,25.25,2145,0
20190503,25.25,25.3635,25.23,25.35,7734,0
20190506,25.64,25.6431,25.17,25.26,2687,0
20190507,25.2456,25.57,25.13,25.57,3255,0
20190508,25.4802,25.4802,25.27,25.27,2061,0
20190509,25.19,25.367,25.19,25.19,2847,0
20190510,25.4383,25.54,25.23,25.35,5276,0
20190513,25.21,25.3613,25.21,25.27,3504,0
20190514,25.3,25.5972,25.2,25.28,10042,0
20190515,25.66,25.66,25.15,25.19,2784,0
20190516,25.61,25.61,25.12,25.5251,2804,0
20190517,25.35,25.55,25.16,25.55,8892,0
20190520,25.3098,25.3098,25.2104,25.2104,1622,0
20190521,25.22,25.4581,25.22,25.4581,1326,0
20190522,25.44,25.44,25.22,25.25,8148,0
20190523,25.22,25.45,25.22,25.3,3720,0
20190524,25.3718,25.3718,25.278,25.278,1701,0
