Date,Open,High,Low,Close,Volume,OpenInt
20180626,25.62,25.67,25.58,25.65,497968,0
20180627,25.71,25.72,25.61,25.64,329192,0
20180628,25.67,25.68,25.62,25.68,279417,0
20180629,25.7,25.7,25.61,25.64,424989,0
20180702,25.68,25.72,25.634,25.72,450859,0
20180703,25.81,25.81,25.71,25.72,89647,0
20180705,25.75,25.83,25.72,25.79,225107,0
20180706,25.81,26.04,25.8,26,279517,0
20180709,26,26.02,25.85,26,77639,0
20180710,25.99,26.09,25.95,25.98,168990,0
20180711,25.97,26.02,25.91,26,98537,0
20180712,26,26.04,25.93,25.93,353454,0
20180713,25.95,25.96,25.85,25.895,88909,0
20180716,25.9,25.9,25.73,25.73,179483,0
20180717,25.7201,25.79,25.58,25.59,181081,0
20180718,25.64,25.66,25.545,25.59,194992,0
20180719,25.63,25.73,25.62,25.68,96878,0
20180720,25.7,25.76,25.61,25.74,1138408,0
20180723,25.69,25.7,24.64,25.69,185124,0
20180724,25.68,25.7,25.65,25.68,97823,0
20180725,25.73,25.73,25.7,25.725,173700,0
20180726,25.75,25.755,25.7001,25.73,140836,0
20180727,25.73,25.78,25.73,25.77,48166,0
20180730,25.78,25.84,25.72,25.8,112233,0
20180731,25.85,25.85,25.75,25.85,76778,0
20180801,25.85,25.875,25.8,25.86,121587,0
20180802,25.94,25.96,25.875,25.96,124069,0
20180803,26,26.05,25.97,26,69151,0
20180806,26.1,26.1,25.9301,26.05,25657,0
20180807,26.09,26.09,26.006,26.08,30175,0
20180808,26.09,26.09,26.05,26.08,48058,0
20180809,26.09,26.14,26.015,26.08,17677,0
20180810,26,26.09,25.99,25.99,84181,0
20180813,26.13,26.13,25.98,26.04,10756,0
20180814,26.07,26.19,26.05,26.19,33857,0
20180815,26.19,26.19,26.132,26.1491,123275,0
20180816,26.15,26.15,26.07,26.0816,60493,0
20180817,26.1,26.15,25.99,26.0999,25232,0
20180820,26.14,26.14,26.065,26.0845,26918,0
20180821,26.14,26.14,26.07,26.085,7429,0
20180822,26.12,26.14,26.0219,26.07,10828,0
20180823,26.1,26.1,26.07,26.09,21393,0
20180824,26.13,26.18,26.11,26.18,16638,0
20180827,26.1,26.21,26.1,26.162,21013,0
20180828,26.15,26.29,26.1,26.15,49484,0
20180829,26.22,26.24,26.121,26.15,21577,0
20180830,26.18,26.29,26.18,26.25,9629,0
20180831,26.15,26.29,26.15,26.25,24817,0
20180904,26.39,26.39,26.22,26.22,6015,0
20180905,26.34,26.34,26.16,26.1701,16511,0
20180906,26.2896,26.34,26.04,26.16,35889,0
20180907,26.16,26.188,26.0276,26.05,19145,0
20180910,26.12,26.18,26.0669,26.1,21347,0
20180911,26.13,26.23,26.09,26.2,44436,0
20180912,26.25,26.29,26.195,26.23,24921,0
20180913,26.05,26.16,25.8301,26.15,58212,0
20180914,26.35,26.53,26.07,26.38,32062,0
20180917,26.36,26.464,26.14,26.19,128750,0
20180918,26.2,26.2647,26.16,26.2102,13160,0
20180919,26.17,26.19,25.89,25.9957,59277,0
20180920,25.99,26.0877,25.88,25.97,300225,0
20180921,26.13,26.13,25.95,25.9501,16709,0
20180924,25.99,26,25.96,26,63667,0
20180925,25.9,26.0206,25.87,25.9146,25059,0
20180926,25.99,26.011,25.95,25.9921,14438,0
20180927,25.95,26.03,25.91,25.985,17215,0
20180928,26.1,26.22,26.0221,26.22,34027,0
20181001,26.13,26.15,25.8,25.83,19825,0
20181002,26.002,26.08,25.83,25.83,22003,0
20181003,25.84,25.9281,25.52,25.54,31760,0
20181004,25.64,25.73,25.1276,25.23,36879,0
20181005,25.28,25.4475,25.16,25.33,41853,0
20181008,25.25,25.54,25.25,25.5151,21281,0
20181009,25.53,25.74,25.5098,25.6832,12398,0
20181010,25.65,25.76,25.422,25.5,24187,0
20181011,25.45,25.74,25.42,25.55,12255,0
20181012,25.73,25.73,25.5,25.5,9457,0
20181015,25.72,25.72,25.51,25.71,7464,0
20181016,25.71,25.725,25.47,25.53,38229,0
20181017,25.68,25.68,25.4201,25.5,17416,0
20181018,25.65,25.69,25.5491,25.5491,9180,0
20181019,25.6,25.6388,25.45,25.45,201171,0
20181022,25.41,25.5332,25.35,25.4,16747,0
20181023,25.21,25.3699,25.21,25.31,22270,0
