Date,Open,High,Low,Close,Volume,OpenInt
20090311,13.538,13.538,13.538,13.538,178,0
20090312,13.29,13.299,13.26,13.26,9971,0
20090313,13.369,13.391,13.299,13.299,8201,0
20090316,13.277,13.323,13.277,13.323,2071,0
20090317,13.26,13.323,13.26,13.323,4436,0
20090318,13.194,13.239,13.194,13.239,3157,0
20090319,13.337,13.337,13.337,13.337,4696,0
20090320,13.319,13.337,13.319,13.337,3507,0
20090323,13.351,13.351,13.351,13.351,9305,0
20090325,13.337,13.343,13.319,13.319,4676,0
20090326,13.26,13.304,12.747,13.304,7869,0
20090327,13.299,13.328,13.299,13.328,5547,0
20090330,13.429,13.429,13.333,13.333,17735,0
20090331,13.333,13.333,13.333,13.333,20942,0
20090401,13.348,13.348,13.348,13.348,514,0
20090402,13.398,13.398,13.348,13.348,3567,0
20090406,13.398,13.398,13.333,13.333,1992,0
20090407,13.348,13.348,13.348,13.348,539,0
20090408,13.323,13.323,13.319,13.319,2718,0
20090409,13.348,13.348,13.323,13.323,9580,0
20090413,13.398,13.398,13.351,13.398,4940,0
20090414,13.412,13.429,13.412,13.412,8201,0
20090415,13.566,13.569,13.566,13.566,22168,0
20090416,13.557,13.609,13.557,13.569,7532,0
20090417,13.566,13.566,13.566,13.566,1474,0
20090420,13.588,13.588,13.526,13.526,27287,0
20090421,13.628,13.646,13.628,13.628,33974,0
20090422,13.628,13.628,13.628,13.628,11203,0
20090424,13.628,13.628,13.628,13.628,2906,0
20090427,13.628,13.628,13.628,13.628,621,0
20090429,13.677,13.72,13.662,13.677,7739,0
20090505,13.677,13.677,13.677,13.677,353,0
20090506,13.698,13.698,13.698,13.698,137217,0
20090507,13.698,13.698,13.698,13.698,33531,0
20090508,13.72,13.72,13.713,13.713,17379,0
20090511,13.765,13.765,13.72,13.72,1818,0
20090512,13.72,13.72,13.713,13.713,2080,0
20090513,13.72,13.765,13.69,13.742,8817,0
20090514,13.742,13.747,13.713,13.742,16162,0
20090515,13.751,13.751,13.742,13.742,8072,0
20090518,13.751,13.925,13.732,13.895,15889,0
20090519,13.895,13.963,13.895,13.948,15200,0
20090520,13.939,13.982,13.939,13.982,9755,0
20090521,13.958,13.982,13.806,13.842,12298,0
20090522,13.831,13.836,13.765,13.784,12439,0
20090526,13.887,13.887,13.765,13.801,9332,0
20090527,13.914,13.914,13.72,13.72,29589,0
20090528,13.716,13.895,13.698,13.895,11455,0
20090529,13.992,14.105,13.992,14.091,6323,0
20090601,13.982,14.14,13.939,14.14,6480,0
20090602,14.006,14.136,14.006,14.136,1352,0
20090603,14.113,14.181,14.113,14.181,1352,0
20090604,14.204,14.324,14.204,14.314,2400,0
20090605,14.292,14.314,14.288,14.3,8259,0
20090608,14.33,14.33,14.305,14.305,4529,0
20090609,14.238,14.339,14.228,14.3,3358,0
20090610,14.424,14.424,14.406,14.406,1082,0
20090611,14.402,14.472,14.402,14.418,1664,0
20090612,14.485,14.533,14.468,14.485,7974,0
20090615,14.485,14.489,14.445,14.445,7869,0
20090616,14.628,14.648,14.511,14.511,7751,0
20090617,14.551,14.648,14.551,14.573,4995,0
20090618,14.495,14.511,14.369,14.369,11806,0
20090619,14.333,14.36,14.33,14.333,3994,0
20090622,14.314,14.32,14.292,14.292,2259,0
20090623,14.252,14.364,14.228,14.364,8735,0
20090624,14.364,14.424,14.364,14.424,1082,0
20090625,14.477,14.648,14.477,14.624,1524,0
20090626,14.482,14.951,14.482,14.681,10152,0
20090629,14.511,14.624,14.505,14.624,11136,0
20090630,14.624,14.742,14.624,14.704,2888,0
20090701,14.591,14.638,14.36,14.511,6676,0
20090702,14.624,14.674,14.624,14.634,8395,0
20090706,14.577,14.653,14.538,14.605,16386,0
20090707,14.666,14.709,14.587,14.691,5465,0
20090708,14.685,14.882,14.685,14.882,8219,0
20090709,14.742,14.775,14.634,14.634,7828,0
20090710,14.742,14.84,14.691,14.77,6993,0
20090713,14.882,15.562,14.823,14.85,19103,0
20090714,14.754,14.787,14.445,14.573,34095,0
20090715,14.628,14.704,14.533,14.605,16292,0
20090716,14.577,14.797,14.577,14.797,4179,0
20090717,14.726,14.748,14.648,14.648,7420,0
20090720,14.67,14.895,14.67,14.844,5174,0
20090721,14.855,15.16,14.709,14.97,14159,0
20090722,14.983,14.983,14.91,14.926,3962,0
20090723,14.943,14.992,14.863,14.934,7004,0
20090724,14.887,15.782,14.84,14.943,46129,0
20090727,14.855,14.895,14.797,14.89,7614,0
20090728,15.018,15.329,14.97,15.082,30903,0
20090729,15.254,15.661,15.175,15.399,38525,0
