Date,Open,High,Low,Close,Volume,OpenInt
20051115,11.567,11.589,11.534,11.589,138080,0
20051116,11.506,11.515,11.485,11.508,4874,0
20051117,11.641,11.641,11.636,11.636,4053,0
20051118,11.7,11.717,11.695,11.695,5273,0
20051121,11.714,11.762,11.592,11.762,3249,0
20051122,11.824,11.874,11.824,11.874,4053,0
20051123,11.91,11.91,11.91,11.91,1211,0
20051128,11.845,11.845,11.802,11.802,4874,0
20051201,11.916,11.976,11.916,11.976,4053,0
20051202,11.976,11.976,11.951,11.976,6089,0
20051206,12,12,12,12,3661,0
20051207,11.961,11.961,11.961,11.961,380,0
20051208,11.961,11.961,11.908,11.92,2836,0
20051209,11.902,11.902,11.902,11.902,380,0
20051214,12.018,12.065,12.018,12.065,1211,0
20051219,12.039,12.039,11.879,11.879,56460,0
20051220,11.877,11.877,11.855,11.855,1631,0
20051221,11.963,11.963,11.963,11.963,380,0
20051223,12.015,12.015,12.015,12.015,824,0
20051227,12.03,12.03,11.9,11.9,8125,0
20051228,11.902,11.92,11.902,11.92,6501,0
20051229,11.965,11.965,11.937,11.94,80005,0
20060103,11.9,12.042,11.9,12.042,4874,0
20060104,12.032,12.123,12.032,12.11,2441,0
20060105,12.148,12.153,12.137,12.151,6501,0
20060106,12.218,12.269,12.199,12.262,5691,0
20060109,12.31,12.342,12.31,12.342,5691,0
20060111,12.403,12.416,12.403,12.416,824,0
20060117,12.289,12.294,12.281,12.281,6089,0
20060118,12.279,12.279,12.241,12.241,824,0
20060119,12.324,12.324,12.324,12.324,380,0
20060120,12.241,12.241,12.241,12.241,824,0
20060124,12.294,12.344,12.294,12.344,3661,0
20060125,12.351,12.351,12.266,12.266,2441,0
20060126,12.324,12.356,12.324,12.356,1631,0
20060127,12.427,12.483,12.427,12.442,11373,0
20060130,12.497,12.497,12.472,12.475,3249,0
20060131,12.488,12.488,12.488,12.488,824,0
20060201,12.475,12.527,12.475,12.527,2441,0
20060206,12.405,12.405,12.371,12.371,2033,0
20060207,12.403,12.403,12.307,12.307,6501,0
20060208,12.251,12.251,12.251,12.251,3661,0
20060209,12.392,12.392,12.366,12.366,3249,0
20060210,12.236,12.236,12.236,12.236,380,0
20060213,12.251,12.253,12.197,12.197,3661,0
20060214,12.31,12.31,12.31,12.31,380,0
20060216,12.424,12.467,12.424,12.467,2033,0
20060217,12.477,12.494,12.475,12.49,1631,0
20060221,12.437,12.437,12.437,12.437,824,0
20060222,12.475,12.475,12.475,12.475,380,0
20060223,12.529,12.529,12.507,12.507,1631,0
20060227,12.562,12.601,12.562,12.601,3249,0
20060228,12.447,12.457,12.447,12.457,2441,0
20060301,12.587,12.587,12.572,12.572,15027,0
20060302,12.586,12.586,12.586,12.586,1631,0
20060303,12.59,12.645,12.59,12.631,2441,0
20060306,12.536,12.536,12.536,12.536,380,0
20060307,12.405,12.405,12.405,12.405,121839,0
20060309,12.424,12.424,12.395,12.395,125489,0
20060310,12.347,12.457,12.347,12.434,10165,0
20060313,12.518,12.518,12.492,12.492,2836,0
20060314,12.492,12.554,12.492,12.554,131166,0
20060315,12.634,12.719,12.625,12.719,370787,0
20060316,12.752,12.8,12.752,12.761,123056,0
20060317,12.746,12.746,12.743,12.743,1211,0
20060320,12.761,12.761,12.714,12.729,12594,0
20060321,12.724,12.724,12.724,12.724,380,0
20060322,12.645,12.696,12.631,12.696,6501,0
20060323,12.719,12.719,12.709,12.709,2033,0
20060324,12.706,12.714,12.706,12.714,7312,0
20060327,12.752,12.761,12.729,12.734,253417,0
20060328,12.755,12.816,12.717,12.717,27617,0
20060329,12.862,12.869,12.862,12.869,1631,0
20060330,12.878,12.887,12.878,12.885,19080,0
20060331,12.885,12.885,12.806,12.869,268445,0
20060403,12.869,12.953,12.869,12.892,19489,0
20060404,12.843,12.902,12.811,12.887,31683,0
20060405,12.907,12.979,12.907,12.979,2033,0
20060406,12.961,12.961,12.899,12.95,41023,0
20060407,12.994,12.994,12.834,12.834,2836,0
20060411,12.803,12.813,12.655,12.663,8526,0
20060412,12.677,12.688,12.663,12.686,10165,0
20060413,12.722,12.722,12.722,12.722,8125,0
20060418,12.787,12.93,12.787,12.93,1211,0
20060419,12.981,13.044,12.946,13.044,4053,0
20060420,13.044,13.068,13.044,13.052,4874,0
20060421,13.064,13.066,12.994,12.994,5273,0
20060424,12.981,12.992,12.961,12.986,14215,0
20060425,13.017,13.017,12.95,12.95,2441,0
20060426,12.994,13.017,12.923,12.923,19489,0
20060427,12.826,12.958,12.826,12.913,7719,0
20060428,12.943,12.943,12.915,12.925,4478,0
20060501,12.972,12.977,12.902,12.902,6909,0
20060502,12.882,12.933,12.882,12.933,7312,0
20060503,12.905,12.921,12.887,12.913,15833,0
20060505,13.044,13.124,13.044,13.124,9742,0
20060508,13.132,13.157,13.132,13.157,3661,0
20060509,13.122,13.155,13.122,13.155,2033,0
20060510,13.15,13.15,13.091,13.137,3661,0
20060512,12.852,12.852,12.776,12.776,1631,0
20060515,12.67,12.693,12.67,12.688,1211,0
20060516,12.647,12.647,12.629,12.629,2441,0
20060517,12.554,12.554,12.411,12.432,1211,0
20060518,12.434,12.434,12.339,12.339,2033,0
20060519,12.265,12.419,12.253,12.371,69449,0
