Date,Open,High,Low,Close,Volume,OpenInt
20191219,20.09,20.15,20.0834,20.1215,134944,0
20191220,20.23,20.2885,20.21,20.2645,56617,0
20191223,20.54,22.58,20.29,20.2967,99525,0
20191224,20.295,20.32,20.2811,20.2811,37316,0
20191226,20.36,20.37,20.31,20.3519,3850,0
20191227,20.65,20.65,20.37,20.4002,21578,0
20191230,20.28,20.339,20.27,20.27,15473,0
20191231,20.23,20.23,20.2298,20.23,3366,0
20200102,20.41,20.5045,20.3901,20.5045,34083,0
20200103,20.41,20.45,20.37,20.376,16953,0
20200106,20.47,20.47,20.29,20.4375,4830,0
20200107,20.37,20.455,20.3601,20.4281,57766,0
20200108,20.4301,20.6,20.4301,20.5188,49895,0
20200109,20.89,20.89,20.67,20.6938,2169,0
20200110,20.77,20.79,20.665,20.6779,38863,0
20200113,20.73,20.8438,20.73,20.8438,34813,0
20200114,20.8185,20.86,20.7869,20.7869,13109,0
20200115,20.889,20.92,20.7801,20.8329,21836,0
20200116,20.97,21.05,20.9501,21.03,112978,0
20200117,20.15,21.1281,20.15,21.1281,19176,0
20200121,22.18,22.18,21.07,21.0835,4529,0
20200122,21.1698,21.17,21.0983,21.0983,6277,0
20200123,21.0488,21.1176,21.0488,21.1176,1889,0
