Date,Open,High,Low,Close,Volume,OpenInt
20051122,10.417,10.417,10.417,10.417,0,0
20051123,10.417,10.423,10.417,10.417,1104909,0
20051125,10.417,10.423,10.417,10.417,169113,0
20051128,10.417,10.423,10.417,10.417,136099,0
20051129,10.417,10.423,10.417,10.417,212881,0
20051130,10.417,10.423,10.417,10.423,228812,0
20051201,10.423,10.423,10.417,10.417,252236,0
20051202,10.417,10.423,10.417,10.417,160864,0
20051205,10.417,10.423,10.417,10.417,187544,0
20051206,10.417,10.423,10.417,10.417,191195,0
20051207,10.417,10.423,10.417,10.417,156064,0
20051208,10.417,10.423,10.417,10.417,236306,0
20051209,10.417,10.423,10.417,10.417,222095,0
20051212,10.417,10.423,10.417,10.417,173531,0
20051213,10.417,10.423,10.417,10.417,177175,0
20051214,10.417,10.423,10.417,10.417,159516,0
20051215,10.417,10.423,10.417,10.417,120359,0
20051216,10.417,10.423,10.417,10.417,146082,0
20051219,10.417,10.417,10.417,10.417,105959,0
20051220,10.417,10.423,10.209,10.209,825617,0
20051221,10.209,10.209,9.2785,9.3771,829832,0
20051222,9.0375,9.165,8.9698,9.0155,361651,0
20051223,8.9857,9.1212,8.9698,9.0908,164895,0
20051227,9.0375,9.0908,8.8885,8.9969,383147,0
20051228,9.0129,9.0129,8.8664,8.8941,124388,0
20051229,8.8774,8.9352,8.804,8.9081,181782,0
20051230,8.9352,9.0129,8.8361,8.9857,573961,0
20060103,9.0375,9.0651,8.9127,9.0375,129761,0
20060104,9.0556,9.2097,9.0556,9.1943,102890,0
20060105,9.1697,9.1943,9.0908,9.1517,128999,0
20060106,9.2039,9.3201,9.185,9.2407,111528,0
20060109,9.2407,9.3443,9.2407,9.2833,102123,0
20060110,9.293,9.3722,9.2737,9.3722,75438,0
20060111,9.323,9.3938,9.2175,9.3771,114025,0
20060112,9.3771,9.3771,9.2301,9.2737,72754,0
20060113,9.2737,9.3153,9.185,9.2223,70451,0
20060117,9.1697,9.1943,9.0129,9.1127,158555,0
20060118,9.0613,9.1307,9.0499,9.1212,75438,0
20060119,9.126,9.185,9.106,9.1307,94060,0
20060120,9.106,9.1478,9.0129,9.0651,114215,0
20060123,9.0651,9.1374,9.0651,9.1212,88108,0
20060124,9.106,9.1783,9.0908,9.1697,81967,0
20060125,9.1943,9.2407,9.1697,9.1783,92333,0
20060126,9.1736,9.2407,9.1374,9.144,95789,0
20060127,9.1374,9.2263,9.1013,9.2263,85612,0
20060130,9.2263,9.3307,9.1517,9.293,203476,0
20060131,9.3056,9.3201,9.1991,9.263,105191,0
20060201,9.2988,9.3104,9.2175,9.3056,94825,0
20060202,9.2455,9.3443,9.2455,9.3201,83888,0
20060203,9.3056,9.3515,9.2523,9.2737,67572,0
20060206,9.2572,9.3201,9.2301,9.2785,74675,0
20060207,9.2455,9.293,9.1736,9.1736,102311,0
20060208,9.185,9.2523,9.1307,9.2175,143586,0
20060209,9.1697,9.2301,9.1374,9.1783,172189,0
20060210,9.185,9.1943,9.1013,9.185,129187,0
20060213,9.0613,9.185,9.0556,9.1374,123237,0
20060214,9.086,9.1943,9.086,9.1374,101550,0
20060215,9.1583,9.2175,9.1374,9.1517,70833,0
20060216,9.1697,9.3404,9.1307,9.3404,101734,0
20060217,9.323,9.3404,9.185,9.3201,148960,0
20060221,9.2688,9.3722,9.263,9.3515,121320,0
20060222,9.3153,9.3623,9.2988,9.3623,103654,0
20060223,9.3515,9.3653,9.323,9.3307,90601,0
20060224,9.3623,9.3623,9.2872,9.3307,104425,0
20060227,9.3307,9.3623,9.3153,9.3443,136482,0
20060228,9.3515,9.3722,9.323,9.3443,189082,0
20060301,9.3653,9.3859,9.3307,9.3771,125158,0
20060302,9.3574,9.4145,9.3104,9.3201,113061,0
20060303,9.323,9.4194,9.2872,9.3515,122852,0
20060306,9.3653,9.3938,9.3104,9.3443,97323,0
20060307,9.3574,9.3574,9.293,9.3574,94254,0
20060308,9.3443,9.3722,9.2737,9.3404,120934,0
20060309,9.3404,9.3938,9.293,9.3346,95213,0
20060310,9.3346,9.3771,9.3346,9.3722,73709,0
20060313,9.3104,9.3574,9.263,9.2988,94825,0
20060314,9.2785,9.3515,9.2737,9.2737,94639,0
20060315,9.2988,9.2988,9.2455,9.293,104040,0
20060316,9.3153,9.3623,9.293,9.3104,105766,0
20060317,9.3104,9.3346,9.3104,9.3346,23804,0
20060320,9.3515,9.3771,9.293,9.3153,122090,0
20060321,9.2737,9.3515,9.2737,9.323,160668,0
20060322,9.323,9.3653,9.2737,9.3346,97895,0
20060323,9.3404,9.3623,9.3056,9.3515,101734,0
20060324,9.3404,9.3515,9.2988,9.3404,108074,0
20060327,9.3307,9.3653,9.323,9.323,106923,0
20060328,9.3404,9.3574,9.2572,9.2988,173340,0
20060329,9.3404,9.3987,9.2833,9.3859,132448,0
20060330,9.3859,9.3987,9.3574,9.3859,111144,0
20060331,9.3859,9.4381,9.382,9.4381,139364,0
20060403,9.4243,9.543,9.3987,9.4656,199257,0
