Date,Open,High,Low,Close,Volume,OpenInt
20180112,99.96,100.62,99.96,100.28,543397,0
20180116,100.3,100.619,100.01,100.44,467645,0
20180117,100.44,100.45,99.811,100.08,290248,0
20180118,99.8,100.03,99.1601,99.691,195292,0
20180119,99.75,99.89,99.709,99.802,380580,0
20180122,99.9,100,99,99.165,259669,0
20180123,99.56,100.35,99.55,99.99,396465,0
20180124,100.01,100.01,99.4,99.4799,443147,0
20180125,99.7,99.95,99.501,99.873,278307,0
20180126,100,100,98.8516,99.25,458405,0
20180129,99.18,99.18,98.2,98.67,390277,0
20180130,99,100,98.58,100,1258031,0
20180131,100,100.3,99.611,100,645431,0
20180201,100.19,101,99.64,99.75,363523,0
20180202,99.73,99.85,98.5,98.5,196453,0
20180205,98.98,100,98.5,98.5,147264,0
20180206,98.45,98.45,96.15,97.9,755363,0
20180207,98.23,98.869,97.925,98.51,209337,0
20180208,98.42,98.626,98.131,98.48,241886,0
20180209,98.63,99.5,98.16,99.29,422523,0
20180212,99.78,100,99.305,99.9,82069,0
20180213,99.29,100.28,99.29,100.28,26832,0
20180214,99.63,99.83,99.24,99.6,236477,0
20180215,99.67,100.539,99.55,100.539,307300,0
20180216,101.18,101.41,101.166,101.166,60963,0
20180220,100.151,100.32,100.131,100.32,31779,0
20180221,100.58,100.58,99.48,99.48,111268,0
20180222,99.72,100.16,99.63,99.99,132426,0
20180223,100.23,101.75,100.22,101.75,367600,0
20180226,101.91,101.91,101.2,101.48,288063,0
20180227,101.8,102.36,101.79,102.274,615390,0
20180228,101.86,101.963,101.33,101.33,57943,0
20180301,100.76,100.76,100.45,100.49,102982,0
20180302,100,100.09,99.54,100.09,16060,0
20180305,99.7,102.4,99.7,102.37,45167,0
20180306,101.79,101.79,101.4,101.7,89440,0
20180307,100.92,102.49,100.89,102.49,227244,0
20180308,101.25,101.93,101.25,101.93,244588,0
20180309,101.75,101.75,101.121,101.151,49149,0
20180312,101.44,101.95,100.59,101.42,199762,0
20180313,101.75,102.06,101.75,101.88,4089,0
20180314,102.5,103.45,102.5,103.44,146545,0
20180315,103.58,103.75,103.1,103.65,82339,0
20180316,103.12,103.517,103.12,103.23,81454,0
20180319,103.25,103.601,103.25,103.6,385667,0
20180320,103.6,103.6,102.53,102.68,43920,0
20180321,102.36,104.97,102.33,102.64,8059,0
20180322,102.48,104.09,102.48,103.07,13958,0
20180323,103.66,103.66,102.07,102.29,151186,0
20180326,102.27,102.91,102.1,102.91,296579,0
20180327,103,104.46,102.99,103.78,276614,0
20180328,102.46,102.46,101.475,101.76,470517,0
20180329,102.19,102.46,102.19,102.37,30119,0
20180402,101.65,101.65,101.22,101.4,35386,0
20180403,101.14,101.5,100.94,101.29,61383,0
20180404,101.65,102.01,101.25,101.86,92768,0
20180405,101.37,102.71,101.14,102.66,87082,0
20180406,102.93,102.93,102.04,102.5,168776,0
20180409,102.54,103.21,102.34,103.21,257132,0
20180410,102.78,103.09,102.65,102.73,64847,0
20180411,102.64,102.81,102.25,102.57,189431,0
20180412,102.54,102.63,101.86,101.86,134038,0
20180413,102.45,102.88,102.01,102.14,276899,0
20180416,102.56,102.97,102.33,102.9,64206,0
20180417,102.9,103.6,102.9,103.35,107364,0
20180418,103.705,103.705,102.57,102.57,162184,0
20180419,102.09,102.55,101.76,101.76,126221,0
20180420,102.07,103.44,101.24,101.99,2335085,0
20180423,101.79,101.79,100.994,101.56,101342,0
20180424,101.43,101.82,101.31,101.75,3870,0
20180425,101.5,101.75,101.13,101.25,86439,0
20180426,101.47,101.99,101.47,101.99,130713,0
20180427,102.57,102.88,102.43,102.83,49442,0
20180430,102.4,103.11,102.4,102.83,103022,0
20180501,102.46,103,102.4,102.78,14861,0
20180502,102.6,102.71,102.15,102.22,53819,0
20180503,101.41,102.42,101.41,102.27,3735,0
20180504,102.84,102.9,102.31,102.31,33629,0
20180507,102.25,102.74,102,102.03,44449,0
20180508,101.91,101.91,98.52,98.52,168164,0
20180509,99.18,99.18,98.4,98.74,21140,0
20180510,99,99.37,98.9484,99.05,9346,0
20180511,99.57,100,99.57,99.8,6301,0
20180514,100.06,100.18,99.18,99.18,19480,0
20180515,98.98,98.98,98.35,98.65,117686,0
20180516,97.87,97.87,97.46,97.47,81643,0
20180517,97.63,97.65,96.9,96.9,22157,0
20180518,96.6,96.79,96.112,96.75,39393,0
20180521,96.41,97.135,96.41,96.83,34460,0
20180522,97.2,97.615,97.2,97.34,5861,0
20180523,97.4049,98.3,97.4049,98.3,30399,0
20180524,97.83,98.65,97.83,98.36,18817,0
20180525,98.23,98.58,98.23,98.5533,3962,0
20180529,98.12,98.83,97.719,98.65,61157,0
20180530,98.68,99.069,98.68,99.069,16684,0
20180531,99.4,100.83,99.19,99.19,77889,0
20180601,98.679,100.2,97.7761,97.91,36369,0
20180604,97.72,98.14,97.72,97.85,96052,0
20180605,97.69,97.69,97.06,97.26,58509,0
20180606,97.0048,97.0048,96,96,27561,0
20180607,96.16,96.33,95.95,95.99,2900,0
20180608,96.18,97.385,96.054,96.31,4020,0
20180611,104.65,107,104,105.72,379460,0
20180612,105.05,105.51,104.5,104.89,64660,0
20180613,104.68,104.8,103.14,103.14,192503,0
20180614,103.14,103.18,101.08,102.94,254108,0
20180615,102.19,102.2,101.13,101.87,12357,0
20180618,102.1,102.39,102.02,102.35,420020,0
20180619,103.06,103.06,102.05,102.36,300484,0
20180620,102.36,102.75,101.98,102.75,738546,0
20180621,102.17,103.45,102.17,102.26,1157003,0
20180622,103.39,103.711,103.39,103.5,7719,0
20180625,104.01,104.449,103.897,104.37,134066,0
20180626,104.17,104.29,103.76,104.04,326149,0
20180627,104.08,104.26,103.68,103.68,65354,0
20180628,102.13,102.35,101.88,101.88,130032,0
20180629,101.78,103.49,101.78,103.21,257856,0
20180702,102.3,102.73,102.2,102.71,366002,0
20180703,102.76,103.29,102.6,102.8,73790,0
20180705,103,103.5,102.67,103.5,83526,0
20180706,103.428,104.24,103.428,103.73,142564,0
20180709,103.38,103.51,102.27,102.4,124777,0
20180710,103.72,103.75,103.49,103.59,46678,0
20180711,101.96,103.545,101.5,102.47,769732,0
20180712,102.55,102.55,101.28,102.37,1297999,0
20180713,102.3,103,102.3,102.67,44348,0
20180716,102.32,102.56,102.1,102.45,35436,0
20180717,102.19,102.43,102.07,102.32,7252,0
20180718,101.88,101.93,101.24,101.52,86225,0
20180719,101.66,102.53,101.66,102.15,118251,0
20180720,101.98,101.98,101.2,101.75,409691,0
20180723,101.79,101.84,101.111,101.21,7669,0
20180724,100.75,101.91,100.62,101.6,27828,0
20180725,101.55,102.31,101.55,102.29,70220,0
20180726,102.55,102.55,102.28,102.42,27428,0
20180727,102.6,102.615,101.74,101.97,63016,0
20180730,101.88,102,101.5,101.5,107019,0
20180731,101.9,102.31,101.73,102.31,148801,0
20180801,101.69,101.89,101.05,101.89,40939,0
20180802,101.63,102.61,101.63,102.34,29661,0
20180803,102.39,103.52,102.39,103.35,44818,0
20180806,102.33,102.75,102.1,102.12,24101,0
20180807,101.803,102.5,101.803,102.36,103835,0
20180808,102.07,102.155,102,102,68494,0
20180810,101.65,101.73,101.37,101.7,29423,0
20180813,101.58,101.95,101.58,101.95,29580,0
20180814,102.1,102.1,101.547,101.56,2007,0
20180815,101.65,101.75,101.37,101.37,41798,0
20180816,101.585,101.73,101.585,101.73,1681,0
20180817,103.07,103.32,103.07,103.17,2848,0
20180820,103.15,103.39,103.15,103.17,225744,0
20180821,102.72,102.765,102.39,102.51,18490,0
20180822,102.71,102.71,102,102,55950,0
20180823,102.33,102.39,102.33,102.39,50472,0
20180824,102.384,102.849,102.384,102.68,3368,0
20180827,102.62,102.62,102.2,102.2,155623,0
20180828,102.59,102.66,102.4,102.58,24134,0
20180829,102.55,103.35,102.47,103.35,148507,0
20180830,103.37,103.37,102.88,103.11,22937,0
20180831,103,103.31,102.48,102.78,63229,0
