Date,Open,High,Low,Close,Volume,OpenInt
20120224,61.215,61.247,60.604,61.149,170851,0
20120227,61.271,62.175,61.271,61.997,7926,0
20120228,61.934,61.934,61.34,61.366,17830,0
20120229,61.445,61.793,61.212,61.366,16782,0
20120301,61.513,61.858,61.441,61.464,9427,0
20120302,61.691,61.715,61.441,61.715,9704,0
20120305,61.715,61.715,61.464,61.585,5128,0
20120306,61.215,61.658,61.172,61.488,12065,0
20120307,61.488,61.585,61.097,61.464,3805,0
20120308,61.39,61.539,61.39,61.464,3643,0
20120309,61.34,62.075,61.34,61.858,7889,0
20120312,61.958,61.958,61.658,61.831,3432,0
20120313,61.958,62.437,61.715,62.251,23504,0
20120314,62.562,62.712,61.831,61.831,6227,0
20120315,61.883,62.423,61.831,62.423,7066,0
20120316,62.437,62.437,62.075,62.196,5815,0
20120319,62.437,62.562,62.15,62.251,10648,0
20120320,62.369,62.398,62.15,62.398,4499,0
20120321,62.437,62.437,62.075,62.437,4314,0
20120322,62.437,62.437,61.858,62.343,10788,0
20120323,62.49,63.673,62.055,62.437,8941,0
20120326,62.595,62.595,61.831,62.196,9802,0
20120327,62.15,62.15,61.34,61.441,15148,0
20120328,60.604,60.604,57.984,58.799,73720,0
20120329,58.676,59.63,58.182,59.236,13037,0
20120330,59.532,60.363,59.379,60.09,18226,0
20120402,60.242,60.338,58.988,60.338,9166,0
20120403,60.14,60.411,59.236,60.338,8910,0
20120404,60.14,60.242,59.773,59.804,9531,0
20120405,59.901,60.242,59.749,59.877,10893,0
20120409,59.379,59.967,58.72,59.361,13097,0
20120410,58.799,59.575,58.799,58.924,8400,0
20120411,58.924,59.014,58.162,58.476,9935,0
20120412,58.408,58.988,58.408,58.502,4601,0
20120413,58.697,58.72,58.136,58.234,8776,0
20120416,58.773,58.773,57.472,57.819,8325,0
20120417,58.034,58.283,57.01,57.741,13974,0
20120418,57.984,57.984,56.635,56.891,12011,0
20120419,56.986,57.741,56.936,57.741,6243,0
20120420,57.819,59.139,57.819,59.139,11378,0
20120423,58.773,59.26,58.529,59.26,13731,0
20120424,59.26,59.26,58.059,58.697,9800,0
20120425,58.597,58.72,58.011,58.136,10859,0
20120426,58.034,58.136,57.777,57.799,18647,0
20120427,57.799,58.529,57.799,58.408,4120,0
20120430,58.432,58.502,57.799,58.059,7537,0
20120501,57.916,58.476,57.538,58.034,8241,0
20120502,58.011,58.453,57.891,58.059,5758,0
20120503,58.034,58.034,57.668,57.777,5321,0
20120504,57.668,57.841,57.176,57.304,9463,0
20120507,57.668,57.694,56.964,57.226,9381,0
20120508,57.38,57.38,56.567,56.613,8830,0
20120509,56.59,57.38,56.5,57.176,10933,0
20120510,57.449,57.594,57.077,57.519,13307,0
20120511,57.176,58.376,56.838,58.182,12081,0
20120514,57.713,57.916,56.546,56.912,14566,0
20120515,57.03,57.406,54.66,55.105,20851,0
20120516,55.396,55.614,53.894,54.096,18775,0
20120517,54.002,54.854,53.069,53.46,12689,0
20120518,53.629,54.284,51.811,52.011,13894,0
20120521,52.55,53.554,52.236,53.554,14733,0
20120522,53.795,54.21,53.629,54.002,10634,0
20120523,54.002,54.438,52.912,54.406,13011,0
20120524,54.096,54.728,53.401,54.49,17265,0
20120525,54.12,55.367,54.12,55.189,7530,0
20120529,55.148,56.814,55.105,56.295,15676,0
20120530,56.056,56.195,55.293,55.834,11817,0
20120531,55.384,56.28,54.551,54.78,20377,0
20120601,54.381,54.381,53.054,53.699,12815,0
20120604,53.985,54.222,53.457,53.829,8631,0
20120605,53.612,55.956,53.612,55.938,12218,0
20120606,56.036,57.509,55.956,57.46,11723,0
20120607,59.038,59.938,57.964,58.727,24190,0
20120608,58.919,59.915,58.162,59.711,11971,0
20120611,60.586,60.586,59.164,59.164,10390,0
20120612,59.383,59.711,58.355,58.957,10529,0
20120613,59.084,59.337,57.913,58.059,9458,0
20120614,58.517,59.211,58.333,59.211,9997,0
20120615,59.211,59.264,58.241,58.839,11236,0
20120618,58.919,59.038,58.087,58.758,5548,0
20120619,59.084,59.843,57.964,58.814,12436,0
20120620,58.727,59.164,57.811,58.261,5773,0
20120621,57.839,57.839,56.964,57.839,13564,0
20120622,56.964,57.234,55.834,56.331,12052,0
20120625,55.781,55.908,52.082,52.104,20783,0
20120626,52.179,53.254,50.338,52.682,43273,0
20120627,52.48,53.898,52.373,53.829,12927,0
20120628,53.682,55.178,53.054,55.178,12513,0
20120629,55.082,55.587,53.274,53.829,26053,0
20120702,54.253,54.755,53.876,54.222,6466,0
20120703,54.463,56.181,54.463,55.509,4829,0
20120705,55.41,56.089,55.082,55.708,5648,0
20120706,55.255,56.627,55.255,56.111,6790,0
20120709,56.036,56.089,55.732,56.036,6854,0
20120710,55.677,57.155,55.677,56.936,10410,0
20120711,56.863,56.964,56.111,56.583,8846,0
20120712,56.28,56.28,55.46,55.811,8139,0
20120713,55.908,56.583,55.531,55.834,10955,0
20120716,55.861,56.356,55.861,56.356,2635,0
20120717,56.583,57.46,56.583,56.863,12989,0
20120718,56.79,57.764,56.306,57.664,12514,0
20120719,58.162,59.316,57.811,58.71,19993,0
20120720,58.71,59.058,58.481,58.481,7500,0
20120723,57.964,58.461,57.839,58.461,6189,0
20120724,58.71,58.71,58.059,58.087,9026,0
20120725,58.241,58.888,58.241,58.791,7050,0
20120726,58.919,59.41,57.764,57.793,28094,0
20120727,57.913,58.031,57.413,57.713,5304,0
20120730,57.734,58.333,57.589,58.333,9703,0
20120731,58.087,59.084,57.764,59.084,7473,0
20120801,58.936,59.585,58.586,59.585,6291,0
20120802,59.585,60.338,58.839,59.264,14103,0
