Date,Open,High,Low,Close,Volume,OpenInt
20110614,7.419,7.419,7.2677,7.3047,331588,0
20110615,7.1291,7.3404,6.9842,7.3047,200460,0
20110616,7.286,7.384,7.286,7.3279,216383,0
20110617,7.3279,7.3779,7.2446,7.3279,230306,0
20110620,7.3109,7.4127,0.7279,7.372,124538,0
20110621,7.3954,7.6249,7.2985,7.5932,186078,0
20110622,7.547,7.5886,7.4253,7.5886,128772,0
20110623,7.6596,7.6596,7.286,7.5593,178102,0
20110624,7.5403,7.5758,7.2732,7.384,2778132,0
20110627,7.384,7.4787,7.2388,7.3954,205929,0
20110628,7.4017,7.4679,7.2568,7.3779,233403,0
20110629,7.3899,7.4253,7.2568,7.334,123856,0
20110630,7.354,7.3925,7.2774,7.3925,93702,0
20110701,7.4127,7.4487,7.3584,7.4487,190373,0
20110705,7.4487,7.5639,7.419,7.5275,124847,0
20110706,7.5403,7.6846,7.534,7.6652,249946,0
20110707,7.71,7.7215,7.4127,7.6846,97895,0
20110708,7.583,7.7215,7.547,7.6652,56474,0
20110711,7.583,7.6846,7.547,7.6472,82280,0
20110712,7.6531,7.728,7.5593,7.6726,161203,0
20110713,7.6784,7.7036,7.6059,7.6409,46682,0
20110714,7.6249,7.6368,7.583,7.5932,30816,0
20110715,7.583,7.6176,7.491,7.6113,90387,0
20110718,7.6113,7.6306,7.5403,7.5593,102211,0
20110719,7.5932,7.6113,7.4741,7.583,74093,0
20110720,7.4787,7.534,7.419,7.4787,57414,0
20110721,7.4835,7.6409,7.419,7.6006,84724,0
20110722,7.6249,7.6249,7.4835,7.491,31845,0
20110725,7.4611,7.6306,7.4558,7.5098,90005,0
20110726,7.4868,7.5639,7.3584,7.5448,57287,0
20110727,7.5403,7.5593,7.3109,7.3584,100167,0
20110728,7.3779,7.4973,7.3525,7.4127,37808,0
20110729,7.372,7.5121,7.3159,7.4134,61821,0
20110801,7.5403,7.5403,7.3584,7.4075,44678,0
20110802,7.4091,7.5183,7.2424,7.2424,73155,0
20110803,7.2622,7.2622,7.0938,7.0938,60903,0
20110804,7.0938,7.1359,6.4784,6.4784,175316,0
20110805,6.0801,6.7617,5.7787,6.6113,284790,0
20110808,6.2368,6.6113,5.8568,5.863,144074,0
20110809,5.9232,6.2492,5.7606,6.2368,176999,0
20110810,6.1827,6.2428,5.8328,5.9782,264571,0
20110811,5.9959,6.3633,5.9473,6.2492,194531,0
20110812,6.2492,6.2492,6.0016,6.0198,84613,0
20110815,6.0439,6.1827,6.0319,6.1163,42278,0
20110816,6.1163,6.3633,6.1163,6.3214,184463,0
20110817,6.3333,6.4061,6.3153,6.3276,71445,0
20110818,6.3633,6.4542,6.1827,6.2311,188701,0
20110819,6.1706,6.2368,6.1223,6.1706,73717,0
20110822,6.2731,6.3333,6.0376,6.0801,88868,0
20110823,6.0983,6.3516,6.0983,6.3516,324476,0
20110824,6.3276,6.4844,6.2612,6.3516,71405,0
20110825,6.4178,6.4303,6.1887,6.1887,47103,0
20110826,6.1706,6.394,6.1706,6.3633,54155,0
20110829,6.4178,6.6955,6.2793,6.4483,93716,0
20110830,6.46,6.5324,6.3633,6.4358,67592,0
20110831,6.4822,6.6713,6.3369,6.4883,140011,0
20110901,6.4844,6.5745,6.4114,6.4178,70296,0
20110902,6.3116,6.8986,6.128,6.179,88069,0
20110906,6.0366,6.3271,6.0304,6.2281,68470,0
20110907,6.2281,6.6794,6.2096,6.6359,157669,0
20110908,6.5551,6.7534,6.2281,6.3702,66084,0
20110909,6.3271,6.3702,6.1848,6.3145,97359,0
20110912,6.2368,6.2972,6.0921,6.2184,78140,0
20110913,6.2671,6.3816,6.2184,6.2972,45244,0
20110914,6.3214,6.4542,6.291,6.3816,82969,0
20110915,6.4424,6.6474,6.3516,6.5266,56508,0
20110916,6.6417,7.1423,6.6417,7.1423,529392,0
20110919,7.0755,7.1229,6.8039,6.8585,52838,0
20110920,6.8585,6.988,6.6359,6.6417,79894,0
20110921,6.6723,6.7965,6.2531,6.2531,77849,0
20110922,6.1108,6.3271,6.0424,6.1418,117260,0
20110923,6.1659,6.4198,6.1232,6.3085,56872,0
20110926,6.3451,6.6668,6.3393,6.5004,92853,0
20110927,6.6359,6.8026,6.4627,6.6049,89817,0
20110928,6.5432,6.5432,6.3393,6.3947,82234,0
20110929,6.5183,6.6359,6.0984,6.3329,67269,0
20110930,6.2197,6.6328,6.2197,6.3038,69985,0
20111003,6.2654,6.3883,6.1848,6.2407,110300,0
20111004,6.3021,6.9387,6.0551,6.8455,141697,0
20111005,6.7965,6.8337,6.2961,6.4753,73826,0
20111006,6.4318,6.6049,6.4318,6.5307,75445,0
20111007,6.5307,6.6485,6.1787,6.2218,47557,0
20111010,6.3516,6.4443,6.2096,6.4378,80006,0
20111011,6.4318,6.7222,6.4009,6.6485,72244,0
20111012,6.7222,6.7222,6.6115,6.6543,81722,0
20111013,6.6485,6.7222,6.5122,6.7222,36205,0
20111014,6.7839,6.889,6.5926,6.6794,47995,0
20111017,6.6115,6.7348,6.5183,6.5366,45640,0
20111018,6.5806,6.7348,6.5062,6.6604,73421,0
20111019,6.6604,6.7039,6.4443,6.4567,71979,0
20111020,6.5004,6.5497,6.3947,6.4074,28095,0
20111021,6.4875,6.6359,6.4567,6.6115,55125,0
20111024,6.6417,6.877,6.5004,6.7348,65600,0
20111025,6.6723,6.7534,6.5248,6.5432,48790,0
20111026,6.6049,6.6417,6.4627,6.6049,114724,0
20111027,6.6794,6.9634,6.5248,6.9198,390938,0
20111028,6.889,6.951,6.7466,6.7653,114247,0
20111031,6.7289,6.8252,6.5866,6.6382,52616,0
20111101,6.5062,6.6485,6.4627,6.4814,126090,0
20111102,6.5737,6.6049,6.4258,6.5616,129904,0
20111103,6.6668,6.6723,6.4875,6.6668,68295,0
20111104,6.5894,6.5894,6.5328,6.5387,30255,0
20111107,6.5616,6.5616,6.3329,6.4692,121480,0
20111108,6.5307,6.6485,6.3393,6.5366,130135,0
20111109,6.4009,6.5737,6.3516,6.3581,92786,0
20111110,6.4692,6.4814,6.3451,6.4567,40761,0
20111111,6.5497,6.6115,6.4627,6.5183,168729,0
20111114,6.4753,6.5366,6.3702,6.4198,85486,0
20111115,6.4258,6.6115,6.3947,6.5004,104601,0
20111116,6.4753,6.5497,6.4378,6.4627,114077,0
20111117,6.4627,6.5122,6.3702,6.4318,132433,0
