Date,Open,High,Low,Close,Volume,OpenInt
20050225,25.457,25.741,25.35,25.731,680672,0
20050228,25.731,25.75,25.153,25.302,1142353,0
20050301,25.181,25.417,25.114,25.266,1194403,0
20050302,25.285,25.606,25.114,25.467,631374,0
20050303,25.506,25.805,25.427,25.626,822014,0
20050304,25.882,25.994,25.651,25.759,830054,0
20050307,25.759,26.184,25.721,25.862,631798,0
20050308,25.285,25.634,25.003,25.04,1861534,0
20050309,25.191,25.36,24.105,25.075,1315434,0
20050310,25.095,25.248,25.021,25.048,804452,0
20050311,25.048,25.239,24.519,24.643,1276290,0
20050314,24.757,25.114,24.747,24.898,1556009,0
20050315,24.946,24.946,24.643,24.662,816722,0
20050316,24.615,24.801,24.596,24.671,1115694,0
20050317,24.689,24.689,24.405,24.463,810166,0
20050318,24.463,24.529,24.246,24.434,1075914,0
20050321,24.358,24.463,23.771,24.007,1465024,0
20050322,23.925,24.237,23.925,23.971,1462486,0
20050323,24.095,24.095,23.761,23.761,1494646,0
20050324,23.801,24.189,23.16,23.896,1368119,0
20050328,23.962,24.434,23.962,24.302,819264,0
20050329,24.217,24.548,24.17,24.293,774830,0
20050330,24.246,24.937,24.246,24.86,1165628,0
20050331,24.86,25.048,24.671,24.985,878296,0
20050401,25.048,25.606,25.048,25.134,1603402,0
20050404,25.065,25.143,24.84,25.048,796836,0
20050405,25.143,25.457,25.143,25.266,738435,0
20050406,25.38,25.38,25.003,25.065,1767804,0
20050407,25.095,25.759,25.03,25.741,1047986,0
20050408,26.987,28.123,26.987,27.393,5220261,0
20050411,27.384,27.499,27.129,27.309,2641656,0
20050412,27.3,28.422,27.139,28.318,2424780,0
20050413,28.123,28.14,26.987,27.393,2913332,0
20050414,27.393,27.508,26.834,26.939,1618636,0
20050415,26.881,26.881,26.222,26.251,1928399,0
20050418,26.398,27.148,26.194,26.969,2023823,0
20050419,26.987,27.626,26.939,27.518,2034192,0
20050420,27.518,27.518,26.6,26.751,2648639,0
20050421,26.816,27.026,26.493,26.741,2649485,0
20050422,26.797,26.901,26.354,26.447,2175954,0
20050425,26.638,26.871,26.354,26.777,1422072,0
20050426,26.281,26.61,25.777,25.777,2286827,0
20050427,25.651,25.852,25.486,25.606,2200287,0
20050428,25.606,25.606,24.946,25.048,1893910,0
20050429,25.171,25.266,24.492,24.918,1654817,0
20050502,25.161,25.447,25.143,25.302,914476,0
20050503,25.467,25.759,25.321,25.321,1218739,0
20050504,25.759,26.334,25.427,26.299,2448900,0
20050505,26.354,26.513,26.069,26.398,1287290,0
20050506,26.61,26.807,26.362,26.381,882738,0
20050509,26.381,26.465,26.231,26.299,1118655,0
20050510,26.213,26.281,25.842,25.939,1004401,0
20050511,25.976,26.105,25.852,25.948,852057,0
20050512,25.902,26.03,25.312,25.35,1059413,0
20050513,25.239,25.523,24.918,25.003,921670,0
20050516,25.003,25.477,24.955,25.427,468027,0
20050517,25.427,25.427,24.671,25.048,1012335,0
20050518,25.048,25.711,25.013,25.514,791121,0
20050519,25.566,25.691,25.171,25.201,981232,0
20050520,25.201,25.276,24.955,25.124,780225,0
20050523,25.22,25.341,25.04,25.22,682366,0
20050524,25.211,25.22,24.727,24.811,977953,0
20050525,25.095,25.095,24.17,24.483,1293322,0
20050526,24.671,24.764,23.801,24.376,1594619,0
20050527,24.376,24.811,24.376,24.596,1612923,0
20050531,24.529,26.29,24.34,26.29,3803263,0
20050601,26.203,26.389,25.701,25.814,1436034,0
20050602,25.976,26.134,25.661,26.059,900088,0
20050603,26.134,26.553,25.948,26.493,1204349,0
20050606,26.457,26.543,25.892,26.543,881363,0
20050607,26.667,26.714,26.281,26.465,859251,0
20050608,26.457,26.732,26.049,26.657,791227,0
20050609,26.523,26.581,26.203,26.493,985781,0
20050610,26.685,26.694,26.437,26.484,794613,0
20050613,26.354,26.787,26.184,26.714,904427,0
20050614,26.676,26.797,26.381,26.457,865812,0
20050615,26.722,26.722,25.929,26.184,731666,0
20050616,26.281,26.475,25.994,26.261,559116,0
20050617,26.6,26.939,26.134,26.571,2401188,0
20050620,26.657,27.479,26.571,27.29,1466294,0
20050621,27.792,27.792,26.816,27.355,1213341,0
20050622,27.645,27.744,26.949,27.211,860733,0
20050623,27.221,27.626,27.11,27.554,1366638,0
20050624,27.489,27.489,26.657,26.751,1144154,0
20050627,26.861,27.977,26.777,27.959,1559921,0
20050628,28.597,29.68,28.597,29.141,2570988,0
20050629,29.775,29.871,28.216,28.848,3406541,0
20050630,28.169,28.715,27.554,27.885,3640239,0
20050701,28.123,28.461,27.715,28.264,27075440,0
20050705,28.264,28.431,28.123,28.123,2527610,0
20050706,28.094,28.225,28.085,28.169,1631859,0
20050707,27.92,28.356,27.792,28.225,1222546,0
20050708,28.245,28.623,28.169,28.577,1165736,0
20050711,28.548,28.557,27.939,27.967,1220748,0
20050712,27.967,28.169,27.848,27.939,943147,0
20050713,27.977,28.005,27.328,27.469,1360711,0
20050714,27.812,28.055,26.881,27.192,1820065,0
20050715,26.59,27.221,26.241,27.091,2132261,0
20050718,27.129,27.413,26.807,27.182,822648,0
20050719,27.174,27.182,26.704,26.816,1050737,0
20050720,26.61,26.797,26.271,26.457,1799435,0
20050721,26.493,26.714,26.327,26.619,1533788,0
20050722,26.694,26.824,26.513,26.722,828679,0
20050725,26.657,26.694,26.465,26.533,827513,0
20050726,26.561,26.704,26.371,26.543,967583,0
20050727,26.561,26.629,25.948,25.958,938387,0
20050728,26.125,26.647,26.125,26.427,789322,0
20050729,26.371,26.457,25.902,25.902,1233549,0
20050801,25.892,26.096,25.531,25.75,1141084,0
20050802,25.634,25.976,25.171,25.741,1631014,0
20050803,25.711,26.213,25.566,26.174,1117495,0
20050804,26.174,26.299,25.787,25.939,965997,0
20050805,25.805,25.872,25.427,25.467,645340,0
20050808,25.616,25.814,25.427,25.549,669883,0
20050809,25.549,25.822,25.417,25.514,803926,0
20050810,25.523,25.929,25.523,25.671,573611,0
20050811,25.711,25.805,24.821,25.04,1615886,0
20050812,24.955,26.04,24.83,25.939,1599063,0
20050815,25.759,26.096,25.661,26.02,890462,0
20050816,25.882,26.154,25.409,25.558,707015,0
20050817,25.486,25.596,25.239,25.523,976579,0
20050818,25.285,25.691,25.285,25.409,1277665,0
20050819,25.437,25.523,25.048,25.114,709133,0
20050822,25.814,25.814,24.955,25.048,1215564,0
20050823,25.161,25.285,24.985,25.191,918920,0
20050824,25.201,26.096,25.153,25.768,1460581,0
20050825,25.902,26.087,25.661,25.994,1380813,0
20050826,25.929,26.437,25.711,26.241,1621173,0
20050829,26.154,26.241,25.731,26.134,850471,0
20050830,26.004,26.317,25.586,25.805,1064068,0
20050831,25.805,26.069,25.523,26.012,790700,0
20050901,26.087,26.694,25.994,26.6,925796,0
20050902,26.581,26.638,26.004,26.371,565464,0
20050906,26.389,26.843,26.154,26.824,1205937,0
20050907,26.987,27.036,26.493,26.939,916381,0
20050908,26.959,27.421,26.629,26.901,2312848,0
20050909,26.769,26.939,26.543,26.92,1078878,0
20050912,26.891,27.036,26.722,26.732,562080,0
20050913,26.871,27.3,26.732,27.017,781918,0
20050914,26.861,27.017,26.465,26.475,536372,0
20050915,26.417,27.091,26.299,27.026,662478,0
20050916,27.026,27.202,26.732,27.165,984299,0
20050919,26.939,27.231,26.334,26.732,926961,0
20050920,26.797,26.929,26.334,26.437,592335,0
20050921,25.048,25.321,22.8,24.395,4057064,0
20050922,24.395,25.021,24.217,25.013,1929139,0
20050923,24.811,25.105,24.737,25.003,1135797,0
20050926,25.04,25.229,24.605,24.605,969277,0
20050927,24.578,24.699,24.151,24.16,2635838,0
20050928,22.676,25.161,22.676,24.596,4574814,0
20050929,24.385,24.596,24.293,24.578,1025136,0
20050930,24.588,24.811,24.33,24.578,651368,0
20051003,24.689,24.888,24.293,24.385,1199801,0
20051004,24.434,24.5,23.88,24.007,1690573,0
20051005,23.771,23.811,22.187,22.884,4727685,0
20051006,22.884,23.63,22.733,23.556,1753735,0
20051007,24.105,24.293,21.55,22.148,4561907,0
20051010,22.572,22.845,21.842,22.051,2639644,0
20051011,22.061,22.197,21.445,21.501,2155326,0
20051012,21.741,22.206,21.413,21.491,2187381,0
20051013,19.99,21.619,19.99,21.032,2143689,0
20051014,21.2,21.462,21.032,21.278,1680524,0
20051017,21.453,21.94,21.438,21.806,1574732,0
20051018,21.977,22.618,21.472,21.649,1784520,0
20051019,20.745,21.958,20.368,21.384,1929034,0
20051020,21.639,21.677,21.079,21.191,1739661,0
20051021,21.413,21.501,21.052,21.153,1394247,0
20051024,21.268,21.797,21.163,21.639,1390440,0
20051025,21.599,21.834,21.249,21.797,2278149,0
20051026,21.842,22.167,21.511,21.609,1967542,0
20051027,21.788,21.892,21.355,21.462,1160340,0
20051028,21.599,21.834,21.317,21.453,1175467,0
20051031,21.55,22.363,21.491,22.25,1251958,0
20051101,22.241,22.278,21.842,22.032,1049044,0
20051102,22.023,22.628,21.986,22.543,1227623,0
20051103,22.8,22.922,22.25,22.452,1573671,0
20051104,22.506,22.506,21.872,22.041,1297238,0
20051107,22.197,22.442,22.006,22.187,1346325,0
20051108,22.139,22.353,22.023,22.215,1140556,0
20051109,22.306,22.383,21.511,21.806,1341354,0
20051110,21.911,22.241,21.639,22.167,1823873,0
20051111,22.167,22.383,22.032,22.316,757904,0
20051114,22.393,22.845,22.09,22.686,1435826,0
20051115,22.686,23.082,22.326,22.826,1121725,0
20051116,22.8,22.988,22.353,22.752,1063010,0
20051117,22.845,22.952,22.706,22.752,1037938,0
20051118,23.006,23.006,21.911,22.197,2375586,0
20051121,22.25,22.618,22.014,22.497,921352,0
20051122,22.383,22.506,21.892,22.061,1692691,0
20051123,21.931,22.041,21.769,21.834,1174093,0
