Date,Open,High,Low,Close,Volume,OpenInt
19880201,0.7328,0.7416,0.7328,0.7328,241913,0
19880202,0.7328,0.7416,0.7328,0.7328,138624,0
19880203,0.7328,0.7416,0.7328,0.7328,315304,0
19880204,0.7328,0.7416,0.7328,0.7416,301715,0
19880205,0.7328,0.7416,0.7328,0.7328,236479,0
19880208,0.7328,0.7328,0.7154,0.7242,527320,0
19880209,0.7242,0.7328,0.7065,0.7154,1201415,0
19880210,0.7065,0.7154,0.6977,0.7065,739331,0
19880211,0.7154,0.7154,0.6977,0.6977,1348197,0
19880212,0.6977,0.7065,0.6886,0.6977,1361783,0
19880216,0.6886,0.7154,0.6886,0.7065,695844,0
19880217,0.7065,0.7154,0.7065,0.7065,301715,0
19880218,0.7154,0.7242,0.7065,0.7065,358791,0
19880219,0.7154,0.7154,0.6977,0.6977,271816,0
19880222,0.6977,0.7154,0.6977,0.7154,1375376,0
19880223,0.7154,0.7154,0.7065,0.7154,790977,0
19880224,0.7065,0.7242,0.7065,0.7154,1348197,0
19880225,0.7065,0.7242,0.7065,0.7065,780106,0
19880226,0.7065,0.7242,0.7065,0.7154,250067,0
19880229,0.7065,0.7507,0.7065,0.7507,2690954,0
19880301,0.7416,0.7594,0.7416,0.7507,646915,0
19880302,0.7416,0.7507,0.7416,0.7416,538193,0
19880303,0.7416,0.7507,0.7416,0.7416,424029,0
19880304,0.7416,0.7858,0.7416,0.7772,739331,0
19880307,0.7772,0.7858,0.7772,0.7772,141344,0
19880308,0.7858,0.7858,0.7772,0.7858,565372,0
19880309,0.7858,0.83,0.7772,0.8121,1658064,0
19880310,0.8121,0.83,0.8121,0.8121,690406,0
19880311,0.8121,0.83,0.7772,0.8036,951347,0
19880314,0.8121,0.8121,0.7944,0.8121,209298,0
19880315,0.7944,0.8121,0.7944,0.8121,388697,0
19880316,0.8036,0.8036,0.7944,0.8036,203861,0
19880317,0.8036,0.8121,0.8036,0.8036,606146,0
19880318,0.8036,0.8478,0.8036,0.83,1981522,0
19880321,0.83,0.8478,0.83,0.83,375105,0
19880322,0.83,0.8478,0.83,0.83,687690,0
19880323,0.83,0.8478,0.83,0.83,184831,0
19880324,0.83,0.8387,0.8212,0.8212,687690,0
19880325,0.83,0.83,0.8121,0.8121,489263,0
19880328,0.8121,0.8121,0.7858,0.7858,1587394,0
19880329,0.8036,0.8036,0.7944,0.8036,125035,0
19880330,0.7944,0.8121,0.7944,0.7944,611581,0
19880331,0.7944,0.7944,0.7858,0.7944,5235130,0
19880404,0.7858,0.7858,0.7594,0.7858,1864640,0
19880405,0.7858,0.7858,0.7594,0.7772,171244,0
19880406,0.7858,0.8036,0.7772,0.7858,369666,0
19880407,0.8036,0.8121,0.7858,0.8036,839903,0
19880408,0.8121,0.8212,0.8036,0.8212,440338,0
19880411,0.8121,0.83,0.8121,0.8212,298996,0
19880412,0.83,0.8478,0.83,0.8478,1255777,0
19880413,0.8387,0.8478,0.83,0.8478,399562,0
19880414,0.8387,0.8387,0.8212,0.8212,576246,0
19880415,0.8212,0.8212,0.7858,0.7944,861648,0
19880418,0.7944,0.8121,0.7858,0.7944,331615,0
