Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.598,9.598,9.335,9.335,55550,0
20050228,9.407,9.4634,9.2419,9.2539,45694,0
20050301,9.2354,9.2354,9.1309,9.203,110791,0
20050302,9.1694,9.4585,9.1694,9.4585,40528,0
20050303,9.4515,9.4515,9.2871,9.3957,33802,0
20050304,9.4634,9.594,9.4634,9.587,32234,0
20050307,9.58,9.699,9.535,9.611,24566,0
20050308,9.67,9.822,9.67,9.822,23162,0
20050309,9.827,9.827,9.691,9.713,49447,0
20050310,9.746,9.752,9.713,9.713,6258,0
20050311,9.746,9.746,9.67,9.684,12519,0
20050314,9.649,9.77,9.625,9.764,34113,0
20050315,9.764,9.797,9.707,9.707,10639,0
20050316,9.727,9.81,9.727,9.76,38649,0
20050317,9.746,9.81,9.707,9.727,17211,0
20050318,9.727,9.797,9.561,9.656,19874,0
20050321,9.656,9.791,9.656,9.783,8760,0
20050322,9.734,9.976,9.734,9.843,39272,0
20050323,9.791,9.827,9.695,9.734,14866,0
20050324,9.67,9.684,9.541,9.561,15176,0
20050328,9.4923,9.541,9.4208,9.541,7353,0
20050329,9.4923,9.594,9.4923,9.58,95452,0
20050330,9.556,9.656,9.535,9.649,13769,0
20050331,9.611,9.764,9.58,9.752,15021,0
20050401,9.77,9.816,9.699,9.783,24879,0
20050404,9.752,9.843,9.739,9.843,18153,0
20050405,9.868,9.868,9.699,9.734,7668,0
20050406,9.77,9.803,9.67,9.739,3913,0
20050407,9.72,9.739,9.707,9.727,14711,0
20050408,9.649,9.81,9.649,9.77,8296,0
20050411,9.746,9.791,9.739,9.777,6414,0
20050412,9.727,9.734,9.618,9.656,8922,0
20050413,9.707,9.707,9.637,9.637,62118,0
20050414,9.625,9.637,9.4327,9.4853,22533,0
20050415,9.4853,9.502,9.3514,9.376,23478,0
20050418,9.3096,9.574,9.3096,9.574,18776,0
20050419,9.574,9.662,9.541,9.662,42251,0
20050420,9.625,9.662,9.541,9.662,45694,0
20050421,9.707,9.739,9.625,9.727,21748,0
20050422,9.713,9.76,9.637,9.656,5479,0
20050425,9.587,9.713,9.587,9.699,6574,0
20050426,9.662,9.72,9.656,9.72,13617,0
20050427,9.713,9.72,9.541,9.604,22848,0
20050428,9.556,9.684,9.548,9.598,12362,0
20050429,9.587,9.662,9.587,9.629,9388,0
20050502,9.695,9.695,9.58,9.691,16276,0
20050503,9.649,9.72,9.618,9.618,13769,0
20050504,9.691,9.797,9.691,9.797,20184,0
20050505,9.764,9.783,9.734,9.746,22533,0
20050506,9.777,9.843,9.777,9.803,10797,0
20050509,9.843,9.875,9.843,9.858,6886,0
20050510,9.85,10.001,9.85,9.989,24095,0
20050511,9.918,9.918,9.886,9.918,8760,0
20050512,9.906,9.906,9.684,9.752,31768,0
20050513,9.625,9.713,9.561,9.598,17525,0
20050516,9.587,9.611,9.507,9.521,53825,0
20050517,9.4774,9.604,9.4774,9.567,6886,0
20050518,9.618,9.625,9.574,9.604,6886,0
20050519,9.643,9.843,9.643,9.843,13617,0
20050520,9.81,9.875,9.77,9.843,66656,0
20050523,9.843,9.906,9.843,9.881,22533,0
20050524,9.875,10.001,9.875,9.969,29730,0
20050525,9.983,9.983,9.906,9.911,118608,0
20050526,9.956,10.067,9.918,10.02,85123,0
20050527,9.886,10.192,9.886,10.192,475537,0
20050531,10.108,10.263,10.079,10.207,51952,0
20050601,10.239,10.273,10.154,10.168,35209,0
20050602,10.168,10.258,10.033,10.074,49292,0
20050603,10.047,10.192,10.047,10.079,11576,0
20050606,10.096,10.096,9.949,9.969,12362,0
20050607,9.995,10.221,9.969,10.16,62749,0
20050608,10.16,10.221,10.103,10.147,25661,0
20050609,10.147,10.176,10.079,10.128,18931,0
20050610,10.207,10.281,10.14,10.176,30826,0
20050613,10.128,10.16,10.108,10.133,18620,0
20050614,10.199,10.386,10.176,10.358,29101,0
20050615,10.309,10.596,10.309,10.596,95607,0
20050616,10.556,10.745,10.5,10.506,84024,0
