Date,Open,High,Low,Close,Volume,OpenInt
20050225,8.3918,9.1499,8.3918,8.9845,833129,0
20050228,9.2204,9.2204,8.9019,9.0174,833443,0
20050301,9.1255,9.519,9.0287,9.3162,811504,0
20050302,9.3162,9.3162,9.0926,9.132,1790381,0
20050303,9.1367,9.2082,9.0851,9.1255,710103,0
20050304,9.0616,9.3491,9.0484,9.335,493357,0
20050307,9.335,9.335,9.0926,9.1255,903498,0
20050308,9.1424,9.1565,8.8047,8.8698,1499038,0
20050309,8.8377,8.8377,7.9776,8.2641,2575711,0
20050310,8.2375,8.2442,7.4341,7.9053,2809379,0
20050311,7.9376,8.0393,7.7663,7.8358,687379,0
20050314,7.8163,7.8236,7.4715,7.561,1901181,0
20050315,7.561,7.6894,7.3319,7.5427,1412842,0
20050316,7.5223,7.6241,7.2553,7.3824,1390743,0
20050317,7.3633,7.8738,7.3319,7.8674,964931,0
20050318,7.8674,8.0393,7.8034,7.8293,752731,0
20050321,7.8293,7.8293,7.4978,7.6958,560592,0
20050322,7.6958,7.8236,7.6185,7.6241,774515,0
20050323,7.6564,7.7767,7.2614,7.3572,666847,0
20050324,7.3373,7.7468,7.3373,7.5491,347765,0
20050328,7.4847,7.5295,7.3373,7.3702,282410,0
20050329,7.4017,7.6113,7.4017,7.5735,1519567,0
20050330,7.5798,7.8738,7.5798,7.7395,552755,0
20050331,7.7202,7.8674,7.7202,7.8236,584099,0
20050401,7.8236,7.9884,7.8236,7.95,463110,0
20050404,7.95,7.9567,7.784,7.8939,276300,0
20050405,7.8939,8.0534,7.8738,8.0393,298553,0
20050406,8.0459,8.1675,7.8414,7.8414,349646,0
20050407,7.8163,7.9884,7.8163,7.8543,441798,0
20050408,7.8293,7.9259,7.7071,7.7597,267056,0
20050411,7.8236,7.95,7.784,7.8811,162365,0
20050412,7.8939,8.001,7.7767,7.9376,437407,0
20050413,7.9376,8.0393,7.8997,8.001,108295,0
20050414,8.0651,8.0842,7.7071,7.784,263291,0
20050415,7.7275,7.7331,7.4395,7.4847,474551,0
20050418,7.4208,7.4785,7.2415,7.3702,298396,0
20050419,7.4341,7.6185,7.3189,7.5798,481918,0
20050420,7.5798,7.587,7.466,7.4847,219253,0
20050421,7.4341,7.6445,7.4341,7.6445,187281,0
20050422,7.6445,7.6564,7.5223,7.5665,224736,0
20050425,7.5034,7.6003,7.4017,7.4458,310933,0
20050426,7.4978,7.4978,7.3824,7.4341,236964,0
20050427,7.4017,7.4785,7.3633,7.466,61592,0
20050428,7.4084,7.466,7.204,7.2553,188848,0
