Date,Open,High,Low,Close,Volume,OpenInt
20050225,36.017,36.637,35.94,36.603,3989475,0
20050228,36.765,36.82,36.017,36.557,3883931,0
20050301,36.435,36.472,36.167,36.298,3099250,0
20050302,35.791,36.372,35.773,36.279,3750479,0
20050303,36.508,36.666,36.36,36.57,3740855,0
20050304,36.978,37.444,36.805,37.322,4322141,0
20050307,37.024,37.077,36.805,36.927,2201334,0
20050308,37.032,37.332,37.014,37.207,3105347,0
20050309,37.343,37.642,36.842,36.963,7002431,0
20050310,36.934,37.14,36.666,36.846,5586095,0
20050311,36.895,37.269,36.858,36.983,2273512,0
20050314,36.971,37.077,36.684,36.995,2344090,0
20050315,37.261,37.322,36.901,36.901,2265172,0
20050316,37.024,37.391,36.956,36.989,2771396,0
20050317,37.088,37.326,36.963,37.225,3577246,0
20050318,37.132,37.475,37.024,37.367,2320028,0
20050321,37.009,37.009,36.728,36.842,2685421,0
20050322,36.409,37.059,36.104,36.104,2961311,0
20050323,35.767,35.853,35.351,35.674,3624079,0
20050324,35.636,35.961,35.428,35.625,2286025,0
20050328,35.625,35.724,35.393,35.486,1602402,0
20050329,35.49,35.812,35.304,35.407,1888228,0
20050330,35.636,35.711,35.33,35.698,2304631,0
20050331,35.948,36.041,35.773,35.955,1937313,0
20050401,36.16,36.253,35.83,36.085,2149042,0
20050404,35.909,36.067,35.736,35.961,2554531,0
20050405,36.053,36.347,36.036,36.122,2618049,0
20050406,36.18,36.508,36.115,36.389,1750926,0
20050407,36.621,36.801,36.327,36.441,2434552,0
20050408,36.046,36.327,35.961,36.041,1927045,0
20050411,36.223,36.621,36.096,36.508,2765621,0
20050412,36.354,36.389,35.985,36.23,2263248,0
20050413,35.972,36.182,35.784,35.812,2199089,0
20050414,35.554,35.6,35.188,35.232,2393172,0
20050415,35.137,35.188,34.347,34.426,3465603,0
20050418,34.545,34.743,34.432,34.732,2217372,0
20050419,34.667,35.036,34.652,35.009,2774920,0
20050420,34.659,34.913,34.382,34.455,2399266,0
20050421,34.749,34.955,34.539,34.927,3015846,0
20050422,34.921,35.387,34.826,35.141,3494162,0
20050425,35.312,35.434,35.174,35.422,3094441,0
20050426,35.379,35.407,35.169,35.2,1692865,0
20050427,35.001,35.009,34.12,34.147,4286216,0
20050428,34.07,34.347,33.959,34.109,2717181,0
20050429,34.4,34.415,33.765,34.015,2906770,0
20050502,34.178,34.264,33.908,34.264,3177528,0
20050503,34.382,34.439,34.165,34.366,4656417,0
20050504,34.366,34.533,34.257,34.472,4991334,0
20050505,34.839,35.066,34.795,34.943,3342102,0
20050506,34.989,35.141,34.9,34.9,2361731,0
20050509,34.795,35.2,34.713,35.2,2092254,0
20050510,34.981,35.105,34.725,34.764,1559094,0
20050511,34.764,34.9,34.667,34.881,2055050,0
20050512,34.59,34.601,33.779,33.845,2925698,0
20050513,33.659,33.834,33.317,33.393,3299756,0
20050516,33.47,33.565,33.246,33.473,3809183,0
20050517,33.591,33.748,33.422,33.715,3226932,0
20050518,33.896,34.12,33.885,33.977,4518477,0
20050519,33.584,33.759,33.416,33.651,3344026,0
20050520,33.612,33.673,33.305,33.372,3074873,0
20050523,33.673,33.953,33.64,33.948,4128702,0
20050524,34.033,34.189,33.948,34.183,1600153,0
20050525,34.289,34.451,34.09,34.289,2143588,0
20050526,34.422,34.488,34.341,34.382,1313681,0
20050527,34.426,34.8,34.314,34.738,993521,0
20050531,34.207,34.207,34.015,34.103,2107021,0
20050601,33.977,34.519,33.97,34.347,2136851,0
20050602,34.251,34.601,34.235,34.507,1356344,0
20050603,34.366,34.472,34.207,34.318,1925443,0
20050606,34.569,34.59,34.347,34.539,1544333,0
20050607,34.601,34.851,34.593,34.647,2833630,0
20050608,34.889,35.105,34.545,34.59,2571857,0
20050609,34.633,34.968,34.519,34.961,3978889,0
20050610,35.137,35.137,34.703,34.868,1962333,0
20050613,34.749,35.304,34.667,35.243,1509688,0
20050614,35.269,35.407,35.194,35.363,1301807,0
20050615,35.269,35.48,35.194,35.379,1945976,0
20050616,35.571,35.669,35.407,35.654,1777554,0
20050617,36.284,36.738,36.284,36.738,2693439,0
20050620,36.284,36.46,36.053,36.354,3346588,0
20050621,36.036,36.23,35.923,35.992,3167903,0
20050622,35.935,36.129,35.812,36.036,2910303,0
20050623,35.879,36.24,35.784,35.799,1724941,0
20050624,36.11,36.23,35.892,35.961,1161619,0
20050627,36.091,36.279,36.017,36.203,2151929,0
20050628,36.189,36.472,36.073,36.174,2892975,0
20050629,35.972,36.197,35.853,35.968,2367826,0
20050630,36.253,36.31,35.799,35.835,2284102,0
20050701,36.182,36.284,35.948,36.258,2259717,0
20050705,36.073,36.501,36.041,36.501,4128066,0
20050706,36.943,37.017,36.752,36.778,3932688,0
20050707,36.129,36.882,36.129,36.82,2829460,0
20050708,37.418,37.852,37.314,37.512,3592643,0
20050711,37.667,37.982,37.631,37.823,2409208,0
20050712,37.935,38.342,37.885,38.279,3008146,0
20050713,38.305,38.541,38.059,38.087,2399583,0
20050714,38.827,38.901,37.872,37.923,5228724,0
20050715,37.976,38.123,37.914,38.059,2944307,0
20050718,37.982,38.123,37.885,37.957,1858080,0
20050719,38.141,38.61,37.989,38.577,3205438,0
20050720,38.186,38.479,37.761,38.379,2951043,0
20050721,37.667,37.872,37.332,37.506,3546453,0
20050722,37.512,38.162,37.495,38.123,5133452,0
20050725,38.411,38.645,38.305,38.505,4774150,0
20050726,38.033,38.236,37.957,38.054,2471445,0
20050727,38.066,38.335,37.976,38.248,2601052,0
20050728,38.411,38.568,38.093,38.442,1606246,0
20050729,38.622,38.674,38.335,38.335,1591813,0
20050801,38.766,38.859,38.583,38.721,1398368,0
20050802,38.959,39.347,38.891,39.347,3463367,0
20050803,39.744,39.956,39.645,39.819,4848258,0
20050804,39.227,39.683,39.135,39.355,4419343,0
20050805,39.319,39.396,38.796,38.901,1970679,0
20050808,39.456,39.591,39.271,39.396,1605606,0
20050809,40.025,40.094,39.757,39.894,2717181,0
20050810,40.3,40.415,40.155,40.399,2223789,0
20050811,40.483,40.741,40.404,40.611,2098679,0
20050812,40.504,40.686,40.449,40.618,2410815,0
20050815,40.31,40.436,40.166,40.235,1536954,0
20050816,39.701,39.845,39.285,39.34,2188496,0
20050817,39.028,39.519,38.752,38.841,3894515,0
20050818,38.645,38.713,38.324,38.577,2678039,0
20050819,38.884,39.285,38.884,39.285,1674576,0
20050822,39.558,39.694,39.121,39.364,1762478,0
20050823,39.189,39.232,38.923,39.095,2477220,0
20050824,39.066,39.477,39.066,39.306,1785574,0
20050825,39.285,39.296,39.1,39.271,1294109,0
20050826,39.092,39.092,38.59,38.59,1720129,0
20050829,38.964,39.066,38.779,39.01,1810601,0
20050830,38.618,39.084,38.61,38.997,2990179,0
20050831,39.763,40.444,39.688,40.429,4433464,0
20050901,41.229,41.83,41.229,41.785,3674453,0
20050902,41.515,41.777,41.416,41.763,4396249,0
